SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)C=CF,O=P(Cl)(c1ccccc1)c1ccccc1,0.254820,0.000218,18.851501,-322.787109,-3.234467,0.004865,16.784821,-754.064453,-2.702217,0.001960
CC(=O)C=CF,CC(=O)Nc1ccc(C=O)cc1,0.257783,0.000213,17.769867,-92.068359,-3.053268,0.004521,14.857056,-627.847656,-2.507545,0.002850
CC(=O)C=CF,Cc1cccc(CO)c1,0.249900,0.000199,17.611115,-350.031250,-3.009224,0.004646,15.021210,-666.611328,-2.404152,0.001713
CC(=O)C=CF,COC(C)CO,0.258012,0.000212,17.055328,-160.388672,-3.040344,0.005259,16.181335,-592.943359,-2.615013,0.002332
CC(=O)C=CF,Nc1nc(=O)c2ccccc2o1,0.242962,0.000179,18.923401,285.375000,-3.088242,0.003275,12.108795,-458.285156,-2.238449,0.003938
CC(=O)C=CF,CC(Cl)Br,0.261209,0.000216,16.505432,-462.925781,-2.908958,0.005246,17.128662,-447.146484,-2.720070,0.001433
CC(=O)C=CF,CCCOC(F)F,0.268332,0.000225,16.125916,-328.255859,-2.837357,0.005064,16.068054,-424.789062,-2.645424,0.002231
CC(=O)C=CF,COC1CC2CCC1(C)C2(C)C,0.259833,0.000197,14.796143,55.812500,-2.508743,0.003935,13.960419,-167.931641,-2.514290,0.003712
CC(=O)C=CF,CCC(=O)C1=NCCC1,0.257752,0.000212,17.042450,-374.310547,-2.915825,0.004626,16.204285,-591.537109,-2.610832,0.001864
CC(=O)C=CF,NC(CF)(CF)CF,0.253877,0.000211,17.934814,-369.714844,-3.179039,0.005421,17.314423,-670.507812,-2.687149,0.001498
CC(=O)C=CF,CC(C)CCCC(C)CC=O,0.261511,0.000210,16.008423,-58.058594,-2.745819,0.004401,14.870972,-409.015625,-2.565056,0.003071
CC(=O)C=CF,Cc1coc(C)n1,0.256414,0.000212,17.109894,-348.822266,-3.023438,0.005261,16.604919,-626.099609,-2.600296,0.001543
