SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)CCCCF,O=P(Cl)(c1ccccc1)c1ccccc1,0.256401,0.000207,19.494507,-115.552734,-3.296356,0.004604,13.563385,-403.009766,-2.209854,0.001718
CC(C)CCCCF,CC(=O)Nc1ccc(C=O)cc1,0.269920,0.000213,16.301971,1437.115234,-2.948540,0.002859,9.410522,586.955078,-2.123260,0.006011
CC(C)CCCCF,Cc1cccc(CO)c1,0.275512,0.000238,16.693573,473.103516,-3.165390,0.004802,12.481842,-94.134766,-2.280090,0.004046
CC(C)CCCCF,COC(C)CO,0.271847,0.000229,16.247986,275.906250,-3.150345,0.005294,14.635254,-279.968750,-2.440826,0.003557
CC(C)CCCCF,Nc1nc(=O)c2ccccc2o1,0.240166,0.000158,15.192566,2668.712891,-2.675156,0.000002,7.061737,1593.724609,-2.075958,0.008178
CC(C)CCCCF,CC(Cl)Br,0.263061,0.000228,17.650909,-435.457031,-3.182823,0.005679,16.396271,-562.212891,-2.489021,0.001041
CC(C)CCCCF,CCCOC(F)F,0.270165,0.000240,17.288422,-370.324219,-3.148193,0.005869,16.169403,-559.146484,-2.519760,0.001424
CC(C)CCCCF,COC1CC2CCC1(C)C2(C)C,0.264319,0.000229,17.589020,-332.244141,-3.132584,0.005443,16.116821,-643.515625,-2.568291,0.001791
CC(C)CCCCF,CCC(=O)C1=NCCC1,0.262019,0.000220,17.917145,-208.222656,-3.213654,0.005199,15.629333,-578.812500,-2.470703,0.002066
CC(C)CCCCF,NC(CF)(CF)CF,0.267149,0.000218,15.859009,216.992188,-3.162857,0.006079,14.435669,-112.787109,-2.309540,0.002808
CC(C)CCCCF,CC(C)CCCC(C)CC=O,0.267090,0.000234,18.084564,-258.660156,-3.223953,0.005500,15.816071,-651.035156,-2.554306,0.002109
CC(C)CCCCF,Cc1coc(C)n1,0.262724,0.000220,17.668945,-222.824219,-3.245758,0.005646,16.184357,-538.882812,-2.520592,0.001864
CC(C)CCCCF,NC(=S)NC(N)=S,0.229399,0.000131,15.645111,1349.132812,-3.128510,0.004814,12.055237,841.281250,-2.049049,0.003648
CC(C)CCCCF,FC(F)C(Cl)C(F)F,0.257620,0.000217,18.121277,-425.988281,-3.289047,0.005608,16.540161,-496.841797,-2.444977,0.000870
CC(C)CCCCF,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.262755,0.000218,16.104858,-93.736328,-2.877617,0.004991,14.411560,-387.949219,-2.329872,0.002010
CC(C)CCCCF,NNC(=O)c1ccccc1,0.275753,0.000222,14.924805,1312.095703,-3.057037,0.004308,10.282104,566.376953,-2.105263,0.005894
CC(C)CCCCF,ClC=CBr,0.261864,0.000224,17.361420,-513.687500,-3.128395,0.005760,16.752258,-556.632812,-2.532051,0.000766
CC(C)CCCCF,CN(C)N=O,0.261231,0.000202,16.863586,246.740234,-3.178185,0.005145,13.607971,-70.019531,-2.127495,0.002410
CC(C)CCCCF,c1ccc(C2CCCCC2)cc1,0.272920,0.000246,17.388031,-296.197266,-3.159424,0.005907,15.626099,-576.552734,-2.521225,0.001853
CC(C)CCCCF,N#Cc1ccncc1,0.256304,0.000208,18.708527,-195.910156,-3.262482,0.004758,15.277313,-542.585938,-2.399063,0.001847
CC(C)CCCCF,CN(C)C(=S)Nc1ccccc1,0.256632,0.000198,18.541534,375.285156,-3.198639,0.003941,12.014252,-57.660156,-2.072052,0.002811
CC(C)CCCCF,CCC(N)CC,0.261773,0.000219,16.931183,-117.109375,-3.223961,0.006206,16.713776,-530.052734,-2.646507,0.002412
