SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(CCl)CCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.256759,0.000218,19.724792,-330.220703,-3.346046,0.004867,15.445679,-701.693359,-2.483986,0.001776
CC(CCl)CCl,CC(=O)Nc1ccc(C=O)cc1,0.281512,0.000242,16.681885,1013.603516,-3.021652,0.003830,10.592865,147.517578,-2.275040,0.005642
CC(CCl)CCl,Cc1cccc(CO)c1,0.281342,0.000251,16.425049,536.699219,-3.128357,0.004982,12.576172,-150.312500,-2.394119,0.004651
CC(CCl)CCl,COC(C)CO,0.266782,0.000228,17.196960,89.005859,-3.188339,0.005027,15.678009,-558.216797,-2.615967,0.003436
CC(CCl)CCl,Nc1nc(=O)c2ccccc2o1,0.265659,0.000211,16.116821,1840.820312,-2.880920,0.001708,8.722351,783.173828,-2.211143,0.007344
CC(CCl)CCl,CC(Cl)Br,0.267508,0.000238,17.627045,-472.160156,-3.164482,0.005842,16.479736,-588.378906,-2.556709,0.001077
CC(CCl)CCl,CCCOC(F)F,0.274403,0.000246,16.739746,-320.808594,-3.043297,0.005904,15.629578,-522.923828,-2.508995,0.001631
CC(CCl)CCl,COC1CC2CCC1(C)C2(C)C,0.260153,0.000217,16.961487,-289.974609,-2.971596,0.004971,15.688599,-598.791016,-2.543251,0.002029
CC(CCl)CCl,CCC(=O)C1=NCCC1,0.258544,0.000221,18.403107,-404.093750,-3.223953,0.005180,16.891388,-761.978516,-2.668961,0.001800
CC(CCl)CCl,NC(CF)(CF)CF,0.269418,0.000230,16.563171,2.148438,-3.175491,0.006039,15.402405,-409.917969,-2.474480,0.002607
CC(CCl)CCl,CC(C)CCCC(C)CC=O,0.262859,0.000227,17.881958,-263.037109,-3.164764,0.005304,15.924438,-682.519531,-2.581947,0.002168
CC(CCl)CCl,Cc1coc(C)n1,0.259322,0.000222,18.310272,-360.601562,-3.273026,0.005517,16.959473,-718.339844,-2.654037,0.001777
CC(CCl)CCl,NC(=S)NC(N)=S,0.264592,0.000200,15.957550,769.294922,-3.143761,0.005648,12.745209,222.353516,-2.147903,0.003746
CC(CCl)CCl,FC(F)C(Cl)C(F)F,0.267743,0.000236,17.400635,-343.724609,-3.182983,0.005892,15.981628,-510.455078,-2.485481,0.001443
CC(CCl)CCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266616,0.000211,13.806427,611.535156,-2.587341,0.004541,12.167236,149.974609,-2.302460,0.004226
CC(CCl)CCl,NNC(=O)c1ccccc1,0.283612,0.000247,16.141083,757.507812,-3.136116,0.004935,11.559906,54.367188,-2.239059,0.005020
CC(CCl)CCl,ClC=CBr,0.266212,0.000233,17.128357,-495.595703,-3.078926,0.005793,16.375549,-553.199219,-2.528450,0.000922
CC(CCl)CCl,CN(C)N=O,0.258178,0.000210,18.186981,-194.296875,-3.245506,0.005034,15.989807,-576.933594,-2.478424,0.002039
CC(CCl)CCl,c1ccc(C2CCCCC2)cc1,0.276052,0.000246,16.492188,-232.441406,-2.963951,0.005566,15.100403,-474.349609,-2.536797,0.002356
CC(CCl)CCl,N#Cc1ccncc1,0.258034,0.000220,19.406647,-414.724609,-3.332344,0.005081,16.806885,-797.150391,-2.654976,0.001951
CC(CCl)CCl,CN(C)C(=S)Nc1ccccc1,0.264851,0.000224,18.593262,-53.683594,-3.220215,0.004708,14.554749,-512.964844,-2.430412,0.002496
CC(CCl)CCl,CCC(N)CC,0.255707,0.000208,16.905518,-133.214844,-3.161148,0.005997,16.548462,-542.658203,-2.664009,0.002416
CC(CCl)CCl,COC(=O)CO,0.267726,0.000227,17.070770,60.724609,-3.222992,0.005069,14.761475,-358.220703,-2.408257,0.002825
CC(CCl)CCl,Cc1c(N)cccc1Cl,0.267912,0.000234,17.671021,-116.742188,-3.185616,0.005318,15.586670,-625.496094,-2.567917,0.002643
CC(CCl)CCl,CC1CCC(C(C)(C)OO)CC1,0.280119,0.000252,16.331390,513.589844,-3.117691,0.005007,13.650726,-253.347656,-2.564980,0.004893
CC(CCl)CCl,CC(F)(Cl)CF,0.271850,0.000245,17.573639,-378.634766,-3.201767,0.005989,16.233337,-560.396484,-2.539375,0.001446
CC(CCl)CCl,CCCCC1OC(C)CC(C)(C)O1,0.260729,0.000221,17.449585,-276.761719,-3.044716,0.004978,16.034485,-711.714844,-2.615356,0.002263
CC(CCl)CCl,CC(C)(C)OCC1CO1,0.261457,0.000227,18.393097,-364.562500,-3.246567,0.005347,16.875488,-758.421875,-2.682892,0.001954
CC(CCl)CCl,O=P(O)(O)OP(=O)(O)O,0.217479,0.000117,13.178711,3652.962891,-2.285156,-0.000657,7.015411,2189.083984,-2.167389,0.010002
CC(CCl)CCl,CC(=O)Nc1ccc(C)cc1,0.284629,0.000255,16.774353,618.455078,-3.082016,0.004560,12.269409,-131.144531,-2.414406,0.004873
CC(CCl)CCl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.263887,0.000212,18.211609,171.583984,-3.285515,0.004796,12.742096,-192.349609,-2.130005,0.002590
CC(CCl)CCl,CC(C)(O)CCC1CCCCC1,0.281677,0.000253,16.161652,677.958984,-3.097031,0.005021,12.726166,-93.777344,-2.487167,0.005227
CC(CCl)CCl,COCC(F)(F)F,0.271095,0.000237,16.552826,-231.384766,-3.039207,0.005751,15.561523,-478.408203,-2.480247,0.001817
CC(CCl)CCl,COCC(O)COC,0.260608,0.000222,18.142120,-266.203125,-3.248505,0.005151,16.820404,-754.246094,-2.650711,0.002288
CC(CCl)CCl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.273318,0.000229,16.175659,1394.304688,-3.006104,0.002859,10.643036,354.535156,-2.450829,0.006789
CC(CCl)CCl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.273040,0.000227,16.397125,989.703125,-3.081474,0.003575,10.870117,165.859375,-2.220444,0.005541
CC(CCl)CCl,CC(C)C(F)F,0.277074,0.000250,16.430756,-288.320312,-3.023155,0.006024,15.384460,-493.187500,-2.489418,0.001771
CC(CCl)CCl,CCCCC1C=C(C)CC(C)O1,0.259005,0.000216,17.218750,-284.994141,-2.999336,0.004904,15.800964,-657.326172,-2.561554,0.002075
CC(CCl)CCl,COc1ccc(C(C)=O)cc1,0.265392,0.000230,18.529999,-269.296875,-3.253571,0.005289,15.713531,-657.251953,-2.549652,0.002062
CC(CCl)CCl,Oc1cc(O)ncn1,0.273383,0.000221,13.663422,1803.888672,-2.893646,0.003586,10.656342,719.919922,-2.398643,0.007707
CC(CCl)CCl,COCCCCl,0.265895,0.000230,17.310089,-393.785156,-3.108986,0.005586,16.570587,-664.398438,-2.615898,0.001669
CC(CCl)CCl,CCCOC,0.257606,0.000213,17.160858,-385.539062,-3.048462,0.005240,16.539398,-662.769531,-2.597832,0.001603
CC(CCl)CCl,Fc1c(F)c(F)c(F)c(F)c1F,0.275560,0.000239,15.320709,-76.414062,-2.797035,0.005496,13.717712,-269.630859,-2.353294,0.002479
CC(CCl)CCl,CCP(CC)CC,0.258567,0.000216,17.306793,-335.582031,-3.044807,0.005125,15.993103,-642.130859,-2.548309,0.001758
CC(CCl)CCl,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.262139,0.000225,17.808899,-176.357422,-3.125641,0.005001,16.216980,-758.908203,-2.692345,0.002764
CC(CCl)CCl,Fc1cc(F)c(F)cc1F,0.272471,0.000240,16.545227,-243.859375,-3.001350,0.005759,14.827881,-496.177734,-2.410004,0.001865
CC(CCl)CCl,CCCCc1ccc(C(=O)O)cc1,0.283381,0.000257,16.225708,591.656250,-3.091736,0.004851,12.790710,-160.531250,-2.483841,0.004987
CC(CCl)CCl,C=Cc1c(C)cc(C)cc1C,0.273801,0.000244,16.855896,-285.566406,-3.025101,0.005644,15.406403,-520.449219,-2.544258,0.002059
CC(CCl)CCl,C=C(C)C(=O)OC(C)(C)C,0.263851,0.000230,17.856567,-300.410156,-3.186844,0.005501,15.944763,-661.537109,-2.563232,0.001954
CC(CCl)CCl,FC1CCCN1,0.264368,0.000230,17.861115,-277.119141,-3.225479,0.005448,16.418121,-614.740234,-2.585503,0.001863
CC(CCl)CCl,CCCCCCCC(=O)NC,0.276192,0.000244,17.220337,583.382812,-3.093102,0.004260,12.998840,-208.427734,-2.501709,0.004863
CC(CCl)CCl,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.272417,0.000223,13.841766,476.701172,-2.719162,0.005648,12.869232,86.996094,-2.387383,0.003992
CC(CCl)CCl,C1=CC2C=CC1C2,0.272902,0.000239,16.322266,-302.013672,-2.961067,0.005691,15.381500,-422.730469,-2.523872,0.001972
CC(CCl)CCl,CCC(C)(O)CCC=C(C)C,0.278140,0.000248,16.247528,496.386719,-3.112045,0.005246,13.542755,-222.898438,-2.525612,0.004732
CC(CCl)CCl,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.259839,0.000222,17.779816,177.724609,-3.155975,0.004417,16.851593,-686.787109,-3.056816,0.004219
CC(CCl)CCl,CCC(C)CCF,0.273087,0.000240,16.433777,-274.056641,-2.973526,0.005654,15.418701,-475.558594,-2.523788,0.002010
CC(CCl)CCl,C=Cc1cccc(CC)c1,0.273983,0.000246,17.025269,-304.849609,-3.065956,0.005750,15.687164,-553.675781,-2.570671,0.001988
CC(CCl)CCl,CC(C)(C(O)(F)F)C(F)(F)F,0.254549,0.000208,17.278473,-139.935547,-3.095566,0.004989,15.827484,-511.281250,-2.534798,0.002172
CC(CCl)CCl,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.273041,0.000233,15.767395,-215.126953,-2.816566,0.005263,14.456177,-385.218750,-2.442963,0.002441
CC(CCl)CCl,CCN(CC)c1ccc(N)cc1,0.266139,0.000230,17.904968,-16.937500,-3.206978,0.004930,15.545532,-628.005859,-2.609322,0.003091
CC(CCl)CCl,FC(F)CC(F)(F)F,0.277837,0.000247,15.853180,-109.498047,-2.993729,0.006055,14.531799,-319.042969,-2.342743,0.002137
CC(CCl)CCl,N#CCCOCCC#N,0.263957,0.000220,18.812469,-110.826172,-3.246429,0.004814,13.619659,-372.835938,-2.203636,0.001797
CC(CCl)CCl,CCC(C)C(C)C(C)C,0.270806,0.000224,15.057526,-96.728516,-2.697502,0.005017,13.843323,-189.255859,-2.442429,0.003080
CC(CCl)CCl,Cn1c(=O)ccc2ccccc21,0.260354,0.000218,18.816132,-173.519531,-3.251175,0.004818,15.345825,-618.246094,-2.485382,0.002234
CC(CCl)CCl,CCOC(=O)c1ccccc1N,0.273205,0.000242,17.469086,48.345703,-3.162437,0.005124,14.831024,-522.052734,-2.563293,0.003298
CC(CCl)CCl,ClC1CN2CCC1CC2,0.259838,0.000221,17.839722,-380.451172,-3.145424,0.005207,16.660889,-700.060547,-2.636215,0.001722
CC(CCl)CCl,CC=CCCCCCCCC#N,0.265849,0.000235,18.337738,-251.662109,-3.241753,0.005398,15.904785,-715.871094,-2.603935,0.002379
CC(CCl)CCl,COCCl,0.267365,0.000237,17.820404,-401.375000,-3.234444,0.005858,16.566162,-588.324219,-2.560524,0.001343
CC(CCl)CCl,NCCc1cccnc1,0.267595,0.000223,16.910858,122.943359,-3.247818,0.005755,15.117676,-414.349609,-2.486374,0.003236
CC(CCl)CCl,Cc1cccc(C(=O)O)c1,0.279733,0.000249,16.584045,489.117188,-3.137611,0.004836,12.936249,-178.242188,-2.439850,0.004463
CC(CCl)CCl,C=CCNC,0.260906,0.000221,17.491211,-260.503906,-3.171989,0.005675,16.567535,-639.791016,-2.627388,0.001981
CC(CCl)CCl,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.254732,0.000183,12.220856,814.984375,-2.347038,0.004118,11.964142,656.146484,-2.467636,0.004843
CC(CCl)CCl,CC(CO)C(F)(F)F,0.285629,0.000257,15.499207,615.771484,-3.087669,0.005600,12.970886,-37.404297,-2.429367,0.004810
CC(CCl)CCl,CC(C)C(=O)C(F)(F)F,0.274837,0.000245,16.494232,-187.978516,-3.008911,0.005819,14.904755,-491.222656,-2.446327,0.002063
CC(CCl)CCl,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.265659,0.000211,14.256439,505.986328,-2.672646,0.004653,12.914978,92.240234,-2.448151,0.004132
CC(CCl)CCl,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.267434,0.000237,17.986267,-96.435547,-3.173149,0.005190,15.890320,-726.923828,-2.692398,0.003029
CC(CCl)CCl,C=CCN(C)CC=C,0.264368,0.000226,16.924469,-346.183594,-3.018906,0.005380,16.338348,-648.445312,-2.611717,0.001798
CC(CCl)CCl,COCC(F)C(F)(F)F,0.275869,0.000243,16.103943,-105.566406,-2.984795,0.005847,15.186584,-455.439453,-2.486076,0.002332
CC(CCl)CCl,CNC(C)(C)C,0.254439,0.000205,16.935638,-247.283203,-3.070763,0.005438,16.576813,-608.617188,-2.637306,0.002041
CC(CCl)CCl,C1COCCOCCOCCO1,0.256391,0.000211,17.927460,-271.736328,-3.239960,0.005169,17.253113,-824.835938,-2.735733,0.002553
CC(CCl)CCl,O=NF,0.253664,0.000204,17.919434,-200.845703,-3.320229,0.005772,16.057343,-289.306641,-2.341652,0.001293
CC(CCl)CCl,CCN(CC)CCN,0.258857,0.000217,17.553772,-92.970703,-3.269508,0.005709,16.957764,-674.632812,-2.717384,0.002859
CC(CCl)CCl,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.279776,0.000243,14.981171,169.933594,-2.746460,0.005264,13.611572,-188.486328,-2.468018,0.003536
CC(CCl)CCl,CC(=O)Nc1ccc(Br)cc1,0.281580,0.000249,17.083710,728.435547,-3.097496,0.004211,11.622040,-29.519531,-2.352699,0.005025
CC(CCl)CCl,c1ccc(COc2ccccc2)cc1,0.271785,0.000246,17.840820,-316.722656,-3.209885,0.005839,15.784027,-634.109375,-2.564880,0.001965
CC(CCl)CCl,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.269261,0.000215,13.734863,266.246094,-2.511909,0.004826,12.766388,44.722656,-2.383156,0.003651
CC(CCl)CCl,CC(C)(C)OCF,0.265516,0.000232,17.563293,-384.376953,-3.148529,0.005622,16.358551,-622.501953,-2.573685,0.001505
CC(CCl)CCl,OCCCCOC1CCCO1,0.265990,0.000228,17.413940,45.287109,-3.190475,0.004947,15.729919,-625.265625,-2.635773,0.003402
CC(CCl)CCl,OCCCCC(O)CO,0.269123,0.000209,13.467316,2091.753906,-2.847038,0.003155,10.100891,955.724609,-2.398560,0.008257
CC(CCl)CCl,CC(C)C(=O)C(=O)O,0.267684,0.000235,17.822052,-171.757812,-3.206459,0.005266,16.107574,-691.644531,-2.635124,0.002757
CC(CCl)CCl,N#CCl,0.258613,0.000218,17.873322,-326.105469,-3.221626,0.005423,16.537567,-598.589844,-2.538124,0.001573
CC(CCl)CCl,CC(C)(C)CCO,0.280728,0.000249,15.617859,734.802734,-3.071037,0.005220,12.690186,-8.134766,-2.475700,0.005318
CC(CCl)CCl,CCc1cc(C(N)=S)ccn1,0.279273,0.000241,16.732208,777.376953,-3.079239,0.004273,11.898926,-23.412109,-2.334785,0.005206
CC(CCl)CCl,CCCCCCCCCCCCC(N)=O,0.270389,0.000227,16.258698,1159.486328,-3.076843,0.004022,12.193268,166.503906,-2.563141,0.006165
CC(CCl)CCl,CCOc1ccccc1F,0.269102,0.000240,17.738800,-376.107422,-3.167023,0.005690,16.183075,-647.859375,-2.593353,0.001729
CC(CCl)CCl,CCCCCCCCCCCCCCCC(=O)O,0.280591,0.000251,15.734100,924.267578,-3.046593,0.004548,12.706390,-15.431641,-2.631027,0.006067
CC(CCl)CCl,CC=CCCCCCC,0.272261,0.000230,15.461182,-145.375000,-2.757256,0.005101,14.082489,-274.253906,-2.446838,0.002815
