SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(CF)CCCF,O=P(Cl)(c1ccccc1)c1ccccc1,0.259555,0.000218,19.288422,-230.087891,-3.309776,0.004971,14.499237,-562.316406,-2.348618,0.001796
CC(CF)CCCF,CC(=O)Nc1ccc(C=O)cc1,0.279695,0.000236,16.842896,1028.589844,-3.036591,0.003808,10.023865,224.423828,-2.144066,0.005360
CC(CF)CCCF,Cc1cccc(CO)c1,0.276361,0.000243,16.761932,374.773438,-3.167030,0.005106,13.211578,-222.878906,-2.387329,0.003934
CC(CF)CCCF,COC(C)CO,0.272062,0.000233,16.493103,179.683594,-3.166092,0.005515,15.149323,-404.386719,-2.527328,0.003455
CC(CF)CCCF,Nc1nc(=O)c2ccccc2o1,0.259725,0.000196,15.664856,2136.541016,-2.791557,0.001214,7.718811,1120.597656,-2.084854,0.007552
CC(CF)CCCF,CC(Cl)Br,0.263996,0.000229,17.462158,-456.978516,-3.145691,0.005750,16.403137,-563.136719,-2.504143,0.000972
CC(CF)CCCF,CCCOC(F)F,0.270466,0.000242,17.332001,-452.931641,-3.145645,0.006014,16.523071,-581.783203,-2.565948,0.001170
CC(CF)CCCF,COC1CC2CCC1(C)C2(C)C,0.267722,0.000229,16.531250,-208.435547,-2.968323,0.005392,15.323364,-547.927734,-2.504570,0.002214
CC(CF)CCCF,CCC(=O)C1=NCCC1,0.263308,0.000226,17.815948,-295.488281,-3.183250,0.005389,16.146332,-678.152344,-2.560837,0.002038
CC(CF)CCCF,NC(CF)(CF)CF,0.268152,0.000227,16.736511,-60.500000,-3.199799,0.006133,15.422943,-409.646484,-2.428345,0.002218
CC(CF)CCCF,CC(C)CCCC(C)CC=O,0.269799,0.000237,17.263214,-168.546875,-3.120270,0.005613,15.450745,-617.408203,-2.532539,0.002438
CC(CF)CCCF,Cc1coc(C)n1,0.263318,0.000225,17.719238,-298.279297,-3.256401,0.005960,16.765778,-634.849609,-2.606529,0.001855
CC(CF)CCCF,NC(=S)NC(N)=S,0.243802,0.000164,16.827789,650.802734,-3.176010,0.005279,13.179779,209.257812,-2.092537,0.002566
CC(CF)CCCF,FC(F)C(Cl)C(F)F,0.253667,0.000215,19.009979,-634.751953,-3.339745,0.005574,17.624481,-720.507812,-2.641121,0.000674
