SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(Cl)CCCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.257495,0.000219,19.517944,-315.689453,-3.329964,0.004925,15.576019,-705.347656,-2.504845,0.001861
CC(Cl)CCCl,CC(=O)Nc1ccc(C=O)cc1,0.282347,0.000243,16.472931,1065.093750,-3.007721,0.003868,10.682465,169.277344,-2.307167,0.005795
CC(Cl)CCCl,Cc1cccc(CO)c1,0.282599,0.000254,16.231110,541.179688,-3.114326,0.005079,12.743652,-150.337891,-2.417892,0.004686
CC(Cl)CCCl,COC(C)CO,0.270612,0.000234,16.835602,130.230469,-3.157814,0.005155,15.547119,-527.888672,-2.613297,0.003584
CC(Cl)CCCl,Nc1nc(=O)c2ccccc2o1,0.267033,0.000213,15.777802,1896.900391,-2.860680,0.001810,9.005249,793.509766,-2.277603,0.007567
CC(Cl)CCCl,CC(Cl)Br,0.268087,0.000238,17.453278,-457.156250,-3.146019,0.005882,16.378326,-570.154297,-2.543922,0.001077
CC(Cl)CCCl,CCCOC(F)F,0.274937,0.000247,16.587860,-326.277344,-3.021759,0.005936,15.706543,-513.578125,-2.516762,0.001615
CC(Cl)CCCl,COC1CC2CCC1(C)C2(C)C,0.263158,0.000220,16.624725,-264.882812,-2.926651,0.005019,15.526337,-549.142578,-2.540596,0.002164
CC(Cl)CCCl,CCC(=O)C1=NCCC1,0.261177,0.000224,18.010956,-363.882812,-3.178757,0.005263,16.774261,-740.593750,-2.660728,0.001934
CC(Cl)CCCl,NC(CF)(CF)CF,0.270234,0.000232,16.453369,-0.652344,-3.161339,0.006037,15.583771,-436.808594,-2.503143,0.002665
CC(Cl)CCCl,CC(C)CCCC(C)CC=O,0.265796,0.000231,17.480743,-232.523438,-3.122208,0.005419,15.774750,-656.582031,-2.569077,0.002258
CC(Cl)CCCl,Cc1coc(C)n1,0.261901,0.000225,17.987732,-335.558594,-3.235207,0.005619,16.913940,-697.917969,-2.657394,0.001850
CC(Cl)CCCl,NC(=S)NC(N)=S,0.268047,0.000206,15.587402,775.597656,-3.109703,0.005668,12.910156,185.855469,-2.167343,0.003971
CC(Cl)CCCl,FC(F)C(Cl)C(F)F,0.267984,0.000236,17.328247,-356.953125,-3.168610,0.005954,16.008789,-509.650391,-2.489731,0.001358
CC(Cl)CCCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266731,0.000211,13.793884,592.585938,-2.560738,0.004463,12.351013,175.117188,-2.345108,0.004182
CC(Cl)CCCl,NNC(=O)c1ccccc1,0.284529,0.000248,15.904419,790.220703,-3.114334,0.004938,11.648468,55.115234,-2.262253,0.005148
CC(Cl)CCCl,ClC=CBr,0.266687,0.000233,16.954498,-478.626953,-3.052246,0.005772,16.284088,-519.023438,-2.523628,0.000974
CC(Cl)CCCl,CN(C)N=O,0.260695,0.000214,17.838104,-157.232422,-3.219101,0.005151,16.000824,-564.173828,-2.485641,0.002170
