SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1C=CCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.252597,0.000194,19.684387,107.529297,-3.287712,0.004265,12.598846,-225.744141,-2.117035,0.001803
CC1C=CCCC1,CC(=O)Nc1ccc(C=O)cc1,0.261221,0.000193,16.215546,1841.339844,-2.840652,0.001974,8.509399,883.744141,-2.069466,0.006531
CC1C=CCCC1,Cc1cccc(CO)c1,0.277569,0.000234,16.316040,755.328125,-3.106468,0.004400,11.342224,50.359375,-2.195633,0.004766
CC1C=CCCC1,COC(C)CO,0.275664,0.000231,16.074554,434.177734,-3.087303,0.004847,13.419312,-181.792969,-2.319931,0.003947
CC1C=CCCC1,Nc1nc(=O)c2ccccc2o1,0.223402,0.000126,15.865051,3044.443359,-2.574142,-0.001032,6.253479,1870.093750,-2.029404,0.008051
CC1C=CCCC1,CC(Cl)Br,0.267006,0.000233,17.942749,-339.783203,-3.227989,0.005605,15.552216,-476.019531,-2.409683,0.001222
CC1C=CCCC1,CCCOC(F)F,0.273079,0.000242,17.469879,-241.869141,-3.162971,0.005717,15.211060,-479.871094,-2.421196,0.001651
CC1C=CCCC1,COC1CC2CCC1(C)C2(C)C,0.262795,0.000229,18.252289,-353.205078,-3.232864,0.005346,16.564301,-705.527344,-2.624222,0.001866
CC1C=CCCC1,CCC(=O)C1=NCCC1,0.265449,0.000222,17.898438,-81.933594,-3.190331,0.004995,14.609619,-489.736328,-2.364548,0.002306
CC1C=CCCC1,NC(CF)(CF)CF,0.268084,0.000213,16.048035,463.837891,-3.115166,0.005241,13.026917,1.792969,-2.193222,0.003319
CC1C=CCCC1,CC(C)CCCC(C)CC=O,0.266747,0.000231,18.379669,-243.164062,-3.232887,0.005268,15.345703,-619.939453,-2.490700,0.002045
CC1C=CCCC1,Cc1coc(C)n1,0.263184,0.000219,17.876587,-145.708984,-3.217087,0.005139,15.294769,-508.962891,-2.421921,0.002036
CC1C=CCCC1,NC(=S)NC(N)=S,0.204150,0.000082,15.451447,2280.107422,-3.021179,0.003035,10.059357,1613.617188,-2.074036,0.004838
CC1C=CCCC1,FC(F)C(Cl)C(F)F,0.264043,0.000221,17.765320,-231.406250,-3.244385,0.005492,14.776215,-302.703125,-2.231758,0.001263
CC1C=CCCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265477,0.000220,16.164948,230.269531,-2.964638,0.004812,13.292419,-151.976562,-2.266144,0.002877
CC1C=CCCC1,NNC(=O)c1ccccc1,0.264490,0.000197,15.018738,1696.251953,-2.993050,0.003257,9.475372,831.964844,-2.092087,0.006293
CC1C=CCCC1,ClC=CBr,0.266807,0.000233,17.474213,-404.443359,-3.177032,0.005778,16.272766,-555.162109,-2.496162,0.001260
CC1C=CCCC1,CN(C)N=O,0.259396,0.000195,17.080078,442.572266,-3.154724,0.004724,12.378479,80.744141,-2.035477,0.002597
CC1C=CCCC1,c1ccc(C2CCCCC2)cc1,0.277341,0.000253,17.503204,-235.031250,-3.178612,0.005902,14.871643,-542.134766,-2.445755,0.002097
CC1C=CCCC1,N#Cc1ccncc1,0.257320,0.000202,18.521729,43.167969,-3.194580,0.004364,14.057007,-416.542969,-2.282242,0.002378
CC1C=CCCC1,CN(C)C(=S)Nc1ccccc1,0.252441,0.000184,18.593719,754.537109,-3.198959,0.003608,10.703156,264.406250,-1.991890,0.003201
CC1C=CCCC1,CCC(N)CC,0.264941,0.000222,17.274292,-64.722656,-3.202782,0.005605,15.805817,-553.992188,-2.538101,0.002531
CC1C=CCCC1,COC(=O)CO,0.268610,0.000215,16.136292,512.558594,-3.127914,0.004579,12.500092,115.404297,-2.087753,0.003392
CC1C=CCCC1,Cc1c(N)cccc1Cl,0.263129,0.000210,17.259796,358.419922,-3.169754,0.004541,13.232544,-238.701172,-2.279510,0.003439
CC1C=CCCC1,CC1CCC(C(C)(C)OO)CC1,0.276336,0.000240,16.880768,466.958984,-3.134308,0.004491,13.116028,-268.445312,-2.420578,0.004352
CC1C=CCCC1,CC(F)(Cl)CF,0.268922,0.000232,17.689178,-246.257812,-3.210846,0.005575,14.745850,-376.621094,-2.292465,0.001413
CC1C=CCCC1,CCCCC1OC(C)CC(C)(C)O1,0.264889,0.000231,18.342194,-285.753906,-3.234222,0.005237,16.253693,-718.580078,-2.622116,0.002230
CC1C=CCCC1,CC(C)(C)OCC1CO1,0.268104,0.000231,17.936768,-195.113281,-3.204399,0.005274,15.451660,-580.685547,-2.486687,0.002164
CC1C=CCCC1,O=P(O)(O)OP(=O)(O)O,0.174418,0.000042,13.580780,4565.019531,-1.975845,-0.002808,5.211761,3112.615234,-2.028419,0.009450
CC1C=CCCC1,CC(=O)Nc1ccc(C)cc1,0.276733,0.000227,16.788757,1133.628906,-3.035835,0.003576,9.909454,319.583984,-2.118423,0.005412
CC1C=CCCC1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.224904,0.000125,18.027435,1450.421875,-3.291916,0.003348,9.308868,1058.378906,-1.903442,0.003298
CC1C=CCCC1,CC(C)(O)CCC1CCCCC1,0.282925,0.000250,16.731659,625.994141,-3.099167,0.004514,11.854492,-76.517578,-2.325699,0.004634
CC1C=CCCC1,COCC(F)(F)F,0.271388,0.000233,16.846741,-97.341797,-3.120567,0.005530,14.862915,-355.865234,-2.350723,0.001972
CC1C=CCCC1,COCC(O)COC,0.269131,0.000222,16.840088,104.048828,-3.134903,0.005003,14.265289,-356.205078,-2.297974,0.002755
CC1C=CCCC1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.251781,0.000176,15.431274,2247.267578,-2.806244,0.001058,8.841064,1054.994141,-2.265831,0.007736
CC1C=CCCC1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.235968,0.000146,15.368591,2199.027344,-2.910164,0.001203,8.660065,1194.642578,-2.087090,0.006982
CC1C=CCCC1,CC(C)C(F)F,0.276720,0.000250,17.074921,-253.576172,-3.158615,0.006035,15.264252,-472.896484,-2.432304,0.001760
