SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC=CC(N)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.258391,0.000205,15.866760,-197.212891,-2.779900,0.004880,15.138855,-293.789062,-2.570862,0.002397
CC=CC(N)=O,CC(=O)Nc1ccc(C=O)cc1,0.252879,0.000199,16.814484,-282.580078,-2.886162,0.004610,14.780029,-624.857422,-2.393478,0.001970
CC=CC(N)=O,Cc1cccc(CO)c1,0.251985,0.000197,16.621185,-317.181641,-2.873657,0.004727,14.986115,-621.181641,-2.390465,0.001729
CC=CC(N)=O,COC(C)CO,0.243318,0.000178,16.597778,-459.816406,-2.825523,0.004455,15.597595,-731.689453,-2.414520,0.001475
CC=CC(N)=O,Nc1nc(=O)c2ccccc2o1,0.239706,0.000179,18.329071,-356.875000,-3.036690,0.004079,14.956573,-787.625000,-2.387901,0.001973
CC=CC(N)=O,CC(Cl)Br,0.281491,0.000237,13.125427,-115.511719,-2.577026,0.006651,16.849701,575.998047,-2.959633,0.002327
CC=CC(N)=O,CCCOC(F)F,0.288023,0.000244,12.388000,141.167969,-2.440666,0.006091,15.732117,762.087891,-2.954193,0.003577
CC=CC(N)=O,COC1CC2CCC1(C)C2(C)C,0.262966,0.000187,11.383179,109.376953,-1.949097,0.003397,15.966980,904.023438,-2.959900,0.004269
CC=CC(N)=O,CCC(=O)C1=NCCC1,0.253650,0.000183,13.691620,-456.384766,-2.335289,0.003715,17.679230,112.677734,-2.869156,0.002407
CC=CC(N)=O,NC(CF)(CF)CF,0.245992,0.000180,16.017365,-565.308594,-2.712349,0.004444,16.720123,-533.835938,-2.603256,0.001191
CC=CC(N)=O,CC(C)CCCC(C)CC=O,0.269837,0.000206,12.448090,168.501953,-2.192650,0.003781,15.623596,493.646484,-2.862747,0.004212
CC=CC(N)=O,Cc1coc(C)n1,0.245245,0.000172,14.898529,-581.662109,-2.557289,0.004090,16.293915,-288.142578,-2.486526,0.001509
CC=CC(N)=O,NC(=S)NC(N)=S,0.204963,0.000099,19.451477,-882.531250,-3.006332,0.003391,15.973663,-1057.658203,-2.468590,0.001216
CC=CC(N)=O,FC(F)C(Cl)C(F)F,0.266482,0.000215,15.100616,-446.076172,-2.756317,0.006002,18.606171,-42.033203,-3.067932,0.001650
CC=CC(N)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267034,0.000199,11.628235,636.949219,-2.149658,0.004281,14.100342,890.939453,-2.766098,0.004543
CC=CC(N)=O,NNC(=O)c1ccccc1,0.250225,0.000205,18.156738,-367.339844,-3.078751,0.004479,16.776917,-739.017578,-2.671173,0.001709
CC=CC(N)=O,ClC=CBr,0.280540,0.000231,12.742981,-133.970703,-2.498718,0.006483,17.015381,603.234375,-2.974022,0.002551
CC=CC(N)=O,CN(C)N=O,0.255592,0.000199,15.864899,-374.421875,-2.821190,0.005153,17.211243,-452.166016,-2.705475,0.001633
CC=CC(N)=O,c1ccc(C2CCCCC2)cc1,0.277309,0.000215,10.395142,627.937500,-2.058861,0.004925,14.151062,1515.078125,-3.002640,0.004779
CC=CC(N)=O,N#Cc1ccncc1,0.253705,0.000195,15.511749,-584.916016,-2.651817,0.004486,17.703003,-288.593750,-2.790520,0.001360
