SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCC=CC=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.248198,0.000209,20.032745,-526.994141,-3.408592,0.004938,16.945312,-800.005859,-2.619865,0.001188
CCCCC=CC=O,CC(=O)Nc1ccc(C=O)cc1,0.250103,0.000196,18.652008,-156.414062,-3.175316,0.004404,14.092743,-642.941406,-2.294495,0.002266
CCCCC=CC=O,Cc1cccc(CO)c1,0.240297,0.000183,18.798767,-493.857422,-3.217766,0.004621,15.638824,-740.572266,-2.396805,0.001265
CCCCC=CC=O,COC(C)CO,0.254293,0.000207,17.609955,-245.687500,-3.184860,0.005503,16.665924,-622.447266,-2.584686,0.001848
CCCCC=CC=O,Nc1nc(=O)c2ccccc2o1,0.232913,0.000155,19.927216,324.740234,-3.097176,0.002532,10.426422,-340.398438,-1.902199,0.003304
CCCCC=CC=O,CC(Cl)Br,0.249617,0.000200,18.052032,-740.654297,-3.167236,0.005572,18.698700,-615.031250,-2.837227,0.000560
CCCCC=CC=O,CCCOC(F)F,0.263832,0.000224,17.071350,-518.691406,-3.049805,0.005577,17.491760,-478.242188,-2.748016,0.001296
CCCCC=CC=O,COC1CC2CCC1(C)C2(C)C,0.256388,0.000204,16.338165,-266.884766,-2.870735,0.004866,15.258820,-359.664062,-2.530991,0.002306
CCCCC=CC=O,CCC(=O)C1=NCCC1,0.253370,0.000210,18.007874,-482.369141,-3.126900,0.005036,16.719299,-686.044922,-2.580704,0.001207
CCCCC=CC=O,NC(CF)(CF)CF,0.248355,0.000196,17.581116,-277.310547,-3.230759,0.005714,16.899017,-524.445312,-2.539436,0.001504
CCCCC=CC=O,CC(C)CCCC(C)CC=O,0.259803,0.000217,17.024170,-299.324219,-3.025505,0.005235,15.988892,-541.562500,-2.585220,0.001990
CCCCC=CC=O,Cc1coc(C)n1,0.251591,0.000207,18.115631,-438.931641,-3.241142,0.005591,17.326477,-667.000000,-2.631973,0.001188
CCCCC=CC=O,NC(=S)NC(N)=S,0.197088,0.000068,20.733398,-757.123047,-3.293365,0.003889,15.221344,-1011.125000,-2.296791,0.002046
CCCCC=CC=O,FC(F)C(Cl)C(F)F,0.226903,0.000147,20.337708,-1028.394531,-3.484138,0.005024,19.882019,-848.908203,-2.889824,0.000601
CCCCC=CC=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.232757,0.000152,16.632507,-331.238281,-2.672844,0.003534,16.017181,-495.492188,-2.633873,0.001812
CCCCC=CC=O,NNC(=O)c1ccccc1,0.256423,0.000206,18.125061,153.439453,-3.184143,0.004683,14.609558,-394.783203,-2.414551,0.002758
CCCCC=CC=O,ClC=CBr,0.246288,0.000184,17.858307,-867.490234,-3.102303,0.005276,19.206238,-540.169922,-2.959274,0.000827
CCCCC=CC=O,CN(C)N=O,0.254327,0.000205,17.814453,-246.457031,-3.261436,0.005507,16.500427,-489.591797,-2.466904,0.001615
CCCCC=CC=O,c1ccc(C2CCCCC2)cc1,0.263640,0.000218,16.694794,-381.414062,-2.926239,0.005045,16.218658,-390.324219,-2.666687,0.002178
CCCCC=CC=O,N#Cc1ccncc1,0.241804,0.000193,19.511505,-640.734375,-3.298935,0.004710,17.973389,-846.136719,-2.714333,0.000890
CCCCC=CC=O,CN(C)C(=S)Nc1ccccc1,0.213431,0.000128,20.467590,-952.140625,-3.269524,0.003738,16.297272,-1036.916016,-2.365273,0.000627
CCCCC=CC=O,CCC(N)CC,0.248029,0.000192,16.207092,-145.888672,-3.112312,0.006597,16.965424,-388.232422,-2.676514,0.002062
CCCCC=CC=O,COC(=O)CO,0.245893,0.000190,17.793823,-388.896484,-3.222748,0.005182,16.069458,-582.144531,-2.370224,0.001297
