SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCC(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.239952,0.000163,19.536560,420.710938,-3.307236,0.004106,11.859070,128.074219,-2.037239,0.001603
CCCCCC(C)C,CC(=O)Nc1ccc(C=O)cc1,0.239682,0.000151,15.986725,2246.148438,-2.833649,0.001349,8.213104,1391.718750,-2.085617,0.006281
CCCCCC(C)C,Cc1cccc(CO)c1,0.275458,0.000226,15.884338,908.916016,-3.084007,0.004183,10.791565,276.640625,-2.105591,0.004868
CCCCCC(C)C,COC(C)CO,0.273457,0.000224,15.812561,501.062500,-3.084999,0.004728,13.117981,-39.507812,-2.225937,0.003872
CCCCCC(C)C,Nc1nc(=O)c2ccccc2o1,0.192875,0.000073,15.762115,3643.443359,-2.433815,-0.002235,5.701599,2524.087891,-2.069649,0.007723
CCCCCC(C)C,CC(Cl)Br,0.268104,0.000229,17.403412,-244.873047,-3.193306,0.005672,14.790070,-314.814453,-2.270607,0.001175
CCCCCC(C)C,CCCOC(F)F,0.272154,0.000237,17.142883,-192.544922,-3.149704,0.005684,14.878693,-352.007812,-2.334198,0.001489
CCCCCC(C)C,COC1CC2CCC1(C)C2(C)C,0.263043,0.000228,18.246979,-337.017578,-3.249725,0.005380,16.494690,-675.611328,-2.588699,0.001777
CCCCCC(C)C,CCC(=O)C1=NCCC1,0.264503,0.000214,17.376526,63.371094,-3.168678,0.004854,14.020233,-297.726562,-2.244736,0.002445
CCCCCC(C)C,NC(CF)(CF)CF,0.261919,0.000198,15.355469,635.943359,-3.153954,0.005521,12.988098,282.050781,-2.130539,0.003263
CCCCCC(C)C,CC(C)CCCC(C)CC=O,0.266639,0.000227,18.179169,-190.373047,-3.218544,0.005209,14.887543,-532.189453,-2.396843,0.001974
CCCCCC(C)C,Cc1coc(C)n1,0.262123,0.000212,17.448608,-67.187500,-3.192543,0.005055,14.899323,-369.593750,-2.316956,0.001981
CCCCCC(C)C,NC(=S)NC(N)=S,0.173908,0.000031,14.710510,3012.339844,-2.814377,0.001931,9.674500,2444.306641,-2.106514,0.004780
CCCCCC(C)C,FC(F)C(Cl)C(F)F,0.261417,0.000210,17.057495,-70.015625,-3.250542,0.005865,14.031433,-11.730469,-2.056213,0.000907
CCCCCC(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268209,0.000222,15.964569,332.027344,-3.014999,0.005069,12.540100,77.273438,-2.126572,0.002732
CCCCCC(C)C,NNC(=O)c1ccccc1,0.241426,0.000152,14.897491,2087.468750,-3.010010,0.002657,9.156250,1342.763672,-2.118683,0.006008
CCCCCC(C)C,ClC=CBr,0.268251,0.000232,17.091461,-323.154297,-3.169617,0.005874,15.812256,-398.771484,-2.402397,0.001125
CCCCCC(C)C,CN(C)N=O,0.242251,0.000159,17.002899,758.769531,-3.186867,0.004390,12.002777,505.914062,-1.996925,0.002397
CCCCCC(C)C,c1ccc(C2CCCCC2)cc1,0.278595,0.000251,17.113342,-175.357422,-3.158707,0.005928,14.514923,-439.242188,-2.375267,0.002055
CCCCCC(C)C,N#Cc1ccncc1,0.254535,0.000192,18.077332,168.951172,-3.164635,0.004221,13.463684,-236.167969,-2.148613,0.002367
CCCCCC(C)C,CN(C)C(=S)Nc1ccccc1,0.233727,0.000144,18.291412,1250.996094,-3.179649,0.002929,9.574951,812.164062,-1.950630,0.003387
CCCCCC(C)C,CCC(N)CC,0.263770,0.000218,17.077576,-42.103516,-3.201256,0.005528,15.719940,-488.525391,-2.485695,0.002465
CCCCCC(C)C,COC(=O)CO,0.253156,0.000183,16.029358,748.607422,-3.180923,0.004465,12.212738,477.140625,-1.994156,0.002939
CCCCCC(C)C,Cc1c(N)cccc1Cl,0.263613,0.000204,16.606140,590.447266,-3.131004,0.004396,12.309052,30.613281,-2.158997,0.003777
CCCCCC(C)C,CC1CCC(C(C)(C)OO)CC1,0.276997,0.000238,16.635651,556.351562,-3.120819,0.004422,12.642426,-161.845703,-2.348930,0.004423
CCCCCC(C)C,CC(F)(Cl)CF,0.269354,0.000227,17.098328,-138.923828,-3.166977,0.005607,13.962067,-200.076172,-2.133423,0.001361
CCCCCC(C)C,CCCCC1OC(C)CC(C)(C)O1,0.263704,0.000226,18.263092,-241.980469,-3.227409,0.005129,15.912170,-671.156250,-2.548363,0.002176
CCCCCC(C)C,CC(C)(C)OCC1CO1,0.266991,0.000224,17.485321,-118.632812,-3.189911,0.005242,15.045990,-448.804688,-2.378906,0.002120
CCCCCC(C)C,O=P(O)(O)OP(=O)(O)O,0.145225,-0.000003,13.580170,5056.322266,-1.768158,-0.003699,4.986176,3774.171875,-1.996353,0.008674
CCCCCC(C)C,CC(=O)Nc1ccc(C)cc1,0.270905,0.000211,15.948029,1438.238281,-2.951607,0.003097,9.534149,644.882812,-2.095551,0.005796
CCCCCC(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.193228,0.000069,17.445923,2109.324219,-3.205193,0.002127,8.893890,1789.111328,-1.948341,0.003481
CCCCCC(C)C,CC(C)(O)CCC1CCCCC1,0.283650,0.000249,16.553406,676.738281,-3.084221,0.004464,11.532928,-8.208984,-2.268356,0.004639
CCCCCC(C)C,COCC(F)(F)F,0.270130,0.000227,16.489777,-6.792969,-3.103004,0.005424,14.394897,-193.460938,-2.243301,0.001930
CCCCCC(C)C,COCC(O)COC,0.267566,0.000215,16.420471,197.052734,-3.145126,0.004976,13.931732,-189.093750,-2.207520,0.002753
CCCCCC(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.224574,0.000124,15.408936,2754.693359,-2.781693,0.000128,8.147186,1613.328125,-2.283882,0.007554
CCCCCC(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.208761,0.000095,15.299438,2772.400391,-2.823570,0.000174,7.945160,1821.464844,-2.122948,0.006774
CCCCCC(C)C,CC(C)C(F)F,0.275553,0.000245,16.835510,-245.957031,-3.158012,0.006045,15.149109,-358.308594,-2.364769,0.001462
CCCCCC(C)C,CCCCC1C=C(C)CC(C)O1,0.261813,0.000224,18.489655,-296.595703,-3.250580,0.005158,16.068512,-659.261719,-2.556259,0.001856
CCCCCC(C)C,COc1ccc(C(C)=O)cc1,0.260939,0.000201,17.630615,324.222656,-3.175133,0.004695,12.437195,10.517578,-2.078247,0.002307
