SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCC=CCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.249710,0.000200,18.969421,-308.503906,-3.219498,0.004652,14.858276,-505.175781,-2.329010,0.001206
CCCCCC=CCO,CC(=O)Nc1ccc(C=O)cc1,0.252981,0.000194,17.738861,-44.433594,-3.111794,0.004565,13.142578,-442.230469,-2.120354,0.002315
CCCCCC=CCO,Cc1cccc(CO)c1,0.251674,0.000204,18.048645,-380.039062,-3.204033,0.005113,16.121826,-663.619141,-2.455368,0.001405
CCCCCC=CCO,COC(C)CO,0.243181,0.000187,18.453247,-476.433594,-3.218040,0.004786,16.635254,-780.476562,-2.484215,0.001326
CCCCCC=CCO,Nc1nc(=O)c2ccccc2o1,0.243834,0.000172,18.245728,146.029297,-3.082375,0.003758,11.709320,-296.158203,-1.925606,0.002589
CCCCCC=CCO,CC(Cl)Br,0.275590,0.000238,14.419952,-201.804688,-2.916512,0.007555,16.491455,347.218750,-2.710930,0.000922
CCCCCC=CCO,CCCOC(F)F,0.283311,0.000251,14.127319,-61.900391,-2.873817,0.007329,15.965607,338.753906,-2.731216,0.001788
CCCCCC=CCO,COC1CC2CCC1(C)C2(C)C,0.257118,0.000201,15.649017,-453.955078,-2.772758,0.005367,16.485565,-164.712891,-2.670647,0.001257
CCCCCC=CCO,CCC(=O)C1=NCCC1,0.244217,0.000182,16.908875,-534.601562,-2.886566,0.004674,15.740784,-511.144531,-2.399536,0.000820
CCCCCC=CCO,NC(CF)(CF)CF,0.237779,0.000168,16.998962,-429.228516,-2.988159,0.004490,15.366577,-603.169922,-2.226463,0.001142
CCCCCC=CCO,CC(C)CCCC(C)CC=O,0.261909,0.000218,16.303558,-357.667969,-2.912788,0.005449,16.569855,-364.525391,-2.656570,0.001407
CCCCCC=CCO,Cc1coc(C)n1,0.228138,0.000156,18.593658,-740.248047,-3.106674,0.004273,15.900177,-800.273438,-2.296295,0.000410
CCCCCC=CCO,NC(=S)NC(N)=S,0.235616,0.000140,15.865631,148.406250,-2.816742,0.004933,12.315491,-93.656250,-1.787529,0.001772
CCCCCC=CCO,FC(F)C(Cl)C(F)F,0.263924,0.000217,15.711517,-338.869141,-2.996483,0.006752,16.845062,52.457031,-2.692085,0.000844
CCCCCC=CCO,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265570,0.000210,13.391174,247.636719,-2.581100,0.005953,13.951447,448.570312,-2.488953,0.002260
CCCCCC=CCO,NNC(=O)c1ccccc1,0.252138,0.000195,17.582001,-98.386719,-3.171471,0.004993,15.095886,-475.085938,-2.325211,0.002074
CCCCCC=CCO,ClC=CBr,0.275637,0.000237,14.271729,-297.224609,-2.873840,0.007577,17.156189,346.738281,-2.820221,0.000843
CCCCCC=CCO,CN(C)N=O,0.247331,0.000187,17.524017,-206.332031,-3.138695,0.004939,15.566132,-372.542969,-2.313148,0.001288
CCCCCC=CCO,c1ccc(C2CCCCC2)cc1,0.286227,0.000252,13.748169,39.816406,-2.798027,0.007136,15.389954,468.238281,-2.775833,0.002512
CCCCCC=CCO,N#Cc1ccncc1,0.240061,0.000178,17.796814,-510.185547,-3.008080,0.004342,16.133240,-679.369141,-2.405663,0.000985
CCCCCC=CCO,CN(C)C(=S)Nc1ccccc1,0.235866,0.000160,17.858948,-244.656250,-2.943375,0.003802,12.748688,-361.472656,-1.978012,0.001188
CCCCCC=CCO,CCC(N)CC,0.205989,0.000107,18.407440,-939.638672,-3.029427,0.003985,14.247162,-969.009766,-2.044159,0.000203
CCCCCC=CCO,COC(=O)CO,0.248705,0.000190,17.126678,-228.470703,-3.171669,0.005215,15.837952,-379.722656,-2.269516,0.001282
CCCCCC=CCO,Cc1c(N)cccc1Cl,0.249402,0.000197,17.144745,-411.285156,-2.997406,0.004930,16.462555,-475.855469,-2.522400,0.000961
CCCCCC=CCO,CC1CCC(C(C)(C)OO)CC1,0.238280,0.000177,18.068115,-585.160156,-3.082222,0.004496,15.907959,-742.013672,-2.380623,0.000859
CCCCCC=CCO,CC(F)(Cl)CF,0.278661,0.000244,14.670135,-35.205078,-2.980240,0.007396,15.656128,335.884766,-2.628967,0.001481
CCCCCC=CCO,CCCCC1OC(C)CC(C)(C)O1,0.252283,0.000196,16.368011,-439.621094,-2.805176,0.004697,16.247589,-473.527344,-2.585777,0.001458
CCCCCC=CCO,CC(C)(C)OCC1CO1,0.254894,0.000206,16.858398,-423.685547,-2.972404,0.005203,16.896973,-441.214844,-2.631859,0.001134
CCCCCC=CCO,O=P(O)(O)OP(=O)(O)O,0.169966,-0.000007,18.348572,-732.716797,-3.145859,0.005446,4.671692,-985.675781,-0.870758,0.001727
CCCCCC=CCO,CC(=O)Nc1ccc(C)cc1,0.250121,0.000196,17.912781,-377.482422,-3.117111,0.004879,14.668030,-628.193359,-2.267220,0.001445
CCCCCC=CCO,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253427,0.000186,16.228363,938.314453,-3.008766,0.004136,10.338745,755.279297,-1.882736,0.002822
CCCCCC=CCO,CC(C)(O)CCC1CCCCC1,0.249609,0.000199,18.048248,-437.580078,-3.136917,0.004924,15.703217,-714.607422,-2.441505,0.001467
CCCCCC=CCO,COCC(F)(F)F,0.274697,0.000235,14.323029,-32.833984,-2.874146,0.006962,15.401001,303.224609,-2.564636,0.001414
CCCCCC=CCO,COCC(O)COC,0.240274,0.000183,18.617981,-509.253906,-3.226074,0.004667,16.616150,-774.033203,-2.456192,0.001143
CCCCCC=CCO,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.249672,0.000194,18.887238,31.494141,-3.153229,0.003842,13.956665,-530.750000,-2.329048,0.002710
CCCCCC=CCO,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.218790,0.000129,18.672699,-415.542969,-3.067047,0.003576,13.672180,-686.806641,-1.997688,0.001191
CCCCCC=CCO,CC(C)C(F)F,0.285188,0.000252,13.770233,-28.472656,-2.853600,0.007448,15.900604,415.220703,-2.764420,0.001995
CCCCCC=CCO,CCCCC1C=C(C)CC(C)O1,0.254718,0.000197,15.767090,-444.234375,-2.747589,0.005013,16.151337,-248.607422,-2.618523,0.001362
CCCCCC=CCO,COc1ccc(C(C)=O)cc1,0.250667,0.000196,17.778992,-340.455078,-3.053406,0.004649,15.227661,-563.332031,-2.335320,0.001267
CCCCCC=CCO,Oc1cc(O)ncn1,0.224242,0.000139,18.266022,-369.691406,-3.165184,0.004294,14.835114,-769.169922,-2.159752,0.001706
CCCCCC=CCO,COCCCCl,0.263937,0.000213,15.131989,-321.695312,-2.831985,0.006051,15.907288,-144.060547,-2.534225,0.001191
CCCCCC=CCO,CCCOC,0.252388,0.000195,16.074463,-510.880859,-2.880356,0.005483,16.580292,-374.865234,-2.565170,0.000813
CCCCCC=CCO,Fc1c(F)c(F)c(F)c(F)c1F,0.281615,0.000239,13.126587,71.107422,-2.667946,0.006807,14.691467,483.707031,-2.633247,0.002333
CCCCCC=CCO,CCP(CC)CC,0.256221,0.000199,15.492401,-450.386719,-2.779701,0.005621,16.543610,-81.251953,-2.683807,0.001149
CCCCCC=CCO,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.244408,0.000180,16.835876,-442.869141,-2.825912,0.004294,15.513489,-621.058594,-2.463097,0.001683
CCCCCC=CCO,Fc1cc(F)c(F)cc1F,0.276605,0.000237,14.298309,-188.078125,-2.852104,0.007252,16.209747,258.507812,-2.715012,0.001377
CCCCCC=CCO,CCCCc1ccc(C(=O)O)cc1,0.236841,0.000169,17.728943,-649.439453,-3.030182,0.004650,15.492676,-682.710938,-2.316864,0.000776
CCCCCC=CCO,C=Cc1c(C)cc(C)cc1C,0.285143,0.000252,13.984039,14.828125,-2.857391,0.007213,15.632812,386.003906,-2.777054,0.002355
CCCCCC=CCO,C=C(C)C(=O)OC(C)(C)C,0.263474,0.000224,16.558441,-387.214844,-2.991165,0.005739,17.137756,-317.187500,-2.738937,0.001243
CCCCCC=CCO,FC1CCCN1,0.252479,0.000207,17.758759,-385.332031,-3.171852,0.005246,17.421814,-507.466797,-2.641991,0.001090
CCCCCC=CCO,CCCCCCCC(=O)NC,0.243457,0.000188,18.511169,-514.884766,-3.152885,0.004612,15.924744,-768.167969,-2.437805,0.001279
CCCCCC=CCO,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.280491,0.000238,13.151276,416.087891,-2.699783,0.006628,13.691223,546.185547,-2.544662,0.003050
CCCCCC=CCO,C1=CC2C=CC1C2,0.284272,0.000248,13.503479,-66.712891,-2.780342,0.007471,16.126709,516.380859,-2.833473,0.001974
CCCCCC=CCO,CCC(C)(O)CCC=C(C)C,0.247265,0.000197,18.263336,-500.255859,-3.166405,0.004897,15.813232,-729.419922,-2.435783,0.001227
CCCCCC=CCO,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.252693,0.000206,17.444550,167.058594,-2.952179,0.003767,17.690521,-502.041016,-3.099060,0.003420
CCCCCC=CCO,CCC(C)CCF,0.286055,0.000252,13.671997,-16.521484,-2.795433,0.007162,15.843353,382.250000,-2.794670,0.002328
CCCCCC=CCO,C=Cc1cccc(CC)c1,0.283996,0.000251,14.167053,-13.576172,-2.878952,0.007246,15.824982,326.501953,-2.766411,0.002219
CCCCCC=CCO,CC(C)(C(O)(F)F)C(F)(F)F,0.158019,-0.000012,19.905182,-1648.048828,-3.259438,0.004700,12.168793,-1110.142578,-1.814911,-0.000530
CCCCCC=CCO,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.286872,0.000249,13.208374,-32.501953,-2.678398,0.006935,15.723328,473.982422,-2.842918,0.002626
CCCCCC=CCO,CCN(CC)c1ccc(N)cc1,0.242754,0.000190,18.862122,-430.222656,-3.225746,0.004550,16.342102,-754.621094,-2.498405,0.001409
CCCCCC=CCO,FC(F)CC(F)(F)F,0.275646,0.000236,14.329163,2.546875,-2.906319,0.007148,15.171143,334.794922,-2.514938,0.001515
CCCCCC=CCO,N#CCCOCCC#N,0.258453,0.000203,17.248199,389.291016,-3.123383,0.004702,11.443481,271.705078,-1.902130,0.001961
CCCCCC=CCO,CCC(C)C(C)C(C)C,0.287471,0.000245,12.699860,118.447266,-2.597038,0.006905,14.881042,710.849609,-2.800133,0.003173
CCCCCC=CCO,Cn1c(=O)ccc2ccccc21,0.231266,0.000156,18.557007,-539.792969,-3.105011,0.004282,14.186798,-703.791016,-2.086830,0.000866
CCCCCC=CCO,CCOC(=O)c1ccccc1N,0.253807,0.000204,17.080688,-398.988281,-2.974335,0.004887,16.177551,-540.449219,-2.508232,0.001292
CCCCCC=CCO,ClC1CN2CCC1CC2,0.227089,0.000146,17.157410,-685.263672,-2.857368,0.004113,14.650421,-736.287109,-2.137650,0.000535
CCCCCC=CCO,CC=CCCCCCCCC#N,0.263851,0.000225,16.995850,-205.017578,-3.055267,0.005375,16.020844,-358.619141,-2.610138,0.001841
CCCCCC=CCO,COCCl,0.275221,0.000237,14.731201,29.394531,-3.000816,0.007361,14.966888,516.935547,-2.524315,0.001232
CCCCCC=CCO,NCCc1cccnc1,0.216881,0.000132,19.233948,-589.220703,-3.250824,0.004206,14.761383,-1038.667969,-2.206879,0.001597
CCCCCC=CCO,Cc1cccc(C(=O)O)c1,0.227769,0.000151,18.228394,-757.789062,-3.104294,0.004508,15.460663,-713.943359,-2.242096,0.000474
CCCCCC=CCO,C=CCNC,0.221310,0.000140,18.060944,-804.458984,-3.032288,0.004329,14.975891,-871.744141,-2.176376,0.000341
CCCCCC=CCO,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.262170,0.000191,10.909546,839.027344,-2.304504,0.005638,12.699646,1265.013672,-2.649849,0.004015
CCCCCC=CCO,CC(CO)C(F)(F)F,0.251566,0.000200,17.256195,-363.654297,-3.109619,0.005314,16.120453,-594.615234,-2.422691,0.001268
CCCCCC=CCO,CC(C)C(=O)C(F)(F)F,0.279801,0.000243,14.216675,-57.349609,-2.798141,0.006713,15.473602,333.484375,-2.693405,0.001925
CCCCCC=CCO,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.265467,0.000201,12.847260,407.687500,-2.452332,0.005077,13.931000,633.404297,-2.635483,0.003228
CCCCCC=CCO,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.267936,0.000232,16.701111,-62.896484,-2.979004,0.004981,16.080902,-357.042969,-2.749374,0.002765
CCCCCC=CCO,C=CCN(C)CC=C,0.241672,0.000169,15.918671,-599.962891,-2.680519,0.004424,15.367432,-544.695312,-2.339737,0.000891
CCCCCC=CCO,COCC(F)C(F)(F)F,0.275335,0.000236,14.438232,-37.238281,-2.843895,0.006636,15.383759,166.904297,-2.560585,0.001634
CCCCCC=CCO,CNC(C)(C)C,0.207022,0.000106,17.772919,-927.552734,-2.885635,0.003763,14.035034,-925.312500,-2.015999,0.000171
