SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCSC,O=P(Cl)(c1ccccc1)c1ccccc1,0.253739,0.000203,19.558319,-188.339844,-3.330650,0.004605,13.953308,-398.025391,-2.208977,0.001431
CCCCCCCCSC,CC(=O)Nc1ccc(C=O)cc1,0.270739,0.000215,16.010010,1243.128906,-2.978668,0.003318,10.075226,534.298828,-2.096901,0.005492
CCCCCCCCSC,Cc1cccc(CO)c1,0.271788,0.000230,16.720917,450.943359,-3.162727,0.004735,12.819427,-65.470703,-2.277702,0.003797
CCCCCCCCSC,COC(C)CO,0.267106,0.000219,16.177155,257.294922,-3.153473,0.005265,15.095886,-209.111328,-2.438530,0.003257
CCCCCCCCSC,Nc1nc(=O)c2ccccc2o1,0.236824,0.000154,15.067932,2534.220703,-2.700546,0.000109,7.752655,1585.724609,-2.092979,0.007661
CCCCCCCCSC,CC(Cl)Br,0.258235,0.000220,17.782532,-536.205078,-3.198036,0.005665,17.143463,-566.667969,-2.534546,0.000605
CCCCCCCCSC,CCCOC(F)F,0.266811,0.000233,17.213593,-390.386719,-3.137695,0.005819,16.454926,-527.511719,-2.518776,0.001172
CCCCCCCCSC,COC1CC2CCC1(C)C2(C)C,0.258267,0.000219,17.817657,-409.388672,-3.163918,0.005364,16.621002,-661.076172,-2.581482,0.001389
CCCCCCCCSC,CCC(=O)C1=NCCC1,0.257491,0.000213,17.774994,-325.910156,-3.212471,0.005259,16.631744,-599.060547,-2.538963,0.001656
CCCCCCCCSC,NC(CF)(CF)CF,0.261759,0.000205,15.234711,280.412109,-3.135735,0.006214,14.740662,73.310547,-2.251984,0.002709
CCCCCCCCSC,CC(C)CCCC(C)CC=O,0.263186,0.000228,18.158203,-320.376953,-3.243378,0.005516,16.350037,-662.824219,-2.575119,0.001805
CCCCCCCCSC,Cc1coc(C)n1,0.256338,0.000210,17.870636,-294.515625,-3.276779,0.005513,16.770721,-514.214844,-2.533432,0.001463
CCCCCCCCSC,NC(=S)NC(N)=S,0.218149,0.000112,15.945770,1401.632812,-3.079758,0.004348,12.105682,1028.085938,-1.983116,0.003034
CCCCCCCCSC,FC(F)C(Cl)C(F)F,0.252882,0.000208,18.043182,-432.947266,-3.272980,0.005485,16.566376,-402.464844,-2.370384,0.000573
CCCCCCCCSC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.254395,0.000198,15.515839,74.009766,-2.795189,0.004536,13.585541,-110.476562,-2.202682,0.002101
CCCCCCCCSC,NNC(=O)c1ccccc1,0.266467,0.000206,14.995544,1297.216797,-3.093674,0.004228,10.892548,669.339844,-2.118095,0.005325
CCCCCCCCSC,ClC=CBr,0.258652,0.000218,17.449585,-625.128906,-3.133003,0.005681,17.620117,-552.322266,-2.647362,0.000573
CCCCCCCCSC,CN(C)N=O,0.247468,0.000178,17.221008,162.789062,-3.255692,0.005168,14.733734,11.332031,-2.154999,0.001464
CCCCCCCCSC,c1ccc(C2CCCCC2)cc1,0.265858,0.000233,17.691620,-403.142578,-3.171913,0.005693,16.283783,-615.783203,-2.555466,0.001418
CCCCCCCCSC,N#Cc1ccncc1,0.250946,0.000198,18.708527,-262.363281,-3.296890,0.004760,16.102356,-531.587891,-2.437881,0.001555
