SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COc1ccncc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.252067,0.000213,19.172638,-405.699219,-3.295151,0.004891,16.845459,-807.113281,-2.653648,0.001806
COc1ccncc1,CC(=O)Nc1ccc(C=O)cc1,0.214441,0.000126,18.938599,-727.363281,-3.183449,0.004435,12.591248,-995.019531,-1.913055,0.001087
COc1ccncc1,Cc1cccc(CO)c1,0.219772,0.000139,18.955688,-797.937500,-3.151329,0.004290,14.407501,-900.078125,-2.139954,0.000627
COc1ccncc1,COC(C)CO,0.237131,0.000175,18.570648,-557.964844,-3.185394,0.004711,16.025024,-817.099609,-2.427689,0.001187
COc1ccncc1,Nc1nc(=O)c2ccccc2o1,0.210838,0.000113,20.321686,-221.333984,-3.167175,0.003136,10.467926,-841.009766,-1.752426,0.002277
COc1ccncc1,CC(Cl)Br,0.256534,0.000210,16.976654,-574.425781,-3.008553,0.005469,18.216125,-560.402344,-2.845177,0.001092
COc1ccncc1,CCCOC(F)F,0.267143,0.000224,16.138336,-346.513672,-2.873184,0.005229,16.539337,-458.060547,-2.685455,0.001999
COc1ccncc1,COC1CC2CCC1(C)C2(C)C,0.255407,0.000193,15.234558,-109.226562,-2.614388,0.004143,14.750671,-266.855469,-2.558334,0.003240
COc1ccncc1,CCC(=O)C1=NCCC1,0.256595,0.000211,17.335663,-428.195312,-2.975906,0.004707,16.602875,-630.957031,-2.648933,0.001749
COc1ccncc1,NC(CF)(CF)CF,0.247973,0.000197,18.067657,-386.980469,-3.175728,0.005064,17.014557,-700.160156,-2.597305,0.001467
COc1ccncc1,CC(C)CCCC(C)CC=O,0.256509,0.000202,16.017670,-162.291016,-2.803658,0.004603,15.704102,-440.535156,-2.653160,0.002809
COc1ccncc1,Cc1coc(C)n1,0.254868,0.000210,17.424469,-423.486328,-3.072830,0.005238,16.734528,-653.687500,-2.602371,0.001372
COc1ccncc1,NC(=S)NC(N)=S,0.174568,0.000020,20.618103,-1155.000000,-3.270020,0.003678,12.416351,-1426.292969,-1.802536,0.001954
COc1ccncc1,FC(F)C(Cl)C(F)F,0.234446,0.000159,19.032013,-891.525391,-3.277122,0.004816,19.154144,-832.574219,-2.818886,0.000936
COc1ccncc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.231465,0.000145,15.737366,-79.171875,-2.494415,0.003272,14.890533,-484.775391,-2.524094,0.002458
COc1ccncc1,NNC(=O)c1ccccc1,0.240811,0.000181,19.395844,-319.298828,-3.232185,0.004171,14.854401,-796.363281,-2.365280,0.002089
COc1ccncc1,ClC=CBr,0.252789,0.000195,16.796631,-652.816406,-2.949867,0.005276,18.413239,-537.894531,-2.883820,0.001299
COc1ccncc1,CN(C)N=O,0.258392,0.000216,17.806732,-300.923828,-3.217339,0.005376,16.754486,-628.353516,-2.579834,0.001835
COc1ccncc1,c1ccc(C2CCCCC2)cc1,0.261679,0.000203,15.150208,-128.705078,-2.642776,0.004514,15.137482,-260.257812,-2.618233,0.003144
COc1ccncc1,N#Cc1ccncc1,0.246704,0.000199,18.637726,-591.003906,-3.167892,0.004705,17.575958,-794.361328,-2.665749,0.001007
COc1ccncc1,CN(C)C(=S)Nc1ccccc1,0.182373,0.000061,20.267365,-1276.236328,-3.193069,0.003643,13.756744,-1273.560547,-1.961632,0.000127
COc1ccncc1,CCC(N)CC,0.245578,0.000186,15.890167,-157.658203,-2.984749,0.006031,16.935455,-433.353516,-2.706917,0.002188
COc1ccncc1,COC(=O)CO,0.225026,0.000148,18.590851,-758.736328,-3.220406,0.004894,14.391296,-884.429688,-2.084305,0.000567
COc1ccncc1,Cc1c(N)cccc1Cl,0.209786,0.000116,20.449249,-1052.824219,-3.312454,0.003759,17.749390,-1060.138672,-2.568230,0.000589
COc1ccncc1,CC1CCC(C(C)(C)OO)CC1,0.189313,0.000074,18.837463,-1075.552734,-2.985466,0.003518,12.922913,-1101.896484,-1.870552,0.000216
COc1ccncc1,CC(F)(Cl)CF,0.257113,0.000214,17.419739,-481.160156,-3.078720,0.005375,17.359741,-664.335938,-2.701347,0.001245
COc1ccncc1,CCCCC1OC(C)CC(C)(C)O1,0.256154,0.000199,15.934448,-131.458984,-2.731621,0.004258,15.338989,-446.507812,-2.625755,0.003149
COc1ccncc1,CC(C)(C)OCC1CO1,0.258366,0.000213,17.107666,-356.730469,-2.989532,0.004903,16.687653,-610.855469,-2.693687,0.002043
COc1ccncc1,O=P(O)(O)OP(=O)(O)O,0.109799,-0.000123,23.726562,-1804.845703,-3.967499,0.007478,-0.026306,-1842.832031,-0.535583,0.002831
COc1ccncc1,CC(=O)Nc1ccc(C)cc1,0.216790,0.000131,18.793732,-796.513672,-3.122559,0.004319,13.320251,-964.986328,-2.011238,0.000814
COc1ccncc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253482,0.000201,18.953735,-97.724609,-3.247314,0.004550,15.184937,-501.912109,-2.429092,0.001961
COc1ccncc1,CC(C)(O)CCC1CCCCC1,0.229114,0.000152,17.539001,-455.498047,-2.956108,0.004424,13.607513,-775.859375,-2.129242,0.001613
COc1ccncc1,COCC(F)(F)F,0.261389,0.000219,16.822876,-362.503906,-2.976761,0.005126,16.636475,-537.593750,-2.628662,0.001566
COc1ccncc1,COCC(O)COC,0.236544,0.000180,19.353821,-644.523438,-3.301003,0.004801,16.909180,-875.996094,-2.535950,0.000958
COc1ccncc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.221237,0.000150,21.193115,-371.443359,-3.233528,0.002867,14.798309,-960.380859,-2.425697,0.002136
COc1ccncc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.161986,0.000014,21.886353,-1436.166016,-3.481964,0.003743,13.112427,-1458.214844,-1.853493,0.000403
COc1ccncc1,CC(C)C(F)F,0.270409,0.000226,15.581848,-303.119141,-2.815895,0.005379,16.183472,-324.310547,-2.687943,0.002290
COc1ccncc1,CCCCC1C=C(C)CC(C)O1,0.254976,0.000195,15.674744,-117.388672,-2.674042,0.004142,15.078003,-355.857422,-2.601555,0.003117
COc1ccncc1,COc1ccc(C(C)=O)cc1,0.256892,0.000217,18.180786,-396.218750,-3.190681,0.005163,16.864105,-740.287109,-2.645264,0.001709
COc1ccncc1,Oc1cc(O)ncn1,0.168229,0.000019,19.896881,-1135.667969,-3.331970,0.004045,9.306122,-1264.343750,-1.352066,0.000523
COc1ccncc1,COCCCCl,0.261429,0.000216,16.448822,-382.029297,-2.942162,0.005245,16.633423,-488.689453,-2.676376,0.001850
COc1ccncc1,CCCOC,0.253642,0.000195,15.579468,-315.343750,-2.766273,0.004802,16.015991,-328.195312,-2.638458,0.002272
COc1ccncc1,Fc1c(F)c(F)c(F)c(F)c1F,0.255473,0.000189,14.451752,-17.169922,-2.581779,0.004732,15.062561,-78.404297,-2.619896,0.002944
COc1ccncc1,CCP(CC)CC,0.255391,0.000197,15.836578,-241.113281,-2.727287,0.004341,15.305389,-347.623047,-2.572739,0.002663
COc1ccncc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.254402,0.000195,16.065521,33.267578,-2.737045,0.004057,15.355530,-457.490234,-2.701202,0.003745
COc1ccncc1,Fc1cc(F)c(F)cc1F,0.258741,0.000210,16.347961,-363.953125,-2.877655,0.005070,16.239716,-537.658203,-2.589684,0.001724
COc1ccncc1,CCCCc1ccc(C(=O)O)cc1,0.182696,0.000057,19.139496,-1270.187500,-3.080032,0.003743,13.470947,-1170.931641,-1.868782,-0.000187
COc1ccncc1,C=Cc1c(C)cc(C)cc1C,0.262083,0.000206,15.424713,-128.410156,-2.716736,0.004676,15.303192,-333.169922,-2.620567,0.003041
