SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C#CCCC(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.214416,0.000121,17.962677,-816.822266,-2.920799,0.004002,13.356232,-961.404297,-2.054420,0.000888
C#CCCC(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.214004,0.000122,18.483704,-768.244141,-3.077415,0.004292,13.125610,-997.666016,-2.012604,0.001064
C#CCCC(=O)O,Cc1cccc(CO)c1,0.230654,0.000154,17.333893,-520.291016,-2.930977,0.004397,13.771484,-822.300781,-2.151695,0.001469
C#CCCC(=O)O,COC(C)CO,0.193955,0.000080,19.844849,-992.177734,-3.045006,0.003528,13.562653,-1304.337891,-2.195290,0.001595
C#CCCC(=O)O,Nc1nc(=O)c2ccccc2o1,0.212732,0.000121,18.576294,-675.798828,-3.079193,0.004177,12.334503,-973.300781,-1.892586,0.001194
C#CCCC(=O)O,CC(Cl)Br,0.287816,0.000250,12.872131,-49.925781,-2.614204,0.007072,16.055206,462.804688,-2.860046,0.002401
C#CCCC(=O)O,CCCOC(F)F,0.276955,0.000231,13.830597,-205.535156,-2.552658,0.005718,16.488983,50.619141,-2.847519,0.002474
C#CCCC(=O)O,COC1CC2CCC1(C)C2(C)C,0.214826,0.000101,14.700348,-628.605469,-2.283859,0.003099,12.152771,-567.287109,-1.949852,0.001748
C#CCCC(=O)O,CCC(=O)C1=NCCC1,0.188730,0.000064,18.092499,-1176.595703,-2.693794,0.003240,12.807098,-1172.876953,-1.990547,0.000624
C#CCCC(=O)O,NC(CF)(CF)CF,0.186519,0.000058,17.902893,-1123.474609,-2.951096,0.004133,11.770203,-1149.720703,-1.723717,0.000113
C#CCCC(=O)O,CC(C)CCCC(C)CC=O,0.223915,0.000130,15.943604,-632.322266,-2.541115,0.003586,13.654785,-689.845703,-2.157440,0.001420
C#CCCC(=O)O,Cc1coc(C)n1,0.178860,0.000044,18.893188,-1241.048828,-2.971161,0.003468,12.266968,-1235.892578,-1.798485,0.000299
C#CCCC(=O)O,NC(=S)NC(N)=S,0.255465,0.000198,16.223602,-26.343750,-2.919395,0.005080,17.051331,-512.355469,-2.651001,0.002331
C#CCCC(=O)O,FC(F)C(Cl)C(F)F,0.282126,0.000245,13.802399,-183.302734,-2.699211,0.006677,16.813812,134.021484,-2.870430,0.002013
C#CCCC(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.274662,0.000207,10.228394,874.246094,-2.027336,0.004597,12.356018,1127.746094,-2.595299,0.004965
C#CCCC(=O)O,NNC(=O)c1ccccc1,0.206808,0.000111,19.342529,-886.828125,-3.167671,0.004245,13.499054,-1129.916016,-2.077797,0.000995
C#CCCC(=O)O,ClC=CBr,0.290043,0.000245,11.891510,3.937500,-2.444664,0.006993,15.356445,686.210938,-2.812309,0.002819
C#CCCC(=O)O,CN(C)N=O,0.192979,0.000078,19.933899,-1199.656250,-3.211151,0.003992,15.378876,-1222.236328,-2.233574,0.000414
C#CCCC(=O)O,c1ccc(C2CCCCC2)cc1,0.287260,0.000236,11.634064,320.974609,-2.257500,0.005578,13.819397,691.726562,-2.739891,0.004431
C#CCCC(=O)O,N#Cc1ccncc1,0.201987,0.000094,18.019501,-1091.087891,-2.869247,0.003918,14.174133,-1112.359375,-2.113075,0.000321
C#CCCC(=O)O,CN(C)C(=S)Nc1ccccc1,0.248173,0.000197,17.938965,-488.185547,-3.046104,0.004504,17.162476,-667.828125,-2.667000,0.001241
C#CCCC(=O)O,CCC(N)CC,0.158697,-0.000013,18.290161,-1310.533203,-3.043053,0.004159,7.698578,-1315.748047,-1.203217,0.000383
C#CCCC(=O)O,COC(=O)CO,0.216738,0.000137,19.772522,-820.509766,-3.225586,0.004045,15.521912,-1047.248047,-2.343445,0.000921
C#CCCC(=O)O,Cc1c(N)cccc1Cl,0.245107,0.000181,16.338196,-484.197266,-2.778267,0.004534,15.160126,-600.792969,-2.360664,0.001189
C#CCCC(=O)O,CC1CCC(C(C)(C)OO)CC1,0.242094,0.000177,16.917480,-290.500000,-2.826424,0.004105,14.377380,-734.990234,-2.329651,0.002202
C#CCCC(=O)O,CC(F)(Cl)CF,0.283516,0.000248,13.984772,-129.644531,-2.745316,0.006789,16.669067,201.890625,-2.886093,0.002191
C#CCCC(=O)O,CCCCC1OC(C)CC(C)(C)O1,0.199194,0.000077,16.369568,-815.013672,-2.421715,0.002923,11.406982,-1033.562500,-1.852264,0.001598
C#CCCC(=O)O,CC(C)(C)OCC1CO1,0.206314,0.000100,18.049622,-893.371094,-2.757988,0.003203,14.201111,-1058.966797,-2.225685,0.001225
C#CCCC(=O)O,O=P(O)(O)OP(=O)(O)O,0.219082,0.000114,16.708893,-232.812500,-2.904732,0.004871,12.392578,-791.224609,-1.920204,0.002782
C#CCCC(=O)O,CC(=O)Nc1ccc(C)cc1,0.217278,0.000127,17.624542,-788.873047,-2.947357,0.004336,13.139832,-899.289062,-1.979294,0.000683
C#CCCC(=O)O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.238229,0.000182,19.310150,-431.986328,-3.233818,0.004290,17.023926,-858.353516,-2.632591,0.001681
C#CCCC(=O)O,CC(C)(O)CCC1CCCCC1,0.215070,0.000110,15.895020,-427.345703,-2.609520,0.003629,11.222382,-842.376953,-1.812820,0.002108
C#CCCC(=O)O,COCC(F)(F)F,0.253398,0.000187,14.920990,-443.853516,-2.572975,0.004702,15.641083,-364.839844,-2.495285,0.001516
C#CCCC(=O)O,COCC(O)COC,0.180457,0.000053,21.095245,-1250.263672,-3.152176,0.003350,14.156799,-1463.876953,-2.265854,0.001372
C#CCCC(=O)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.212718,0.000124,19.422211,-558.802734,-3.087906,0.003783,12.937927,-1150.556641,-2.162064,0.002375
C#CCCC(=O)O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.251593,0.000206,18.211700,-291.505859,-3.169052,0.004797,16.747986,-721.056641,-2.633980,0.001879
C#CCCC(=O)O,CC(C)C(F)F,0.287026,0.000243,12.677460,9.480469,-2.501091,0.006356,15.556824,413.683594,-2.843597,0.003151
C#CCCC(=O)O,CCCCC1C=C(C)CC(C)O1,0.206852,0.000087,15.160767,-734.910156,-2.309624,0.002952,11.727478,-725.185547,-1.868790,0.001536
C#CCCC(=O)O,COc1ccc(C(C)=O)cc1,0.205947,0.000101,18.369476,-1007.660156,-2.941551,0.003894,13.857330,-1079.582031,-2.083687,0.000649
C#CCCC(=O)O,Oc1cc(O)ncn1,0.249093,0.000189,17.356232,-93.154297,-3.134346,0.005507,15.270874,-684.882812,-2.434097,0.002788
C#CCCC(=O)O,COCCCCl,0.223201,0.000125,15.640930,-750.371094,-2.578873,0.004112,13.501862,-764.152344,-2.060699,0.000991
C#CCCC(=O)O,CCCOC,0.205947,0.000093,16.433777,-884.203125,-2.590439,0.003431,13.483826,-904.513672,-2.031601,0.000846
C#CCCC(=O)O,Fc1c(F)c(F)c(F)c(F)c1F,0.287364,0.000232,10.955902,356.185547,-2.193008,0.005915,13.173431,808.421875,-2.595367,0.004022
C#CCCC(=O)O,CCP(CC)CC,0.214024,0.000096,14.450867,-752.226562,-2.286072,0.003558,12.699585,-488.085938,-2.081337,0.001707
C#CCCC(=O)O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.184449,0.000040,17.134399,-926.896484,-2.546402,0.003061,9.263611,-1220.287109,-1.612801,0.002091
C#CCCC(=O)O,Fc1cc(F)c(F)cc1F,0.290226,0.000245,11.894104,140.509766,-2.413109,0.006560,14.234894,578.833984,-2.665588,0.003292
C#CCCC(=O)O,CCCCc1ccc(C(=O)O)cc1,0.254669,0.000201,16.284088,-208.449219,-2.807358,0.004580,14.922302,-621.513672,-2.429604,0.002218
