SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C1=CCCCC=C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.258619,0.000210,19.598480,-54.384766,-3.275345,0.004444,13.366241,-419.289062,-2.232185,0.002007
C1=CCCCC=C1,CC(=O)Nc1ccc(C=O)cc1,0.270407,0.000211,16.021912,1668.001953,-2.886803,0.002543,9.059143,661.123047,-2.169701,0.006684
C1=CCCCC=C1,Cc1cccc(CO)c1,0.279246,0.000240,16.396942,682.496094,-3.114388,0.004536,11.669556,-36.453125,-2.250549,0.004745
C1=CCCCC=C1,COC(C)CO,0.275470,0.000235,16.389587,330.333984,-3.113159,0.004931,13.968292,-296.001953,-2.411644,0.003812
C1=CCCCC=C1,Nc1nc(=O)c2ccccc2o1,0.241900,0.000159,15.479401,2739.330078,-2.633896,-0.000173,6.877289,1545.464844,-2.080406,0.008333
C1=CCCCC=C1,CC(Cl)Br,0.269469,0.000239,17.758270,-364.369141,-3.212608,0.005798,15.917542,-529.935547,-2.478615,0.001336
C1=CCCCC=C1,CCCOC(F)F,0.274054,0.000246,17.309570,-273.597656,-3.152802,0.005841,15.654419,-531.445312,-2.496040,0.001757
C1=CCCCC=C1,COC1CC2CCC1(C)C2(C)C,0.263389,0.000228,17.883972,-344.408203,-3.164391,0.005346,16.352081,-686.218750,-2.613190,0.001882
C1=CCCCC=C1,CCC(=O)C1=NCCC1,0.266024,0.000227,17.931061,-154.857422,-3.203674,0.005179,15.319916,-591.972656,-2.479919,0.002341
C1=CCCCC=C1,NC(CF)(CF)CF,0.269847,0.000220,16.117310,352.496094,-3.123589,0.005416,13.644501,-127.419922,-2.284111,0.003253
C1=CCCCC=C1,CC(C)CCCC(C)CC=O,0.266972,0.000234,18.198608,-265.474609,-3.226227,0.005414,15.938141,-680.910156,-2.587173,0.002202
C1=CCCCC=C1,Cc1coc(C)n1,0.263846,0.000222,17.944000,-195.494141,-3.227982,0.005248,15.681854,-574.632812,-2.490219,0.002060
C1=CCCCC=C1,NC(=S)NC(N)=S,0.221737,0.000112,15.300262,1961.085938,-3.058144,0.003792,10.506561,1300.955078,-2.086678,0.004756
C1=CCCCC=C1,FC(F)C(Cl)C(F)F,0.265880,0.000228,17.767303,-267.716797,-3.242546,0.005540,15.213043,-385.363281,-2.334396,0.001367
C1=CCCCC=C1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267842,0.000223,15.621033,315.115234,-2.882477,0.004744,13.273132,-146.296875,-2.322548,0.003370
C1=CCCCC=C1,NNC(=O)c1ccccc1,0.274458,0.000218,15.145203,1459.482422,-2.989037,0.003582,9.842163,586.269531,-2.126587,0.006307
C1=CCCCC=C1,ClC=CBr,0.268772,0.000237,17.235931,-407.685547,-3.137596,0.005859,16.300079,-563.791016,-2.518669,0.001297
C1=CCCCC=C1,CN(C)N=O,0.266601,0.000211,16.882446,279.742188,-3.118462,0.004889,12.929047,-131.935547,-2.116112,0.002800
C1=CCCCC=C1,c1ccc(C2CCCCC2)cc1,0.278827,0.000257,17.335297,-230.660156,-3.163994,0.006017,15.165833,-569.375000,-2.507332,0.002241
