SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(Cl)C(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.256800,0.000219,18.962555,-282.259766,-3.266541,0.004976,16.319305,-804.746094,-2.656921,0.002400
CC(Cl)C(F)F,CC(=O)Nc1ccc(C=O)cc1,0.283438,0.000251,16.704865,774.132812,-3.015907,0.004334,11.815063,-45.507812,-2.399773,0.005311
CC(Cl)C(F)F,Cc1cccc(CO)c1,0.280990,0.000252,16.255585,458.429688,-3.092499,0.005368,13.755157,-232.421875,-2.546616,0.004555
CC(Cl)C(F)F,COC(C)CO,0.263741,0.000226,17.767487,-71.306641,-3.166763,0.005074,16.693024,-730.941406,-2.781189,0.003175
CC(Cl)C(F)F,Nc1nc(=O)c2ccccc2o1,0.274774,0.000230,15.869781,1572.650391,-2.887169,0.002737,9.865356,551.808594,-2.349358,0.007053
CC(Cl)C(F)F,CC(Cl)Br,0.274557,0.000244,16.424286,-262.861328,-2.997269,0.005863,15.532104,-506.796875,-2.498558,0.001787
CC(Cl)C(F)F,CCCOC(F)F,0.272538,0.000243,16.968018,-350.287109,-3.070274,0.005834,16.332458,-590.794922,-2.616302,0.001780
CC(Cl)C(F)F,COC1CC2CCC1(C)C2(C)C,0.261121,0.000211,16.180664,-205.500000,-2.786102,0.004514,15.200897,-504.281250,-2.532303,0.002657
CC(Cl)C(F)F,CCC(=O)C1=NCCC1,0.255536,0.000213,18.041748,-463.287109,-3.096504,0.004994,17.298218,-822.167969,-2.764236,0.001802
CC(Cl)C(F)F,NC(CF)(CF)CF,0.266245,0.000230,17.463776,-176.382812,-3.172501,0.005681,16.576294,-652.496094,-2.661148,0.002408
CC(Cl)C(F)F,CC(C)CCCC(C)CC=O,0.261471,0.000221,17.303040,-226.949219,-3.029610,0.005066,15.871979,-694.933594,-2.602180,0.002374
CC(Cl)C(F)F,Cc1coc(C)n1,0.255563,0.000212,18.133392,-467.576172,-3.162857,0.005181,17.393951,-792.054688,-2.735443,0.001681
CC(Cl)C(F)F,NC(=S)NC(N)=S,0.273392,0.000217,15.262238,787.611328,-3.060684,0.005917,13.009674,151.000000,-2.231110,0.004344
CC(Cl)C(F)F,FC(F)C(Cl)C(F)F,0.267404,0.000238,17.940155,-423.117188,-3.211578,0.005814,16.621704,-634.732422,-2.600227,0.001393
CC(Cl)C(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.272198,0.000225,14.752197,303.664062,-2.619743,0.004427,13.553802,-194.933594,-2.496704,0.004002
CC(Cl)C(F)F,NNC(=O)c1ccccc1,0.283137,0.000250,16.193054,599.941406,-3.099480,0.005359,13.215057,-136.292969,-2.478867,0.004821
CC(Cl)C(F)F,ClC=CBr,0.274459,0.000241,16.015808,-253.361328,-2.913078,0.005694,15.411316,-427.699219,-2.500595,0.001868
CC(Cl)C(F)F,CN(C)N=O,0.252357,0.000203,18.639740,-372.242188,-3.231339,0.005004,17.625061,-869.494141,-2.774055,0.002246
CC(Cl)C(F)F,c1ccc(C2CCCCC2)cc1,0.276918,0.000240,15.770905,-39.240234,-2.810516,0.005112,14.199493,-377.244141,-2.488976,0.003219
CC(Cl)C(F)F,N#Cc1ccncc1,0.257484,0.000217,18.462463,-422.283203,-3.191803,0.005110,17.604889,-851.546875,-2.804306,0.002029
CC(Cl)C(F)F,CN(C)C(=S)Nc1ccccc1,0.263679,0.000226,18.248047,-117.488281,-3.192055,0.004929,15.772186,-650.720703,-2.604637,0.002670
CC(Cl)C(F)F,CCC(N)CC,0.252096,0.000199,16.806885,-243.917969,-3.007385,0.005308,16.672241,-646.912109,-2.655136,0.002149
CC(Cl)C(F)F,COC(=O)CO,0.265466,0.000228,17.638519,-69.150391,-3.213051,0.005061,15.853912,-584.638672,-2.591270,0.002847
CC(Cl)C(F)F,Cc1c(N)cccc1Cl,0.273196,0.000240,16.583069,60.759766,-3.038750,0.005404,15.068237,-513.011719,-2.576515,0.003233
CC(Cl)C(F)F,CC1CCC(C(C)(C)OO)CC1,0.279212,0.000252,16.299927,450.917969,-3.062263,0.005234,14.441071,-329.896484,-2.671875,0.004766
CC(Cl)C(F)F,CC(F)(Cl)CF,0.270347,0.000245,17.918274,-411.933594,-3.222145,0.005900,16.863220,-652.810547,-2.650299,0.001508
CC(Cl)C(F)F,CCCCC1OC(C)CC(C)(C)O1,0.260215,0.000214,16.869934,-233.152344,-2.893448,0.004650,16.052094,-694.906250,-2.670898,0.002696
CC(Cl)C(F)F,CC(C)(C)OCC1CO1,0.259082,0.000219,18.017792,-393.466797,-3.135033,0.005176,17.246521,-821.044922,-2.776573,0.002105
CC(Cl)C(F)F,O=P(O)(O)OP(=O)(O)O,0.226073,0.000132,12.596344,3679.023438,-2.250320,-0.000245,7.801270,2068.533203,-2.309929,0.010753
CC(Cl)C(F)F,CC(=O)Nc1ccc(C)cc1,0.282788,0.000255,16.746613,510.078125,-3.047943,0.004743,13.344788,-237.814453,-2.553680,0.004743
CC(Cl)C(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.264045,0.000215,18.255524,113.876953,-3.193680,0.004702,13.909027,-370.117188,-2.335152,0.002850
CC(Cl)C(F)F,CC(C)(O)CCC1CCCCC1,0.278111,0.000246,15.867706,566.720703,-2.971199,0.004975,13.552246,-202.873047,-2.574287,0.005032
CC(Cl)C(F)F,COCC(F)(F)F,0.266581,0.000232,17.214111,-373.121094,-3.085030,0.005569,16.685089,-639.873047,-2.630348,0.001618
CC(Cl)C(F)F,COCC(O)COC,0.254674,0.000210,18.905762,-418.929688,-3.257217,0.005034,17.797699,-918.425781,-2.859940,0.002344
CC(Cl)C(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.277881,0.000240,16.122803,1124.064453,-2.999313,0.003659,12.138489,83.845703,-2.601425,0.006464
CC(Cl)C(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.277431,0.000236,16.078003,934.748047,-3.039696,0.004117,11.689850,58.199219,-2.370384,0.005664
CC(Cl)C(F)F,CC(C)C(F)F,0.274676,0.000245,16.654083,-301.279297,-3.030121,0.005849,15.912476,-542.636719,-2.579903,0.001995
CC(Cl)C(F)F,CCCCC1C=C(C)CC(C)O1,0.259615,0.000210,16.481903,-226.080078,-2.820297,0.004449,15.640747,-576.607422,-2.598099,0.002594
CC(Cl)C(F)F,COc1ccc(C(C)=O)cc1,0.263003,0.000229,18.475067,-336.353516,-3.240601,0.005367,16.923096,-790.949219,-2.730919,0.002216
CC(Cl)C(F)F,Oc1cc(O)ncn1,0.278547,0.000230,13.286591,1829.218750,-2.821159,0.003995,11.288055,700.570312,-2.552895,0.007913
CC(Cl)C(F)F,COCCCCl,0.264834,0.000224,16.737671,-361.689453,-2.994736,0.005401,16.604523,-671.830078,-2.628174,0.001832
CC(Cl)C(F)F,CCCOC,0.256069,0.000207,16.885223,-433.173828,-2.944565,0.004980,16.859253,-686.066406,-2.668350,0.001713
CC(Cl)C(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.274814,0.000236,15.696075,-144.837891,-2.823227,0.005334,14.538940,-402.904297,-2.464172,0.002690
CC(Cl)C(F)F,CCP(CC)CC,0.260601,0.000211,16.347443,-254.226562,-2.843918,0.004702,15.597748,-537.281250,-2.557388,0.002425
CC(Cl)C(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.257968,0.000214,17.422791,-196.259766,-2.969826,0.004652,16.463867,-815.628906,-2.765373,0.002898
CC(Cl)C(F)F,Fc1cc(F)c(F)cc1F,0.275129,0.000243,16.378143,-242.976562,-2.975258,0.005744,15.275482,-497.490234,-2.513229,0.002217
CC(Cl)C(F)F,CCCCc1ccc(C(=O)O)cc1,0.285243,0.000260,15.558105,621.240234,-3.010635,0.005337,13.631531,-176.369141,-2.623314,0.005256
CC(Cl)C(F)F,C=Cc1c(C)cc(C)cc1C,0.273067,0.000236,16.206635,-135.439453,-2.878098,0.005188,14.728943,-461.734375,-2.509399,0.002812
CC(Cl)C(F)F,C=C(C)C(=O)OC(C)(C)C,0.259526,0.000221,17.754211,-315.173828,-3.112885,0.005203,16.227448,-710.585938,-2.613663,0.002003
CC(Cl)C(F)F,FC1CCCN1,0.258015,0.000220,18.599365,-382.187500,-3.276131,0.005315,17.439392,-771.222656,-2.749680,0.001850
CC(Cl)C(F)F,CCCCCCCC(=O)NC,0.269743,0.000237,17.459778,347.978516,-3.090515,0.004459,15.019104,-465.623047,-2.723869,0.004487
CC(Cl)C(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.275707,0.000235,15.168304,121.921875,-2.760712,0.005319,14.333466,-346.236328,-2.512238,0.003415
CC(Cl)C(F)F,C1=CC2C=CC1C2,0.272402,0.000232,15.875671,-193.835938,-2.846863,0.005270,15.014832,-417.916016,-2.511421,0.002574
CC(Cl)C(F)F,CCC(C)(O)CCC=C(C)C,0.274511,0.000242,16.307404,360.560547,-3.007904,0.005108,14.230316,-327.513672,-2.596199,0.004312
CC(Cl)C(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.256067,0.000213,17.806274,467.943359,-3.053459,0.003903,16.745697,-667.212891,-3.192230,0.005329
CC(Cl)C(F)F,CCC(C)CCF,0.273545,0.000236,16.061798,-187.529297,-2.905426,0.005470,15.231506,-476.070312,-2.535454,0.002557
CC(Cl)C(F)F,C=Cc1cccc(CC)c1,0.273787,0.000239,16.356873,-158.652344,-2.916321,0.005310,14.995483,-484.652344,-2.536186,0.002726
CC(Cl)C(F)F,CC(C)(C(O)(F)F)C(F)(F)F,0.257726,0.000218,17.604370,-275.533203,-3.136322,0.005432,17.009766,-635.482422,-2.695740,0.001857
CC(Cl)C(F)F,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.275980,0.000231,14.892273,13.232422,-2.651276,0.004932,13.808594,-274.050781,-2.443138,0.003363
CC(Cl)C(F)F,CCN(CC)c1ccc(N)cc1,0.263513,0.000228,17.939270,-92.335938,-3.170822,0.005055,16.552734,-746.126953,-2.741661,0.002969
CC(Cl)C(F)F,FC(F)CC(F)(F)F,0.276907,0.000250,16.794281,-224.792969,-3.064873,0.005952,15.443970,-533.888672,-2.508606,0.002061
CC(Cl)C(F)F,N#CCCOCCC#N,0.262152,0.000220,19.012177,-176.667969,-3.227692,0.004796,14.792175,-590.279297,-2.426552,0.002147
CC(Cl)C(F)F,CCC(C)C(C)C(C)C,0.273376,0.000221,14.321716,181.091797,-2.551620,0.004535,12.958160,-68.855469,-2.418129,0.004225
CC(Cl)C(F)F,Cn1c(=O)ccc2ccccc21,0.252163,0.000205,19.197601,-339.091797,-3.253128,0.004706,16.985809,-863.357422,-2.750275,0.002374
CC(Cl)C(F)F,CCOC(=O)c1ccccc1N,0.273304,0.000244,17.329254,22.503906,-3.136040,0.005348,15.481537,-563.960938,-2.650734,0.003253
CC(Cl)C(F)F,ClC1CN2CCC1CC2,0.257205,0.000211,17.183594,-351.210938,-2.972588,0.004839,16.506775,-722.623047,-2.647881,0.001971
CC(Cl)C(F)F,CC=CCCCCCCCC#N,0.264497,0.000232,18.155426,-197.386719,-3.198189,0.005291,16.204529,-734.937500,-2.680191,0.002572
CC(Cl)C(F)F,COCCl,0.267537,0.000236,17.547485,-369.517578,-3.172699,0.005786,16.645813,-617.044922,-2.600418,0.001515
CC(Cl)C(F)F,NCCc1cccnc1,0.262193,0.000220,17.706879,-124.945312,-3.166733,0.005487,16.862518,-773.253906,-2.774368,0.003104
CC(Cl)C(F)F,Cc1cccc(C(=O)O)c1,0.283496,0.000257,15.858551,513.494141,-3.074448,0.005457,13.772766,-192.597656,-2.576653,0.004749
