SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC=CCC(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.251250,0.000214,20.035187,-511.109375,-3.397850,0.004952,16.729584,-801.021484,-2.612808,0.001344
CC=CCC(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.254713,0.000208,19.099213,-26.373047,-3.205986,0.004147,14.086853,-570.042969,-2.380020,0.002605
CC=CCC(C)=O,Cc1cccc(CO)c1,0.246061,0.000196,18.605835,-435.007812,-3.178665,0.004654,15.485382,-705.058594,-2.413544,0.001396
CC=CCC(C)=O,COC(C)CO,0.258070,0.000215,17.548950,-217.142578,-3.161980,0.005445,16.628082,-612.306641,-2.613213,0.002004
CC=CCC(C)=O,Nc1nc(=O)c2ccccc2o1,0.237917,0.000167,20.145203,311.031250,-3.106598,0.002520,10.311371,-356.320312,-1.925385,0.003429
CC=CCC(C)=O,CC(Cl)Br,0.254797,0.000213,17.918182,-668.792969,-3.148666,0.005626,18.120972,-623.017578,-2.785492,0.000690
CC=CCC(C)=O,CCCOC(F)F,0.262947,0.000225,17.371948,-501.044922,-3.072884,0.005449,16.938385,-581.111328,-2.649689,0.001265
CC=CCC(C)=O,COC1CC2CCC1(C)C2(C)C,0.259901,0.000210,16.236664,-207.730469,-2.845177,0.004852,15.056793,-372.259766,-2.540596,0.002639
CC=CCC(C)=O,CCC(=O)C1=NCCC1,0.256788,0.000218,18.151550,-469.605469,-3.154747,0.005151,16.614075,-709.683594,-2.591499,0.001363
CC=CCC(C)=O,NC(CF)(CF)CF,0.249828,0.000202,18.195740,-347.996094,-3.262184,0.005549,16.918365,-618.867188,-2.568970,0.001457
CC=CCC(C)=O,CC(C)CCCC(C)CC=O,0.263290,0.000223,17.009369,-240.710938,-3.005882,0.005183,15.697083,-564.361328,-2.593765,0.002363
CC=CCC(C)=O,Cc1coc(C)n1,0.254759,0.000214,18.297974,-453.146484,-3.262253,0.005625,17.227234,-683.513672,-2.639999,0.001231
CC=CCC(C)=O,NC(=S)NC(N)=S,0.199291,0.000078,20.908783,-745.730469,-3.269760,0.003455,15.485504,-1056.621094,-2.348129,0.002048
CC=CCC(C)=O,FC(F)C(Cl)C(F)F,0.232915,0.000162,20.121216,-971.753906,-3.447845,0.004968,19.303619,-849.279297,-2.814377,0.000624
CC=CCC(C)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238560,0.000166,16.284088,-165.673828,-2.621033,0.003563,15.274750,-481.339844,-2.561737,0.002085
CC=CCC(C)=O,NNC(=O)c1ccccc1,0.258357,0.000212,18.555328,149.074219,-3.210861,0.004529,14.171417,-402.576172,-2.394173,0.002846
CC=CCC(C)=O,ClC=CBr,0.252831,0.000202,17.661194,-765.955078,-3.082619,0.005502,18.553375,-551.742188,-2.891014,0.000844
CC=CCC(C)=O,CN(C)N=O,0.258707,0.000214,18.002411,-240.781250,-3.259239,0.005491,16.049377,-504.806641,-2.467522,0.001729
CC=CCC(C)=O,c1ccc(C2CCCCC2)cc1,0.268214,0.000227,16.546417,-286.966797,-2.888474,0.004966,15.481934,-441.203125,-2.600876,0.002532
CC=CCC(C)=O,N#Cc1ccncc1,0.246237,0.000204,19.506866,-635.507812,-3.287758,0.004805,17.733856,-831.373047,-2.706474,0.000929
CC=CCC(C)=O,CN(C)C(=S)Nc1ccccc1,0.227083,0.000157,20.093018,-699.886719,-3.213860,0.003742,15.957031,-906.669922,-2.420692,0.001040
CC=CCC(C)=O,CCC(N)CC,0.250971,0.000197,16.256744,-128.224609,-3.109222,0.006583,16.768250,-403.539062,-2.673096,0.002186
CC=CCC(C)=O,COC(=O)CO,0.251530,0.000204,17.995270,-403.076172,-3.206375,0.005091,16.173950,-617.185547,-2.438469,0.001346
CC=CCC(C)=O,Cc1c(N)cccc1Cl,0.226227,0.000156,20.426392,-861.636719,-3.371117,0.004160,18.289093,-967.935547,-2.715988,0.000828
CC=CCC(C)=O,CC1CCC(C(C)(C)OO)CC1,0.230873,0.000165,18.603546,-622.074219,-3.024544,0.003867,15.252869,-807.414062,-2.343491,0.001019
