SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)(F)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.255412,0.000213,19.758911,-305.949219,-3.333817,0.004704,15.265991,-633.320312,-2.439873,0.001599
CCC(C)(F)OC,CC(=O)Nc1ccc(C=O)cc1,0.273167,0.000228,17.313538,791.736328,-3.078011,0.003854,11.532227,16.939453,-2.286186,0.004760
CCC(C)(F)OC,Cc1cccc(CO)c1,0.265417,0.000229,17.979950,51.281250,-3.222069,0.004787,14.662476,-438.525391,-2.474342,0.002830
CCC(C)(F)OC,COC(C)CO,0.268702,0.000229,16.959778,98.607422,-3.173218,0.005272,15.554169,-475.708984,-2.566330,0.003204
CCC(C)(F)OC,Nc1nc(=O)c2ccccc2o1,0.257280,0.000193,17.205597,1505.275391,-2.888046,0.001671,8.671448,513.310547,-2.046188,0.006392
CCC(C)(F)OC,CC(Cl)Br,0.252554,0.000211,18.281219,-635.152344,-3.192230,0.005324,17.501526,-675.863281,-2.602318,0.000448
CCC(C)(F)OC,CCCOC(F)F,0.261829,0.000228,17.999847,-540.337891,-3.190445,0.005601,17.361176,-674.632812,-2.651230,0.000959
CCC(C)(F)OC,COC1CC2CCC1(C)C2(C)C,0.265180,0.000227,17.021301,-301.125000,-3.013786,0.005235,16.003571,-584.181641,-2.591881,0.002024
CCC(C)(F)OC,CCC(=O)C1=NCCC1,0.262562,0.000225,17.876495,-328.031250,-3.167000,0.005316,16.452606,-701.341797,-2.605850,0.001968
CCC(C)(F)OC,NC(CF)(CF)CF,0.260263,0.000218,17.747864,-195.917969,-3.235771,0.005514,16.322052,-568.843750,-2.547142,0.001975
CCC(C)(F)OC,CC(C)CCCC(C)CC=O,0.266541,0.000233,17.646851,-272.646484,-3.153137,0.005496,16.117798,-666.853516,-2.602196,0.002118
CCC(C)(F)OC,Cc1coc(C)n1,0.258108,0.000220,18.409302,-381.144531,-3.287666,0.005551,17.293701,-721.089844,-2.670563,0.001650
CCC(C)(F)OC,NC(=S)NC(N)=S,0.233442,0.000149,18.592255,175.675781,-3.153183,0.003992,14.911530,-410.404297,-2.298889,0.002814
CCC(C)(F)OC,FC(F)C(Cl)C(F)F,0.238956,0.000182,19.848938,-845.810547,-3.391151,0.004959,18.552948,-841.978516,-2.694817,0.000434
