SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(C)(C)N,O=P(Cl)(c1ccccc1)c1ccccc1,0.249540,0.000200,19.421814,-139.744141,-3.263412,0.004369,15.524445,-589.714844,-2.514038,0.001909
CCCC(C)(C)N,CC(=O)Nc1ccc(C=O)cc1,0.214924,0.000118,18.419922,-436.986328,-3.036179,0.003798,11.470520,-788.347656,-1.775375,0.001463
CCCC(C)(C)N,Cc1cccc(CO)c1,0.203678,0.000105,19.035828,-970.490234,-3.125267,0.004019,13.401917,-964.578125,-1.906761,0.000084
CCCC(C)(C)N,COC(C)CO,0.228600,0.000156,18.382263,-648.013672,-3.132477,0.004399,15.212433,-807.312500,-2.230545,0.000747
CCCC(C)(C)N,Nc1nc(=O)c2ccccc2o1,0.196999,0.000068,19.067871,-23.220703,-2.889160,0.002815,5.642944,-730.796875,-1.032295,0.002764
CCCC(C)(C)N,CC(Cl)Br,0.254104,0.000205,17.244843,-527.400391,-3.041779,0.005325,17.903168,-542.828125,-2.775383,0.001108
CCCC(C)(C)N,CCCOC(F)F,0.265795,0.000225,16.483368,-328.042969,-2.964371,0.005422,16.793365,-494.476562,-2.674088,0.001717
CCCC(C)(C)N,COC1CC2CCC1(C)C2(C)C,0.265576,0.000225,16.512726,-260.263672,-2.914413,0.005026,16.216431,-502.115234,-2.653381,0.002101
CCCC(C)(C)N,CCC(=O)C1=NCCC1,0.257531,0.000212,17.336823,-307.337891,-3.009605,0.004772,16.188721,-651.685547,-2.563232,0.001876
CCCC(C)(C)N,NC(CF)(CF)CF,0.245687,0.000190,18.111359,-311.623047,-3.081703,0.004224,16.343658,-685.601562,-2.510986,0.001722
CCCC(C)(C)N,CC(C)CCCC(C)CC=O,0.262487,0.000221,17.076416,-228.521484,-3.011246,0.005045,16.179047,-610.171875,-2.627563,0.002081
CCCC(C)(C)N,Cc1coc(C)n1,0.255540,0.000211,17.838837,-372.841797,-3.127655,0.004982,16.987274,-691.501953,-2.631157,0.001603
CCCC(C)(C)N,NC(=S)NC(N)=S,0.195669,0.000048,18.419128,-317.093750,-2.670197,0.002626,5.525055,-854.601562,-0.971916,0.003070
CCCC(C)(C)N,FC(F)C(Cl)C(F)F,0.233072,0.000153,18.540985,-758.335938,-3.140152,0.004588,17.126617,-743.451172,-2.550171,0.001106
CCCC(C)(C)N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.231149,0.000146,16.930511,-350.462891,-2.749786,0.003820,14.747711,-592.558594,-2.402382,0.001775
CCCC(C)(C)N,NNC(=O)c1ccccc1,0.234577,0.000160,19.584473,91.957031,-3.065010,0.002794,12.913177,-611.166016,-2.154770,0.002819
CCCC(C)(C)N,ClC=CBr,0.248596,0.000189,17.364655,-678.316406,-3.046860,0.005328,18.536560,-584.810547,-2.856438,0.001018
CCCC(C)(C)N,CN(C)N=O,0.257709,0.000201,16.859558,7.544922,-3.102150,0.005211,15.326294,-320.125000,-2.331985,0.002131
CCCC(C)(C)N,c1ccc(C2CCCCC2)cc1,0.266623,0.000224,16.263916,-174.361328,-2.921143,0.005266,15.889404,-473.056641,-2.621689,0.002273
CCCC(C)(C)N,N#Cc1ccncc1,0.241263,0.000184,18.601990,-468.160156,-3.089233,0.004131,16.767639,-754.849609,-2.566177,0.001332
CCCC(C)(C)N,CN(C)C(=S)Nc1ccccc1,0.203522,0.000097,18.761719,-497.775391,-2.920525,0.002924,12.239288,-752.894531,-1.830826,0.001018
CCCC(C)(C)N,CCC(N)CC,0.249604,0.000206,18.570831,-469.361328,-3.223549,0.005017,18.174866,-797.603516,-2.798050,0.001439
CCCC(C)(C)N,COC(=O)CO,0.213355,0.000114,17.263214,-671.212891,-2.997063,0.004467,12.173950,-803.025391,-1.706619,0.000641
CCCC(C)(C)N,Cc1c(N)cccc1Cl,0.198213,0.000094,20.926971,-1080.029297,-3.267632,0.003039,16.662415,-1112.111328,-2.347816,0.000551
CCCC(C)(C)N,CC1CCC(C(C)(C)OO)CC1,0.176456,0.000049,19.525269,-1383.603516,-3.131844,0.003719,13.113312,-1085.767578,-1.827324,-0.000795
CCCC(C)(C)N,CC(F)(Cl)CF,0.257569,0.000214,17.553619,-357.037109,-3.099129,0.005179,16.820312,-589.804688,-2.611015,0.001495
CCCC(C)(C)N,CCCCC1OC(C)CC(C)(C)O1,0.266498,0.000230,16.843658,-227.460938,-2.980354,0.005127,16.226257,-614.841797,-2.645287,0.002151
CCCC(C)(C)N,CC(C)(C)OCC1CO1,0.263140,0.000227,17.580170,-327.779297,-3.109329,0.005237,16.638702,-634.119141,-2.630463,0.001713
CCCC(C)(C)N,O=P(O)(O)OP(=O)(O)O,0.114044,-0.000132,21.721924,-1566.515625,-3.661430,0.009200,-7.311310,-1715.041016,0.087479,0.004888
CCCC(C)(C)N,CC(=O)Nc1ccc(C)cc1,0.223486,0.000142,18.223145,-603.101562,-3.008598,0.003930,13.811432,-844.095703,-2.094269,0.001184
CCCC(C)(C)N,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.245556,0.000170,18.623322,644.095703,-3.029900,0.003286,11.445892,109.279297,-1.991722,0.002870
CCCC(C)(C)N,CC(C)(O)CCC1CCCCC1,0.226522,0.000155,18.847321,-768.281250,-3.113091,0.004247,14.897247,-864.980469,-2.235886,0.000584
CCCC(C)(C)N,COCC(F)(F)F,0.262537,0.000223,17.023041,-287.855469,-3.050400,0.005332,16.371063,-513.052734,-2.548805,0.001493
CCCC(C)(C)N,COCC(O)COC,0.237471,0.000176,18.525085,-566.121094,-3.160339,0.004503,16.130371,-767.318359,-2.390305,0.000982
CCCC(C)(C)N,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.207726,0.000106,20.657593,-82.021484,-3.030663,0.002307,9.773407,-797.445312,-1.730606,0.002732
CCCC(C)(C)N,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.149282,-0.000030,20.381927,-1290.134766,-3.368469,0.004207,6.175720,-1384.548828,-0.904938,0.000660
CCCC(C)(C)N,CC(C)C(F)F,0.270229,0.000232,16.180817,-266.234375,-2.961449,0.005683,16.387848,-474.277344,-2.643227,0.001927
CCCC(C)(C)N,CCCCC1C=C(C)CC(C)O1,0.263856,0.000224,16.763611,-231.837891,-2.952179,0.005000,16.044373,-571.728516,-2.614365,0.002014
CCCC(C)(C)N,COc1ccc(C(C)=O)cc1,0.258432,0.000212,18.296509,-120.226562,-3.157249,0.004714,15.232513,-534.789062,-2.464142,0.002042
CCCC(C)(C)N,Oc1cc(O)ncn1,0.156098,-0.000019,18.979492,-1161.533203,-3.277031,0.004437,5.681091,-1229.589844,-0.847229,0.000398
CCCC(C)(C)N,COCCCCl,0.264149,0.000222,16.567902,-266.626953,-2.975662,0.005256,16.021210,-560.236328,-2.533897,0.001801
CCCC(C)(C)N,CCCOC,0.262043,0.000220,16.580597,-357.082031,-2.949181,0.005184,16.666290,-575.599609,-2.620453,0.001523
CCCC(C)(C)N,Fc1c(F)c(F)c(F)c(F)c1F,0.261566,0.000212,15.861908,-137.361328,-2.876541,0.005369,15.888672,-391.033203,-2.583801,0.001919
CCCC(C)(C)N,CCP(CC)CC,0.267842,0.000228,16.350098,-262.927734,-2.910316,0.005210,16.459076,-471.232422,-2.702156,0.002141
CCCC(C)(C)N,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.264028,0.000226,17.223175,-137.998047,-3.019325,0.004935,16.435455,-652.046875,-2.731316,0.002569
CCCC(C)(C)N,Fc1cc(F)c(F)cc1F,0.255771,0.000207,17.232666,-465.328125,-3.042923,0.005290,17.314209,-600.558594,-2.724716,0.001453
CCCC(C)(C)N,CCCCc1ccc(C(=O)O)cc1,0.160898,0.000007,19.869324,-1535.423828,-3.305626,0.004266,11.402679,-1166.685547,-1.573547,-0.000905
CCCC(C)(C)N,C=Cc1c(C)cc(C)cc1C,0.266271,0.000226,16.491180,-162.476562,-2.977905,0.005387,16.104187,-520.728516,-2.628403,0.002199
CCCC(C)(C)N,C=C(C)C(=O)OC(C)(C)C,0.263009,0.000225,17.286987,-296.855469,-3.058853,0.005174,16.235382,-610.083984,-2.596313,0.001795
CCCC(C)(C)N,FC1CCCN1,0.237068,0.000177,19.047974,-589.066406,-3.237434,0.004590,16.644714,-827.455078,-2.461075,0.001045
CCCC(C)(C)N,CCCCCCCC(=O)NC,0.237357,0.000176,19.188080,-491.259766,-3.172340,0.004070,15.602997,-885.363281,-2.419853,0.001768
CCCC(C)(C)N,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.259502,0.000208,16.073975,74.197266,-2.864281,0.004908,15.228088,-439.031250,-2.546387,0.002585
CCCC(C)(C)N,C1=CC2C=CC1C2,0.269078,0.000228,15.980621,-280.162109,-2.915497,0.005600,16.728821,-421.970703,-2.721397,0.002038
CCCC(C)(C)N,CCC(C)(O)CCC=C(C)C,0.221241,0.000145,19.041138,-842.056641,-3.139290,0.004207,14.626617,-896.386719,-2.169197,0.000371
CCCC(C)(C)N,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.247994,0.000201,18.338409,173.806641,-3.040710,0.003824,18.499695,-683.000000,-3.243889,0.003416
CCCC(C)(C)N,CCC(C)CCF,0.273254,0.000236,15.841888,-184.671875,-2.897400,0.005570,16.029480,-465.009766,-2.639519,0.002338
CCCC(C)(C)N,C=Cc1cccc(CC)c1,0.264228,0.000223,16.679932,-197.123047,-2.994759,0.005292,16.114075,-551.398438,-2.603630,0.002094
CCCC(C)(C)N,CC(C)(C(O)(F)F)C(F)(F)F,0.111559,-0.000113,22.132599,-2118.746094,-3.810562,0.005703,5.448578,-1739.095703,-0.900078,0.000365
CCCC(C)(C)N,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.267665,0.000225,15.738953,-325.720703,-2.869896,0.005563,16.849945,-428.990234,-2.736252,0.001876
CCCC(C)(C)N,CCN(CC)c1ccc(N)cc1,0.237994,0.000182,20.234711,-325.599609,-3.293724,0.003787,16.297272,-822.271484,-2.569893,0.001898
CCCC(C)(C)N,FC(F)CC(F)(F)F,0.257015,0.000207,16.993164,-333.859375,-3.003754,0.005181,16.282501,-533.591797,-2.544563,0.001615
CCCC(C)(C)N,N#CCCOCCC#N,0.242074,0.000174,19.182098,226.410156,-3.135201,0.003632,12.538452,-122.617188,-2.055000,0.001877
CCCC(C)(C)N,CCC(C)C(C)C(C)C,0.271038,0.000225,15.245758,-127.691406,-2.749161,0.005216,15.825378,-270.755859,-2.713310,0.002875
CCCC(C)(C)N,Cn1c(=O)ccc2ccccc21,0.250034,0.000194,18.542786,-20.832031,-3.156845,0.004288,15.312775,-475.121094,-2.463600,0.002122
CCCC(C)(C)N,CCOC(=O)c1ccccc1N,0.201422,0.000099,19.468964,-919.636719,-3.059822,0.003285,14.197449,-1075.568359,-2.066940,0.000771
CCCC(C)(C)N,ClC1CN2CCC1CC2,0.256772,0.000212,17.331116,-381.119141,-3.021378,0.004857,16.852448,-653.369141,-2.625145,0.001529
CCCC(C)(C)N,CC=CCCCCCCCC#N,0.258149,0.000215,17.972015,-181.347656,-3.116783,0.004782,16.178772,-645.009766,-2.637169,0.002258
CCCC(C)(C)N,COCCl,0.259395,0.000215,17.286743,-286.667969,-3.081726,0.005212,16.400879,-489.662109,-2.547836,0.001508
CCCC(C)(C)N,NCCc1cccnc1,0.253343,0.000206,18.602844,-175.480469,-3.267899,0.004735,16.697845,-687.005859,-2.628914,0.002411
CCCC(C)(C)N,Cc1cccc(C(=O)O)c1,0.158840,0.000001,20.049011,-1530.769531,-3.372414,0.004329,11.127197,-1194.962891,-1.502739,-0.000897
CCCC(C)(C)N,C=CCNC,0.252933,0.000210,18.162872,-455.269531,-3.157776,0.004921,17.606750,-754.804688,-2.722481,0.001414
CCCC(C)(C)N,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.245716,0.000170,13.897034,413.351562,-2.486458,0.004329,14.485260,135.312500,-2.632378,0.003355
CCCC(C)(C)N,CC(CO)C(F)(F)F,0.203727,0.000103,18.902191,-993.949219,-3.129875,0.004234,13.505951,-965.785156,-1.939148,0.000019
CCCC(C)(C)N,CC(C)C(=O)C(F)(F)F,0.262383,0.000217,16.385834,-191.527344,-2.912727,0.005065,15.901855,-496.380859,-2.571289,0.001915
CCCC(C)(C)N,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.243830,0.000168,15.088776,154.785156,-2.550301,0.003930,15.364349,-193.998047,-2.643547,0.002771
CCCC(C)(C)N,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.257669,0.000215,17.777283,-121.023438,-3.069099,0.004650,16.855194,-669.494141,-2.807823,0.002549
CCCC(C)(C)N,C=CCN(C)CC=C,0.264708,0.000221,16.252716,-289.007812,-2.862946,0.004945,16.242188,-545.837891,-2.614563,0.001940
CCCC(C)(C)N,COCC(F)C(F)(F)F,0.262266,0.000219,16.613739,-272.042969,-2.964607,0.005168,16.110321,-522.830078,-2.512955,0.001567
CCCC(C)(C)N,CNC(C)(C)C,0.248999,0.000202,17.972382,-504.029297,-3.081970,0.004692,17.545471,-739.888672,-2.695694,0.001147
CCCC(C)(C)N,C1COCCOCCOCCO1,0.252988,0.000196,16.875061,-119.591797,-2.988144,0.004575,15.701080,-559.570312,-2.469933,0.002164
CCCC(C)(C)N,O=NF,0.242417,0.000182,17.226440,-56.287109,-3.156975,0.005166,15.857208,-116.533203,-2.284340,0.000839
CCCC(C)(C)N,CCN(CC)CCN,0.248319,0.000205,19.049072,-431.226562,-3.273567,0.004821,18.340637,-844.144531,-2.840218,0.001698
CCCC(C)(C)N,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.268234,0.000222,15.564117,1.478516,-2.807152,0.005162,15.887451,-348.369141,-2.715530,0.002822
