SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(O)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.187726,0.000074,20.838348,-1172.986328,-3.336357,0.003896,13.322632,-1242.025391,-1.971893,0.000324
CCCC(O)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.187565,0.000061,19.746307,-917.203125,-3.245895,0.003963,11.375580,-1254.904297,-1.764336,0.001441
CCCC(O)(F)F,Cc1cccc(CO)c1,0.204739,0.000100,18.846069,-856.294922,-3.138130,0.004152,12.827850,-1073.115234,-1.925743,0.001085
CCCC(O)(F)F,COC(C)CO,0.167207,0.000017,22.237335,-1336.294922,-3.420792,0.003930,12.577972,-1616.410156,-2.114380,0.001829
CCCC(O)(F)F,Nc1nc(=O)c2ccccc2o1,0.191647,0.000071,19.436981,-688.306641,-3.166618,0.003768,9.965179,-1116.417969,-1.536591,0.001631
CCCC(O)(F)F,CC(Cl)Br,0.268660,0.000228,15.654327,-283.349609,-2.899017,0.006029,16.287354,-192.634766,-2.639679,0.001439
CCCC(O)(F)F,CCCOC(F)F,0.254910,0.000206,17.091858,-586.757812,-2.957703,0.005200,17.518616,-512.628906,-2.769196,0.001137
CCCC(O)(F)F,COC1CC2CCC1(C)C2(C)C,0.185607,0.000057,18.204071,-1186.839844,-2.802811,0.003217,13.202942,-1095.414062,-1.951431,0.000382
CCCC(O)(F)F,CCC(=O)C1=NCCC1,0.162441,0.000011,21.288361,-1541.167969,-3.150681,0.003550,12.025238,-1513.476562,-1.991409,0.000555
CCCC(O)(F)F,NC(CF)(CF)CF,0.165116,0.000014,20.094116,-1387.119141,-3.281929,0.004134,10.725586,-1397.183594,-1.595634,0.000063
CCCC(O)(F)F,CC(C)CCCC(C)CC=O,0.186749,0.000063,19.709106,-1249.109375,-3.076530,0.003450,13.943848,-1225.230469,-2.036705,0.000434
CCCC(O)(F)F,Cc1coc(C)n1,0.150666,-0.000016,22.304626,-1619.636719,-3.508347,0.003959,11.629822,-1579.789062,-1.797745,0.000387
CCCC(O)(F)F,NC(=S)NC(N)=S,0.257186,0.000192,16.271393,565.791016,-3.002609,0.005227,14.641876,-76.414062,-2.335190,0.003438
CCCC(O)(F)F,FC(F)C(Cl)C(F)F,0.266391,0.000229,16.624573,-366.335938,-3.022232,0.005816,16.961487,-405.050781,-2.678627,0.001365
CCCC(O)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265886,0.000214,14.482208,69.652344,-2.545593,0.004523,14.612579,-103.128906,-2.556488,0.002962
CCCC(O)(F)F,NNC(=O)c1ccccc1,0.179234,0.000047,20.677826,-1078.720703,-3.353333,0.003928,12.032990,-1393.906250,-1.866623,0.001331
CCCC(O)(F)F,ClC=CBr,0.271762,0.000230,14.693420,-204.894531,-2.797554,0.006394,15.728943,30.251953,-2.601768,0.001448
CCCC(O)(F)F,CN(C)N=O,0.168797,0.000020,21.617188,-1331.501953,-3.461609,0.004114,13.234344,-1474.484375,-1.974426,0.001071
CCCC(O)(F)F,c1ccc(C2CCCCC2)cc1,0.266966,0.000223,15.558685,-149.953125,-2.763367,0.005002,15.949097,-262.509766,-2.722374,0.002582
CCCC(O)(F)F,N#Cc1ccncc1,0.172379,0.000031,20.788910,-1382.500000,-3.191048,0.003769,12.807251,-1445.304688,-2.020370,0.000695
CCCC(O)(F)F,CN(C)C(=S)Nc1ccccc1,0.230260,0.000161,19.220886,-594.312500,-3.105148,0.003689,16.139252,-821.207031,-2.465736,0.001255
CCCC(O)(F)F,CCC(N)CC,0.130638,-0.000065,22.128784,-1758.947266,-3.646912,0.004685,7.641602,-1657.546875,-1.266518,0.000268
CCCC(O)(F)F,COC(=O)CO,0.191293,0.000078,20.695648,-1008.898438,-3.302841,0.003661,13.906616,-1300.525391,-2.089035,0.001341
