SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.232055,0.000150,19.645782,397.451172,-3.365112,0.004156,11.992462,214.101562,-2.013138,0.001102
CCCCCCCCCCC,CC(=O)Nc1ccc(C=O)cc1,0.228295,0.000131,15.941345,2257.162109,-2.882362,0.001315,8.552032,1555.699219,-2.093719,0.005652
CCCCCCCCCCC,Cc1cccc(CO)c1,0.274152,0.000225,15.771942,838.142578,-3.082489,0.004211,10.966919,312.160156,-2.065285,0.004502
CCCCCCCCCCC,COC(C)CO,0.268859,0.000216,15.686157,437.189453,-3.097687,0.004857,13.783966,12.906250,-2.212540,0.003436
CCCCCCCCCCC,Nc1nc(=O)c2ccccc2o1,0.184320,0.000060,15.544617,3592.509766,-2.480659,-0.002166,6.079102,2656.689453,-2.063904,0.007201
CCCCCCCCCCC,CC(Cl)Br,0.266271,0.000226,17.187225,-260.646484,-3.190948,0.005752,15.029053,-262.855469,-2.257225,0.000959
CCCCCCCCCCC,CCCOC(F)F,0.269243,0.000231,16.914520,-210.982422,-3.152428,0.005747,15.174744,-295.080078,-2.319809,0.001231
CCCCCCCCCCC,COC1CC2CCC1(C)C2(C)C,0.260302,0.000224,18.271667,-386.072266,-3.264519,0.005399,16.896118,-679.994141,-2.606064,0.001519
CCCCCCCCCCC,CCC(=O)C1=NCCC1,0.260830,0.000208,17.241669,-24.984375,-3.175697,0.004972,14.717773,-275.035156,-2.247467,0.001948
CCCCCCCCCCC,NC(CF)(CF)CF,0.252622,0.000180,15.145691,651.886719,-3.201614,0.005858,13.494110,475.453125,-2.102356,0.002593
CCCCCCCCCCC,CC(C)CCCC(C)CC=O,0.263930,0.000222,18.135864,-235.222656,-3.233757,0.005247,15.241547,-496.376953,-2.394943,0.001661
CCCCCCCCCCC,Cc1coc(C)n1,0.258294,0.000206,17.308563,-123.609375,-3.202370,0.005156,15.492615,-316.134766,-2.302902,0.001595
CCCCCCCCCCC,NC(=S)NC(N)=S,0.159298,0.000009,13.516815,3066.914062,-2.763123,0.002318,11.431519,2804.054688,-2.166138,0.004119
CCCCCCCCCCC,FC(F)C(Cl)C(F)F,0.255621,0.000198,16.679535,5.669922,-3.279549,0.006190,14.490753,171.423828,-2.045029,0.000566
CCCCCCCCCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266751,0.000218,15.420624,392.435547,-2.984482,0.005197,12.341766,234.244141,-2.051125,0.002617
CCCCCCCCCCC,NNC(=O)c1ccccc1,0.232660,0.000137,14.762238,2039.488281,-3.045906,0.002871,9.805237,1471.464844,-2.113373,0.005316
CCCCCCCCCCC,ClC=CBr,0.267335,0.000230,16.773163,-317.750000,-3.154251,0.005903,16.011230,-345.373047,-2.401772,0.001026
CCCCCCCCCCC,CN(C)N=O,0.229714,0.000137,16.989105,787.753906,-3.218903,0.004391,12.301514,687.326172,-1.949516,0.001765
CCCCCCCCCCC,c1ccc(C2CCCCC2)cc1,0.275924,0.000247,17.082031,-226.814453,-3.174438,0.005974,14.961884,-423.037109,-2.392426,0.001777
CCCCCCCCCCC,N#Cc1ccncc1,0.251018,0.000185,17.783539,150.138672,-3.190704,0.004416,13.631195,-140.302734,-2.101845,0.001930
CCCCCCCCCCC,CN(C)C(=S)Nc1ccccc1,0.223165,0.000126,18.184113,1325.886719,-3.197655,0.002772,9.651611,988.767578,-1.932129,0.003032
CCCCCCCCCCC,CCC(N)CC,0.261716,0.000214,16.920685,-73.683594,-3.206215,0.005630,16.115936,-447.367188,-2.499023,0.002209
CCCCCCCCCCC,COC(=O)CO,0.238040,0.000156,15.957489,846.705078,-3.214104,0.004295,12.454620,730.654297,-1.972862,0.002394
CCCCCCCCCCC,Cc1c(N)cccc1Cl,0.260880,0.000201,16.562866,504.566406,-3.130455,0.004420,12.640015,57.173828,-2.122658,0.003326
CCCCCCCCCCC,CC1CCC(C(C)(C)OO)CC1,0.272914,0.000232,16.791809,459.750000,-3.137901,0.004417,13.128418,-160.623047,-2.349976,0.003944
CCCCCCCCCCC,CC(F)(Cl)CF,0.263962,0.000216,16.849457,-115.263672,-3.191978,0.005786,14.301056,-78.466797,-2.102592,0.000946
CCCCCCCCCCC,CCCCC1OC(C)CC(C)(C)O1,0.260679,0.000220,18.231537,-283.513672,-3.246948,0.005145,16.276794,-646.191406,-2.550491,0.001904
CCCCCCCCCCC,CC(C)(C)OCC1CO1,0.264093,0.000219,17.383575,-170.080078,-3.204384,0.005310,15.452332,-399.951172,-2.375862,0.001750
CCCCCCCCCCC,O=P(O)(O)OP(=O)(O)O,0.135574,-0.000017,13.032562,5070.964844,-1.747475,-0.003332,5.609070,4048.193359,-1.957855,0.007882
CCCCCCCCCCC,CC(=O)Nc1ccc(C)cc1,0.266473,0.000204,15.931427,1349.898438,-2.981987,0.003224,9.964233,685.990234,-2.078835,0.005192
CCCCCCCCCCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.180007,0.000048,17.272095,2180.994141,-3.206924,0.002094,9.251923,2014.029297,-1.908150,0.002945
CCCCCCCCCCC,CC(C)(O)CCC1CCCCC1,0.281771,0.000246,16.581665,616.638672,-3.093643,0.004479,11.720245,0.208984,-2.247444,0.004320
CCCCCCCCCCC,COCC(F)(F)F,0.267099,0.000220,16.142578,16.093750,-3.098183,0.005539,14.645477,-84.017578,-2.193413,0.001751
CCCCCCCCCCC,COCC(O)COC,0.259291,0.000200,16.371948,176.724609,-3.213478,0.005255,14.491821,-80.109375,-2.179710,0.002156
CCCCCCCCCCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.217712,0.000114,15.317474,2721.648438,-2.827225,0.000149,8.321350,1740.601562,-2.259163,0.007084
CCCCCCCCCCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.197671,0.000078,15.115662,2754.855469,-2.859306,0.000192,8.546234,1984.302734,-2.109169,0.006221
CCCCCCCCCCC,CC(C)C(F)F,0.273595,0.000240,16.589081,-250.263672,-3.153160,0.006086,15.383179,-299.037109,-2.350494,0.001265
CCCCCCCCCCC,CCCCC1C=C(C)CC(C)O1,0.259326,0.000221,18.512146,-343.251953,-3.263321,0.005181,16.406311,-655.226562,-2.561531,0.001591
CCCCCCCCCCC,COc1ccc(C(C)=O)cc1,0.254636,0.000190,17.593872,253.369141,-3.220490,0.004896,12.888367,73.566406,-2.046547,0.001624
CCCCCCCCCCC,Oc1cc(O)ncn1,0.220398,0.000115,12.553467,2821.324219,-2.798141,0.001603,9.804474,1981.015625,-2.301201,0.007418
CCCCCCCCCCC,COCCCCl,0.266036,0.000221,16.838562,-142.966797,-3.150742,0.005481,15.364655,-337.007812,-2.350822,0.001653
CCCCCCCCCCC,CCCOC,0.259770,0.000219,17.591766,-356.728516,-3.244606,0.005510,17.382111,-612.380859,-2.616730,0.001458
CCCCCCCCCCC,Fc1c(F)c(F)c(F)c(F)c1F,0.272577,0.000238,16.236481,-166.742188,-3.068489,0.005942,14.364105,-264.394531,-2.257286,0.001537
CCCCCCCCCCC,CCP(CC)CC,0.259297,0.000222,18.368988,-383.337891,-3.282997,0.005369,16.622162,-638.777344,-2.555176,0.001401
CCCCCCCCCCC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261621,0.000219,18.606842,-215.130859,-3.237305,0.004885,15.343231,-603.324219,-2.462448,0.002029
CCCCCCCCCCC,Fc1cc(F)c(F)cc1F,0.269003,0.000231,16.905640,-212.544922,-3.173370,0.005846,14.900085,-286.972656,-2.286674,0.001327
CCCCCCCCCCC,CCCCc1ccc(C(=O)O)cc1,0.273058,0.000225,16.570251,814.550781,-3.103104,0.003973,11.149384,143.080078,-2.166092,0.004633
CCCCCCCCCCC,C=Cc1c(C)cc(C)cc1C,0.274525,0.000245,17.183960,-248.271484,-3.192146,0.005950,15.120361,-412.666016,-2.394150,0.001626
