SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCN,O=P(Cl)(c1ccccc1)c1ccccc1,0.251000,0.000199,19.179596,-134.302734,-3.246986,0.004432,14.706146,-460.488281,-2.333534,0.001557
CCCCCCCCCCN,CC(=O)Nc1ccc(C=O)cc1,0.201253,0.000088,18.269318,-594.650391,-3.129608,0.004277,9.771606,-816.708984,-1.395180,0.000673
CCCCCCCCCCN,Cc1cccc(CO)c1,0.201799,0.000101,19.083649,-953.255859,-3.185478,0.004152,13.666779,-942.833984,-1.896233,-0.000025
CCCCCCCCCCN,COC(C)CO,0.225414,0.000150,18.401489,-624.582031,-3.198265,0.004603,15.480988,-791.263672,-2.217575,0.000652
CCCCCCCCCCN,Nc1nc(=O)c2ccccc2o1,0.202407,0.000079,18.910858,-33.816406,-2.922958,0.003036,5.438263,-554.015625,-0.891159,0.002115
CCCCCCCCCCN,CC(Cl)Br,0.252942,0.000203,17.265656,-549.201172,-3.072289,0.005478,18.314575,-501.960938,-2.791473,0.000929
CCCCCCCCCCN,CCCOC(F)F,0.264357,0.000223,16.527313,-355.638672,-3.003143,0.005609,17.360138,-454.964844,-2.710205,0.001474
CCCCCCCCCCN,COC1CC2CCC1(C)C2(C)C,0.261311,0.000218,16.825256,-346.064453,-2.979454,0.005109,16.966278,-500.244141,-2.704720,0.001738
CCCCCCCCCCN,CCC(=O)C1=NCCC1,0.253739,0.000204,17.260925,-332.572266,-3.051125,0.004873,16.641083,-596.718750,-2.544365,0.001581
CCCCCCCCCCN,NC(CF)(CF)CF,0.240529,0.000179,17.856354,-295.109375,-3.170288,0.004568,16.661774,-471.943359,-2.391144,0.001133
CCCCCCCCCCN,CC(C)CCCC(C)CC=O,0.259480,0.000217,17.322357,-305.140625,-3.066475,0.005083,16.569214,-628.478516,-2.606117,0.001726
CCCCCCCCCCN,Cc1coc(C)n1,0.251967,0.000204,17.971069,-383.683594,-3.187393,0.005017,17.137329,-597.070312,-2.581451,0.001212
CCCCCCCCCCN,NC(=S)NC(N)=S,0.197247,0.000047,17.588745,-302.494141,-2.806328,0.003957,6.567383,-681.242188,-0.989258,0.002422
CCCCCCCCCCN,FC(F)C(Cl)C(F)F,0.230228,0.000147,18.547241,-710.845703,-3.181480,0.004678,16.984985,-611.917969,-2.468452,0.000835
