SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CN(C)C=CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,0.248420,0.000199,18.020569,-292.148438,-3.080437,0.004577,16.030884,-630.414062,-2.589890,0.001952
CN(C)C=CC#N,CC(=O)Nc1ccc(C=O)cc1,0.246422,0.000189,17.634125,-190.074219,-3.068642,0.004723,14.402618,-634.451172,-2.341675,0.002291
CN(C)C=CC#N,Cc1cccc(CO)c1,0.235264,0.000166,16.786255,-330.296875,-2.981583,0.005100,15.016022,-498.451172,-2.359406,0.001544
CN(C)C=CC#N,COC(C)CO,0.240526,0.000175,16.116394,-192.050781,-2.964195,0.005557,15.895386,-427.914062,-2.527374,0.001958
CN(C)C=CC#N,Nc1nc(=O)c2ccccc2o1,0.239545,0.000174,18.869873,176.656250,-3.142914,0.003483,12.660797,-508.070312,-2.224586,0.003521
CN(C)C=CC#N,CC(Cl)Br,0.243290,0.000172,16.582214,-610.937500,-2.854515,0.004666,17.486877,-383.599609,-2.774406,0.001563
CN(C)C=CC#N,CCCOC(F)F,0.255263,0.000193,15.061340,-323.660156,-2.664497,0.004619,16.222839,-140.162109,-2.664215,0.002338
CN(C)C=CC#N,COC1CC2CCC1(C)C2(C)C,0.228934,0.000134,12.306610,234.546875,-2.126190,0.003181,14.206665,566.517578,-2.601364,0.004064
CN(C)C=CC#N,CCC(=O)C1=NCCC1,0.248504,0.000184,15.584473,-334.826172,-2.672707,0.004147,15.617493,-257.380859,-2.569443,0.002245
CN(C)C=CC#N,NC(CF)(CF)CF,0.242817,0.000182,16.540100,-287.193359,-3.039627,0.005751,17.119080,-498.654297,-2.623840,0.001467
CN(C)C=CC#N,CC(C)CCCC(C)CC=O,0.242653,0.000162,13.563904,149.677734,-2.418510,0.004143,14.373779,190.369141,-2.584404,0.003881
CN(C)C=CC#N,Cc1coc(C)n1,0.244224,0.000178,15.272919,-272.755859,-2.787888,0.005280,16.100952,-213.394531,-2.609947,0.001983
CN(C)C=CC#N,NC(=S)NC(N)=S,0.172072,0.000023,23.313080,-1353.923828,-3.611237,0.004051,18.193665,-1451.978516,-2.752235,0.001789
CN(C)C=CC#N,FC(F)C(Cl)C(F)F,0.214471,0.000111,19.911407,-1026.093750,-3.309990,0.004344,19.377991,-922.865234,-2.877411,0.001138
CN(C)C=CC#N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.217817,0.000112,14.709015,127.492188,-2.249023,0.002220,14.376099,-35.156250,-2.586449,0.003539
CN(C)C=CC#N,NNC(=O)c1ccccc1,0.251642,0.000202,17.515045,-77.392578,-3.137772,0.005264,16.283295,-593.355469,-2.611961,0.002463
CN(C)C=CC#N,ClC=CBr,0.236621,0.000153,16.399109,-682.587891,-2.801292,0.004469,17.477509,-308.554688,-2.775520,0.001710
CN(C)C=CC#N,CN(C)N=O,0.253503,0.000205,17.223083,-312.654297,-3.100517,0.005335,16.970215,-632.408203,-2.613708,0.001631
CN(C)C=CC#N,c1ccc(C2CCCCC2)cc1,0.236386,0.000150,12.977722,107.962891,-2.259811,0.003525,14.994354,464.966797,-2.737984,0.003721
CN(C)C=CC#N,N#Cc1ccncc1,0.243597,0.000191,18.143463,-573.488281,-3.093948,0.004571,17.844421,-751.822266,-2.727875,0.001048
CN(C)C=CC#N,CN(C)C(=S)Nc1ccccc1,0.200951,0.000102,20.584503,-1119.046875,-3.227478,0.003546,16.415955,-1099.041016,-2.409500,0.000312
CN(C)C=CC#N,CCC(N)CC,0.234997,0.000149,12.622711,161.873047,-2.571228,0.006294,15.784393,238.039062,-2.646233,0.003243
CN(C)C=CC#N,COC(=O)CO,0.241616,0.000184,18.081299,-503.595703,-3.164291,0.005101,16.176147,-705.941406,-2.437332,0.001005
CN(C)C=CC#N,Cc1c(N)cccc1Cl,0.214126,0.000124,19.599487,-894.937500,-3.180389,0.003935,17.851624,-962.150391,-2.680786,0.000814
CN(C)C=CC#N,CC1CCC(C(C)(C)OO)CC1,0.221044,0.000135,17.174103,-463.214844,-2.781090,0.003479,13.880219,-657.634766,-2.153801,0.001506
CN(C)C=CC#N,CC(F)(Cl)CF,0.247439,0.000185,17.148773,-572.005859,-2.939850,0.004644,17.257294,-514.201172,-2.712555,0.001457
CN(C)C=CC#N,CCCCC1OC(C)CC(C)(C)O1,0.241155,0.000155,12.872498,187.726562,-2.276299,0.003736,14.255859,283.501953,-2.550301,0.004248
CN(C)C=CC#N,CC(C)(C)OCC1CO1,0.247537,0.000179,14.739899,-195.484375,-2.642570,0.004479,15.595245,-104.304688,-2.587189,0.002731
CN(C)C=CC#N,O=P(O)(O)OP(=O)(O)O,0.137339,-0.000072,21.370605,-1310.994141,-3.366982,0.005509,5.678589,-1578.980469,-1.297729,0.003189
CN(C)C=CC#N,CC(=O)Nc1ccc(C)cc1,0.242718,0.000181,17.210754,-358.302734,-2.924324,0.004456,14.369263,-683.503906,-2.284134,0.001714
CN(C)C=CC#N,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.252458,0.000206,18.774963,-262.867188,-3.287575,0.005060,16.793762,-701.898438,-2.623993,0.001832
CN(C)C=CC#N,CC(C)(O)CCC1CCCCC1,0.236953,0.000152,13.521759,392.361328,-2.551598,0.004978,12.973938,259.597656,-2.386299,0.004138
CN(C)C=CC#N,COCC(F)(F)F,0.251237,0.000191,15.852478,-324.283203,-2.771362,0.004545,16.136200,-296.429688,-2.601151,0.001916
CN(C)C=CC#N,COCC(O)COC,0.242396,0.000183,16.671143,-335.710938,-3.054146,0.005695,17.371124,-523.128906,-2.691925,0.001553
CN(C)C=CC#N,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.236907,0.000178,18.923981,12.634766,-3.253059,0.003975,16.662811,-766.804688,-2.795120,0.003495
