SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C1=CC=CCC=C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.258061,0.000216,19.473328,-209.369141,-3.304161,0.004726,14.717438,-623.554688,-2.409912,0.002073
C1=CC=CCC=C1,CC(=O)Nc1ccc(C=O)cc1,0.274782,0.000224,16.039764,1365.884766,-2.947891,0.003247,10.329163,366.960938,-2.310356,0.006389
C1=CC=CCC=C1,Cc1cccc(CO)c1,0.279862,0.000245,16.255707,581.548828,-3.113205,0.004807,12.492523,-163.902344,-2.362305,0.004780
C1=CC=CCC=C1,COC(C)CO,0.271866,0.000233,16.532379,204.382812,-3.129532,0.005205,15.394409,-465.421875,-2.597275,0.003715
C1=CC=CCC=C1,Nc1nc(=O)c2ccccc2o1,0.254661,0.000185,14.965576,2437.875000,-2.718002,0.000722,8.111145,1213.875000,-2.222885,0.008615
C1=CC=CCC=C1,CC(Cl)Br,0.268962,0.000238,17.428040,-394.316406,-3.157631,0.005838,16.246704,-574.082031,-2.535675,0.001358
C1=CC=CCC=C1,CCCOC(F)F,0.272667,0.000243,17.038483,-314.763672,-3.102211,0.005863,16.079285,-571.804688,-2.562531,0.001743
C1=CC=CCC=C1,COC1CC2CCC1(C)C2(C)C,0.260043,0.000220,17.497040,-338.046875,-3.087120,0.005184,16.507904,-690.832031,-2.633713,0.001855
C1=CC=CCC=C1,CCC(=O)C1=NCCC1,0.261632,0.000224,18.037354,-281.562500,-3.209145,0.005254,16.496887,-727.763672,-2.628853,0.002203
C1=CC=CCC=C1,NC(CF)(CF)CF,0.270749,0.000226,16.038513,225.728516,-3.128334,0.005769,14.636505,-272.228516,-2.410301,0.003256
C1=CC=CCC=C1,CC(C)CCCC(C)CC=O,0.263719,0.000230,18.133179,-276.242188,-3.227135,0.005403,16.528778,-732.392578,-2.667221,0.002246
C1=CC=CCC=C1,Cc1coc(C)n1,0.261321,0.000222,17.996948,-274.275391,-3.245682,0.005472,16.798767,-700.968750,-2.641830,0.002102
C1=CC=CCC=C1,NC(=S)NC(N)=S,0.240014,0.000147,14.687012,1604.070312,-3.076675,0.004768,11.839996,906.810547,-2.185905,0.005005
C1=CC=CCC=C1,FC(F)C(Cl)C(F)F,0.264599,0.000229,17.709351,-326.232422,-3.251846,0.005764,16.296570,-517.128906,-2.498970,0.001513
C1=CC=CCC=C1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265381,0.000217,15.180908,328.603516,-2.782257,0.004693,13.423828,-149.857422,-2.364532,0.003425
C1=CC=CCC=C1,NNC(=O)c1ccccc1,0.277299,0.000227,15.010376,1264.492188,-3.027992,0.004307,11.198120,389.511719,-2.300865,0.006182
C1=CC=CCC=C1,ClC=CBr,0.268967,0.000237,17.130219,-431.916016,-3.103958,0.005831,16.411041,-579.246094,-2.561218,0.001272
C1=CC=CCC=C1,CN(C)N=O,0.264369,0.000213,17.109131,50.101562,-3.133133,0.005097,14.526245,-397.148438,-2.311058,0.002596
C1=CC=CCC=C1,c1ccc(C2CCCCC2)cc1,0.277224,0.000254,17.185059,-242.273438,-3.123741,0.005995,15.375000,-577.767578,-2.543671,0.002171
C1=CC=CCC=C1,N#Cc1ccncc1,0.260577,0.000216,18.256073,-142.587891,-3.214447,0.004914,15.736572,-659.333984,-2.532936,0.002492
C1=CC=CCC=C1,CN(C)C(=S)Nc1ccccc1,0.264900,0.000217,18.179352,267.042969,-3.183250,0.004319,13.131195,-287.085938,-2.304008,0.003307
C1=CC=CCC=C1,CCC(N)CC,0.258295,0.000212,16.961639,-124.486328,-3.159126,0.005878,16.738373,-585.576172,-2.689102,0.002503
C1=CC=CCC=C1,COC(=O)CO,0.269913,0.000226,16.432098,237.142578,-3.168808,0.004982,14.223724,-236.826172,-2.356201,0.003334
C1=CC=CCC=C1,Cc1c(N)cccc1Cl,0.267446,0.000225,17.009674,158.320312,-3.159706,0.005083,14.600403,-452.568359,-2.465210,0.003382
C1=CC=CCC=C1,CC1CCC(C(C)(C)OO)CC1,0.276005,0.000244,16.634399,392.228516,-3.131142,0.004872,14.389435,-382.982422,-2.607056,0.004525
C1=CC=CCC=C1,CC(F)(Cl)CF,0.269512,0.000240,17.585083,-348.607422,-3.216400,0.005867,16.272461,-567.992188,-2.535477,0.001613
C1=CC=CCC=C1,CCCCC1OC(C)CC(C)(C)O1,0.262003,0.000225,17.770203,-299.171875,-3.126831,0.005142,16.675476,-749.345703,-2.700165,0.002246
C1=CC=CCC=C1,CC(C)(C)OCC1CO1,0.264357,0.000231,18.156830,-320.224609,-3.240715,0.005474,17.033356,-754.984375,-2.712440,0.002136
C1=CC=CCC=C1,O=P(O)(O)OP(=O)(O)O,0.208538,0.000097,12.476715,3943.677734,-2.204346,-0.000953,7.120575,2407.296875,-2.222534,0.010263
C1=CC=CCC=C1,CC(=O)Nc1ccc(C)cc1,0.281809,0.000245,16.623047,789.808594,-3.067276,0.004322,11.821411,-38.421875,-2.371704,0.005189
C1=CC=CCC=C1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.259925,0.000197,17.495911,624.324219,-3.269882,0.004581,11.848175,123.095703,-2.111519,0.003563
C1=CC=CCC=C1,CC(C)(O)CCC1CCCCC1,0.280636,0.000250,16.443604,566.806641,-3.105629,0.004875,13.193909,-197.986328,-2.518631,0.004863
C1=CC=CCC=C1,COCC(F)(F)F,0.270155,0.000235,16.673218,-207.212891,-3.085419,0.005738,15.976807,-508.404297,-2.528725,0.002015
C1=CC=CCC=C1,COCC(O)COC,0.264807,0.000223,17.345642,-136.820312,-3.191986,0.005376,16.559723,-658.146484,-2.621307,0.002584
C1=CC=CCC=C1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.267425,0.000211,15.407562,1749.009766,-2.904755,0.002312,10.681610,539.531250,-2.510498,0.007577
C1=CC=CCC=C1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.258373,0.000191,15.062347,1664.253906,-2.964478,0.002525,10.282684,631.156250,-2.248039,0.006982
C1=CC=CCC=C1,CC(C)C(F)F,0.276666,0.000251,16.854919,-285.000000,-3.108627,0.006120,15.804840,-545.673828,-2.540962,0.001837
C1=CC=CCC=C1,CCCCC1C=C(C)CC(C)O1,0.259790,0.000221,17.783783,-337.044922,-3.115067,0.005078,16.624573,-727.916016,-2.673225,0.001992
C1=CC=CCC=C1,COc1ccc(C(C)=O)cc1,0.265871,0.000226,18.135925,-140.291016,-3.208145,0.005179,15.132935,-597.130859,-2.477165,0.002368
C1=CC=CCC=C1,Oc1cc(O)ncn1,0.265433,0.000200,12.981506,2149.964844,-2.794579,0.002855,10.454926,921.742188,-2.414680,0.008461
C1=CC=CCC=C1,COCCCCl,0.267985,0.000231,16.945312,-300.271484,-3.073280,0.005583,16.292450,-641.537109,-2.590324,0.002002
C1=CC=CCC=C1,CCCOC,0.260046,0.000220,17.453064,-386.941406,-3.112061,0.005344,16.972351,-699.103516,-2.660080,0.001652
C1=CC=CCC=C1,Fc1c(F)c(F)c(F)c(F)c1F,0.272147,0.000239,16.212830,-210.712891,-2.929626,0.005612,14.610901,-448.474609,-2.401581,0.001915
C1=CC=CCC=C1,CCP(CC)CC,0.260072,0.000222,17.789825,-355.718750,-3.145546,0.005278,16.549561,-689.050781,-2.630356,0.001744
C1=CC=CCC=C1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.262679,0.000229,18.299408,-235.564453,-3.225815,0.005159,17.165192,-817.716797,-2.810143,0.002646
C1=CC=CCC=C1,Fc1cc(F)c(F)cc1F,0.271294,0.000241,17.178131,-259.808594,-3.118393,0.005797,15.305817,-550.414062,-2.472763,0.001911
C1=CC=CCC=C1,CCCCc1ccc(C(=O)O)cc1,0.278164,0.000245,16.440338,618.404297,-3.097847,0.004506,13.144501,-237.933594,-2.523491,0.005122
C1=CC=CCC=C1,C=Cc1c(C)cc(C)cc1C,0.275375,0.000253,17.503754,-293.619141,-3.169930,0.005981,15.809784,-603.914062,-2.587334,0.001979
C1=CC=CCC=C1,C=C(C)C(=O)OC(C)(C)C,0.262373,0.000230,18.361664,-330.919922,-3.270874,0.005487,16.580078,-717.445312,-2.651726,0.001935
C1=CC=CCC=C1,FC1CCCN1,0.265407,0.000228,17.474731,-161.943359,-3.187889,0.005346,16.027069,-559.531250,-2.544083,0.002202
C1=CC=CCC=C1,CCCCCCCC(=O)NC,0.276318,0.000240,17.103333,617.769531,-3.060921,0.004150,13.034088,-205.044922,-2.503349,0.004859
C1=CC=CCC=C1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.273849,0.000234,15.169678,240.302734,-2.877121,0.005755,13.975586,-202.546875,-2.449127,0.003269
C1=CC=CCC=C1,C1=CC2C=CC1C2,0.275249,0.000248,16.715790,-299.373047,-3.068871,0.006050,15.653687,-503.568359,-2.539757,0.001844
C1=CC=CCC=C1,CCC(C)(O)CCC=C(C)C,0.277748,0.000247,16.592407,423.929688,-3.129585,0.005043,13.786835,-307.941406,-2.540771,0.004515
C1=CC=CCC=C1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.260649,0.000227,18.113953,-147.591797,-3.156357,0.004632,18.149323,-906.044922,-3.127441,0.003394
C1=CC=CCC=C1,CCC(C)CCF,0.273952,0.000247,16.921722,-287.181641,-3.096214,0.005975,15.939392,-571.144531,-2.576225,0.001855
C1=CC=CCC=C1,C=Cc1cccc(CC)c1,0.274814,0.000252,17.595551,-296.283203,-3.183052,0.005981,15.841583,-612.654297,-2.582764,0.001980
C1=CC=CCC=C1,CC(C)(C(O)(F)F)C(F)(F)F,0.251063,0.000204,17.714203,-207.654297,-3.171875,0.005060,16.700897,-634.673828,-2.605766,0.002036
C1=CC=CCC=C1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.273914,0.000240,16.210907,-273.150391,-2.927811,0.005466,15.125641,-497.642578,-2.523796,0.002232
C1=CC=CCC=C1,CCN(CC)c1ccc(N)cc1,0.268135,0.000225,17.188812,261.023438,-3.165817,0.004815,14.725922,-450.324219,-2.553612,0.003815
C1=CC=CCC=C1,FC(F)CC(F)(F)F,0.274098,0.000240,16.349762,-130.757812,-3.096542,0.006036,15.073608,-354.015625,-2.383492,0.002072
C1=CC=CCC=C1,N#CCCOCCC#N,0.261282,0.000204,17.991333,386.343750,-3.215729,0.004557,12.010498,-42.550781,-2.087341,0.002894
C1=CC=CCC=C1,CCC(C)C(C)C(C)C,0.272997,0.000236,16.127686,-190.332031,-2.914391,0.005501,14.689697,-405.435547,-2.493149,0.002556
C1=CC=CCC=C1,Cn1c(=O)ccc2ccccc21,0.259887,0.000211,18.424774,11.058594,-3.201904,0.004639,14.607239,-500.210938,-2.406982,0.002565
C1=CC=CCC=C1,CCOC(=O)c1ccccc1N,0.273080,0.000237,17.174561,217.574219,-3.127457,0.004879,14.159943,-441.638672,-2.496597,0.003739
C1=CC=CCC=C1,ClC1CN2CCC1CC2,0.260940,0.000223,17.903107,-320.119141,-3.172234,0.005207,16.700470,-709.308594,-2.650574,0.001979
C1=CC=CCC=C1,CC=CCCCCCCCC#N,0.265690,0.000232,18.204224,-213.884766,-3.224442,0.005338,15.879272,-702.748047,-2.604958,0.002446
C1=CC=CCC=C1,COCCl,0.267807,0.000233,17.333893,-282.896484,-3.189323,0.005790,16.117310,-519.207031,-2.498833,0.001642
C1=CC=CCC=C1,NCCc1cccnc1,0.267982,0.000217,16.302734,443.833984,-3.187302,0.005377,14.472076,-255.433594,-2.488640,0.004132
C1=CC=CCC=C1,Cc1cccc(C(=O)O)c1,0.275889,0.000239,16.583954,585.142578,-3.115486,0.004415,12.702667,-198.398438,-2.398079,0.004767
C1=CC=CCC=C1,C=CCNC,0.262836,0.000224,17.417236,-230.916016,-3.168831,0.005586,16.710052,-662.105469,-2.655846,0.002167
C1=CC=CCC=C1,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.260723,0.000198,13.338348,563.775391,-2.513603,0.004574,12.815186,309.962891,-2.490257,0.004245
C1=CC=CCC=C1,CC(CO)C(F)(F)F,0.283098,0.000250,15.359467,611.960938,-3.065559,0.005408,13.335999,-96.695312,-2.455750,0.004876
C1=CC=CCC=C1,CC(C)C(=O)C(F)(F)F,0.274345,0.000246,16.945923,-199.750000,-3.085419,0.005817,15.398041,-543.843750,-2.521446,0.002138
C1=CC=CCC=C1,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.264855,0.000212,14.821381,382.375000,-2.750656,0.004810,13.713562,-107.988281,-2.465096,0.003604
C1=CC=CCC=C1,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.265283,0.000234,18.167145,-160.255859,-3.192513,0.005098,16.304840,-759.341797,-2.725632,0.002854
C1=CC=CCC=C1,C=CCN(C)CC=C,0.263519,0.000225,17.208954,-366.201172,-3.062462,0.005340,16.575806,-674.531250,-2.636955,0.001785
C1=CC=CCC=C1,COCC(F)C(F)(F)F,0.273883,0.000240,16.313293,-121.349609,-3.021065,0.005777,15.650360,-509.843750,-2.531509,0.002383
C1=CC=CCC=C1,CNC(C)(C)C,0.257555,0.000211,17.015717,-214.355469,-3.100861,0.005474,16.679810,-631.660156,-2.659721,0.002238
C1=CC=CCC=C1,C1COCCOCCOCCO1,0.261667,0.000214,17.260345,-76.708984,-3.179474,0.005145,16.297241,-693.457031,-2.610550,0.002941
C1=CC=CCC=C1,O=NF,0.256635,0.000198,15.868774,305.871094,-3.185013,0.005929,14.371826,217.955078,-2.179588,0.002258
C1=CC=CCC=C1,CCN(CC)CCN,0.259718,0.000216,17.367340,-64.875000,-3.228462,0.005554,16.879791,-684.818359,-2.702560,0.002994
C1=CC=CCC=C1,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.277870,0.000247,15.871216,-47.205078,-2.884369,0.005500,14.525482,-423.619141,-2.492935,0.002725
C1=CC=CCC=C1,CC(=O)Nc1ccc(Br)cc1,0.278741,0.000237,16.748413,929.228516,-3.071510,0.003991,11.265167,89.638672,-2.319748,0.005418
C1=CC=CCC=C1,c1ccc(COc2ccccc2)cc1,0.270602,0.000242,17.885223,-256.982422,-3.213188,0.005713,15.419708,-638.294922,-2.519821,0.002216
C1=CC=CCC=C1,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.271317,0.000226,14.740509,45.072266,-2.668236,0.005120,13.705322,-227.486328,-2.411720,0.002895
C1=CC=CCC=C1,CC(C)(C)OCF,0.265318,0.000232,17.773315,-360.208984,-3.193459,0.005621,16.582367,-647.128906,-2.605652,0.001643
C1=CC=CCC=C1,OCCCCOC1CCCO1,0.271024,0.000232,16.805176,201.601562,-3.126381,0.004959,15.170441,-529.445312,-2.604164,0.003837
C1=CC=CCC=C1,OCCCCC(O)CO,0.268203,0.000204,13.250519,2196.830078,-2.798454,0.002861,10.395111,953.578125,-2.460411,0.008580
C1=CC=CCC=C1,CC(C)C(=O)C(=O)O,0.267869,0.000230,16.966766,-6.681641,-3.101967,0.005038,15.986542,-615.312500,-2.651253,0.003138
C1=CC=CCC=C1,N#CCl,0.263151,0.000216,16.457733,-10.496094,-3.067329,0.005222,15.173889,-376.373047,-2.414909,0.002307
C1=CC=CCC=C1,CC(C)(C)CCO,0.282665,0.000251,15.659393,680.322266,-3.066078,0.005171,13.109344,-108.121094,-2.500710,0.005180
C1=CC=CCC=C1,CCc1cc(C(N)=S)ccn1,0.271383,0.000217,15.676422,1275.619141,-2.989967,0.003748,11.427734,308.904297,-2.357727,0.006233
C1=CC=CCC=C1,CCCCCCCCCCCCC(N)=O,0.270892,0.000225,16.245911,1167.105469,-3.059891,0.003937,12.362213,133.695312,-2.581055,0.006159
C1=CC=CCC=C1,CCOc1ccccc1F,0.268649,0.000238,17.819794,-311.558594,-3.185478,0.005626,15.969635,-656.021484,-2.569344,0.002003
C1=CC=CCC=C1,CCCCCCCCCCCCCCCC(=O)O,0.276535,0.000245,16.411194,710.195312,-3.093529,0.004398,13.811829,-252.664062,-2.713028,0.005614
C1=CC=CCC=C1,CC=CCCCCCC,0.274773,0.000242,16.391876,-211.207031,-2.958351,0.005567,14.867157,-463.984375,-2.505707,0.002449
C1=CC=CCC=C1,FC1CCCC1F,0.271698,0.000244,17.490662,-334.046875,-3.202065,0.005963,16.196472,-573.189453,-2.554497,0.001637
C1=CC=CCC=C1,CCC(=O)OCc1ccccc1,0.265740,0.000233,18.031769,-273.244141,-3.231010,0.005517,16.228119,-698.337891,-2.615608,0.002201
C1=CC=CCC=C1,COC(=O)CCC(C)C(=O)OC,0.265338,0.000230,18.042389,-230.732422,-3.217766,0.005393,16.010529,-699.207031,-2.600838,0.002369
C1=CC=CCC=C1,COC(=O)C1CCCCC1,0.264340,0.000232,18.094055,-303.177734,-3.247894,0.005578,16.818726,-730.048828,-2.687164,0.002095
C1=CC=CCC=C1,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0.261688,0.000203,15.129639,2022.794922,-2.840134,0.001715,11.150513,641.115234,-2.708176,0.008406
C1=CC=CCC=C1,CCOCCC(C)CCCC(C)C,0.262812,0.000225,17.337067,-216.099609,-3.053780,0.005056,16.196075,-699.218750,-2.669365,0.002427
C1=CC=CCC=C1,CC(N)C(C)(C)C,0.258716,0.000213,16.924164,-103.742188,-3.131714,0.005704,16.453827,-586.326172,-2.666206,0.002586
C1=CC=CCC=C1,CCC(=O)CC(C)CC,0.260405,0.000225,18.388519,-322.451172,-3.257607,0.005325,16.769104,-754.503906,-2.673080,0.002065
C1=CC=CCC=C1,CCC(=O)Cc1ccccc1,0.264884,0.000229,18.338654,-254.880859,-3.246330,0.005356,15.658478,-661.130859,-2.533897,0.002130
C1=CC=CCC=C1,CCCCCC=CCC=CCCCCCCCC(=O)O,0.275915,0.000245,16.784363,625.326172,-3.112236,0.004330,13.911926,-286.480469,-2.712753,0.005355
C1=CC=CCC=C1,C=CCOC(=O)COc1ccccc1,0.268685,0.000233,18.084747,-155.845703,-3.211334,0.005313,14.931396,-570.238281,-2.467987,0.002368
C1=CC=CCC=C1,CC(C)CCN=C=S,0.270669,0.000245,18.016113,-281.541016,-3.222656,0.005746,15.545624,-614.398438,-2.527710,0.001991
C1=CC=CCC=C1,CC1=CCC(C=CC(C)C(C)O)C1(C)C,0.278740,0.000250,16.728027,241.810547,-3.129875,0.005388,14.729004,-444.357422,-2.636177,0.004102
C1=CC=CCC=C1,CCCCCCCCCCCCCCCCC1CCCC1,0.275769,0.000243,16.571533,-12.667969,-2.924332,0.005025,14.501678,-479.318359,-2.589233,0.003567
C1=CC=CCC=C1,CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC,0.260923,0.000229,18.292877,-185.523438,-3.190681,0.004791,17.824738,-877.701172,-3.032372,0.003095
C1=CC=CCC=C1,FC(F)(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,0.272262,0.000228,14.626312,63.560547,-2.659401,0.005164,13.641663,-197.708984,-2.428833,0.003029
C1=CC=CCC=C1,C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,0.265231,0.000235,18.389008,-283.072266,-3.243950,0.005315,16.442413,-751.701172,-2.700630,0.002363
C1=CC=CCC=C1,CCCCC(=O)CCC,0.260784,0.000225,18.381165,-315.787109,-3.263611,0.005350,16.867645,-759.457031,-2.688919,0.002101
C1=CC=CCC=C1,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.257746,0.000191,16.284180,1582.707031,-3.010597,0.002424,10.035248,577.214844,-2.237007,0.006721
C1=CC=CCC=C1,CC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.270775,0.000228,15.054749,297.185547,-2.847672,0.005637,13.886780,-163.617188,-2.470497,0.003418
C1=CC=CCC=C1,CCN(C)CC,0.256810,0.000213,17.391388,-406.544922,-3.061165,0.005084,16.995544,-725.539062,-2.663605,0.001660
C1=CC=CCC=C1,CCCCNCCCC,0.261599,0.000219,17.041077,-179.220703,-3.069328,0.005346,16.503479,-673.613281,-2.673096,0.002447
C1=CC=CCC=C1,Cc1ccc(CCl)c(C)c1,0.276980,0.000254,17.425354,-251.869141,-3.174606,0.006039,15.444885,-590.552734,-2.534027,0.002167
C1=CC=CCC=C1,Cc1c(F)cccc1Cl,0.276803,0.000251,16.895966,-293.480469,-3.079689,0.006001,15.535004,-545.128906,-2.540611,0.001979
C1=CC=CCC=C1,N#Cc1ccc(Cl)cc1,0.265350,0.000228,18.438019,-180.623047,-3.232529,0.005226,14.758728,-583.812500,-2.413567,0.002201
C1=CC=CCC=C1,Nc1nc(O)ncc1I,0.260816,0.000191,13.290314,2115.677734,-2.841194,0.002973,10.603973,1022.755859,-2.409111,0.007929
C1=CC=CCC=C1,N=CBr,0.267422,0.000228,16.391144,-54.414062,-3.142586,0.005900,16.438934,-421.476562,-2.581238,0.002395
C1=CC=CCC=C1,COCC(C)N,0.263088,0.000219,16.737183,-72.832031,-3.180817,0.006030,17.083984,-601.716797,-2.714951,0.002784
C1=CC=CCC=C1,COc1cccc(CN)c1,0.266093,0.000221,16.980743,102.636719,-3.184967,0.005536,15.260345,-442.214844,-2.514801,0.003070
C1=CC=CCC=C1,C=CCCCCl,0.276877,0.000254,17.270874,-308.652344,-3.172295,0.006181,15.824799,-565.750000,-2.548248,0.001809
C1=CC=CCC=C1,CCCCCCCC1CCC(=O)O1,0.257825,0.000218,19.040100,-322.814453,-3.295067,0.005023,16.487518,-763.472656,-2.643295,0.002026
C1=CC=CCC=C1,COCCc1ccc(OCC(O)CNC(C)C)cc1,0.274987,0.000239,16.877045,240.646484,-3.106621,0.004910,14.781189,-516.693359,-2.630440,0.004063
C1=CC=CCC=C1,O=C1CCCCC1Cl,0.267757,0.000233,17.866577,-249.308594,-3.221115,0.005581,15.683319,-594.611328,-2.512978,0.002074
