SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CC(=O)OCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.250706,0.000211,20.258240,-439.460938,-3.398819,0.004700,16.044006,-738.216797,-2.523895,0.001346
C=CC(=O)OCCC,CC(=O)Nc1ccc(C=O)cc1,0.262799,0.000219,18.664429,252.082031,-3.172859,0.003984,13.422333,-346.994141,-2.369904,0.003240
C=CC(=O)OCCC,Cc1cccc(CO)c1,0.253261,0.000215,18.998993,-279.171875,-3.288040,0.004715,16.324921,-692.662109,-2.588760,0.001883
C=CC(=O)OCCC,COC(C)CO,0.261275,0.000222,17.708649,-124.898438,-3.211823,0.005246,16.750244,-619.228516,-2.664215,0.002494
C=CC(=O)OCCC,Nc1nc(=O)c2ccccc2o1,0.250530,0.000186,19.257233,690.777344,-3.074516,0.002485,9.817169,-40.734375,-1.955444,0.004307
C=CC(=O)OCCC,CC(Cl)Br,0.250066,0.000206,18.438812,-657.619141,-3.218895,0.005346,18.092804,-702.398438,-2.730087,0.000600
C=CC(=O)OCCC,CCCOC(F)F,0.262084,0.000228,17.852570,-486.791016,-3.175919,0.005579,17.100983,-657.759766,-2.636856,0.001112
C=CC(=O)OCCC,COC1CC2CCC1(C)C2(C)C,0.261785,0.000218,16.827423,-275.300781,-2.936256,0.004854,15.801636,-530.681641,-2.592377,0.002205
C=CC(=O)OCCC,CCC(=O)C1=NCCC1,0.255571,0.000215,18.379181,-469.425781,-3.192993,0.005089,16.860168,-727.673828,-2.612457,0.001386
C=CC(=O)OCCC,NC(CF)(CF)CF,0.253099,0.000208,18.241943,-286.855469,-3.285072,0.005401,16.801025,-600.574219,-2.563080,0.001711
C=CC(=O)OCCC,CC(C)CCCC(C)CC=O,0.264316,0.000229,17.587799,-273.513672,-3.124214,0.005350,16.126251,-671.195312,-2.607414,0.002098
C=CC(=O)OCCC,Cc1coc(C)n1,0.254601,0.000215,18.596985,-439.304688,-3.275887,0.005300,17.320435,-728.039062,-2.661148,0.001408
C=CC(=O)OCCC,NC(=S)NC(N)=S,0.217224,0.000122,20.092133,-374.693359,-3.285446,0.003874,16.665833,-798.640625,-2.519661,0.002089
C=CC(=O)OCCC,FC(F)C(Cl)C(F)F,0.232094,0.000167,20.425323,-910.521484,-3.478760,0.004757,19.094513,-915.625000,-2.747604,0.000500
C=CC(=O)OCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.243494,0.000179,16.411316,-137.966797,-2.710762,0.003938,15.397186,-515.601562,-2.560425,0.002050
C=CC(=O)OCCC,NNC(=O)c1ccccc1,0.265849,0.000220,17.726624,367.521484,-3.206078,0.004573,13.166504,-179.560547,-2.296295,0.003483
C=CC(=O)OCCC,ClC=CBr,0.248166,0.000197,18.237823,-753.349609,-3.180161,0.005372,18.439575,-672.591797,-2.800797,0.000601
C=CC(=O)OCCC,CN(C)N=O,0.257601,0.000209,18.008575,-196.617188,-3.239067,0.005214,15.673492,-454.958984,-2.397179,0.001749
C=CC(=O)OCCC,c1ccc(C2CCCCC2)cc1,0.266043,0.000229,17.108459,-303.578125,-3.014160,0.005157,15.991241,-554.130859,-2.621391,0.002147
C=CC(=O)OCCC,N#Cc1ccncc1,0.246986,0.000202,19.430511,-536.001953,-3.305717,0.004784,17.713959,-836.437500,-2.694664,0.001286
C=CC(=O)OCCC,CN(C)C(=S)Nc1ccccc1,0.237435,0.000185,20.545532,-446.263672,-3.339600,0.003889,16.545502,-804.357422,-2.562592,0.001378
C=CC(=O)OCCC,CCC(N)CC,0.254361,0.000205,16.801025,-155.650391,-3.137680,0.006049,16.884766,-521.732422,-2.692421,0.002245
C=CC(=O)OCCC,COC(=O)CO,0.256043,0.000211,17.905731,-238.324219,-3.246361,0.005049,16.305298,-486.476562,-2.466225,0.001606
C=CC(=O)OCCC,Cc1c(N)cccc1Cl,0.232879,0.000176,20.426392,-734.902344,-3.380920,0.004358,18.082275,-932.076172,-2.751251,0.000982
C=CC(=O)OCCC,CC1CCC(C(C)(C)OO)CC1,0.238673,0.000188,19.504517,-490.513672,-3.245720,0.004204,16.505737,-817.978516,-2.573120,0.001367
C=CC(=O)OCCC,CC(F)(Cl)CF,0.254969,0.000218,18.867523,-566.148438,-3.303444,0.005438,17.709442,-738.916016,-2.686768,0.000918
C=CC(=O)OCCC,CCCCC1OC(C)CC(C)(C)O1,0.262563,0.000224,17.364441,-268.941406,-3.040054,0.005017,16.157227,-668.941406,-2.637589,0.002259
C=CC(=O)OCCC,CC(C)(C)OCC1CO1,0.262509,0.000229,18.314301,-394.449219,-3.241318,0.005426,17.049438,-726.917969,-2.686256,0.001717
C=CC(=O)OCCC,O=P(O)(O)OP(=O)(O)O,0.187365,0.000035,18.891327,-398.900391,-2.984650,0.003781,6.680573,-940.431641,-1.188248,0.003220
C=CC(=O)OCCC,CC(=O)Nc1ccc(C)cc1,0.262655,0.000226,18.874298,-31.464844,-3.235207,0.004451,15.014252,-535.888672,-2.536583,0.002631
C=CC(=O)OCCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.257677,0.000201,18.384583,149.046875,-3.244911,0.004720,13.235992,-145.792969,-2.158478,0.002244
C=CC(=O)OCCC,CC(C)(O)CCC1CCCCC1,0.262629,0.000226,17.823059,76.884766,-3.194679,0.004987,15.522308,-505.625000,-2.635178,0.003188
C=CC(=O)OCCC,COCC(F)(F)F,0.259553,0.000224,18.035675,-441.292969,-3.208504,0.005450,17.103058,-634.753906,-2.624168,0.001166
C=CC(=O)OCCC,COCC(O)COC,0.258633,0.000219,18.179169,-308.898438,-3.269547,0.005436,17.145264,-698.556641,-2.654167,0.001939
C=CC(=O)OCCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.257769,0.000211,19.421173,388.078125,-3.194420,0.003158,13.075867,-329.634766,-2.401642,0.003721
C=CC(=O)OCCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.213116,0.000129,21.337067,-571.695312,-3.350792,0.003087,15.877411,-973.550781,-2.431175,0.001600
C=CC(=O)OCCC,CC(C)C(F)F,0.266754,0.000233,17.236938,-420.250000,-3.099205,0.005670,16.735107,-569.634766,-2.637764,0.001422
C=CC(=O)OCCC,CCCCC1C=C(C)CC(C)O1,0.260318,0.000217,17.124298,-293.574219,-2.980934,0.004841,16.095062,-605.529297,-2.621101,0.002131
C=CC(=O)OCCC,COc1ccc(C(C)=O)cc1,0.260547,0.000223,18.830414,-311.291016,-3.281441,0.005190,16.007782,-670.304688,-2.546295,0.001826
C=CC(=O)OCCC,Oc1cc(O)ncn1,0.234114,0.000158,18.618286,114.287109,-3.136719,0.003382,13.566437,-547.292969,-2.208931,0.003189
C=CC(=O)OCCC,COCCCCl,0.263455,0.000226,17.336609,-398.500000,-3.114059,0.005550,16.739197,-652.242188,-2.610153,0.001520
C=CC(=O)OCCC,CCCOC,0.259107,0.000215,16.848511,-390.169922,-3.020821,0.005352,16.771606,-577.371094,-2.645004,0.001580
C=CC(=O)OCCC,Fc1c(F)c(F)c(F)c(F)c1F,0.260354,0.000214,16.432678,-247.726562,-2.912399,0.005034,15.675201,-429.625000,-2.555672,0.001902
C=CC(=O)OCCC,CCP(CC)CC,0.260270,0.000218,17.140503,-346.904297,-3.015053,0.005079,16.308105,-594.626953,-2.602921,0.001781
C=CC(=O)OCCC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.264159,0.000228,17.496704,-159.125000,-3.082222,0.005077,16.098938,-712.203125,-2.669952,0.002694
C=CC(=O)OCCC,Fc1cc(F)c(F)cc1F,0.250961,0.000206,18.383148,-565.378906,-3.195213,0.005201,17.087891,-730.457031,-2.627815,0.001019
C=CC(=O)OCCC,CCCCc1ccc(C(=O)O)cc1,0.233662,0.000173,19.391815,-608.861328,-3.213676,0.004189,16.071533,-847.173828,-2.469543,0.001150
C=CC(=O)OCCC,C=Cc1c(C)cc(C)cc1C,0.265898,0.000231,17.395355,-319.839844,-3.082176,0.005331,16.324615,-600.546875,-2.647316,0.002033
C=CC(=O)OCCC,C=C(C)C(=O)OC(C)(C)C,0.263443,0.000230,18.020660,-329.671875,-3.202995,0.005482,16.244720,-671.992188,-2.594795,0.001828
C=CC(=O)OCCC,FC1CCCN1,0.253233,0.000214,18.798309,-446.578125,-3.302307,0.005181,17.377930,-694.574219,-2.631905,0.001234
C=CC(=O)OCCC,CCCCCCCC(=O)NC,0.266764,0.000231,18.081207,184.029297,-3.153496,0.004558,14.868774,-465.212891,-2.602058,0.003471
C=CC(=O)OCCC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.257784,0.000206,16.007843,59.751953,-2.859535,0.004913,15.118713,-367.062500,-2.574753,0.002745
C=CC(=O)OCCC,C1=CC2C=CC1C2,0.263584,0.000222,16.764099,-381.367188,-2.993927,0.005339,16.448334,-471.423828,-2.644363,0.001785
C=CC(=O)OCCC,CCC(C)(O)CCC=C(C)C,0.259212,0.000222,18.029694,-73.099609,-3.207916,0.005077,16.025635,-599.296875,-2.643112,0.002660
C=CC(=O)OCCC,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.255228,0.000218,18.695038,60.121094,-3.172501,0.004225,17.760681,-819.662109,-3.127686,0.003769
C=CC(=O)OCCC,CCC(C)CCF,0.268505,0.000231,16.582855,-316.447266,-2.973396,0.005397,16.147491,-507.769531,-2.616127,0.001993
C=CC(=O)OCCC,C=Cc1cccc(CC)c1,0.264515,0.000231,17.712311,-367.857422,-3.135979,0.005405,16.643860,-643.130859,-2.663925,0.001826
C=CC(=O)OCCC,CC(C)(C(O)(F)F)C(F)(F)F,0.157919,0.000007,22.186371,-1643.728516,-3.338776,0.003058,15.004578,-1418.779297,-2.126297,-0.000103
C=CC(=O)OCCC,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.264896,0.000219,16.259888,-304.476562,-2.895416,0.005049,15.833252,-449.908203,-2.603783,0.002233
C=CC(=O)OCCC,CCN(CC)c1ccc(N)cc1,0.253821,0.000215,19.523895,-328.281250,-3.311005,0.004654,16.641144,-772.125000,-2.654770,0.001940
C=CC(=O)OCCC,FC(F)CC(F)(F)F,0.252812,0.000209,18.237335,-495.669922,-3.194923,0.005265,16.863586,-644.546875,-2.581856,0.001032
C=CC(=O)OCCC,N#CCCOCCC#N,0.254971,0.000205,19.121704,-198.802734,-3.306831,0.004949,14.018585,-352.921875,-2.185577,0.001376
C=CC(=O)OCCC,CCC(C)C(C)C(C)C,0.265271,0.000214,15.387451,-152.761719,-2.745003,0.004924,14.997437,-243.500000,-2.592567,0.002998
C=CC(=O)OCCC,Cn1c(=O)ccc2ccccc21,0.256812,0.000212,19.097870,-262.822266,-3.286713,0.004801,15.660370,-578.156250,-2.467773,0.001733
C=CC(=O)OCCC,CCOC(=O)c1ccccc1N,0.248163,0.000208,19.616821,-465.226562,-3.341553,0.004717,17.637360,-828.664062,-2.731979,0.001502
C=CC(=O)OCCC,ClC1CN2CCC1CC2,0.256449,0.000214,17.806915,-438.105469,-3.125435,0.005122,16.867157,-688.853516,-2.615105,0.001390
C=CC(=O)OCCC,CC=CCCCCCCCC#N,0.264639,0.000234,18.441193,-271.080078,-3.248886,0.005350,16.227142,-720.544922,-2.634346,0.002251
