SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(C)NC=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.253980,0.000213,18.095184,-424.248047,-3.086609,0.004729,16.736053,-619.042969,-2.640190,0.001296
CC(C)(C)NC=O,CC(=O)Nc1ccc(C=O)cc1,0.239394,0.000176,18.271973,-481.941406,-3.091095,0.004511,14.647644,-795.171875,-2.290710,0.001565
CC(C)(C)NC=O,Cc1cccc(CO)c1,0.237103,0.000176,18.390900,-621.666016,-3.101830,0.004567,15.368896,-773.705078,-2.336349,0.000871
CC(C)(C)NC=O,COC(C)CO,0.247156,0.000192,17.483734,-429.240234,-3.018349,0.004664,16.024261,-731.216797,-2.491882,0.001518
CC(C)(C)NC=O,Nc1nc(=O)c2ccccc2o1,0.220890,0.000140,19.413025,-393.115234,-3.086319,0.003401,12.821960,-872.521484,-2.030396,0.001976
CC(C)(C)NC=O,CC(Cl)Br,0.270091,0.000226,14.876526,-491.968750,-2.739143,0.006286,18.385223,140.796875,-3.036957,0.001254
CC(C)(C)NC=O,CCCOC(F)F,0.281537,0.000242,14.347260,-337.644531,-2.640289,0.006044,17.353516,188.498047,-2.991920,0.002273
CC(C)(C)NC=O,COC1CC2CCC1(C)C2(C)C,0.271309,0.000214,13.549591,-131.398438,-2.376656,0.004572,15.545624,308.521484,-2.770866,0.003155
CC(C)(C)NC=O,CCC(=O)C1=NCCC1,0.260036,0.000209,15.869110,-494.169922,-2.683891,0.004484,17.129791,-299.037109,-2.786926,0.001628
CC(C)(C)NC=O,NC(CF)(CF)CF,0.244886,0.000188,17.403595,-440.585938,-2.963318,0.004403,16.489288,-684.421875,-2.536812,0.001248
CC(C)(C)NC=O,CC(C)CCCC(C)CC=O,0.271000,0.000221,14.711121,-191.234375,-2.535591,0.004561,15.614380,-77.326172,-2.722572,0.002870
CC(C)(C)NC=O,Cc1coc(C)n1,0.242751,0.000183,17.266968,-601.914062,-2.920891,0.004527,16.184540,-699.615234,-2.451447,0.000751
CC(C)(C)NC=O,NC(=S)NC(N)=S,0.186699,0.000048,19.667419,-1028.337891,-2.998344,0.003359,13.072144,-1196.298828,-2.045860,0.001675
CC(C)(C)NC=O,FC(F)C(Cl)C(F)F,0.246837,0.000179,17.621887,-848.429688,-3.108665,0.005457,20.047302,-453.816406,-3.050117,0.000980
CC(C)(C)NC=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.251783,0.000177,13.914154,-41.470703,-2.336052,0.004178,15.600372,196.861328,-2.811226,0.002832
CC(C)(C)NC=O,NNC(=O)c1ccccc1,0.246770,0.000199,18.918091,-284.156250,-3.192505,0.004297,16.338287,-788.652344,-2.614319,0.002187
CC(C)(C)NC=O,ClC=CBr,0.266460,0.000212,14.975739,-592.837891,-2.709984,0.005986,18.754425,91.695312,-3.102303,0.001597
CC(C)(C)NC=O,CN(C)N=O,0.257996,0.000211,16.736389,-287.593750,-2.959274,0.005016,16.999298,-527.738281,-2.665283,0.001731
CC(C)(C)NC=O,c1ccc(C2CCCCC2)cc1,0.286401,0.000240,13.011322,-14.199219,-2.432480,0.005649,15.669983,572.175781,-2.935699,0.003755
CC(C)(C)NC=O,N#Cc1ccncc1,0.236996,0.000178,18.109375,-777.814453,-2.972153,0.004238,17.673584,-761.691406,-2.651909,0.000289
CC(C)(C)NC=O,CN(C)C(=S)Nc1ccccc1,0.213997,0.000120,17.941284,-894.070312,-2.862503,0.003813,14.484314,-780.996094,-2.189049,0.000550
CC(C)(C)NC=O,CCC(N)CC,0.234488,0.000160,16.676422,-510.880859,-2.823547,0.004357,15.321014,-761.470703,-2.332146,0.001321
CC(C)(C)NC=O,COC(=O)CO,0.239512,0.000178,17.954834,-569.498047,-3.075996,0.004562,15.711365,-722.878906,-2.348541,0.000879
CC(C)(C)NC=O,Cc1c(N)cccc1Cl,0.224484,0.000150,18.923004,-915.957031,-3.062958,0.003958,17.840332,-855.923828,-2.670975,0.000335
CC(C)(C)NC=O,CC1CCC(C(C)(C)OO)CC1,0.221640,0.000137,17.551239,-788.259766,-2.868904,0.004085,14.630066,-760.806641,-2.241646,0.000695
CC(C)(C)NC=O,CC(F)(Cl)CF,0.273492,0.000235,15.379547,-422.873047,-2.840828,0.006318,17.928741,14.773438,-2.966599,0.001507
CC(C)(C)NC=O,CCCCC1OC(C)CC(C)(C)O1,0.266607,0.000210,14.494171,-171.824219,-2.436836,0.004038,15.597870,-87.138672,-2.718529,0.003023
CC(C)(C)NC=O,CC(C)(C)OCC1CO1,0.266600,0.000221,15.575439,-362.208984,-2.691101,0.004784,16.834412,-277.691406,-2.774437,0.001935
CC(C)(C)NC=O,O=P(O)(O)OP(=O)(O)O,0.120831,-0.000107,21.784180,-1529.556641,-3.626671,0.006283,1.170959,-1664.974609,-0.691895,0.002633
CC(C)(C)NC=O,CC(=O)Nc1ccc(C)cc1,0.239875,0.000179,18.138611,-621.609375,-3.041153,0.004535,15.237640,-787.576172,-2.343712,0.001032
CC(C)(C)NC=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.258596,0.000211,18.375305,136.794922,-3.130951,0.004158,14.222534,-296.966797,-2.374641,0.002414
CC(C)(C)NC=O,CC(C)(O)CCC1CCCCC1,0.250456,0.000191,16.547455,-258.298828,-2.840607,0.004606,13.952759,-638.279297,-2.273010,0.002152
CC(C)(C)NC=O,COCC(F)(F)F,0.273660,0.000232,14.832916,-338.552734,-2.712616,0.005898,17.088867,118.783203,-2.865425,0.001643
CC(C)(C)NC=O,COCC(O)COC,0.247156,0.000194,17.657440,-516.652344,-3.031784,0.004722,16.573517,-725.566406,-2.542671,0.001131
CC(C)(C)NC=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.236196,0.000181,19.775330,-273.753906,-3.200928,0.003525,16.005219,-900.792969,-2.610550,0.002542
CC(C)(C)NC=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.178478,0.000048,20.844635,-1219.365234,-3.226402,0.003468,13.826660,-1326.548828,-2.083656,0.000811
