SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(Cl)CCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.255597,0.000217,19.668793,-326.740234,-3.335999,0.004790,15.811584,-733.931641,-2.539619,0.001884
CC(C)(Cl)CCl,CC(=O)Nc1ccc(C=O)cc1,0.280532,0.000240,16.430511,1102.189453,-2.993484,0.003635,10.721069,194.792969,-2.320656,0.005954
CC(C)(Cl)CCl,Cc1cccc(CO)c1,0.282298,0.000253,16.317444,547.373047,-3.109200,0.004945,12.805634,-172.394531,-2.441483,0.004799
CC(C)(Cl)CCl,COC(C)CO,0.268262,0.000231,17.036621,86.011719,-3.163292,0.004995,15.970215,-586.353516,-2.663544,0.003550
CC(C)(Cl)CCl,Nc1nc(=O)c2ccccc2o1,0.263537,0.000207,15.722015,1992.779297,-2.837303,0.001409,8.941742,848.955078,-2.295105,0.007906
CC(C)(Cl)CCl,CC(Cl)Br,0.267331,0.000238,17.693512,-466.472656,-3.167519,0.005803,16.522095,-586.955078,-2.564728,0.001077
CC(C)(Cl)CCl,CCCOC(F)F,0.274287,0.000247,16.855225,-335.371094,-3.051285,0.005874,15.785645,-540.076172,-2.531860,0.001623
CC(C)(Cl)CCl,COC1CC2CCC1(C)C2(C)C,0.260479,0.000218,17.123505,-326.441406,-2.982529,0.004933,16.048309,-611.869141,-2.597824,0.002001
CC(C)(Cl)CCl,CCC(=O)C1=NCCC1,0.258762,0.000221,18.371216,-402.220703,-3.210274,0.005143,17.108246,-776.941406,-2.699272,0.001849
CC(C)(Cl)CCl,NC(CF)(CF)CF,0.269803,0.000231,16.472015,38.689453,-3.154778,0.005854,15.514679,-426.597656,-2.511169,0.002859
CC(C)(Cl)CCl,CC(C)CCCC(C)CC=O,0.263307,0.000229,17.997925,-287.412109,-3.178337,0.005311,16.243652,-711.173828,-2.628471,0.002160
CC(C)(Cl)CCl,Cc1coc(C)n1,0.259184,0.000222,18.355530,-366.123047,-3.253731,0.005368,17.182892,-743.009766,-2.694588,0.001811
CC(C)(Cl)CCl,NC(=S)NC(N)=S,0.270557,0.000209,15.124023,939.925781,-3.083679,0.005707,12.635345,284.658203,-2.176682,0.004630
CC(C)(Cl)CCl,FC(F)C(Cl)C(F)F,0.268687,0.000237,17.249268,-328.625000,-3.153763,0.005879,15.941437,-503.419922,-2.493553,0.001519
CC(C)(Cl)CCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268638,0.000217,14.161743,570.945312,-2.604256,0.004368,12.321442,90.857422,-2.320976,0.004198
CC(C)(Cl)CCl,NNC(=O)c1ccccc1,0.282880,0.000245,15.879974,855.794922,-3.103714,0.004722,11.648376,97.500000,-2.276566,0.005365
CC(C)(Cl)CCl,ClC=CBr,0.266489,0.000234,17.190094,-483.560547,-3.084099,0.005778,16.466736,-555.296875,-2.546188,0.000941
CC(C)(Cl)CCl,CN(C)N=O,0.258360,0.000211,18.017120,-175.671875,-3.224442,0.005017,16.278564,-596.843750,-2.526413,0.002196
CC(C)(Cl)CCl,c1ccc(C2CCCCC2)cc1,0.274902,0.000246,16.820557,-255.021484,-3.006844,0.005552,15.321594,-506.156250,-2.559341,0.002262
CC(C)(Cl)CCl,N#Cc1ccncc1,0.257063,0.000218,19.268372,-396.646484,-3.316292,0.005020,17.110962,-828.550781,-2.701363,0.002072
CC(C)(Cl)CCl,CN(C)C(=S)Nc1ccccc1,0.266472,0.000226,18.322113,52.808594,-3.192230,0.004616,14.354065,-464.652344,-2.445366,0.002934
