SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(Cl)C(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.248125,0.000206,19.956482,-453.250000,-3.337692,0.004667,16.981293,-913.046875,-2.717697,0.002001
CC(Cl)C(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.279313,0.000243,17.242249,715.957031,-3.041168,0.003972,11.832611,-127.898438,-2.371910,0.005172
CC(Cl)C(F)Cl,Cc1cccc(CO)c1,0.277304,0.000247,16.859467,358.296875,-3.125778,0.005046,13.940552,-330.628906,-2.549973,0.004289
CC(Cl)C(F)Cl,COC(C)CO,0.257866,0.000216,18.286163,-189.933594,-3.190666,0.004791,17.148010,-844.357422,-2.802917,0.002934
CC(Cl)C(F)Cl,Nc1nc(=O)c2ccccc2o1,0.274181,0.000229,16.469574,1407.042969,-2.931808,0.002625,10.043091,379.085938,-2.302414,0.006793
CC(Cl)C(F)Cl,CC(Cl)Br,0.272494,0.000244,17.122314,-349.656250,-3.106621,0.005899,16.201660,-579.119141,-2.573166,0.001616
CC(Cl)C(F)Cl,CCCOC(F)F,0.271340,0.000241,17.092010,-355.275391,-3.084335,0.005791,16.298615,-624.560547,-2.600464,0.001761
CC(Cl)C(F)Cl,COC1CC2CCC1(C)C2(C)C,0.253343,0.000202,17.058472,-369.591797,-2.896111,0.004481,16.288452,-665.416016,-2.643188,0.002090
CC(Cl)C(F)Cl,CCC(=O)C1=NCCC1,0.248679,0.000200,18.793701,-555.697266,-3.161057,0.004694,17.713409,-897.517578,-2.818138,0.001725
CC(Cl)C(F)Cl,NC(CF)(CF)CF,0.263483,0.000225,17.615753,-166.466797,-3.173882,0.005332,16.324951,-675.164062,-2.614990,0.002514
CC(Cl)C(F)Cl,CC(C)CCCC(C)CC=O,0.256361,0.000214,18.091705,-356.853516,-3.125893,0.004995,16.571472,-792.449219,-2.684929,0.002127
CC(Cl)C(F)Cl,Cc1coc(C)n1,0.248957,0.000200,18.855377,-559.027344,-3.219597,0.004872,17.786591,-869.232422,-2.782852,0.001608
CC(Cl)C(F)Cl,NC(=S)NC(N)=S,0.271114,0.000212,15.448730,799.027344,-3.100784,0.005802,12.946411,192.154297,-2.210754,0.004242
CC(Cl)C(F)Cl,FC(F)C(Cl)C(F)F,0.271318,0.000240,17.064240,-313.365234,-3.140862,0.006045,15.942261,-513.195312,-2.502304,0.001671
CC(Cl)C(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.272879,0.000222,13.823395,602.240234,-2.576820,0.004503,12.644287,67.974609,-2.416245,0.004618
CC(Cl)C(F)Cl,NNC(=O)c1ccccc1,0.277833,0.000242,16.915222,489.609375,-3.124443,0.004841,13.478760,-243.855469,-2.476936,0.004500
CC(Cl)C(F)Cl,ClC=CBr,0.273490,0.000242,16.470947,-322.972656,-3.000900,0.005848,15.938110,-502.546875,-2.547951,0.001668
CC(Cl)C(F)Cl,CN(C)N=O,0.247219,0.000193,19.072388,-452.302734,-3.261795,0.004802,17.985168,-909.457031,-2.808067,0.002106
CC(Cl)C(F)Cl,c1ccc(C2CCCCC2)cc1,0.273499,0.000239,16.474060,-187.652344,-2.925781,0.005255,15.274689,-515.550781,-2.587898,0.002711
CC(Cl)C(F)Cl,N#Cc1ccncc1,0.250698,0.000204,19.173096,-499.953125,-3.238396,0.004780,17.872742,-928.523438,-2.840355,0.002054
CC(Cl)C(F)Cl,CN(C)C(=S)Nc1ccccc1,0.259265,0.000218,18.749268,-189.283203,-3.227211,0.004755,16.057312,-708.582031,-2.629189,0.002525
CC(Cl)C(F)Cl,CCC(N)CC,0.247671,0.000192,17.754791,-365.113281,-3.078201,0.004834,17.032074,-786.115234,-2.690468,0.002036
CC(Cl)C(F)Cl,COC(=O)CO,0.261271,0.000220,17.923828,-168.947266,-3.227440,0.004979,16.238434,-646.707031,-2.590271,0.002515
CC(Cl)C(F)Cl,Cc1c(N)cccc1Cl,0.269756,0.000236,17.194000,-92.658203,-3.111191,0.005364,15.795563,-638.369141,-2.615990,0.002859
CC(Cl)C(F)Cl,CC1CCC(C(C)(C)OO)CC1,0.276310,0.000247,16.788544,375.226562,-3.095879,0.004941,14.673553,-423.646484,-2.686729,0.004668
CC(Cl)C(F)Cl,CC(F)(Cl)CF,0.271283,0.000245,17.768280,-386.615234,-3.221802,0.005945,16.613098,-620.525391,-2.606293,0.001605
CC(Cl)C(F)Cl,CCCCC1OC(C)CC(C)(C)O1,0.253572,0.000206,17.632446,-369.357422,-2.987854,0.004630,16.831909,-835.658203,-2.742447,0.002265
CC(Cl)C(F)Cl,CC(C)(C)OCC1CO1,0.252938,0.000209,18.686554,-478.005859,-3.188301,0.004909,17.571655,-878.759766,-2.813332,0.001958
CC(Cl)C(F)Cl,O=P(O)(O)OP(=O)(O)O,0.214737,0.000110,13.032898,3881.480469,-2.234459,-0.000814,7.282898,2266.587891,-2.312515,0.010507
CC(Cl)C(F)Cl,CC(=O)Nc1ccc(C)cc1,0.277904,0.000247,17.355103,393.681641,-3.100441,0.004571,13.807556,-349.533203,-2.570412,0.004414
CC(Cl)C(F)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.260602,0.000210,18.651215,1.611328,-3.196213,0.004443,14.279510,-476.333984,-2.351585,0.002648
CC(Cl)C(F)Cl,CC(C)(O)CCC1CCCCC1,0.274583,0.000243,16.703583,466.587891,-3.053162,0.004671,13.891937,-308.609375,-2.610504,0.004847
CC(Cl)C(F)Cl,COCC(F)(F)F,0.266695,0.000230,17.062286,-322.541016,-3.052269,0.005455,16.214539,-609.208984,-2.570702,0.001776
CC(Cl)C(F)Cl,COCC(O)COC,0.249054,0.000199,19.352936,-469.570312,-3.284111,0.004704,18.050232,-978.849609,-2.877113,0.002364
CC(Cl)C(F)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.274887,0.000234,16.770111,1074.087891,-3.027985,0.003277,11.865692,14.367188,-2.528366,0.006350
CC(Cl)C(F)Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.276913,0.000235,16.528870,843.898438,-3.065125,0.003932,11.709595,-37.466797,-2.329826,0.005533
CC(Cl)C(F)Cl,CC(C)C(F)F,0.273872,0.000244,16.767273,-318.429688,-3.052536,0.005886,16.079346,-584.349609,-2.588318,0.001885
CC(Cl)C(F)Cl,CCCCC1C=C(C)CC(C)O1,0.253035,0.000203,17.366669,-375.675781,-2.938072,0.004491,16.498138,-730.628906,-2.677917,0.002100
CC(Cl)C(F)Cl,COc1ccc(C(C)=O)cc1,0.256227,0.000218,19.123840,-435.750000,-3.277634,0.005080,17.336548,-873.287109,-2.774933,0.002053
CC(Cl)C(F)Cl,Oc1cc(O)ncn1,0.277246,0.000227,13.668579,1749.878906,-2.871857,0.003946,11.176239,632.529297,-2.492744,0.007740
CC(Cl)C(F)Cl,COCCCCl,0.260229,0.000218,17.441437,-452.357422,-3.062286,0.005253,17.120544,-748.435547,-2.698570,0.001671
CC(Cl)C(F)Cl,CCCOC,0.250441,0.000198,17.497070,-513.052734,-3.012138,0.004866,17.312531,-795.691406,-2.711212,0.001553
CC(Cl)C(F)Cl,Fc1c(F)c(F)c(F)c(F)c1F,0.274987,0.000237,15.539520,-139.523438,-2.795570,0.005339,14.364990,-378.066406,-2.431061,0.002520
CC(Cl)C(F)Cl,CCP(CC)CC,0.253892,0.000204,17.151154,-403.910156,-2.942398,0.004676,16.647675,-686.890625,-2.664635,0.001906
