SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC=CCCC=CCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.249781,0.000202,18.933289,-371.847656,-3.223709,0.004759,15.109680,-546.191406,-2.340576,0.001032
CCC=CCCC=CCO,CC(=O)Nc1ccc(C=O)cc1,0.253054,0.000196,17.762085,-135.066406,-3.138283,0.004831,13.617249,-496.785156,-2.161026,0.002074
CCC=CCCC=CCO,Cc1cccc(CO)c1,0.252329,0.000208,18.201172,-409.302734,-3.231689,0.005185,16.440033,-670.572266,-2.503586,0.001284
CCC=CCCC=CCO,COC(C)CO,0.241635,0.000186,18.567352,-518.279297,-3.235512,0.004816,16.935974,-787.191406,-2.516739,0.001137
CCC=CCCC=CCO,Nc1nc(=O)c2ccccc2o1,0.247325,0.000179,18.037048,132.224609,-3.077698,0.003912,11.685699,-294.148438,-1.925720,0.002626
CCC=CCCC=CCO,CC(Cl)Br,0.275666,0.000239,14.427856,-219.367188,-2.920082,0.007564,16.572662,319.882812,-2.715851,0.000850
CCC=CCCC=CCO,CCCOC(F)F,0.282777,0.000251,14.254669,-98.158203,-2.886856,0.007300,16.110535,283.564453,-2.737160,0.001674
CCC=CCCC=CCO,COC1CC2CCC1(C)C2(C)C,0.256721,0.000200,15.470764,-439.667969,-2.725143,0.005188,16.393616,-147.466797,-2.664917,0.001299
CCC=CCCC=CCO,CCC(=O)C1=NCCC1,0.241087,0.000178,17.234955,-594.660156,-2.904175,0.004416,15.890869,-608.796875,-2.384583,0.000663
CCC=CCCC=CCO,NC(CF)(CF)CF,0.238683,0.000170,17.008179,-456.789062,-2.997253,0.004587,15.438721,-603.234375,-2.231613,0.001046
CCC=CCCC=CCO,CC(C)CCCC(C)CC=O,0.260772,0.000218,16.516388,-391.642578,-2.929970,0.005331,16.798126,-422.552734,-2.671333,0.001304
CCC=CCCC=CCO,Cc1coc(C)n1,0.226890,0.000154,18.773499,-799.722656,-3.121819,0.004267,16.183533,-821.955078,-2.332237,0.000286
CCC=CCCC=CCO,NC(=S)NC(N)=S,0.235307,0.000139,15.569580,111.013672,-2.819389,0.005217,12.621277,-68.402344,-1.803658,0.001562
CCC=CCCC=CCO,FC(F)C(Cl)C(F)F,0.263351,0.000216,15.794678,-379.832031,-3.003754,0.006755,17.097137,18.144531,-2.722954,0.000763
CCC=CCCC=CCO,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265351,0.000209,13.197845,257.417969,-2.541023,0.005848,13.701508,475.181641,-2.451744,0.002244
CCC=CCCC=CCO,NNC(=O)c1ccccc1,0.252790,0.000197,17.514008,-137.125000,-3.179703,0.005147,15.426880,-485.894531,-2.356384,0.001972
CCC=CCCC=CCO,ClC=CBr,0.275944,0.000238,14.231201,-314.513672,-2.866776,0.007496,17.173431,326.228516,-2.828522,0.000847
CCC=CCCC=CCO,CN(C)N=O,0.247021,0.000189,17.596954,-259.392578,-3.147346,0.004916,15.978668,-453.380859,-2.341377,0.001179
CCC=CCCC=CCO,c1ccc(C2CCCCC2)cc1,0.286552,0.000253,13.718445,37.839844,-2.789940,0.007105,15.319916,463.640625,-2.767563,0.002518
CCC=CCCC=CCO,N#Cc1ccncc1,0.238379,0.000175,17.946991,-589.687500,-3.027367,0.004417,16.277863,-712.550781,-2.410179,0.000751
CCC=CCCC=CCO,CN(C)C(=S)Nc1ccccc1,0.236309,0.000163,17.829315,-320.531250,-2.961334,0.003987,13.259369,-409.308594,-2.036415,0.001075
CCC=CCCC=CCO,CCC(N)CC,0.205397,0.000105,18.410706,-937.154297,-3.025246,0.003932,14.282349,-963.398438,-2.046959,0.000203
CCC=CCCC=CCO,COC(=O)CO,0.249811,0.000194,17.089325,-259.935547,-3.195450,0.005422,16.500214,-407.644531,-2.359703,0.001253
CCC=CCCC=CCO,Cc1c(N)cccc1Cl,0.249735,0.000200,17.302277,-427.951172,-3.021156,0.004935,16.725647,-492.287109,-2.548965,0.000799
CCC=CCCC=CCO,CC1CCC(C(C)(C)OO)CC1,0.239609,0.000180,18.044373,-580.214844,-3.082970,0.004561,15.932220,-728.214844,-2.392509,0.000835
CCC=CCCC=CCO,CC(F)(Cl)CF,0.278322,0.000245,14.743683,-78.779297,-2.993408,0.007411,15.938599,273.794922,-2.650734,0.001410
CCC=CCCC=CCO,CCCCC1OC(C)CC(C)(C)O1,0.251453,0.000194,16.374908,-438.931641,-2.785072,0.004499,16.153381,-492.994141,-2.565018,0.001428
CCC=CCCC=CCO,CC(C)(C)OCC1CO1,0.253659,0.000205,16.965271,-445.218750,-2.969131,0.005075,16.882843,-477.439453,-2.611359,0.000983
CCC=CCCC=CCO,O=P(O)(O)OP(=O)(O)O,0.172918,-0.000002,17.851959,-743.994141,-3.067902,0.005508,5.405853,-957.654297,-0.942482,0.001743
CCC=CCCC=CCO,CC(=O)Nc1ccc(C)cc1,0.250107,0.000197,17.923676,-424.166016,-3.134727,0.004997,15.007965,-654.798828,-2.305687,0.001354
CCC=CCCC=CCO,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.258295,0.000196,16.147827,814.654297,-3.021851,0.004362,10.710724,645.222656,-1.910294,0.002816
