SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCC(O)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.189239,0.000077,20.819672,-1140.728516,-3.323921,0.003875,13.510406,-1235.294922,-1.988914,0.000446
CCCCC(O)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.193208,0.000071,19.418213,-804.816406,-3.185081,0.003816,11.502716,-1158.154297,-1.751770,0.001507
CCCCC(O)(F)F,Cc1cccc(CO)c1,0.210185,0.000111,18.787842,-785.773438,-3.152206,0.004216,13.350616,-1047.669922,-2.008675,0.001259
CCCCC(O)(F)F,COC(C)CO,0.171532,0.000025,21.906494,-1272.640625,-3.374710,0.003902,12.917511,-1582.617188,-2.150658,0.001971
CCCCC(O)(F)F,Nc1nc(=O)c2ccccc2o1,0.197910,0.000083,19.278381,-567.763672,-3.105400,0.003590,10.096954,-1029.835938,-1.561630,0.001822
CCCCC(O)(F)F,CC(Cl)Br,0.268364,0.000227,15.568604,-280.736328,-2.918755,0.006232,16.404633,-150.945312,-2.645943,0.001323
CCCCC(O)(F)F,CCCOC(F)F,0.256111,0.000208,17.016754,-576.039062,-2.964752,0.005310,17.735168,-481.544922,-2.803162,0.001170
CCCCC(O)(F)F,COC1CC2CCC1(C)C2(C)C,0.188021,0.000062,18.352844,-1213.818359,-2.837097,0.003277,13.992798,-1081.603516,-2.048531,0.000342
CCCCC(O)(F)F,CCC(=O)C1=NCCC1,0.168547,0.000023,20.854950,-1461.748047,-3.080574,0.003505,12.372772,-1464.884766,-2.028587,0.000675
CCCCC(O)(F)F,NC(CF)(CF)CF,0.169664,0.000022,19.671112,-1296.050781,-3.236809,0.004113,10.828003,-1338.308594,-1.595718,0.000210
CCCCC(O)(F)F,CC(C)CCCC(C)CC=O,0.189709,0.000069,19.812317,-1235.089844,-3.105553,0.003525,14.516205,-1213.347656,-2.126747,0.000451
CCCCC(O)(F)F,Cc1coc(C)n1,0.152838,-0.000013,22.156281,-1583.556641,-3.476753,0.003968,11.728058,-1565.716797,-1.824036,0.000532
CCCCC(O)(F)F,NC(=S)NC(N)=S,0.258824,0.000191,15.735779,700.673828,-2.973930,0.005328,13.995239,106.855469,-2.242271,0.003575
CCCCC(O)(F)F,FC(F)C(Cl)C(F)F,0.267125,0.000229,16.384552,-336.453125,-3.020081,0.006014,16.919952,-337.222656,-2.676163,0.001336
CCCCC(O)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266984,0.000216,14.442230,90.876953,-2.593903,0.004868,14.317505,-30.078125,-2.501419,0.002815
CCCCC(O)(F)F,NNC(=O)c1ccccc1,0.183787,0.000054,20.227570,-994.818359,-3.290649,0.003874,12.144714,-1347.000000,-1.869446,0.001547
