SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCOC(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247750,0.000204,20.382782,-469.117188,-3.414421,0.004624,16.137817,-698.492188,-2.499405,0.001101
CCCCCOC(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.258573,0.000210,18.697174,189.468750,-3.179726,0.003891,13.307739,-335.212891,-2.280800,0.002911
CCCCCOC(C)=O,Cc1cccc(CO)c1,0.246040,0.000201,19.241333,-402.597656,-3.308029,0.004641,16.219269,-735.130859,-2.502693,0.001477
CCCCCOC(C)=O,COC(C)CO,0.259212,0.000218,17.640015,-153.376953,-3.232285,0.005315,16.819000,-574.687500,-2.628174,0.002252
CCCCCOC(C)=O,Nc1nc(=O)c2ccccc2o1,0.241280,0.000166,19.393402,661.763672,-3.047890,0.002212,9.170624,-42.371094,-1.777672,0.004102
CCCCCOC(C)=O,CC(Cl)Br,0.249619,0.000205,18.447632,-682.029297,-3.218452,0.005404,18.319977,-698.177734,-2.758049,0.000525
CCCCCOC(C)=O,CCCOC(F)F,0.260393,0.000225,17.967010,-513.013672,-3.189461,0.005541,17.255402,-661.044922,-2.636971,0.000986
CCCCCOC(C)=O,COC1CC2CCC1(C)C2(C)C,0.261318,0.000220,17.301971,-351.115234,-3.033218,0.005069,16.261841,-581.015625,-2.613213,0.001874
CCCCCOC(C)=O,CCC(=O)C1=NCCC1,0.256103,0.000216,18.394867,-455.855469,-3.212631,0.005165,16.880157,-718.541016,-2.605995,0.001403
CCCCCOC(C)=O,NC(CF)(CF)CF,0.249940,0.000200,18.100037,-277.531250,-3.303917,0.005467,16.829987,-537.193359,-2.521118,0.001590
CCCCCOC(C)=O,CC(C)CCCC(C)CC=O,0.264075,0.000230,17.923096,-328.453125,-3.188789,0.005464,16.416351,-689.451172,-2.621712,0.001914
CCCCCOC(C)=O,Cc1coc(C)n1,0.253509,0.000213,18.701752,-453.015625,-3.319824,0.005365,17.529755,-710.781250,-2.665779,0.001321
CCCCCOC(C)=O,NC(=S)NC(N)=S,0.214323,0.000110,19.975372,-344.724609,-3.209389,0.003660,14.950989,-744.294922,-2.280273,0.002245
CCCCCOC(C)=O,FC(F)C(Cl)C(F)F,0.228135,0.000158,20.658295,-946.703125,-3.518715,0.004757,19.193970,-913.189453,-2.736603,0.000395
CCCCCOC(C)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.241324,0.000175,16.486542,-245.109375,-2.725014,0.003975,15.531952,-527.050781,-2.528908,0.001682
CCCCCOC(C)=O,NNC(=O)c1ccccc1,0.262210,0.000212,17.784424,392.447266,-3.197517,0.004321,12.989594,-138.023438,-2.238609,0.003439
CCCCCOC(C)=O,ClC=CBr,0.246080,0.000191,18.337280,-819.187500,-3.184532,0.005269,18.836761,-677.103516,-2.869911,0.000600
CCCCCOC(C)=O,CN(C)N=O,0.258309,0.000207,17.486938,-125.517578,-3.216919,0.005320,15.561798,-337.189453,-2.326393,0.001823
CCCCCOC(C)=O,c1ccc(C2CCCCC2)cc1,0.263265,0.000226,17.508972,-388.347656,-3.086967,0.005242,16.429535,-601.332031,-2.635506,0.001768
CCCCCOC(C)=O,N#Cc1ccncc1,0.243937,0.000196,19.696625,-562.984375,-3.338409,0.004727,17.549347,-805.132812,-2.653259,0.001094
CCCCCOC(C)=O,CN(C)C(=S)Nc1ccccc1,0.230596,0.000164,20.123260,-439.750000,-3.250290,0.003608,15.637604,-746.207031,-2.393082,0.001318
CCCCCOC(C)=O,CCC(N)CC,0.255498,0.000209,17.195679,-212.720703,-3.207314,0.006187,17.313232,-557.935547,-2.713074,0.002050
CCCCCOC(C)=O,COC(=O)CO,0.254654,0.000207,17.649750,-225.000000,-3.233116,0.005023,16.299316,-424.609375,-2.405045,0.001512
CCCCCOC(C)=O,Cc1c(N)cccc1Cl,0.224863,0.000156,20.531281,-837.400391,-3.389473,0.004104,18.441223,-969.462891,-2.719978,0.000780
