SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C#CCCCCCCCC#C,O=P(Cl)(c1ccccc1)c1ccccc1,0.250683,0.000204,19.384766,-336.306641,-3.340218,0.004801,16.010742,-658.400391,-2.485184,0.001587
C#CCCCCCCCC#C,CC(=O)Nc1ccc(C=O)cc1,0.272380,0.000222,16.601959,973.494141,-3.006744,0.003841,11.421753,228.724609,-2.270004,0.005048
C#CCCCCCCCC#C,Cc1cccc(CO)c1,0.273862,0.000234,16.359528,443.810547,-3.117409,0.005204,13.679382,-114.023438,-2.459373,0.004020
C#CCCCCCCCC#C,COC(C)CO,0.254784,0.000207,17.634155,-118.429688,-3.151672,0.004598,16.735260,-626.179688,-2.645409,0.002544
C#CCCCCCCCC#C,Nc1nc(=O)c2ccccc2o1,0.253343,0.000182,14.618744,2217.541016,-2.714043,0.001355,9.122559,1279.632812,-2.238632,0.007546
C#CCCCCCCCC#C,CC(Cl)Br,0.267938,0.000233,16.753082,-399.535156,-3.107071,0.005847,16.692139,-503.556641,-2.553711,0.001275
C#CCCCCCCCC#C,CCCOC(F)F,0.268654,0.000234,16.751678,-414.082031,-3.051605,0.005642,16.571320,-575.500000,-2.587090,0.001409
C#CCCCCCCCC#C,COC1CC2CCC1(C)C2(C)C,0.248304,0.000192,17.058746,-507.548828,-2.904503,0.004425,16.817749,-600.171875,-2.600044,0.001278
C#CCCCCCCCC#C,CCC(=O)C1=NCCC1,0.247192,0.000195,17.997253,-553.542969,-3.081192,0.004698,17.478485,-770.568359,-2.634041,0.001120
C#CCCCCCCCC#C,NC(CF)(CF)CF,0.259631,0.000204,15.804688,-46.375000,-3.015282,0.005644,15.748840,-310.425781,-2.384254,0.002095
C#CCCCCCCCC#C,CC(C)CCCC(C)CC=O,0.254926,0.000209,17.554291,-434.103516,-3.082108,0.005057,16.876740,-701.539062,-2.610107,0.001438
C#CCCCCCCCC#C,Cc1coc(C)n1,0.247158,0.000195,17.999878,-530.373047,-3.137192,0.004864,17.745178,-751.298828,-2.650505,0.001129
C#CCCCCCCCC#C,NC(=S)NC(N)=S,0.225015,0.000122,15.151672,1236.587891,-3.093925,0.005776,13.564209,1059.322266,-2.113831,0.002428
C#CCCCCCCCC#C,FC(F)C(Cl)C(F)F,0.262501,0.000224,17.102661,-422.236328,-3.195518,0.005924,17.029297,-454.771484,-2.516548,0.001081
C#CCCCCCCCC#C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.259330,0.000200,14.157379,373.841797,-2.696938,0.004939,13.262024,106.878906,-2.325890,0.003211
C#CCCCCCCCC#C,NNC(=O)c1ccccc1,0.276420,0.000227,15.588196,811.960938,-3.058159,0.004980,12.629852,202.691406,-2.298798,0.004675
C#CCCCCCCCC#C,ClC=CBr,0.268351,0.000230,16.184082,-427.953125,-2.998802,0.005698,16.674377,-464.871094,-2.588806,0.001334
C#CCCCCCCCC#C,CN(C)N=O,0.252135,0.000195,17.677307,-178.687500,-3.195290,0.005012,16.428680,-445.658203,-2.408340,0.001648
