SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CCC1=CCCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.255630,0.000202,19.497528,-27.115234,-3.297142,0.004453,12.853821,-312.580078,-2.106728,0.001737
C=CCC1=CCCCC1,CC(=O)Nc1ccc(C=O)cc1,0.264481,0.000199,15.643494,1810.326172,-2.841774,0.002220,8.759888,870.804688,-2.102020,0.006653
C=CCC1=CCCCC1,Cc1cccc(CO)c1,0.279726,0.000239,16.055237,719.626953,-3.099213,0.004564,11.361633,56.410156,-2.179848,0.004740
C=CCC1=CCCCC1,COC(C)CO,0.273001,0.000228,16.073486,365.423828,-3.111191,0.004995,14.079010,-214.318359,-2.383629,0.003744
C=CCC1=CCCCC1,Nc1nc(=O)c2ccccc2o1,0.225728,0.000131,15.143677,3058.156250,-2.574638,-0.000873,6.313629,1940.537109,-2.040718,0.008332
C=CCC1=CCCCC1,CC(Cl)Br,0.265457,0.000231,17.655579,-383.007812,-3.216255,0.005746,16.058350,-480.126953,-2.442619,0.001081
C=CCC1=CCCCC1,CCCOC(F)F,0.271503,0.000240,17.277557,-272.527344,-3.162292,0.005814,15.622559,-484.390625,-2.455650,0.001554
C=CCC1=CCCCC1,COC1CC2CCC1(C)C2(C)C,0.261163,0.000224,18.012573,-367.171875,-3.183624,0.005299,16.398132,-680.667969,-2.590591,0.001716
C=CCC1=CCCCC1,CCC(=O)C1=NCCC1,0.263791,0.000221,17.847443,-145.792969,-3.214691,0.005153,15.235077,-523.695312,-2.421036,0.002156
C=CCC1=CCCCC1,NC(CF)(CF)CF,0.268317,0.000214,15.616730,435.783203,-3.114342,0.005576,13.295441,49.103516,-2.189400,0.003257
C=CCC1=CCCCC1,CC(C)CCCC(C)CC=O,0.265012,0.000230,18.367371,-269.587891,-3.246025,0.005346,15.678894,-648.375000,-2.523018,0.002007
C=CCC1=CCCCC1,Cc1coc(C)n1,0.261484,0.000217,17.749939,-178.816406,-3.231964,0.005258,15.787750,-516.783203,-2.467140,0.001950
C=CCC1=CCCCC1,NC(=S)NC(N)=S,0.202239,0.000079,14.791168,2267.166016,-3.022255,0.003494,10.512421,1737.810547,-2.062378,0.004543
C=CCC1=CCCCC1,FC(F)C(Cl)C(F)F,0.261451,0.000219,17.635925,-284.992188,-3.251595,0.005585,15.538147,-319.509766,-2.286873,0.001071
C=CCC1=CCCCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265023,0.000217,15.482819,279.162109,-2.898552,0.004842,13.093536,-75.894531,-2.229599,0.003036
C=CCC1=CCCCC1,NNC(=O)c1ccccc1,0.266901,0.000202,14.487244,1675.472656,-2.986786,0.003556,9.793427,862.261719,-2.125526,0.006314
C=CCC1=CCCCC1,ClC=CBr,0.266714,0.000232,17.056610,-414.515625,-3.136566,0.005876,16.403503,-522.857422,-2.497955,0.001149
C=CCC1=CCCCC1,CN(C)N=O,0.260076,0.000196,16.599518,400.740234,-3.145752,0.005007,12.934906,86.904297,-2.050850,0.002496
C=CCC1=CCCCC1,c1ccc(C2CCCCC2)cc1,0.276635,0.000253,17.400452,-258.537109,-3.178131,0.006002,15.195801,-554.494141,-2.470825,0.002026
C=CCC1=CCCCC1,N#Cc1ccncc1,0.258997,0.000207,18.158905,-30.208984,-3.196747,0.004628,14.522644,-437.757812,-2.305481,0.002245
C=CCC1=CCCCC1,CN(C)C(=S)Nc1ccccc1,0.259517,0.000198,18.055176,680.279297,-3.179245,0.003864,10.885406,179.542969,-2.010620,0.003478
C=CCC1=CCCCC1,CCC(N)CC,0.262531,0.000219,17.067993,-79.386719,-3.204109,0.005770,16.185455,-536.621094,-2.580231,0.002495
C=CCC1=CCCCC1,COC(=O)CO,0.268809,0.000217,15.849731,472.214844,-3.139786,0.004778,12.838074,124.033203,-2.085793,0.003319
C=CCC1=CCCCC1,Cc1c(N)cccc1Cl,0.264405,0.000214,17.038177,268.810547,-3.167435,0.004758,13.521759,-259.322266,-2.276276,0.003222
C=CCC1=CCCCC1,CC1CCC(C(C)(C)OO)CC1,0.276962,0.000242,16.679535,466.384766,-3.126549,0.004604,13.233887,-277.880859,-2.434525,0.004449
