SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CCCCCCC(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.244174,0.000177,19.569061,134.255859,-3.344521,0.004424,12.724976,-75.722656,-2.060654,0.001202
C=CCCCCCC(C)C,CC(=O)Nc1ccc(C=O)cc1,0.244381,0.000160,15.782501,2074.060547,-2.881729,0.001801,8.510345,1291.345703,-2.071487,0.006007
C=CCCCCCC(C)C,Cc1cccc(CO)c1,0.277650,0.000233,15.861511,743.449219,-3.098633,0.004525,11.217590,169.726562,-2.107552,0.004539
C=CCCCCCC(C)C,COC(C)CO,0.270783,0.000221,15.801636,407.443359,-3.114891,0.004984,13.964233,-77.937500,-2.299202,0.003579
C=CCCCCCC(C)C,Nc1nc(=O)c2ccccc2o1,0.199907,0.000086,15.300568,3425.396484,-2.524956,-0.001661,6.085266,2416.406250,-2.063164,0.007705
C=CCCCCCC(C)C,CC(Cl)Br,0.264117,0.000226,17.470032,-353.804688,-3.221519,0.005749,15.893372,-379.228516,-2.380119,0.000895
C=CCCCCCC(C)C,CCCOC(F)F,0.269423,0.000234,17.115265,-261.164062,-3.172531,0.005814,15.618011,-395.462891,-2.408981,0.001320
C=CCCCCCC(C)C,COC1CC2CCC1(C)C2(C)C,0.259205,0.000221,18.166840,-398.113281,-3.223091,0.005314,16.706238,-686.908203,-2.594620,0.001542
C=CCCCCCC(C)C,CCC(=O)C1=NCCC1,0.261699,0.000213,17.514862,-91.587891,-3.201324,0.005089,14.988464,-398.464844,-2.331841,0.002002
C=CCCCCCC(C)C,NC(CF)(CF)CF,0.261068,0.000198,15.174286,514.343750,-3.169434,0.005879,13.534668,273.550781,-2.133095,0.002899
C=CCCCCCC(C)C,CC(C)CCCC(C)CC=O,0.264290,0.000226,18.247253,-261.679688,-3.245094,0.005333,15.494080,-584.054688,-2.460861,0.001807
C=CCCCCCC(C)C,Cc1coc(C)n1,0.258785,0.000209,17.515320,-164.615234,-3.232079,0.005278,15.788940,-411.470703,-2.394104,0.001709
C=CCCCCCC(C)C,NC(=S)NC(N)=S,0.176364,0.000036,14.219818,2666.169922,-2.950027,0.002987,11.068970,2323.482422,-2.105286,0.004211
C=CCCCCCC(C)C,FC(F)C(Cl)C(F)F,0.257677,0.000208,17.209686,-212.503906,-3.286674,0.005882,15.336578,-133.113281,-2.175194,0.000744
C=CCCCCCC(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263998,0.000214,15.566040,270.121094,-2.961540,0.005039,12.890808,59.787109,-2.133324,0.002598
C=CCCCCCC(C)C,NNC(=O)c1ccccc1,0.245714,0.000161,14.600555,1902.148438,-3.058319,0.003354,9.790558,1255.753906,-2.125153,0.005665
C=CCCCCCC(C)C,ClC=CBr,0.265428,0.000229,16.930450,-401.509766,-3.160133,0.005913,16.479858,-450.988281,-2.468391,0.001008
C=CCCCCCC(C)C,CN(C)N=O,0.243412,0.000163,16.694885,606.962891,-3.198387,0.004786,12.808960,423.583984,-2.010635,0.002068
C=CCCCCCC(C)C,c1ccc(C2CCCCC2)cc1,0.275511,0.000249,17.277100,-251.566406,-3.186218,0.005985,15.116974,-490.970703,-2.431000,0.001861
C=CCCCCCC(C)C,N#Cc1ccncc1,0.254827,0.000196,18.009125,4.210938,-3.194359,0.004493,14.263397,-308.876953,-2.201813,0.001964
C=CCCCCCC(C)C,CN(C)C(=S)Nc1ccccc1,0.241298,0.000161,18.125793,989.150391,-3.224342,0.003469,10.269379,596.769531,-1.964798,0.003126
C=CCCCCCC(C)C,CCC(N)CC,0.260406,0.000214,17.075104,-108.042969,-3.222099,0.005710,16.343903,-499.443359,-2.554741,0.002250
C=CCCCCCC(C)C,COC(=O)CO,0.254098,0.000187,15.931641,627.603516,-3.197083,0.004711,12.829498,439.699219,-2.012978,0.002638
C=CCCCCCC(C)C,Cc1c(N)cccc1Cl,0.261814,0.000206,16.769714,366.058594,-3.160385,0.004646,13.184326,-106.484375,-2.200798,0.003205
C=CCCCCCC(C)C,CC1CCC(C(C)(C)OO)CC1,0.274873,0.000237,16.691498,461.722656,-3.135490,0.004541,13.198792,-238.318359,-2.396736,0.004210
C=CCCCCCC(C)C,CC(F)(Cl)CF,0.266185,0.000225,17.180450,-244.750000,-3.200142,0.005729,14.996826,-251.609375,-2.225098,0.001074
C=CCCCCCC(C)C,CCCCC1OC(C)CC(C)(C)O1,0.260711,0.000222,18.195984,-310.933594,-3.224411,0.005181,16.422913,-708.542969,-2.592262,0.002004
C=CCCCCCC(C)C,CC(C)(C)OCC1CO1,0.264361,0.000223,17.640503,-225.876953,-3.222832,0.005390,15.855377,-502.203125,-2.461906,0.001812
C=CCCCCCC(C)C,O=P(O)(O)OP(=O)(O)O,0.145331,-0.000004,13.310089,4863.632812,-1.869705,-0.002913,5.528778,3740.871094,-1.956245,0.008115
C=CCCCCCC(C)C,CC(=O)Nc1ccc(C)cc1,0.272637,0.000217,16.003418,1237.847656,-3.012428,0.003493,9.972961,508.289062,-2.098602,0.005421
C=CCCCCCC(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.199761,0.000082,17.376129,1810.609375,-3.272644,0.002910,9.707153,1616.978516,-1.942101,0.002900
C=CCCCCCC(C)C,CC(C)(O)CCC1CCCCC1,0.282313,0.000249,16.573608,602.298828,-3.100426,0.004587,11.847931,-52.496094,-2.285072,0.004463
C=CCCCCCC(C)C,COCC(F)(F)F,0.267379,0.000224,16.441345,-83.121094,-3.122269,0.005615,15.156189,-224.439453,-2.299973,0.001678
C=CCCCCCC(C)C,COCC(O)COC,0.265852,0.000214,16.418579,84.720703,-3.143936,0.005226,14.764252,-237.203125,-2.260818,0.002409
C=CCCCCCC(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.234823,0.000144,15.074646,2529.365234,-2.849358,0.000757,8.373871,1456.185547,-2.254578,0.007554
C=CCCCCCC(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.216161,0.000109,14.883759,2458.984375,-2.934341,0.001031,8.748169,1640.599609,-2.103935,0.006541
C=CCCCCCC(C)C,CC(C)C(F)F,0.273875,0.000243,16.703949,-278.685547,-3.167961,0.006154,15.683105,-386.332031,-2.424088,0.001413
C=CCCCCCC(C)C,CCCCC1C=C(C)CC(C)O1,0.259412,0.000221,18.248138,-372.976562,-3.220955,0.005220,16.529907,-688.607422,-2.591789,0.001667
C=CCCCCCC(C)C,COc1ccc(C(C)=O)cc1,0.262791,0.000208,17.582001,114.939453,-3.185745,0.004946,13.083221,-133.810547,-2.098724,0.001982
C=CCCCCCC(C)C,Oc1cc(O)ncn1,0.235947,0.000142,12.574402,2579.212891,-2.801674,0.002090,9.859589,1641.179688,-2.282608,0.007641
C=CCCCCCC(C)C,COCCCCl,0.266286,0.000223,16.917297,-190.582031,-3.149132,0.005544,15.641144,-419.312500,-2.415474,0.001712
C=CCCCCCC(C)C,CCCOC,0.259493,0.000220,17.630951,-388.835938,-3.218338,0.005497,17.329407,-659.691406,-2.631676,0.001467
C=CCCCCCC(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.272001,0.000239,16.307190,-216.720703,-3.057121,0.005955,14.626831,-349.271484,-2.306747,0.001609
C=CCCCCCC(C)C,CCP(CC)CC,0.259174,0.000222,18.304565,-401.521484,-3.259087,0.005386,16.694580,-681.298828,-2.580826,0.001485
C=CCCCCCC(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.262845,0.000224,18.605927,-234.570312,-3.241623,0.005013,15.591827,-668.417969,-2.529022,0.002176
C=CCCCCCC(C)C,Fc1cc(F)c(F)cc1F,0.267999,0.000233,17.248291,-275.347656,-3.209274,0.005875,15.353485,-406.519531,-2.370041,0.001426
C=CCCCCCC(C)C,CCCCc1ccc(C(=O)O)cc1,0.274823,0.000231,16.482513,761.947266,-3.103645,0.004170,11.504517,21.523438,-2.232407,0.004771
C=CCCCCCC(C)C,C=Cc1c(C)cc(C)cc1C,0.274087,0.000247,17.421356,-288.564453,-3.208252,0.005975,15.354401,-492.302734,-2.442917,0.001691
C=CCCCCCC(C)C,C=C(C)C(=O)OC(C)(C)C,0.261065,0.000222,18.485260,-334.857422,-3.280235,0.005355,15.679199,-570.298828,-2.449898,0.001394
C=CCCCCCC(C)C,FC1CCCN1,0.264915,0.000216,16.720123,69.900391,-3.150566,0.005107,14.521759,-166.363281,-2.259293,0.002165
C=CCCCCCC(C)C,CCCCCCCC(=O)NC,0.276603,0.000231,16.768707,962.281250,-2.996017,0.003554,10.549622,212.703125,-2.149658,0.005001
C=CCCCCCC(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.273204,0.000233,15.282379,149.082031,-3.002289,0.006056,13.930542,-65.355469,-2.289375,0.002512
C=CCCCCCC(C)C,C1=CC2C=CC1C2,0.273458,0.000246,16.986969,-316.466797,-3.183525,0.006170,16.040192,-502.519531,-2.508224,0.001556
C=CCCCCCC(C)C,CCC(C)(O)CCC=C(C)C,0.278412,0.000244,16.748047,440.498047,-3.137650,0.004768,12.642822,-183.500000,-2.333305,0.004080
C=CCCCCCC(C)C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.263534,0.000222,18.490295,83.082031,-3.210381,0.004443,14.944550,-541.341797,-2.664047,0.003173
C=CCCCCCC(C)C,CCC(C)CCF,0.273536,0.000246,17.085083,-304.884766,-3.175941,0.006071,16.115631,-552.636719,-2.533234,0.001689
C=CCCCCCC(C)C,C=Cc1cccc(CC)c1,0.273135,0.000245,17.385468,-283.134766,-3.214783,0.005960,15.361053,-482.291016,-2.429291,0.001703
C=CCCCCCC(C)C,CC(C)(C(O)(F)F)C(F)(F)F,0.248965,0.000193,17.180450,-28.251953,-3.213951,0.004968,15.674896,-322.841797,-2.370796,0.001993
C=CCCCCCC(C)C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.272534,0.000243,16.709991,-364.171875,-3.055176,0.005836,15.542694,-502.871094,-2.485733,0.001464
C=CCCCCCC(C)C,CCN(CC)c1ccc(N)cc1,0.263455,0.000206,16.754333,503.726562,-3.158745,0.004455,13.084198,-89.011719,-2.247696,0.003738
C=CCCCCCC(C)C,FC(F)CC(F)(F)F,0.267256,0.000223,16.381195,-51.371094,-3.178848,0.006036,14.270447,-25.099609,-2.107391,0.001268
C=CCCCCCC(C)C,N#CCCOCCC#N,0.211765,0.000106,18.296021,1256.031250,-3.311333,0.003633,9.922974,1182.658203,-1.826653,0.001668
C=CCCCCCC(C)C,CCC(C)C(C)C(C)C,0.272962,0.000246,17.046570,-323.017578,-3.109680,0.005950,15.563599,-512.333984,-2.502151,0.001619
C=CCCCCCC(C)C,Cn1c(=O)ccc2ccccc21,0.242823,0.000166,18.226990,501.818359,-3.238564,0.004320,12.641754,176.623047,-2.080635,0.001885
C=CCCCCCC(C)C,CCOC(=O)c1ccccc1N,0.270319,0.000223,16.911255,422.042969,-3.120407,0.004452,12.450775,-87.689453,-2.180557,0.003587
C=CCCCCCC(C)C,ClC1CN2CCC1CC2,0.260686,0.000217,17.867371,-243.433594,-3.230148,0.005181,16.023468,-493.351562,-2.477051,0.001615
C=CCCCCCC(C)C,CC=CCCCCCCCC#N,0.264799,0.000221,18.423431,-112.175781,-3.222298,0.005035,13.775177,-405.138672,-2.246147,0.001885
C=CCCCCCC(C)C,COCCl,0.263159,0.000215,16.698334,-126.173828,-3.179047,0.005694,15.047668,-156.359375,-2.208221,0.001163
C=CCCCCCC(C)C,NCCc1cccnc1,0.255775,0.000183,15.896851,751.871094,-3.248260,0.005298,13.189728,269.765625,-2.220886,0.003555
C=CCCCCCC(C)C,Cc1cccc(C(=O)O)c1,0.272277,0.000224,16.312775,742.767578,-3.112244,0.004132,11.269836,127.390625,-2.110703,0.004434
C=CCCCCCC(C)C,C=CCNC,0.263962,0.000221,16.960297,-148.181641,-3.202461,0.005638,16.233521,-479.482422,-2.515747,0.002056
C=CCCCCCC(C)C,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.260044,0.000199,13.360107,478.039062,-2.673904,0.005201,12.621735,346.859375,-2.307175,0.003473
C=CCCCCCC(C)C,CC(CO)C(F)(F)F,0.276815,0.000231,14.828369,809.763672,-3.043571,0.004895,12.244263,295.800781,-2.227989,0.004560
C=CCCCCCC(C)C,CC(C)C(=O)C(F)(F)F,0.273124,0.000239,16.859253,-157.423828,-3.156425,0.005920,14.736877,-332.851562,-2.317665,0.001764
C=CCCCCCC(C)C,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.264349,0.000213,15.669464,306.947266,-2.964386,0.005135,12.998169,28.152344,-2.215065,0.002895
C=CCCCCCC(C)C,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.265494,0.000227,18.810059,-135.296875,-3.215652,0.004855,14.118439,-546.765625,-2.373474,0.002255
C=CCCCCCC(C)C,C=CCN(C)CC=C,0.264482,0.000226,17.313232,-301.675781,-3.157631,0.005432,16.376953,-590.029297,-2.555260,0.001779
C=CCCCCCC(C)C,COCC(F)C(F)(F)F,0.272336,0.000230,16.020081,52.193359,-3.075951,0.005677,14.499054,-183.361328,-2.285210,0.002196
C=CCCCCCC(C)C,CNC(C)(C)C,0.259318,0.000215,17.563599,-196.617188,-3.228554,0.005385,16.633423,-602.783203,-2.585640,0.002055
