SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCC(=O)CCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.246614,0.000200,20.174927,-448.474609,-3.411827,0.004652,15.973450,-639.406250,-2.446136,0.001006
CCCCCC(=O)CCC,CC(=O)Nc1ccc(C=O)cc1,0.256138,0.000205,18.581879,203.166016,-3.175537,0.003831,13.274170,-266.701172,-2.238098,0.002721
CCCCCC(=O)CCC,Cc1cccc(CO)c1,0.243031,0.000192,18.960754,-424.572266,-3.240860,0.004483,15.842346,-690.449219,-2.419899,0.001240
CCCCCC(=O)CCC,COC(C)CO,0.256488,0.000211,17.435760,-157.125000,-3.229889,0.005409,16.948364,-516.761719,-2.594521,0.002012
CCCCCC(=O)CCC,Nc1nc(=O)c2ccccc2o1,0.240045,0.000161,19.090027,747.767578,-2.983841,0.002087,8.292419,51.595703,-1.630821,0.004258
CCCCCC(=O)CCC,CC(Cl)Br,0.247590,0.000201,18.441772,-705.613281,-3.213875,0.005362,18.219055,-672.580078,-2.708763,0.000311
CCCCCC(=O)CCC,CCCOC(F)F,0.258584,0.000221,17.762726,-522.412109,-3.153503,0.005477,17.152252,-623.425781,-2.598396,0.000797
CCCCCC(=O)CCC,COC1CC2CCC1(C)C2(C)C,0.257620,0.000215,17.506134,-415.927734,-3.061966,0.005058,16.470886,-577.134766,-2.613953,0.001571
CCCCCC(=O)CCC,CCC(=O)C1=NCCC1,0.252732,0.000210,18.355713,-503.267578,-3.215126,0.005141,17.086578,-687.683594,-2.586403,0.001082
CCCCCC(=O)CCC,NC(CF)(CF)CF,0.250464,0.000198,17.440491,-193.333984,-3.265800,0.005714,16.656250,-371.587891,-2.433426,0.001465
CCCCCC(=O)CCC,CC(C)CCCC(C)CC=O,0.259806,0.000224,18.193695,-419.691406,-3.210320,0.005384,16.736511,-699.412109,-2.619843,0.001501
CCCCCC(=O)CCC,Cc1coc(C)n1,0.251758,0.000210,18.581787,-455.568359,-3.327805,0.005460,17.703186,-674.027344,-2.662796,0.001183
CCCCCC(=O)CCC,NC(=S)NC(N)=S,0.221340,0.000118,18.832611,-97.455078,-3.117302,0.004183,13.776581,-461.275391,-2.045753,0.002245
CCCCCC(=O)CCC,FC(F)C(Cl)C(F)F,0.228460,0.000157,20.079163,-912.408203,-3.452332,0.004727,18.611115,-811.927734,-2.600006,0.000248
CCCCCC(=O)CCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.237842,0.000167,16.344604,-230.716797,-2.750160,0.004101,15.006866,-405.880859,-2.407188,0.001481
CCCCCC(=O)CCC,NNC(=O)c1ccccc1,0.260886,0.000207,17.524658,447.994141,-3.169846,0.004474,12.994843,-35.726562,-2.203484,0.003328
CCCCCC(=O)CCC,ClC=CBr,0.244542,0.000189,18.298492,-842.843750,-3.180664,0.005338,18.871735,-657.306641,-2.829620,0.000339
CCCCCC(=O)CCC,CN(C)N=O,0.255584,0.000201,17.198669,-110.697266,-3.212631,0.005431,15.812103,-260.535156,-2.288986,0.001623
CCCCCC(=O)CCC,c1ccc(C2CCCCC2)cc1,0.260061,0.000221,17.642975,-445.632812,-3.091736,0.005183,16.504303,-605.648438,-2.607742,0.001488
CCCCCC(=O)CCC,N#Cc1ccncc1,0.241335,0.000189,19.485718,-577.007812,-3.326385,0.004693,17.685669,-772.300781,-2.635452,0.000968
CCCCCC(=O)CCC,CN(C)C(=S)Nc1ccccc1,0.234014,0.000168,19.499664,-355.175781,-3.189552,0.003624,15.429535,-619.033203,-2.332237,0.001258
CCCCCC(=O)CCC,CCC(N)CC,0.253085,0.000205,17.227753,-232.859375,-3.224419,0.006231,17.466400,-534.097656,-2.719482,0.001895
CCCCCC(=O)CCC,COC(=O)CO,0.250507,0.000198,17.464630,-212.781250,-3.229912,0.005120,16.122803,-325.806641,-2.293556,0.001249
CCCCCC(=O)CCC,Cc1c(N)cccc1Cl,0.223722,0.000153,20.523926,-837.937500,-3.398293,0.004052,18.342316,-934.781250,-2.660263,0.000655
CCCCCC(=O)CCC,CC1CCC(C(C)(C)OO)CC1,0.225168,0.000158,19.356750,-728.371094,-3.137894,0.003776,16.171692,-826.097656,-2.399284,0.000497
CCCCCC(=O)CCC,CC(F)(Cl)CF,0.252795,0.000212,18.431793,-570.169922,-3.257645,0.005434,17.490082,-646.777344,-2.605293,0.000664
CCCCCC(=O)CCC,CCCCC1OC(C)CC(C)(C)O1,0.259982,0.000222,17.863800,-377.066406,-3.136482,0.005226,16.632904,-701.582031,-2.632332,0.001709
CCCCCC(=O)CCC,CC(C)(C)OCC1CO1,0.260741,0.000227,18.390106,-443.806641,-3.273117,0.005537,17.250610,-690.259766,-2.659904,0.001347
CCCCCC(=O)CCC,O=P(O)(O)OP(=O)(O)O,0.168189,-0.000014,19.015472,-587.390625,-3.044167,0.004705,2.960754,-947.564453,-0.690308,0.002601
CCCCCC(=O)CCC,CC(=O)Nc1ccc(C)cc1,0.257188,0.000214,18.714417,-102.466797,-3.201012,0.004333,15.076233,-537.941406,-2.456245,0.002156
CCCCCC(=O)CCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242591,0.000166,18.247742,402.431641,-3.287193,0.004863,12.827118,247.107422,-2.013489,0.001634
CCCCCC(=O)CCC,CC(C)(O)CCC1CCCCC1,0.256616,0.000216,18.132385,-128.705078,-3.216713,0.005058,15.887970,-566.896484,-2.580956,0.002343
CCCCCC(=O)CCC,COCC(F)(F)F,0.256835,0.000216,17.548340,-429.554688,-3.177818,0.005485,16.929199,-514.607422,-2.534897,0.000911
CCCCCC(=O)CCC,COCC(O)COC,0.256708,0.000211,17.503326,-289.056641,-3.265923,0.005770,17.177460,-532.490234,-2.560989,0.001565
CCCCCC(=O)CCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.249481,0.000193,19.618134,545.433594,-3.149780,0.002510,11.887177,-195.851562,-2.197006,0.003830
CCCCCC(=O)CCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.198614,0.000091,21.200592,-725.962891,-3.277817,0.002770,13.724365,-962.976562,-1.996178,0.001297
CCCCCC(=O)CCC,CC(C)C(F)F,0.263151,0.000226,17.227142,-470.351562,-3.103043,0.005685,16.903168,-554.015625,-2.611313,0.001047
CCCCCC(=O)CCC,CCCCC1C=C(C)CC(C)O1,0.257195,0.000217,17.794525,-406.673828,-3.099182,0.005039,16.537933,-648.484375,-2.613289,0.001539
CCCCCC(=O)CCC,COc1ccc(C(C)=O)cc1,0.258504,0.000216,18.545074,-305.943359,-3.298271,0.005425,15.963165,-538.316406,-2.473541,0.001518
CCCCCC(=O)CCC,Oc1cc(O)ncn1,0.217922,0.000123,18.691406,-252.148438,-3.114250,0.003530,13.280396,-694.263672,-1.985214,0.002107
CCCCCC(=O)CCC,COCCCCl,0.262194,0.000224,17.417450,-418.568359,-3.144539,0.005614,16.851868,-617.212891,-2.593010,0.001268
CCCCCC(=O)CCC,CCCOC,0.257911,0.000216,17.161713,-463.419922,-3.081665,0.005381,17.157104,-619.238281,-2.654739,0.001229
CCCCCC(=O)CCC,Fc1c(F)c(F)c(F)c(F)c1F,0.257230,0.000211,16.659668,-388.203125,-2.967896,0.005227,15.731689,-445.707031,-2.472588,0.001242
CCCCCC(=O)CCC,CCP(CC)CC,0.257417,0.000218,17.880951,-455.697266,-3.161880,0.005410,16.824432,-651.388672,-2.602242,0.001214
CCCCCC(=O)CCC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261466,0.000227,18.252319,-298.384766,-3.207779,0.005222,16.603943,-737.810547,-2.675621,0.002134
CCCCCC(=O)CCC,Fc1cc(F)c(F)cc1F,0.246168,0.000196,18.644684,-701.240234,-3.211960,0.005111,17.517548,-738.689453,-2.646896,0.000594
CCCCCC(=O)CCC,CCCCc1ccc(C(=O)O)cc1,0.214441,0.000129,19.554779,-920.646484,-3.131195,0.003624,15.514862,-915.603516,-2.237099,0.000328
CCCCCC(=O)CCC,C=Cc1c(C)cc(C)cc1C,0.260407,0.000223,17.847870,-462.431641,-3.148689,0.005372,16.758942,-635.470703,-2.622162,0.001353
CCCCCC(=O)CCC,C=C(C)C(=O)OC(C)(C)C,0.258232,0.000223,18.411621,-465.900391,-3.252914,0.005449,16.872192,-686.132812,-2.607437,0.001217
CCCCCC(=O)CCC,FC1CCCN1,0.249269,0.000204,18.452332,-442.738281,-3.281113,0.005139,17.576874,-613.041016,-2.590454,0.001001
CCCCCC(=O)CCC,CCCCCCCC(=O)NC,0.263765,0.000225,18.231476,111.843750,-3.184265,0.004706,14.942169,-457.439453,-2.542168,0.003006
CCCCCC(=O)CCC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.253492,0.000199,15.933624,-38.359375,-2.903435,0.005139,14.929016,-290.925781,-2.435287,0.002063
