SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCC(=O)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.247118,0.000201,20.115967,-449.630859,-3.407845,0.004692,16.021698,-639.822266,-2.451683,0.001000
CCCCCCC(=O)CC,CC(=O)Nc1ccc(C=O)cc1,0.255825,0.000204,18.619476,202.337891,-3.173950,0.003797,13.250610,-272.960938,-2.233955,0.002735
CCCCCCC(=O)CC,Cc1cccc(CO)c1,0.242382,0.000191,18.965546,-427.513672,-3.236702,0.004467,15.813538,-691.349609,-2.414200,0.001227
CCCCCCC(=O)CC,COC(C)CO,0.256353,0.000211,17.431030,-160.238281,-3.227158,0.005392,16.977875,-527.017578,-2.601448,0.002018
CCCCCCC(=O)CC,Nc1nc(=O)c2ccccc2o1,0.240051,0.000161,19.127808,727.552734,-2.986534,0.002109,8.297211,39.335938,-1.627060,0.004192
CCCCCCC(=O)CC,CC(Cl)Br,0.247843,0.000201,18.379272,-710.992188,-3.209541,0.005394,18.258392,-662.978516,-2.718353,0.000319
CCCCCCC(=O)CC,CCCOC(F)F,0.258696,0.000220,17.688934,-515.994141,-3.143875,0.005490,17.136932,-614.208984,-2.597878,0.000822
CCCCCCC(=O)CC,COC1CC2CCC1(C)C2(C)C,0.258132,0.000216,17.457123,-411.779297,-3.050568,0.005056,16.446320,-569.835938,-2.609459,0.001582
CCCCCCC(=O)CC,CCC(=O)C1=NCCC1,0.252773,0.000210,18.362885,-504.078125,-3.210258,0.005131,17.079254,-692.009766,-2.588081,0.001078
CCCCCCC(=O)CC,NC(CF)(CF)CF,0.250075,0.000197,17.474823,-190.375000,-3.265854,0.005688,16.644928,-373.628906,-2.433182,0.001465
CCCCCCC(=O)CC,CC(C)CCCC(C)CC=O,0.259843,0.000224,18.126343,-417.095703,-3.200859,0.005389,16.675140,-690.205078,-2.609543,0.001484
CCCCCCC(=O)CC,Cc1coc(C)n1,0.251700,0.000209,18.546570,-450.902344,-3.317268,0.005429,17.643494,-674.988281,-2.657463,0.001195
CCCCCCC(=O)CC,NC(=S)NC(N)=S,0.220197,0.000116,18.977570,-127.125000,-3.129456,0.004191,13.833893,-479.255859,-2.051262,0.002187
CCCCCCC(=O)CC,FC(F)C(Cl)C(F)F,0.228838,0.000157,20.000916,-914.220703,-3.438950,0.004755,18.666443,-802.246094,-2.615471,0.000254
CCCCCCC(=O)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238038,0.000167,16.306213,-236.439453,-2.736618,0.004072,15.020020,-417.244141,-2.405846,0.001475
CCCCCCC(=O)CC,NNC(=O)c1ccccc1,0.260808,0.000207,17.582001,418.242188,-3.168159,0.004503,13.046265,-58.677734,-2.202316,0.003244
