SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCOCCOCCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.250111,0.000208,19.256165,-436.246094,-3.310768,0.004896,17.353668,-676.958984,-2.639793,0.000973
CCCCCCOCCOCCO,CC(=O)Nc1ccc(C=O)cc1,0.244180,0.000183,18.128235,-356.626953,-3.123520,0.004512,15.242004,-656.632812,-2.315552,0.001427
CCCCCCOCCOCCO,Cc1cccc(CO)c1,0.232587,0.000168,18.599670,-789.214844,-3.147438,0.004537,17.118378,-759.343750,-2.464943,0.000077
CCCCCCOCCOCCO,COC(C)CO,0.244154,0.000192,17.937469,-515.013672,-3.155151,0.004863,18.055023,-712.537109,-2.659149,0.000772
CCCCCCOCCOCCO,Nc1nc(=O)c2ccccc2o1,0.220781,0.000128,19.138702,-227.128906,-3.063728,0.003421,11.488068,-661.781250,-1.759537,0.001783
CCCCCCOCCOCCO,CC(Cl)Br,0.261338,0.000216,16.347961,-591.273438,-3.003845,0.006004,19.086670,-369.363281,-2.973328,0.000909
CCCCCCOCCOCCO,CCCOC(F)F,0.272213,0.000236,15.870636,-432.619141,-2.935020,0.005853,18.056335,-362.013672,-2.879211,0.001494
CCCCCCOCCOCCO,COC1CC2CCC1(C)C2(C)C,0.261205,0.000208,15.543823,-372.148438,-2.696571,0.004637,17.027710,-252.933594,-2.790833,0.001979
CCCCCCOCCOCCO,CCC(=O)C1=NCCC1,0.246060,0.000193,17.285583,-643.558594,-2.963943,0.004723,18.095764,-631.265625,-2.690437,0.000422
CCCCCCOCCOCCO,NC(CF)(CF)CF,0.238392,0.000180,17.721069,-528.449219,-3.121445,0.004720,17.626068,-591.226562,-2.509735,0.000429
CCCCCCOCCOCCO,CC(C)CCCC(C)CC=O,0.259963,0.000216,16.596466,-416.763672,-2.939377,0.005163,17.313019,-501.917969,-2.729431,0.001393
CCCCCCOCCOCCO,Cc1coc(C)n1,0.232018,0.000168,18.662201,-786.533203,-3.151253,0.004520,17.802673,-810.939453,-2.562782,0.000131
CCCCCCOCCOCCO,NC(=S)NC(N)=S,0.202142,0.000066,18.494293,-776.976562,-2.994301,0.003962,13.562408,-772.851562,-1.909332,0.001485
CCCCCCOCCOCCO,FC(F)C(Cl)C(F)F,0.238956,0.000165,18.350464,-857.203125,-3.267632,0.005326,19.975952,-604.216797,-2.910080,0.000785
CCCCCCOCCOCCO,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247545,0.000172,14.271820,-130.962891,-2.457397,0.004264,15.755524,-21.560547,-2.655441,0.002112
CCCCCCOCCOCCO,NNC(=O)c1ccccc1,0.245917,0.000186,18.350677,-146.986328,-3.225670,0.004595,15.790649,-536.417969,-2.416084,0.001799
CCCCCCOCCOCCO,ClC=CBr,0.258741,0.000204,16.261963,-734.896484,-2.955704,0.005743,19.913910,-320.291016,-3.157722,0.001162
CCCCCCOCCOCCO,CN(C)N=O,0.248105,0.000193,17.379761,-303.359375,-3.183151,0.005136,17.554443,-465.962891,-2.491577,0.001073
CCCCCCOCCOCCO,c1ccc(C2CCCCC2)cc1,0.274557,0.000234,15.320190,-274.330078,-2.800797,0.005598,17.077179,-239.066406,-2.857765,0.002394
