SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCOC(=O)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.246746,0.000200,20.272827,-421.808594,-3.411552,0.004556,15.848572,-635.253906,-2.445045,0.001101
CCCCCOC(=O)CC,CC(=O)Nc1ccc(C=O)cc1,0.259136,0.000209,18.564575,303.470703,-3.164337,0.003731,12.978210,-220.269531,-2.244324,0.003078
CCCCCOC(=O)CC,Cc1cccc(CO)c1,0.247186,0.000202,19.206238,-340.433594,-3.303230,0.004564,16.090210,-686.464844,-2.494179,0.001538
CCCCCOC(=O)CC,COC(C)CO,0.259321,0.000216,17.466827,-104.099609,-3.230957,0.005289,16.647675,-498.998047,-2.600159,0.002306
CCCCCOC(=O)CC,Nc1nc(=O)c2ccccc2o1,0.243199,0.000167,19.112579,817.113281,-3.008751,0.002065,8.603180,112.792969,-1.711723,0.004386
CCCCCOC(=O)CC,CC(Cl)Br,0.247178,0.000200,18.686737,-699.724609,-3.251656,0.005329,18.459961,-706.777344,-2.765015,0.000502
CCCCCOC(=O)CC,CCCOC(F)F,0.259200,0.000224,18.116516,-507.855469,-3.214706,0.005513,17.291077,-657.429688,-2.632843,0.000949
CCCCCOC(=O)CC,COC1CC2CCC1(C)C2(C)C,0.259216,0.000219,17.567657,-380.855469,-3.082581,0.005118,16.375214,-622.919922,-2.601364,0.001668
CCCCCOC(=O)CC,CCC(=O)C1=NCCC1,0.254016,0.000212,18.435242,-465.486328,-3.219620,0.005098,16.968933,-704.722656,-2.594604,0.001321
CCCCCOC(=O)CC,NC(CF)(CF)CF,0.250205,0.000198,17.877197,-230.210938,-3.290215,0.005476,16.457886,-429.636719,-2.437149,0.001490
CCCCCOC(=O)CC,CC(C)CCCC(C)CC=O,0.261306,0.000227,18.223724,-376.845703,-3.221825,0.005393,16.653992,-704.716797,-2.628311,0.001711
CCCCCOC(=O)CC,Cc1coc(C)n1,0.251805,0.000210,18.785065,-457.292969,-3.330566,0.005284,17.594574,-703.509766,-2.658012,0.001292
CCCCCOC(=O)CC,NC(=S)NC(N)=S,0.219592,0.000118,19.272675,-182.056641,-3.198486,0.004081,14.657043,-542.498047,-2.178963,0.002220
CCCCCOC(=O)CC,FC(F)C(Cl)C(F)F,0.226948,0.000155,20.546143,-911.681641,-3.527740,0.004747,19.001923,-870.017578,-2.677544,0.000440
CCCCCOC(=O)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.240175,0.000172,16.523865,-223.609375,-2.764641,0.004035,15.437469,-481.093750,-2.492020,0.001661
CCCCCOC(=O)CC,NNC(=O)c1ccccc1,0.262514,0.000210,17.545135,436.767578,-3.188354,0.004448,12.893250,-50.341797,-2.200912,0.003412
CCCCCOC(=O)CC,ClC=CBr,0.244666,0.000189,18.526672,-825.126953,-3.222725,0.005298,19.059662,-681.298828,-2.879639,0.000558
CCCCCOC(=O)CC,CN(C)N=O,0.256245,0.000201,17.340729,-82.408203,-3.222275,0.005347,15.463013,-258.023438,-2.276573,0.001735
CCCCCOC(=O)CC,c1ccc(C2CCCCC2)cc1,0.261282,0.000224,17.742523,-406.683594,-3.127457,0.005277,16.538025,-637.378906,-2.622749,0.001602
CCCCCOC(=O)CC,N#Cc1ccncc1,0.243632,0.000194,19.545044,-518.242188,-3.335228,0.004703,17.407471,-748.382812,-2.611832,0.001072
CCCCCOC(=O)CC,CN(C)C(=S)Nc1ccccc1,0.233777,0.000169,20.094971,-286.230469,-3.267075,0.003532,15.258728,-630.050781,-2.347313,0.001513
CCCCCOC(=O)CC,CCC(N)CC,0.254244,0.000208,17.519867,-235.558594,-3.233643,0.005981,17.358307,-586.082031,-2.707497,0.001985
CCCCCOC(=O)CC,COC(=O)CO,0.254232,0.000204,17.340729,-145.802734,-3.225174,0.005104,15.973572,-293.601562,-2.319931,0.001533
CCCCCOC(=O)CC,Cc1c(N)cccc1Cl,0.224848,0.000155,20.473389,-792.515625,-3.382217,0.004074,18.324341,-951.841797,-2.702019,0.000860
CCCCCOC(=O)CC,CC1CCC(C(C)(C)OO)CC1,0.231897,0.000176,19.728149,-625.742188,-3.246162,0.004024,16.669464,-835.980469,-2.523285,0.000847
CCCCCOC(=O)CC,CC(F)(Cl)CF,0.252272,0.000212,18.747955,-569.687500,-3.309288,0.005429,17.781372,-688.625000,-2.658707,0.000790
CCCCCOC(=O)CC,CCCCC1OC(C)CC(C)(C)O1,0.259925,0.000223,18.057404,-361.375000,-3.165474,0.005181,16.708893,-727.267578,-2.655159,0.001856
CCCCCOC(=O)CC,CC(C)(C)OCC1CO1,0.260230,0.000226,18.585266,-437.738281,-3.290802,0.005459,17.269592,-718.476562,-2.669540,0.001472
CCCCCOC(=O)CC,O=P(O)(O)OP(=O)(O)O,0.178678,0.000010,18.594513,-508.283203,-2.982956,0.004185,5.484924,-934.201172,-1.003006,0.002973
CCCCCOC(=O)CC,CC(=O)Nc1ccc(C)cc1,0.258527,0.000216,19.006744,-48.333984,-3.235741,0.004265,14.835388,-518.679688,-2.451500,0.002341
CCCCCOC(=O)CC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.243191,0.000168,18.358246,407.417969,-3.325027,0.004786,12.610870,251.111328,-2.006439,0.001712
CCCCCOC(=O)CC,CC(C)(O)CCC1CCCCC1,0.259109,0.000222,18.458282,-68.292969,-3.264748,0.004979,15.920715,-560.390625,-2.622894,0.002591
CCCCCOC(=O)CC,COCC(F)(F)F,0.257136,0.000218,17.827637,-421.181641,-3.224396,0.005494,17.081604,-548.548828,-2.568314,0.001053
CCCCCOC(=O)CC,COCC(O)COC,0.258726,0.000214,17.633698,-253.269531,-3.260056,0.005666,16.838959,-536.185547,-2.552864,0.001762
CCCCCOC(=O)CC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.251936,0.000197,19.470215,523.884766,-3.165367,0.002696,11.959900,-199.429688,-2.202019,0.003827
CCCCCOC(=O)CC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.207278,0.000112,21.167175,-561.460938,-3.320023,0.002909,14.730896,-901.291016,-2.207779,0.001621
CCCCCOC(=O)CC,CC(C)C(F)F,0.262911,0.000228,17.551819,-444.849609,-3.156784,0.005680,16.891235,-605.289062,-2.608147,0.001137
CCCCCOC(=O)CC,CCCCC1C=C(C)CC(C)O1,0.257459,0.000217,17.850220,-380.535156,-3.119484,0.005078,16.558594,-688.074219,-2.620422,0.001646
CCCCCOC(=O)CC,COc1ccc(C(C)=O)cc1,0.258776,0.000215,18.664734,-269.369141,-3.288391,0.005213,15.677826,-547.699219,-2.457146,0.001682
CCCCCOC(=O)CC,Oc1cc(O)ncn1,0.225306,0.000141,18.910645,-82.894531,-3.161720,0.003467,13.775909,-621.833984,-2.111908,0.002505
CCCCCOC(=O)CC,COCCCCl,0.261306,0.000223,17.710571,-413.554688,-3.183273,0.005553,16.897430,-650.580078,-2.607033,0.001399
CCCCCOC(=O)CC,CCCOC,0.259315,0.000219,17.422791,-440.986328,-3.121521,0.005465,17.106415,-655.242188,-2.640602,0.001290
CCCCCOC(=O)CC,Fc1c(F)c(F)c(F)c(F)c1F,0.259545,0.000215,16.769775,-356.636719,-2.986237,0.005111,15.770142,-517.675781,-2.492081,0.001474
CCCCCOC(=O)CC,CCP(CC)CC,0.258673,0.000220,17.842804,-421.496094,-3.158272,0.005395,16.709351,-667.859375,-2.600655,0.001373
CCCCCOC(=O)CC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261917,0.000228,18.359802,-271.404297,-3.226631,0.005191,16.668488,-764.298828,-2.697151,0.002340
CCCCCOC(=O)CC,Fc1cc(F)c(F)cc1F,0.246843,0.000198,18.793945,-666.560547,-3.245552,0.005085,17.649414,-770.960938,-2.689423,0.000847
CCCCCOC(=O)CC,CCCCc1ccc(C(=O)O)cc1,0.224657,0.000151,19.451782,-743.607422,-3.172241,0.003875,15.859497,-888.220703,-2.371964,0.000868
CCCCCOC(=O)CC,C=Cc1c(C)cc(C)cc1C,0.261908,0.000227,17.949982,-412.939453,-3.185669,0.005459,16.868561,-677.125000,-2.653976,0.001548
CCCCCOC(=O)CC,C=C(C)C(=O)OC(C)(C)C,0.259434,0.000226,18.656067,-429.128906,-3.290596,0.005446,16.833435,-709.130859,-2.626869,0.001453
CCCCCOC(=O)CC,FC1CCCN1,0.249802,0.000204,18.626984,-426.720703,-3.306229,0.005080,17.371246,-598.578125,-2.572990,0.001046
CCCCCOC(=O)CC,CCCCCCCC(=O)NC,0.265385,0.000227,18.410065,140.533203,-3.177979,0.004482,14.590057,-444.919922,-2.526367,0.003151
CCCCCOC(=O)CC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.255812,0.000205,16.335876,-32.326172,-2.952850,0.005066,15.198334,-382.292969,-2.478729,0.002219
CCCCCOC(=O)CC,C1=CC2C=CC1C2,0.261350,0.000223,17.362671,-462.478516,-3.103310,0.005514,17.157043,-564.708984,-2.679703,0.001307
CCCCCOC(=O)CC,CCC(C)(O)CCC=C(C)C,0.255452,0.000218,18.707886,-227.404297,-3.284683,0.005017,16.520203,-679.375000,-2.640022,0.002111
CCCCCOC(=O)CC,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.255740,0.000223,19.251648,-239.531250,-3.248146,0.004433,18.371277,-879.199219,-3.096428,0.002764
CCCCCOC(=O)CC,CCC(C)CCF,0.265481,0.000229,17.089630,-386.587891,-3.075394,0.005558,16.555786,-579.212891,-2.614792,0.001570
CCCCCOC(=O)CC,C=Cc1cccc(CC)c1,0.260039,0.000226,18.277527,-452.414062,-3.236076,0.005488,17.180603,-714.921875,-2.671219,0.001378
CCCCCOC(=O)CC,CC(C)(C(O)(F)F)C(F)(F)F,0.151921,-0.000012,22.017548,-1712.386719,-3.358719,0.003263,14.042480,-1437.332031,-1.959915,-0.000194
CCCCCOC(=O)CC,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.262737,0.000219,16.704407,-427.660156,-2.988007,0.005125,16.688110,-508.191406,-2.695496,0.001831
CCCCCOC(=O)CC,CCN(CC)c1ccc(N)cc1,0.249439,0.000204,19.632782,-328.335938,-3.325020,0.004479,16.457489,-692.906250,-2.577805,0.001707
CCCCCOC(=O)CC,FC(F)CC(F)(F)F,0.250363,0.000203,18.198608,-501.023438,-3.234360,0.005348,16.967102,-579.724609,-2.547028,0.000897
CCCCCOC(=O)CC,N#CCCOCCC#N,0.245255,0.000181,18.827393,-22.763672,-3.358543,0.005156,13.552734,-28.359375,-2.043076,0.000813
CCCCCOC(=O)CC,CCC(C)C(C)C(C)C,0.263654,0.000216,16.203064,-294.654297,-2.871880,0.005045,15.680969,-360.033203,-2.607201,0.002339
CCCCCOC(=O)CC,Cn1c(=O)ccc2ccccc21,0.254308,0.000204,18.952545,-187.843750,-3.266869,0.004625,15.085541,-455.712891,-2.353516,0.001703
CCCCCOC(=O)CC,CCOC(=O)c1ccccc1N,0.241679,0.000194,19.654297,-522.482422,-3.306007,0.004471,17.662018,-840.638672,-2.695427,0.001273
CCCCCOC(=O)CC,ClC1CN2CCC1CC2,0.255267,0.000216,18.394073,-478.423828,-3.238106,0.005217,17.390900,-706.824219,-2.660538,0.001244
CCCCCOC(=O)CC,CC=CCCCCCCCC#N,0.259212,0.000225,18.940338,-379.722656,-3.305115,0.005235,16.515686,-739.128906,-2.613869,0.001788
CCCCCOC(=O)CC,COCCl,0.254442,0.000213,18.241882,-452.625000,-3.288612,0.005480,17.031830,-535.478516,-2.522453,0.000827
CCCCCOC(=O)CC,NCCc1cccnc1,0.260309,0.000208,17.046204,43.054688,-3.274849,0.005925,15.815338,-350.916016,-2.462158,0.002619
CCCCCOC(=O)CC,Cc1cccc(C(=O)O)c1,0.216162,0.000134,19.933197,-841.238281,-3.245003,0.003694,16.085266,-931.060547,-2.328041,0.000619
CCCCCOC(=O)CC,C=CCNC,0.257291,0.000216,17.896484,-338.214844,-3.252892,0.005785,17.416565,-640.673828,-2.680305,0.001617
CCCCCOC(=O)CC,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.240073,0.000160,13.886200,389.628906,-2.513229,0.004131,14.122833,296.906250,-2.582581,0.003388
CCCCCOC(=O)CC,CC(CO)C(F)(F)F,0.249589,0.000203,18.383545,-314.919922,-3.257019,0.005116,16.422913,-635.101562,-2.518776,0.001521
CCCCCOC(=O)CC,CC(C)C(=O)C(F)(F)F,0.263296,0.000227,17.441467,-370.785156,-3.127083,0.005517,16.290466,-577.701172,-2.551338,0.001427
CCCCCOC(=O)CC,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.248295,0.000183,16.099243,-17.570312,-2.750473,0.004003,15.591583,-331.085938,-2.635406,0.002480
CCCCCOC(=O)CC,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.261759,0.000230,18.799591,-262.310547,-3.270905,0.005093,16.668793,-780.363281,-2.727379,0.002477
CCCCCOC(=O)CC,C=CCN(C)CC=C,0.260280,0.000220,17.450378,-403.218750,-3.101166,0.005330,16.803436,-678.158203,-2.632446,0.001541
CCCCCOC(=O)CC,COCC(F)C(F)(F)F,0.258957,0.000220,17.769867,-371.910156,-3.194420,0.005418,16.791901,-573.755859,-2.567780,0.001326
CCCCCOC(=O)CC,CNC(C)(C)C,0.252216,0.000205,17.771851,-353.419922,-3.177124,0.005462,17.273865,-666.523438,-2.664169,0.001589
CCCCCOC(=O)CC,C1COCCOCCOCCO1,0.257498,0.000208,17.625366,-155.326172,-3.216110,0.005138,16.087250,-532.460938,-2.473289,0.002075
CCCCCOC(=O)CC,O=NF,0.236319,0.000173,17.054016,-140.087891,-3.260353,0.005839,16.214355,87.982422,-2.192566,0.000015
CCCCCOC(=O)CC,CCN(CC)CCN,0.257369,0.000213,17.545380,-164.376953,-3.294991,0.006100,17.436249,-593.597656,-2.709106,0.002411
CCCCCOC(=O)CC,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.264651,0.000222,16.523163,-170.572266,-2.931000,0.005016,15.665436,-469.441406,-2.592125,0.002329
CCCCCOC(=O)CC,CC(=O)Nc1ccc(Br)cc1,0.248188,0.000200,19.731964,-150.101562,-3.287392,0.003898,14.992371,-568.974609,-2.424530,0.001915
CCCCCOC(=O)CC,c1ccc(COc2ccccc2)cc1,0.255179,0.000218,18.966339,-466.433594,-3.310898,0.005244,16.702881,-725.582031,-2.586121,0.001340
CCCCCOC(=O)CC,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.257385,0.000200,15.057281,-92.726562,-2.689621,0.004859,15.047729,-198.720703,-2.552681,0.002413
CCCCCOC(=O)CC,CC(C)(C)OCF,0.259454,0.000224,18.273895,-455.130859,-3.256226,0.005532,17.113190,-650.244141,-2.614449,0.001160
CCCCCOC(=O)CC,OCCCCOC1CCCO1,0.259583,0.000217,17.715363,-154.900391,-3.212471,0.005259,16.457336,-616.525391,-2.596786,0.002325
CCCCCOC(=O)CC,OCCCCC(O)CO,0.261361,0.000199,16.356201,740.673828,-3.074142,0.004572,12.260742,171.517578,-2.123672,0.004252
CCCCCOC(=O)CC,CC(C)C(=O)C(=O)O,0.237350,0.000182,18.696777,-603.523438,-3.167709,0.004365,17.692200,-749.658203,-2.611107,0.000607
