SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=N)C(C)(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.243440,0.000197,20.385925,-460.980469,-3.369781,0.004378,16.502167,-756.494141,-2.584961,0.001184
CC(=N)C(C)(C)C,CC(=O)Nc1ccc(C=O)cc1,0.215255,0.000131,20.100739,-555.751953,-3.230850,0.003440,13.186859,-874.105469,-2.002541,0.001226
CC(=N)C(C)(C)C,Cc1cccc(CO)c1,0.205141,0.000116,20.487457,-1017.957031,-3.285919,0.003626,15.371613,-1036.636719,-2.212692,0.000176
CC(=N)C(C)(C)C,COC(C)CO,0.232683,0.000173,19.273956,-595.830078,-3.268578,0.004286,16.550537,-836.873047,-2.456139,0.000953
CC(=N)C(C)(C)C,Nc1nc(=O)c2ccccc2o1,0.200431,0.000093,20.974731,-175.867188,-3.109558,0.002354,8.231964,-836.337891,-1.398537,0.002494
CC(=N)C(C)(C)C,CC(Cl)Br,0.244076,0.000189,18.517639,-711.541016,-3.174553,0.005034,18.437714,-693.234375,-2.818321,0.000790
CC(=N)C(C)(C)C,CCCOC(F)F,0.259064,0.000220,17.639313,-466.544922,-3.103668,0.005289,17.350708,-611.177734,-2.711853,0.001250
CC(=N)C(C)(C)C,COC1CC2CCC1(C)C2(C)C,0.256947,0.000210,17.104950,-350.505859,-2.928146,0.004516,16.210907,-528.701172,-2.627388,0.001900
CC(=N)C(C)(C)C,CCC(=O)C1=NCCC1,0.250362,0.000205,18.433228,-479.535156,-3.147011,0.004712,16.663605,-721.289062,-2.578690,0.001285
CC(=N)C(C)(C)C,NC(CF)(CF)CF,0.240165,0.000188,18.963989,-440.550781,-3.230347,0.004243,17.222992,-730.580078,-2.585999,0.001298
CC(=N)C(C)(C)C,CC(C)CCCC(C)CC=O,0.255878,0.000213,17.680420,-354.224609,-3.056793,0.004813,16.214630,-679.353516,-2.583603,0.001740
CC(=N)C(C)(C)C,Cc1coc(C)n1,0.247538,0.000203,18.951752,-514.312500,-3.248230,0.004760,17.451874,-763.636719,-2.663368,0.001127
CC(=N)C(C)(C)C,NC(=S)NC(N)=S,0.176096,0.000023,21.908783,-830.835938,-3.231918,0.002465,10.245239,-1225.189453,-1.619598,0.002742
CC(=N)C(C)(C)C,FC(F)C(Cl)C(F)F,0.219105,0.000128,20.859070,-979.064453,-3.516914,0.004452,19.140930,-935.935547,-2.761070,0.001043
CC(=N)C(C)(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.222685,0.000130,17.923676,-405.630859,-2.842018,0.003434,15.749146,-718.445312,-2.595207,0.002004
CC(=N)C(C)(C)C,NNC(=O)c1ccccc1,0.234582,0.000174,20.518097,-94.746094,-3.250259,0.002885,14.230988,-708.113281,-2.299477,0.002355
CC(=N)C(C)(C)C,ClC=CBr,0.237549,0.000169,18.956329,-878.333984,-3.260330,0.005153,19.483124,-750.601562,-2.946251,0.000806
CC(=N)C(C)(C)C,CN(C)N=O,0.252291,0.000201,18.080292,-203.453125,-3.248009,0.004943,16.053528,-469.894531,-2.416382,0.001689
CC(=N)C(C)(C)C,c1ccc(C2CCCCC2)cc1,0.260605,0.000217,17.020416,-319.277344,-2.969444,0.004895,16.076965,-537.386719,-2.612236,0.002000
CC(=N)C(C)(C)C,N#Cc1ccncc1,0.231252,0.000171,19.920563,-716.576172,-3.231171,0.003925,17.843201,-901.751953,-2.697006,0.000915
CC(=N)C(C)(C)C,CN(C)C(=S)Nc1ccccc1,0.196094,0.000092,20.759766,-897.417969,-3.164764,0.002681,14.540558,-1045.576172,-2.101334,0.000713
CC(=N)C(C)(C)C,CCC(N)CC,0.244563,0.000197,18.803162,-462.195312,-3.216705,0.004699,17.587555,-791.466797,-2.710648,0.001393
CC(=N)C(C)(C)C,COC(=O)CO,0.220877,0.000141,18.494659,-664.296875,-3.214066,0.004374,14.522064,-782.880859,-2.045227,0.000693
CC(=N)C(C)(C)C,Cc1c(N)cccc1Cl,0.190107,0.000080,22.559875,-1236.082031,-3.517143,0.003172,18.295044,-1229.166016,-2.619202,0.000548
CC(=N)C(C)(C)C,CC1CCC(C(C)(C)OO)CC1,0.176015,0.000057,21.083771,-1356.314453,-3.234001,0.003030,14.373260,-1232.308594,-2.016800,-0.000387
CC(=N)C(C)(C)C,CC(F)(Cl)CF,0.247911,0.000201,18.891724,-564.029297,-3.242882,0.004973,17.503510,-735.437500,-2.680252,0.001042
CC(=N)C(C)(C)C,CCCCC1OC(C)CC(C)(C)O1,0.256669,0.000213,17.493530,-329.757812,-3.004066,0.004640,16.395355,-639.033203,-2.647659,0.001932
CC(=N)C(C)(C)C,CC(C)(C)OCC1CO1,0.257007,0.000218,18.101532,-414.736328,-3.161331,0.005076,16.962494,-693.445312,-2.649773,0.001458
CC(=N)C(C)(C)C,O=P(O)(O)OP(=O)(O)O,0.105397,-0.000138,23.997711,-1687.630859,-3.834885,0.007408,-3.084534,-1880.867188,-0.348213,0.004616
CC(=N)C(C)(C)C,CC(=O)Nc1ccc(C)cc1,0.222920,0.000151,19.584473,-676.416016,-3.170815,0.003614,15.114502,-906.410156,-2.267403,0.001027
CC(=N)C(C)(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.241426,0.000173,19.485687,183.873047,-3.187279,0.003495,13.036011,-217.507812,-2.105972,0.001972
CC(=N)C(C)(C)C,CC(C)(O)CCC1CCCCC1,0.224832,0.000156,19.764313,-716.517578,-3.228233,0.003899,15.518860,-899.287109,-2.343971,0.000913
CC(=N)C(C)(C)C,COCC(F)(F)F,0.256062,0.000216,17.963898,-427.144531,-3.148621,0.005187,17.035919,-603.761719,-2.629265,0.001108
CC(=N)C(C)(C)C,COCC(O)COC,0.238355,0.000185,19.246185,-590.583984,-3.291023,0.004520,17.150909,-804.779297,-2.544670,0.000919
CC(=N)C(C)(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.209650,0.000124,22.305481,-349.603516,-3.229935,0.001958,12.943542,-958.181641,-2.151855,0.002395
CC(=N)C(C)(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.149619,-0.000019,22.843658,-1414.341797,-3.527946,0.003463,10.480835,-1524.701172,-1.595512,0.001250
CC(=N)C(C)(C)C,CC(C)C(F)F,0.262041,0.000224,17.262329,-403.625000,-3.077827,0.005422,16.754333,-583.707031,-2.633919,0.001405
CC(=N)C(C)(C)C,CCCCC1C=C(C)CC(C)O1,0.255269,0.000210,17.383728,-341.000000,-2.969269,0.004529,16.161255,-591.041016,-2.608864,0.001844
CC(=N)C(C)(C)C,COc1ccc(C(C)=O)cc1,0.252985,0.000210,19.211517,-324.792969,-3.280212,0.004700,16.206177,-672.529297,-2.554153,0.001626
CC(=N)C(C)(C)C,Oc1cc(O)ncn1,0.154372,-0.000012,21.524017,-1246.496094,-3.499489,0.003702,9.054443,-1363.250000,-1.385460,0.000996
CC(=N)C(C)(C)C,COCCCCl,0.257660,0.000214,17.403198,-413.693359,-3.070595,0.005133,16.583954,-625.246094,-2.576271,0.001350
CC(=N)C(C)(C)C,CCCOC,0.257059,0.000213,17.178070,-437.035156,-3.008530,0.004995,16.851593,-583.714844,-2.635681,0.001354
CC(=N)C(C)(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.256764,0.000205,16.409058,-199.160156,-2.897018,0.004960,15.912079,-412.500000,-2.590477,0.001905
CC(=N)C(C)(C)C,CCP(CC)CC,0.258845,0.000215,17.123016,-371.242188,-2.965851,0.004807,16.502594,-525.599609,-2.663109,0.001810
CC(=N)C(C)(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.256052,0.000213,17.704193,-251.398438,-3.038445,0.004586,16.383057,-678.136719,-2.681381,0.002237
CC(=N)C(C)(C)C,Fc1cc(F)c(F)cc1F,0.244488,0.000188,18.623749,-650.042969,-3.174904,0.004885,17.820984,-750.933594,-2.764702,0.001155
CC(=N)C(C)(C)C,CCCCc1ccc(C(=O)O)cc1,0.164251,0.000022,21.083069,-1474.597656,-3.333267,0.003463,13.298401,-1299.117188,-1.836823,-0.000460
CC(=N)C(C)(C)C,C=Cc1c(C)cc(C)cc1C,0.261541,0.000220,17.169128,-305.396484,-3.017273,0.005037,16.237762,-574.328125,-2.620995,0.001980
CC(=N)C(C)(C)C,C=C(C)C(=O)OC(C)(C)C,0.258484,0.000218,17.770416,-377.105469,-3.097000,0.005018,16.323883,-648.511719,-2.593124,0.001637
CC(=N)C(C)(C)C,FC1CCCN1,0.235331,0.000181,19.865753,-669.052734,-3.347565,0.004476,17.656006,-854.664062,-2.607933,0.000743
CC(=N)C(C)(C)C,CCCCCCCC(=O)NC,0.233852,0.000178,19.911316,-489.207031,-3.262123,0.003808,16.096191,-900.250000,-2.505219,0.001684
CC(=N)C(C)(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.254631,0.000200,16.398132,44.632812,-2.862297,0.004666,15.361725,-488.169922,-2.582855,0.002596
CC(=N)C(C)(C)C,C1=CC2C=CC1C2,0.261527,0.000217,16.787659,-394.236328,-2.973618,0.005182,16.847137,-467.001953,-2.708481,0.001748
CC(=N)C(C)(C)C,CCC(C)(O)CCC=C(C)C,0.219698,0.000147,20.034454,-807.248047,-3.241226,0.003773,15.501831,-940.724609,-2.319611,0.000719
CC(=N)C(C)(C)C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.239277,0.000187,18.714508,78.621094,-3.014771,0.003432,18.256378,-703.132812,-3.185822,0.003088
CC(=N)C(C)(C)C,CCC(C)CCF,0.264689,0.000223,16.598022,-303.880859,-2.947304,0.005151,16.106384,-505.800781,-2.607895,0.001975
CC(=N)C(C)(C)C,C=Cc1cccc(CC)c1,0.259455,0.000218,17.452332,-338.591797,-3.062019,0.005051,16.481659,-610.177734,-2.629959,0.001809
CC(=N)C(C)(C)C,CC(C)(C(O)(F)F)C(F)(F)F,0.116284,-0.000099,22.785583,-2107.955078,-3.753967,0.004620,8.592896,-1776.902344,-1.300278,0.000454
CC(=N)C(C)(C)C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.260031,0.000211,16.398376,-408.001953,-2.893059,0.005146,16.974121,-463.837891,-2.764046,0.001892
CC(=N)C(C)(C)C,CCN(CC)c1ccc(N)cc1,0.232726,0.000182,21.034912,-526.402344,-3.377823,0.003737,17.879883,-944.763672,-2.784874,0.001470
CC(=N)C(C)(C)C,FC(F)CC(F)(F)F,0.244520,0.000186,18.691406,-579.871094,-3.216614,0.004847,17.213745,-695.662109,-2.617401,0.001199
CC(=N)C(C)(C)C,N#CCCOCCC#N,0.241481,0.000184,19.868073,-168.496094,-3.294746,0.003986,14.147461,-383.091797,-2.195839,0.001190
CC(=N)C(C)(C)C,CCC(C)C(C)C(C)C,0.260861,0.000206,15.667023,-214.007812,-2.731979,0.004631,15.467010,-277.097656,-2.632675,0.002786
CC(=N)C(C)(C)C,Cn1c(=O)ccc2ccccc21,0.246656,0.000197,19.431305,-301.771484,-3.279465,0.004334,16.270813,-632.525391,-2.529572,0.001553
CC(=N)C(C)(C)C,CCOC(=O)c1ccccc1N,0.202325,0.000112,21.241180,-1071.429688,-3.269417,0.003087,16.943085,-1143.058594,-2.468437,0.000441
CC(=N)C(C)(C)C,ClC1CN2CCC1CC2,0.248185,0.000202,18.309143,-541.751953,-3.127007,0.004678,17.324402,-719.478516,-2.639565,0.000955
CC(=N)C(C)(C)C,CC=CCCCCCCCC#N,0.252026,0.000210,18.665344,-368.292969,-3.180679,0.004620,16.473236,-736.140625,-2.610519,0.001771
CC(=N)C(C)(C)C,COCCl,0.252224,0.000210,18.426178,-471.228516,-3.233223,0.005160,17.295624,-628.539062,-2.617676,0.000964
CC(=N)C(C)(C)C,NCCc1cccnc1,0.247728,0.000201,19.044037,-275.896484,-3.344231,0.004660,17.227539,-720.849609,-2.670547,0.002136
CC(=N)C(C)(C)C,Cc1cccc(C(=O)O)c1,0.161025,0.000014,21.455780,-1504.886719,-3.431961,0.003552,13.273071,-1330.353516,-1.814888,-0.000421
CC(=N)C(C)(C)C,C=CCNC,0.248013,0.000205,18.839691,-522.544922,-3.235550,0.004799,17.632324,-781.951172,-2.701660,0.001144
CC(=N)C(C)(C)C,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.236865,0.000153,14.048248,405.865234,-2.429138,0.003708,14.519531,194.335938,-2.657059,0.003452
CC(=N)C(C)(C)C,CC(CO)C(F)(F)F,0.208187,0.000118,19.978210,-994.464844,-3.268829,0.004011,15.475464,-1013.468750,-2.250198,0.000240
CC(=N)C(C)(C)C,CC(C)C(=O)C(F)(F)F,0.259230,0.000217,17.170715,-351.195312,-3.004250,0.004956,16.259491,-564.720703,-2.582451,0.001596
CC(=N)C(C)(C)C,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.236956,0.000157,16.179749,-26.894531,-2.625450,0.003514,16.056335,-365.369141,-2.742851,0.002518
CC(=N)C(C)(C)C,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.251941,0.000206,18.124146,-225.832031,-3.066696,0.004413,16.823761,-726.955078,-2.770851,0.002297
CC(=N)C(C)(C)C,C=CCN(C)CC=C,0.256753,0.000210,17.003540,-416.748047,-2.929512,0.004670,16.534760,-574.214844,-2.624786,0.001581
CC(=N)C(C)(C)C,COCC(F)C(F)(F)F,0.256608,0.000215,17.709351,-409.181641,-3.083839,0.005069,16.865875,-632.189453,-2.628036,0.001278
CC(=N)C(C)(C)C,CNC(C)(C)C,0.241718,0.000192,18.574524,-569.906250,-3.139954,0.004485,17.519653,-767.060547,-2.657623,0.000864
CC(=N)C(C)(C)C,C1COCCOCCOCCO1,0.245257,0.000189,17.640991,-333.207031,-3.087662,0.004501,16.627533,-649.308594,-2.521408,0.001550
CC(=N)C(C)(C)C,O=NF,0.235534,0.000176,18.162994,-255.271484,-3.227859,0.004851,16.556549,-267.400391,-2.343506,0.000399
CC(=N)C(C)(C)C,CCN(CC)CCN,0.246050,0.000202,19.231110,-438.816406,-3.285141,0.004761,17.947388,-831.142578,-2.784782,0.001619
CC(=N)C(C)(C)C,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.262520,0.000213,16.105072,-72.871094,-2.826569,0.004703,16.077667,-397.421875,-2.733902,0.002795
CC(=N)C(C)(C)C,CC(=O)Nc1ccc(Br)cc1,0.199960,0.000105,20.794830,-938.072266,-3.267441,0.003164,14.940002,-1082.476562,-2.196938,0.000677
