SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248902,0.000212,19.976257,-494.646484,-3.405983,0.004917,16.850189,-815.152344,-2.616982,0.001416
CC(=O)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.254352,0.000206,18.643799,13.472656,-3.178963,0.004309,14.064575,-540.343750,-2.385155,0.002761
CC(=O)c1ccccc1,Cc1cccc(CO)c1,0.245022,0.000194,18.493195,-408.634766,-3.166458,0.004676,15.292603,-681.984375,-2.389290,0.001397
CC(=O)c1ccccc1,COC(C)CO,0.254625,0.000209,17.716583,-227.335938,-3.157967,0.005221,16.537262,-630.968750,-2.602875,0.001979
CC(=O)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.237300,0.000163,19.635925,461.734375,-3.098083,0.002662,10.213684,-275.751953,-1.961571,0.003859
CC(=O)c1ccccc1,CC(Cl)Br,0.251827,0.000207,17.751465,-600.591797,-3.110695,0.005296,17.603271,-655.095703,-2.666580,0.000660
CC(=O)c1ccccc1,CCCOC(F)F,0.263494,0.000222,16.728516,-393.093750,-2.959671,0.005169,16.317627,-513.474609,-2.599388,0.001603
CC(=O)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.256304,0.000198,15.530151,-134.177734,-2.693687,0.004418,14.689606,-242.070312,-2.545013,0.002984
CC(=O)c1ccccc1,CCC(=O)C1=NCCC1,0.255333,0.000213,17.832489,-481.626953,-3.092262,0.005021,16.592590,-669.095703,-2.590866,0.001291
CC(=O)c1ccccc1,NC(CF)(CF)CF,0.252828,0.000206,17.832672,-265.714844,-3.227905,0.005606,16.622284,-568.074219,-2.548386,0.001658
CC(=O)c1ccccc1,CC(C)CCCC(C)CC=O,0.259560,0.000213,16.623352,-222.445312,-2.924934,0.004955,15.405304,-478.482422,-2.565903,0.002394
CC(=O)c1ccccc1,Cc1coc(C)n1,0.253116,0.000209,17.849182,-421.250000,-3.170227,0.005405,16.865234,-649.802734,-2.597168,0.001263
CC(=O)c1ccccc1,NC(=S)NC(N)=S,0.205696,0.000092,19.997131,-655.074219,-3.190956,0.003744,15.257996,-964.449219,-2.290031,0.001906
CC(=O)c1ccccc1,FC(F)C(Cl)C(F)F,0.234334,0.000166,19.249268,-834.259766,-3.288818,0.004644,18.329163,-842.072266,-2.661461,0.000588
CC(=O)c1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.237901,0.000161,15.262451,154.800781,-2.466690,0.003187,14.562653,-238.517578,-2.540321,0.002819
CC(=O)c1ccccc1,NNC(=O)c1ccccc1,0.260317,0.000214,17.842804,243.470703,-3.211746,0.004861,14.194885,-325.753906,-2.412086,0.003206
CC(=O)c1ccccc1,ClC=CBr,0.251561,0.000199,17.307495,-670.130859,-3.012161,0.005196,17.937469,-571.869141,-2.766060,0.000912
CC(=O)c1ccccc1,CN(C)N=O,0.256637,0.000212,17.824188,-275.722656,-3.255081,0.005510,16.470093,-553.501953,-2.505852,0.001720
CC(=O)c1ccccc1,c1ccc(C2CCCCC2)cc1,0.262684,0.000213,16.169037,-240.009766,-2.797798,0.004620,15.134064,-369.750000,-2.559860,0.002610
CC(=O)c1ccccc1,N#Cc1ccncc1,0.247873,0.000204,19.005493,-575.593750,-3.255257,0.004894,17.456818,-788.431641,-2.647072,0.001022
CC(=O)c1ccccc1,CN(C)C(=S)Nc1ccccc1,0.227241,0.000161,19.785217,-698.101562,-3.214226,0.003886,16.331909,-911.708984,-2.445969,0.000983
CC(=O)c1ccccc1,CCC(N)CC,0.247636,0.000190,15.877625,-114.068359,-3.021706,0.006202,16.484344,-395.167969,-2.644714,0.002246
CC(=O)c1ccccc1,COC(=O)CO,0.248872,0.000198,17.948975,-396.218750,-3.220131,0.005111,16.056641,-600.443359,-2.406349,0.001330
CC(=O)c1ccccc1,Cc1c(N)cccc1Cl,0.230925,0.000169,19.817871,-791.394531,-3.274765,0.004284,18.007874,-901.810547,-2.708763,0.000691
CC(=O)c1ccccc1,CC1CCC(C(C)(C)OO)CC1,0.230126,0.000161,18.151154,-557.433594,-2.954956,0.003822,14.651459,-757.531250,-2.263252,0.001095
CC(=O)c1ccccc1,CC(F)(Cl)CF,0.256168,0.000216,17.972687,-509.001953,-3.173683,0.005402,17.091858,-670.841797,-2.615944,0.000988
CC(=O)c1ccccc1,CCCCC1OC(C)CC(C)(C)O1,0.259509,0.000209,16.384491,-175.158203,-2.817467,0.004460,15.247192,-459.957031,-2.592621,0.002842
CC(=O)c1ccccc1,CC(C)(C)OCC1CO1,0.259938,0.000220,17.603088,-384.398438,-3.099319,0.005190,16.515686,-650.746094,-2.625145,0.001693
CC(=O)c1ccccc1,O=P(O)(O)OP(=O)(O)O,0.153444,-0.000035,19.975128,-973.714844,-3.282913,0.004681,4.424530,-1310.681641,-0.895256,0.002230
CC(=O)c1ccccc1,CC(=O)Nc1ccc(C)cc1,0.254269,0.000208,18.058472,-245.669922,-3.083755,0.004539,15.101532,-677.919922,-2.459244,0.002230
CC(=O)c1ccccc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.258420,0.000206,18.288269,-3.398438,-3.235725,0.005088,14.305511,-331.662109,-2.301903,0.002124
CC(=O)c1ccccc1,CC(C)(O)CCC1CCCCC1,0.253210,0.000201,16.668274,97.263672,-2.985832,0.004878,14.253998,-372.496094,-2.451767,0.003138
CC(=O)c1ccccc1,COCC(F)(F)F,0.260659,0.000220,17.135254,-362.470703,-3.047630,0.005264,16.290253,-533.994141,-2.553299,0.001416
CC(=O)c1ccccc1,COCC(O)COC,0.251999,0.000209,18.641663,-384.564453,-3.282997,0.005252,17.319824,-738.453125,-2.671921,0.001589
CC(=O)c1ccccc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.253151,0.000208,19.413940,289.669922,-3.215981,0.003309,14.068024,-438.291016,-2.512901,0.003614
CC(=O)c1ccccc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.198511,0.000101,21.127441,-818.634766,-3.299347,0.003102,14.941406,-1100.759766,-2.216690,0.001166
CC(=O)c1ccccc1,CC(C)C(F)F,0.266856,0.000225,16.292236,-359.447266,-2.905045,0.005245,16.007263,-436.775391,-2.587288,0.001798
CC(=O)c1ccccc1,CCCCC1C=C(C)CC(C)O1,0.256159,0.000201,16.131653,-161.984375,-2.761185,0.004317,15.069580,-358.580078,-2.581856,0.002818
CC(=O)c1ccccc1,COc1ccc(C(C)=O)cc1,0.260731,0.000226,18.459381,-365.666016,-3.272316,0.005488,16.686127,-710.601562,-2.631195,0.001769
CC(=O)c1ccccc1,Oc1cc(O)ncn1,0.213160,0.000114,18.184723,-333.714844,-3.021423,0.003515,12.332733,-859.255859,-1.893913,0.002339
CC(=O)c1ccccc1,COCCCCl,0.262683,0.000220,16.712646,-375.087891,-2.992668,0.005334,16.305817,-503.765625,-2.616211,0.001746
CC(=O)c1ccccc1,CCCOC,0.254670,0.000201,16.052490,-347.220703,-2.857887,0.004977,16.064636,-383.642578,-2.615990,0.001959
CC(=O)c1ccccc1,Fc1c(F)c(F)c(F)c(F)c1F,0.252899,0.000192,15.532898,-137.199219,-2.730385,0.004692,15.032043,-214.173828,-2.528175,0.002255
CC(=O)c1ccccc1,CCP(CC)CC,0.256722,0.000203,16.222992,-268.871094,-2.830070,0.004721,15.363159,-382.236328,-2.544121,0.002342
CC(=O)c1ccccc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.259453,0.000208,16.416687,-20.156250,-2.821655,0.004362,15.309753,-474.683594,-2.668015,0.003369
CC(=O)c1ccccc1,Fc1cc(F)c(F)cc1F,0.252877,0.000204,17.209503,-469.341797,-2.994377,0.005030,16.275116,-601.986328,-2.521317,0.001142
CC(=O)c1ccccc1,CCCCc1ccc(C(=O)O)cc1,0.222479,0.000143,18.462860,-736.716797,-3.004089,0.003871,14.388000,-842.890625,-2.162186,0.000782
