SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)CC(C)(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.242761,0.000170,19.502136,344.427734,-3.306213,0.004206,12.154999,47.417969,-2.060143,0.001597
CC(C)CC(C)(C)C,CC(=O)Nc1ccc(C=O)cc1,0.242249,0.000156,15.674683,2305.705078,-2.787910,0.001251,8.149689,1412.726562,-2.099022,0.006575
CC(C)CC(C)(C)C,Cc1cccc(CO)c1,0.276173,0.000228,15.753754,920.255859,-3.083351,0.004222,10.808197,270.867188,-2.113235,0.004965
CC(C)CC(C)(C)C,COC(C)CO,0.273446,0.000224,15.809143,489.031250,-3.092003,0.004723,13.216125,-67.654297,-2.243462,0.003900
CC(C)CC(C)(C)C,Nc1nc(=O)c2ccccc2o1,0.195365,0.000077,15.395630,3691.271484,-2.391586,-0.002320,5.712311,2530.585938,-2.081039,0.008063
CC(C)CC(C)(C)C,CC(Cl)Br,0.268165,0.000230,17.402222,-251.400391,-3.194130,0.005676,14.907623,-328.308594,-2.289757,0.001192
CC(C)CC(C)(C)C,CCCOC(F)F,0.272533,0.000238,17.108154,-188.531250,-3.148544,0.005704,14.896759,-355.587891,-2.340012,0.001538
CC(C)CC(C)(C)C,COC1CC2CCC1(C)C2(C)C,0.262948,0.000228,18.226593,-352.822266,-3.242790,0.005376,16.494995,-677.847656,-2.584213,0.001739
CC(C)CC(C)(C)C,CCC(=O)C1=NCCC1,0.264151,0.000215,17.478394,21.414062,-3.177383,0.004907,14.072845,-325.041016,-2.239861,0.002294
CC(C)CC(C)(C)C,NC(CF)(CF)CF,0.265298,0.000204,15.312683,628.394531,-3.130882,0.005433,12.764374,243.466797,-2.129890,0.003477
CC(C)CC(C)(C)C,CC(C)CCCC(C)CC=O,0.267315,0.000228,18.224213,-192.968750,-3.224640,0.005223,14.789673,-528.347656,-2.387360,0.001965
CC(C)CC(C)(C)C,Cc1coc(C)n1,0.261900,0.000212,17.506653,-85.054688,-3.202255,0.005075,15.005798,-389.041016,-2.333847,0.001965
CC(C)CC(C)(C)C,NC(=S)NC(N)=S,0.178031,0.000038,14.350555,3034.388672,-2.812080,0.001888,9.649323,2423.634766,-2.128357,0.005177
CC(C)CC(C)(C)C,FC(F)C(Cl)C(F)F,0.263397,0.000215,17.035736,-73.593750,-3.240395,0.005812,14.044281,-38.921875,-2.078476,0.001074
CC(C)CC(C)(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268753,0.000222,15.842560,377.435547,-2.991364,0.004943,12.345520,88.666016,-2.134773,0.002955
CC(C)CC(C)(C)C,NNC(=O)c1ccccc1,0.245623,0.000160,14.563477,2120.861328,-2.968719,0.002538,9.136444,1318.482422,-2.135803,0.006364
CC(C)CC(C)(C)C,ClC=CBr,0.269422,0.000234,16.990204,-313.652344,-3.150513,0.005879,15.789459,-408.384766,-2.411430,0.001220
CC(C)CC(C)(C)C,CN(C)N=O,0.245880,0.000165,16.855347,733.792969,-3.181877,0.004516,12.035461,460.798828,-1.998421,0.002495
CC(C)CC(C)(C)C,c1ccc(C2CCCCC2)cc1,0.278205,0.000251,17.166443,-187.246094,-3.163818,0.005927,14.558502,-446.941406,-2.376465,0.002034
CC(C)CC(C)(C)C,N#Cc1ccncc1,0.255304,0.000193,18.035767,179.927734,-3.163666,0.004245,13.494110,-238.123047,-2.164268,0.002426
CC(C)CC(C)(C)C,CN(C)C(=S)Nc1ccccc1,0.235824,0.000149,18.026031,1269.625000,-3.168564,0.002896,9.767059,802.197266,-1.994537,0.003606
CC(C)CC(C)(C)C,CCC(N)CC,0.263372,0.000218,17.189178,-56.984375,-3.208282,0.005437,15.694122,-511.318359,-2.488182,0.002459
CC(C)CC(C)(C)C,COC(=O)CO,0.256292,0.000189,15.899902,748.025391,-3.176346,0.004501,12.246796,445.652344,-2.012741,0.003105
CC(C)CC(C)(C)C,Cc1c(N)cccc1Cl,0.264471,0.000207,16.537445,587.785156,-3.126076,0.004405,12.401703,11.386719,-2.178917,0.003851
CC(C)CC(C)(C)C,CC1CCC(C(C)(C)OO)CC1,0.277647,0.000239,16.525330,603.904297,-3.123055,0.004406,12.484924,-138.304688,-2.350883,0.004621
CC(C)CC(C)(C)C,CC(F)(Cl)CF,0.269055,0.000227,17.203278,-148.902344,-3.176117,0.005576,13.998627,-216.148438,-2.145645,0.001365
CC(C)CC(C)(C)C,CCCCC1OC(C)CC(C)(C)O1,0.264668,0.000227,18.255219,-238.625000,-3.225494,0.005155,15.790436,-656.849609,-2.532486,0.002165
CC(C)CC(C)(C)C,CC(C)(C)OCC1CO1,0.267574,0.000226,17.497528,-131.000000,-3.200043,0.005281,15.060303,-455.140625,-2.383003,0.002108
CC(C)CC(C)(C)C,O=P(O)(O)OP(=O)(O)O,0.149863,0.000004,13.082031,5110.648438,-1.734116,-0.003702,5.051941,3742.972656,-2.040787,0.009172
CC(C)CC(C)(C)C,CC(=O)Nc1ccc(C)cc1,0.271803,0.000213,15.743988,1488.027344,-2.946815,0.003074,9.496307,660.029297,-2.119415,0.006012
CC(C)CC(C)(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.196814,0.000075,17.202545,2109.570312,-3.189720,0.002116,8.897400,1756.642578,-1.964348,0.003705
CC(C)CC(C)(C)C,CC(C)(O)CCC1CCCCC1,0.284594,0.000251,16.432922,701.839844,-3.086464,0.004490,11.451965,-3.386719,-2.268265,0.004787
CC(C)CC(C)(C)C,COCC(F)(F)F,0.270576,0.000228,16.493927,-13.917969,-3.107124,0.005454,14.423767,-188.839844,-2.243210,0.001923
CC(C)CC(C)(C)C,COCC(O)COC,0.267773,0.000216,16.412415,175.751953,-3.139755,0.004988,14.069580,-218.031250,-2.219185,0.002739
CC(C)CC(C)(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.226446,0.000129,15.154449,2742.919922,-2.782417,0.000106,8.418304,1572.853516,-2.316322,0.007827
CC(C)CC(C)(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.213890,0.000104,14.863495,2768.765625,-2.789154,0.000221,8.171021,1762.656250,-2.158058,0.007122
CC(C)CC(C)(C)C,CC(C)C(F)F,0.275762,0.000246,16.891235,-247.957031,-3.166283,0.006045,15.123474,-365.453125,-2.366928,0.001492
CC(C)CC(C)(C)C,CCCCC1C=C(C)CC(C)O1,0.263352,0.000227,18.445068,-289.613281,-3.245247,0.005204,15.938690,-649.093750,-2.544785,0.001883
CC(C)CC(C)(C)C,COc1ccc(C(C)=O)cc1,0.262482,0.000204,17.560425,305.986328,-3.163567,0.004724,12.492676,-21.558594,-2.088966,0.002376
CC(C)CC(C)(C)C,Oc1cc(O)ncn1,0.238225,0.000144,12.353424,2803.408203,-2.728058,0.001619,9.023651,1739.625000,-2.280190,0.008333
CC(C)CC(C)(C)C,COCCCCl,0.270050,0.000228,16.902863,-97.957031,-3.134804,0.005461,14.969269,-382.750000,-2.359703,0.002014
CC(C)CC(C)(C)C,CCCOC,0.262652,0.000225,17.698364,-333.253906,-3.235611,0.005504,17.009369,-651.925781,-2.612755,0.001701
CC(C)CC(C)(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.276574,0.000246,16.460663,-144.875000,-3.073326,0.005979,14.102051,-328.804688,-2.277962,0.001844
CC(C)CC(C)(C)C,CCP(CC)CC,0.262059,0.000227,18.443756,-351.632812,-3.276886,0.005362,16.250549,-656.449219,-2.545212,0.001629
CC(C)CC(C)(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.265586,0.000226,18.500031,-167.193359,-3.217903,0.004948,15.149323,-631.074219,-2.493736,0.002359
CC(C)CC(C)(C)C,Fc1cc(F)c(F)cc1F,0.272507,0.000238,17.123596,-186.824219,-3.169235,0.005808,14.553772,-345.914062,-2.301064,0.001635
CC(C)CC(C)(C)C,CCCCc1ccc(C(=O)O)cc1,0.275483,0.000228,16.474121,935.929688,-3.087196,0.003910,10.849792,130.888672,-2.206055,0.005187
CC(C)CC(C)(C)C,C=Cc1c(C)cc(C)cc1C,0.277344,0.000250,17.297607,-219.386719,-3.184006,0.005917,14.741058,-443.966797,-2.383293,0.001883
CC(C)CC(C)(C)C,C=C(C)C(=O)OC(C)(C)C,0.264546,0.000225,18.353149,-261.736328,-3.253815,0.005292,15.085052,-524.792969,-2.394875,0.001614
CC(C)CC(C)(C)C,FC1CCCN1,0.268002,0.000220,16.787567,143.380859,-3.132904,0.004963,13.814636,-142.283203,-2.213539,0.002422
CC(C)CC(C)(C)C,CCCCCCCC(=O)NC,0.274790,0.000225,16.792755,1139.216797,-2.971176,0.003200,10.011658,331.191406,-2.126572,0.005328
CC(C)CC(C)(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.278421,0.000243,15.892792,249.267578,-3.065041,0.005829,13.252289,-64.742188,-2.261551,0.002920
CC(C)CC(C)(C)C,C1=CC2C=CC1C2,0.276493,0.000250,16.868744,-259.830078,-3.160126,0.006154,15.530731,-471.548828,-2.458122,0.001734
CC(C)CC(C)(C)C,CCC(C)(O)CCC=C(C)C,0.280052,0.000244,16.646790,536.630859,-3.130051,0.004657,12.235321,-136.949219,-2.312943,0.004374
CC(C)CC(C)(C)C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.262527,0.000217,18.749817,142.787109,-3.205368,0.004220,14.585297,-500.699219,-2.634941,0.003204
CC(C)CC(C)(C)C,CCC(C)CCF,0.276229,0.000249,17.094696,-271.677734,-3.167984,0.006004,15.626617,-524.652344,-2.485504,0.001817
CC(C)CC(C)(C)C,C=Cc1cccc(CC)c1,0.276537,0.000248,17.271332,-208.216797,-3.184914,0.005885,14.670380,-426.404297,-2.362206,0.001886
CC(C)CC(C)(C)C,CC(C)(C(O)(F)F)C(F)(F)F,0.257824,0.000205,16.973633,257.031250,-3.228798,0.004882,14.117279,-138.867188,-2.271019,0.002882
CC(C)CC(C)(C)C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.276026,0.000249,16.697021,-301.904297,-3.063377,0.006025,15.360962,-491.820312,-2.475395,0.001652
CC(C)CC(C)(C)C,CCN(CC)c1ccc(N)cc1,0.263440,0.000203,16.683838,657.640625,-3.143585,0.004234,12.638184,-13.523438,-2.240791,0.004158
CC(C)CC(C)(C)C,FC(F)CC(F)(F)F,0.270726,0.000227,16.481689,33.341797,-3.160240,0.005792,13.388245,13.724609,-2.050468,0.001557
CC(C)CC(C)(C)C,N#CCCOCCC#N,0.209421,0.000100,18.337433,1520.359375,-3.256554,0.002794,8.938171,1274.082031,-1.824875,0.002446
CC(C)CC(C)(C)C,CCC(C)C(C)C(C)C,0.276826,0.000253,17.024506,-274.906250,-3.128090,0.006081,15.217133,-515.671875,-2.473488,0.001817
CC(C)CC(C)(C)C,Cn1c(=O)ccc2ccccc21,0.239744,0.000157,18.323212,683.431641,-3.216019,0.004050,12.100098,280.835938,-2.070679,0.002192
CC(C)CC(C)(C)C,CCOC(=O)c1ccccc1N,0.269748,0.000219,16.994171,532.470703,-3.108574,0.004201,12.018158,-46.166016,-2.153366,0.003862
CC(C)CC(C)(C)C,ClC1CN2CCC1CC2,0.262722,0.000218,17.880066,-166.097656,-3.213814,0.005045,15.244049,-453.476562,-2.394379,0.001845
CC(C)CC(C)(C)C,CC=CCCCCCCCC#N,0.266833,0.000222,18.436096,-38.562500,-3.198578,0.004861,13.153625,-352.238281,-2.179871,0.002047
CC(C)CC(C)(C)C,COCCl,0.266524,0.000218,16.607452,-2.253906,-3.156738,0.005557,14.159241,-104.445312,-2.152672,0.001595
CC(C)CC(C)(C)C,NCCc1cccnc1,0.256335,0.000182,16.000916,897.005859,-3.236397,0.004885,12.482819,313.347656,-2.197052,0.004006
CC(C)CC(C)(C)C,Cc1cccc(C(=O)O)c1,0.273412,0.000223,16.204224,927.777344,-3.087372,0.003910,10.654114,235.167969,-2.096626,0.004900
CC(C)CC(C)(C)C,C=CCNC,0.266647,0.000225,16.992584,-95.314453,-3.188431,0.005413,15.611328,-474.365234,-2.458366,0.002284
CC(C)CC(C)(C)C,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.265512,0.000211,13.791565,496.601562,-2.741066,0.005389,12.474426,232.539062,-2.277031,0.003552
CC(C)CC(C)(C)C,CC(CO)C(F)(F)F,0.276626,0.000229,14.803589,974.132812,-3.016693,0.004445,11.608002,372.511719,-2.226051,0.005033
CC(C)CC(C)(C)C,CC(C)C(=O)C(F)(F)F,0.276071,0.000242,16.907043,-73.195312,-3.140579,0.005765,14.008759,-287.880859,-2.261139,0.002040
CC(C)CC(C)(C)C,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.270003,0.000223,16.186127,396.589844,-3.045334,0.005194,12.633148,-4.310547,-2.218826,0.003337
CC(C)CC(C)(C)C,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.267343,0.000228,18.830902,-72.699219,-3.198456,0.004766,13.729553,-500.753906,-2.345222,0.002365
CC(C)CC(C)(C)C,C=CCN(C)CC=C,0.268344,0.000231,17.382263,-215.884766,-3.172508,0.005420,15.869843,-544.160156,-2.515945,0.002010
CC(C)CC(C)(C)C,COCC(F)C(F)(F)F,0.274291,0.000232,16.057861,136.425781,-3.060333,0.005475,13.909546,-157.527344,-2.256622,0.002497
