SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)OC(C)(C)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.251963,0.000209,19.861176,-382.105469,-3.358055,0.004730,15.950378,-711.291016,-2.505180,0.001507
CC(C)OC(C)(C)F,CC(=O)Nc1ccc(C=O)cc1,0.271944,0.000227,17.494415,715.550781,-3.066116,0.003727,11.715240,-23.580078,-2.275391,0.004559
CC(C)OC(C)(C)F,Cc1cccc(CO)c1,0.259605,0.000219,17.934296,-23.056641,-3.178978,0.004593,15.250214,-487.802734,-2.520874,0.002645
CC(C)OC(C)(C)F,COC(C)CO,0.264395,0.000223,16.996185,33.531250,-3.149780,0.005121,15.912476,-519.320312,-2.589844,0.003023
CC(C)OC(C)(C)F,Nc1nc(=O)c2ccccc2o1,0.248011,0.000174,17.400360,1491.205078,-2.877388,0.001504,8.517456,442.591797,-1.984146,0.006455
CC(C)OC(C)(C)F,CC(Cl)Br,0.250731,0.000206,18.157104,-666.437500,-3.160805,0.005277,17.837341,-675.017578,-2.657158,0.000426
CC(C)OC(C)(C)F,CCCOC(F)F,0.259985,0.000224,17.863495,-553.228516,-3.155952,0.005490,17.330536,-665.025391,-2.639633,0.000864
CC(C)OC(C)(C)F,COC1CC2CCC1(C)C2(C)C,0.262318,0.000222,17.180145,-359.001953,-3.001732,0.005048,16.203064,-571.578125,-2.607170,0.001882
CC(C)OC(C)(C)F,CCC(=O)C1=NCCC1,0.258972,0.000218,17.787689,-380.914062,-3.133041,0.005184,16.680389,-703.542969,-2.611336,0.001706
CC(C)OC(C)(C)F,NC(CF)(CF)CF,0.256595,0.000212,17.760925,-200.556641,-3.236977,0.005429,16.714783,-577.261719,-2.577148,0.001941
CC(C)OC(C)(C)F,CC(C)CCCC(C)CC=O,0.264259,0.000229,17.597046,-310.828125,-3.124123,0.005385,16.263794,-673.519531,-2.604568,0.001961
CC(C)OC(C)(C)F,Cc1coc(C)n1,0.254793,0.000214,18.512451,-433.357422,-3.267784,0.005291,17.556458,-754.150391,-2.690163,0.001479
CC(C)OC(C)(C)F,NC(=S)NC(N)=S,0.234381,0.000146,18.598145,265.906250,-3.049065,0.003510,13.839233,-388.656250,-2.192795,0.003240
CC(C)OC(C)(C)F,FC(F)C(Cl)C(F)F,0.234882,0.000170,19.873779,-874.017578,-3.398941,0.004761,18.720673,-870.402344,-2.674828,0.000496
CC(C)OC(C)(C)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.245230,0.000181,16.237274,-267.267578,-2.712784,0.004069,15.491333,-553.000000,-2.488747,0.001698
CC(C)OC(C)(C)F,NNC(=O)c1ccccc1,0.270369,0.000221,16.634094,888.056641,-3.131035,0.004309,11.831787,125.695312,-2.245201,0.005030
CC(C)OC(C)(C)F,ClC=CBr,0.248201,0.000196,17.937744,-783.095703,-3.121010,0.005340,18.330597,-652.218750,-2.739479,0.000345
CC(C)OC(C)(C)F,CN(C)N=O,0.260260,0.000209,17.205750,-51.945312,-3.176666,0.005324,15.652649,-417.261719,-2.395714,0.002257
CC(C)OC(C)(C)F,c1ccc(C2CCCCC2)cc1,0.263662,0.000226,17.237762,-410.800781,-3.031555,0.005232,16.255890,-580.845703,-2.597672,0.001626
CC(C)OC(C)(C)F,N#Cc1ccncc1,0.250516,0.000203,18.913666,-461.583984,-3.245888,0.004828,17.108459,-789.220703,-2.640923,0.001555
CC(C)OC(C)(C)F,CN(C)C(=S)Nc1ccccc1,0.246423,0.000184,18.501312,-54.367188,-3.080376,0.003834,14.498779,-491.873047,-2.343468,0.002155
CC(C)OC(C)(C)F,CCC(N)CC,0.257942,0.000212,17.042297,-171.107422,-3.167740,0.005993,16.954712,-586.119141,-2.682648,0.002241
CC(C)OC(C)(C)F,COC(=O)CO,0.260453,0.000215,17.254211,-50.185547,-3.195061,0.005000,15.705109,-392.230469,-2.433846,0.002192
