SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1CCc2ccccc21,O=P(Cl)(c1ccccc1)c1ccccc1,0.255038,0.000208,19.584442,-250.208984,-3.337204,0.004752,14.225739,-505.021484,-2.262253,0.001546
CC1CCc2ccccc21,CC(=O)Nc1ccc(C=O)cc1,0.274797,0.000221,15.896851,1384.677734,-2.931610,0.003234,9.558197,492.722656,-2.129478,0.006076
CC1CCc2ccccc21,Cc1cccc(CO)c1,0.279302,0.000243,16.131042,550.503906,-3.123856,0.004988,12.477539,-85.285156,-2.304993,0.004406
CC1CCc2ccccc21,COC(C)CO,0.268444,0.000226,16.634186,175.632812,-3.156403,0.005131,15.273102,-399.888672,-2.517059,0.003336
CC1CCc2ccccc21,Nc1nc(=O)c2ccccc2o1,0.247751,0.000171,14.948486,2515.960938,-2.700371,0.000548,7.180298,1468.898438,-2.045738,0.008058
CC1CCc2ccccc21,CC(Cl)Br,0.265869,0.000235,17.693237,-460.171875,-3.212234,0.005882,16.654449,-562.160156,-2.535782,0.001009
CC1CCc2ccccc21,CCCOC(F)F,0.271007,0.000241,17.150970,-337.240234,-3.131561,0.005914,15.979248,-535.892578,-2.503532,0.001478
CC1CCc2ccccc21,COC1CC2CCC1(C)C2(C)C,0.259743,0.000220,17.621704,-388.914062,-3.115730,0.005303,16.290863,-651.761719,-2.562698,0.001521
CC1CCc2ccccc21,CCC(=O)C1=NCCC1,0.260510,0.000222,18.120789,-314.025391,-3.248062,0.005323,16.481812,-684.521484,-2.575096,0.001928
CC1CCc2ccccc21,NC(CF)(CF)CF,0.268117,0.000220,15.859344,206.402344,-3.131409,0.005879,14.371918,-142.921875,-2.294922,0.002818
CC1CCc2ccccc21,CC(C)CCCC(C)CC=O,0.262189,0.000228,18.432739,-353.160156,-3.275726,0.005488,16.471375,-711.833984,-2.605225,0.001848
CC1CCc2ccccc21,Cc1coc(C)n1,0.258766,0.000217,18.082062,-301.152344,-3.268921,0.005427,16.687805,-636.738281,-2.578522,0.001768
CC1CCc2ccccc21,NC(=S)NC(N)=S,0.223587,0.000116,14.596649,1779.802734,-3.080093,0.004712,11.723511,1267.595703,-2.114883,0.004279
CC1CCc2ccccc21,FC(F)C(Cl)C(F)F,0.264839,0.000227,17.258087,-299.705078,-3.235870,0.006023,16.097565,-374.388672,-2.402031,0.001252
CC1CCc2ccccc21,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263264,0.000210,14.600403,367.058594,-2.757668,0.004847,13.116699,-4.539062,-2.258766,0.003227
CC1CCc2ccccc21,NNC(=O)c1ccccc1,0.276898,0.000224,14.782562,1240.521484,-3.029724,0.004458,10.725861,491.484375,-2.147713,0.005764
CC1CCc2ccccc21,ClC=CBr,0.266633,0.000234,17.287231,-472.244141,-3.137550,0.005774,16.595184,-571.455078,-2.558067,0.001077
CC1CCc2ccccc21,CN(C)N=O,0.259322,0.000203,17.057739,38.572266,-3.183434,0.005171,14.545288,-279.496094,-2.201813,0.002146
CC1CCc2ccccc21,c1ccc(C2CCCCC2)cc1,0.275256,0.000252,17.387787,-302.201172,-3.162872,0.006053,15.340973,-550.710938,-2.488884,0.001793
CC1CCc2ccccc21,N#Cc1ccncc1,0.257584,0.000210,18.417542,-200.712891,-3.253571,0.004911,15.716980,-588.478516,-2.458794,0.002023
CC1CCc2ccccc21,CN(C)C(=S)Nc1ccccc1,0.265136,0.000216,18.062347,264.769531,-3.172005,0.004329,12.489960,-180.398438,-2.147125,0.003003
CC1CCc2ccccc21,CCC(N)CC,0.256263,0.000209,17.045898,-145.888672,-3.193596,0.005916,16.572815,-547.941406,-2.621971,0.002315
CC1CCc2ccccc21,COC(=O)CO,0.266921,0.000219,16.254669,239.423828,-3.168900,0.004973,14.068207,-110.224609,-2.223862,0.002960
CC1CCc2ccccc21,Cc1c(N)cccc1Cl,0.266052,0.000223,17.031219,55.046875,-3.168007,0.005179,14.678284,-437.947266,-2.394783,0.002832
CC1CCc2ccccc21,CC1CCC(C(C)(C)OO)CC1,0.274931,0.000241,16.665436,386.054688,-3.155106,0.004990,14.200806,-327.871094,-2.543015,0.004268
CC1CCc2ccccc21,CC(F)(Cl)CF,0.267514,0.000235,17.570892,-358.931641,-3.224731,0.005864,15.991852,-465.433594,-2.443619,0.001215
CC1CCc2ccccc21,CCCCC1OC(C)CC(C)(C)O1,0.260524,0.000223,18.038910,-355.742188,-3.166931,0.005182,16.414154,-718.011719,-2.621758,0.001910
CC1CCc2ccccc21,CC(C)(C)OCC1CO1,0.262367,0.000227,18.210632,-350.896484,-3.257523,0.005453,16.830719,-719.935547,-2.636566,0.001878
CC1CCc2ccccc21,O=P(O)(O)OP(=O)(O)O,0.186717,0.000059,12.444031,4275.757812,-2.109032,-0.001229,6.603241,2935.626953,-2.114548,0.009365
CC1CCc2ccccc21,CC(=O)Nc1ccc(C)cc1,0.282096,0.000243,16.388184,801.117188,-3.056999,0.004384,11.332581,53.517578,-2.245102,0.004949
CC1CCc2ccccc21,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.244559,0.000167,17.911896,706.927734,-3.361954,0.004728,11.408234,431.814453,-1.983925,0.002443
CC1CCc2ccccc21,CC(C)(O)CCC1CCCCC1,0.281158,0.000250,16.482971,552.660156,-3.120209,0.004976,12.707153,-135.320312,-2.410103,0.004585
CC1CCc2ccccc21,COCC(F)(F)F,0.269455,0.000233,16.432648,-189.589844,-3.097878,0.005879,15.794281,-407.529297,-2.451897,0.001819
CC1CCc2ccccc21,COCC(O)COC,0.263023,0.000217,17.339813,-130.726562,-3.207466,0.005289,16.068207,-554.167969,-2.494141,0.002286
CC1CCc2ccccc21,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.266491,0.000208,15.489990,1712.464844,-2.924194,0.002287,9.863129,618.304688,-2.309052,0.007183
CC1CCc2ccccc21,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.257061,0.000188,15.076233,1611.580078,-2.992920,0.002632,9.828888,707.437500,-2.097946,0.006456
CC1CCc2ccccc21,CC(C)C(F)F,0.274638,0.000248,16.959625,-320.498047,-3.148422,0.006217,15.869476,-507.806641,-2.499809,0.001536
CC1CCc2ccccc21,CCCCC1C=C(C)CC(C)O1,0.258732,0.000219,17.857727,-389.099609,-3.133858,0.005166,16.379730,-686.271484,-2.590614,0.001642
CC1CCc2ccccc21,COc1ccc(C(C)=O)cc1,0.264013,0.000221,18.156311,-156.111328,-3.234665,0.005191,14.811401,-496.345703,-2.367554,0.001995
CC1CCc2ccccc21,Oc1cc(O)ncn1,0.263358,0.000195,12.647247,2175.945312,-2.791611,0.002999,10.190674,1075.164062,-2.309647,0.008126
CC1CCc2ccccc21,COCCCCl,0.266200,0.000229,17.175873,-327.814453,-3.127197,0.005619,16.363434,-624.689453,-2.559975,0.001791
CC1CCc2ccccc21,CCCOC,0.258335,0.000218,17.733398,-433.333984,-3.167305,0.005396,17.022491,-686.964844,-2.623566,0.001372
CC1CCc2ccccc21,Fc1c(F)c(F)c(F)c(F)c1F,0.271649,0.000237,16.018158,-204.496094,-2.935623,0.005751,14.340332,-395.291016,-2.320633,0.001721
CC1CCc2ccccc21,CCP(CC)CC,0.258336,0.000219,17.942230,-409.816406,-3.168640,0.005332,16.458679,-666.843750,-2.567963,0.001432
CC1CCc2ccccc21,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261843,0.000228,18.492279,-284.804688,-3.250717,0.005196,16.698059,-773.242188,-2.696823,0.002331
CC1CCc2ccccc21,Fc1cc(F)c(F)cc1F,0.269815,0.000238,17.062775,-283.513672,-3.134659,0.005892,15.412964,-491.515625,-2.438080,0.001650
CC1CCc2ccccc21,CCCCc1ccc(C(=O)O)cc1,0.280116,0.000246,16.393311,645.498047,-3.100784,0.004552,12.231079,-135.656250,-2.368256,0.004933
CC1CCc2ccccc21,C=Cc1c(C)cc(C)cc1C,0.273434,0.000251,17.691284,-345.980469,-3.213234,0.006051,15.770630,-573.658203,-2.525757,0.001612
CC1CCc2ccccc21,C=C(C)C(=O)OC(C)(C)C,0.261451,0.000228,18.474030,-383.466797,-3.288689,0.005545,16.444763,-686.222656,-2.586769,0.001617
CC1CCc2ccccc21,FC1CCCN1,0.262197,0.000221,17.591156,-212.613281,-3.216980,0.005324,15.981476,-488.238281,-2.473656,0.001717
CC1CCc2ccccc21,CCCCCCCC(=O)NC,0.278131,0.000242,17.064484,620.835938,-3.057457,0.004241,12.315063,-119.943359,-2.356926,0.004576
CC1CCc2ccccc21,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.270816,0.000226,14.665009,243.593750,-2.857986,0.005947,13.706299,-67.996094,-2.355476,0.003003
CC1CCc2ccccc21,C1=CC2C=CC1C2,0.272593,0.000244,16.853760,-334.425781,-3.095154,0.006081,15.613831,-499.792969,-2.488182,0.001545
CC1CCc2ccccc21,CCC(C)(O)CCC=C(C)C,0.278263,0.000247,16.567230,415.125000,-3.142090,0.005191,13.363220,-237.107422,-2.441620,0.004216
CC1CCc2ccccc21,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.262076,0.000230,18.232239,-154.701172,-3.212784,0.004872,17.284271,-801.031250,-2.912079,0.002966
CC1CCc2ccccc21,CCC(C)CCF,0.272338,0.000244,17.034332,-329.384766,-3.123177,0.006019,15.921509,-549.923828,-2.528793,0.001581
CC1CCc2ccccc21,C=Cc1cccc(CC)c1,0.273043,0.000250,17.743317,-343.132812,-3.220245,0.006040,15.829620,-582.927734,-2.528770,0.001641
CC1CCc2ccccc21,CC(C)(C(O)(F)F)C(F)(F)F,0.251015,0.000202,17.448822,-165.765625,-3.194412,0.005185,16.474426,-535.480469,-2.533661,0.001977
CC1CCc2ccccc21,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.271414,0.000236,16.312134,-335.025391,-2.956024,0.005564,15.310455,-485.900391,-2.494125,0.001805
CC1CCc2ccccc21,CCN(CC)c1ccc(N)cc1,0.264677,0.000220,17.355499,123.054688,-3.197327,0.004881,14.719879,-447.294922,-2.438660,0.003113
CC1CCc2ccccc21,FC(F)CC(F)(F)F,0.272835,0.000236,16.077393,-105.957031,-3.089317,0.006146,14.737793,-218.154297,-2.264801,0.001755
CC1CCc2ccccc21,N#CCCOCCC#N,0.250015,0.000182,18.164154,401.804688,-3.315369,0.004858,11.857819,208.089844,-1.959778,0.001712
CC1CCc2ccccc21,CCC(C)C(C)C(C)C,0.271359,0.000234,16.122131,-239.820312,-2.933273,0.005698,14.761932,-365.402344,-2.456459,0.002174
CC1CCc2ccccc21,Cn1c(=O)ccc2ccccc21,0.258601,0.000206,18.401886,-28.441406,-3.215584,0.004627,14.140411,-406.240234,-2.252014,0.002135
CC1CCc2ccccc21,CCOC(=O)c1ccccc1N,0.272260,0.000234,17.205719,182.738281,-3.140656,0.004935,14.000000,-393.851562,-2.422691,0.003384
CC1CCc2ccccc21,ClC1CN2CCC1CC2,0.257963,0.000219,18.210236,-390.646484,-3.243752,0.005269,17.082123,-704.265625,-2.641853,0.001617
CC1CCc2ccccc21,CC=CCCCCCCCC#N,0.264282,0.000229,18.517853,-251.273438,-3.254532,0.005324,15.370850,-638.611328,-2.491676,0.002033
CC1CCc2ccccc21,COCCl,0.266539,0.000229,17.197815,-269.888672,-3.194756,0.005805,15.827850,-413.052734,-2.413841,0.001389
CC1CCc2ccccc21,NCCc1cccnc1,0.265694,0.000211,16.308868,375.720703,-3.221519,0.005554,14.200958,-188.802734,-2.350410,0.003654
CC1CCc2ccccc21,Cc1cccc(C(=O)O)c1,0.276100,0.000238,16.531555,592.185547,-3.122681,0.004481,12.276031,-118.804688,-2.306839,0.004529
CC1CCc2ccccc21,C=CCNC,0.261994,0.000221,17.291992,-233.171875,-3.183014,0.005652,16.650879,-621.714844,-2.609406,0.002059
CC1CCc2ccccc21,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.257145,0.000189,12.767273,612.587891,-2.482758,0.004752,12.275635,461.460938,-2.370087,0.004076
CC1CCc2ccccc21,CC(CO)C(F)(F)F,0.282310,0.000246,15.169159,639.052734,-3.078171,0.005493,12.917328,42.878906,-2.343842,0.004593
CC1CCc2ccccc21,CC(C)C(=O)C(F)(F)F,0.272865,0.000243,16.825439,-216.232422,-3.101814,0.005896,15.278015,-480.923828,-2.447647,0.001878
CC1CCc2ccccc21,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.261937,0.000206,14.329071,400.125000,-2.764587,0.005234,13.372345,40.408203,-2.357529,0.003312
CC1CCc2ccccc21,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.263197,0.000230,18.582977,-238.306641,-3.241608,0.005118,15.811859,-721.400391,-2.600037,0.002418
CC1CCc2ccccc21,C=CCN(C)CC=C,0.263690,0.000225,17.130219,-388.126953,-3.064537,0.005407,16.466461,-644.496094,-2.587128,0.001604
CC1CCc2ccccc21,COCC(F)C(F)(F)F,0.274284,0.000238,15.808319,-65.423828,-3.002876,0.005905,15.351013,-385.812500,-2.445831,0.002309
CC1CCc2ccccc21,CNC(C)(C)C,0.256177,0.000209,17.142181,-243.619141,-3.127594,0.005503,16.678711,-620.308594,-2.618813,0.002036
CC1CCc2ccccc21,C1COCCOCCOCCO1,0.261699,0.000212,17.029083,-50.101562,-3.200211,0.005189,15.594086,-528.859375,-2.438042,0.002585
CC1CCc2ccccc21,O=NF,0.246201,0.000180,16.091064,296.078125,-3.276016,0.006312,14.535522,439.162109,-2.103409,0.001278
CC1CCc2ccccc21,CCN(CC)CCN,0.256785,0.000211,17.474182,-97.699219,-3.265228,0.005561,16.777802,-642.732422,-2.633995,0.002744
CC1CCc2ccccc21,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.276016,0.000243,15.749298,-74.988281,-2.902565,0.005673,14.283630,-389.275391,-2.380814,0.002335
