SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(=O)c1ccco1,O=P(Cl)(c1ccccc1)c1ccccc1,0.252719,0.000216,19.251099,-447.583984,-3.319962,0.005018,16.993408,-783.244141,-2.654144,0.001535
CCC(=O)c1ccco1,CC(=O)Nc1ccc(C=O)cc1,0.254185,0.000206,18.122223,-40.150391,-3.098427,0.004302,14.759003,-594.732422,-2.470634,0.002757
CCC(=O)c1ccco1,Cc1cccc(CO)c1,0.245210,0.000191,18.009186,-435.771484,-3.084442,0.004654,15.451996,-681.423828,-2.406349,0.001308
CCC(=O)c1ccco1,COC(C)CO,0.253387,0.000206,17.479095,-287.880859,-3.074020,0.004985,16.556763,-641.873047,-2.595909,0.001732
CCC(=O)c1ccco1,Nc1nc(=O)c2ccccc2o1,0.238454,0.000168,19.326813,294.070312,-3.097000,0.002979,11.596619,-420.146484,-2.117371,0.003642
CCC(=O)c1ccco1,CC(Cl)Br,0.257769,0.000212,16.944611,-560.166016,-3.011871,0.005500,18.009277,-483.945312,-2.796509,0.001062
CCC(=O)c1ccco1,CCCOC(F)F,0.268788,0.000228,16.157227,-375.255859,-2.889107,0.005370,16.722992,-387.318359,-2.707634,0.001885
CCC(=O)c1ccco1,COC1CC2CCC1(C)C2(C)C,0.254818,0.000192,15.223785,-194.998047,-2.590050,0.004095,14.644867,-210.335938,-2.505470,0.002839
CCC(=O)c1ccco1,CCC(=O)C1=NCCC1,0.250646,0.000202,17.557159,-561.494141,-2.985870,0.004614,17.101959,-632.818359,-2.643341,0.001083
CCC(=O)c1ccco1,NC(CF)(CF)CF,0.251405,0.000203,17.658783,-329.884766,-3.163216,0.005318,16.840240,-598.279297,-2.578873,0.001472
CCC(=O)c1ccco1,CC(C)CCCC(C)CC=O,0.258383,0.000207,16.166840,-241.734375,-2.811539,0.004662,15.442352,-418.515625,-2.566154,0.002407
CCC(=O)c1ccco1,Cc1coc(C)n1,0.249488,0.000200,17.544800,-468.156250,-3.055267,0.004906,16.905396,-671.861328,-2.584419,0.001102
CCC(=O)c1ccco1,NC(=S)NC(N)=S,0.198903,0.000076,20.057068,-857.947266,-3.130348,0.003514,15.596222,-1122.740234,-2.375565,0.002015
CCC(=O)c1ccco1,FC(F)C(Cl)C(F)F,0.237796,0.000168,18.816681,-848.693359,-3.273323,0.005027,19.142975,-760.298828,-2.811218,0.000800
CCC(=O)c1ccco1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.241120,0.000164,14.874969,89.134766,-2.400215,0.003259,14.920502,-198.275391,-2.600090,0.002829
