SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)(O)C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.248795,0.000202,19.282257,-361.417969,-3.257660,0.004620,15.182281,-609.318359,-2.366219,0.001226
CCC(C)(O)C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.251261,0.000193,17.950745,-63.847656,-3.116943,0.004521,13.572845,-507.197266,-2.207550,0.002433
CCC(C)(O)C(C)C,Cc1cccc(CO)c1,0.239690,0.000183,18.723541,-584.240234,-3.227211,0.004790,15.756897,-750.580078,-2.355904,0.000858
CCC(C)(O)C(C)C,COC(C)CO,0.240040,0.000181,18.444855,-515.320312,-3.221359,0.004842,16.693512,-779.968750,-2.484604,0.001169
CCC(C)(O)C(C)C,Nc1nc(=O)c2ccccc2o1,0.229908,0.000147,18.958374,24.244141,-3.063087,0.003300,11.003113,-563.917969,-1.830742,0.002734
CCC(C)(O)C(C)C,CC(Cl)Br,0.270483,0.000233,15.551910,-333.501953,-2.993904,0.006911,17.083771,28.181641,-2.747185,0.000922
CCC(C)(O)C(C)C,CCCOC(F)F,0.279764,0.000248,15.067017,-169.464844,-2.931190,0.006798,16.349579,66.207031,-2.748535,0.001790
CCC(C)(O)C(C)C,COC1CC2CCC1(C)C2(C)C,0.267327,0.000225,15.705872,-316.468750,-2.838051,0.005670,16.774750,-137.355469,-2.791962,0.001691
CCC(C)(O)C(C)C,CCC(=O)C1=NCCC1,0.248186,0.000193,17.368500,-526.251953,-2.971802,0.004698,16.462463,-590.857422,-2.535950,0.001091
CCC(C)(O)C(C)C,NC(CF)(CF)CF,0.239433,0.000176,17.611298,-396.531250,-3.071510,0.004544,16.030731,-644.132812,-2.378563,0.001275
CCC(C)(O)C(C)C,CC(C)CCCC(C)CC=O,0.258696,0.000215,17.206879,-479.451172,-3.012123,0.005282,17.022736,-505.529297,-2.704117,0.001340
CCC(C)(O)C(C)C,Cc1coc(C)n1,0.227907,0.000156,19.230865,-794.164062,-3.198532,0.004311,16.243652,-870.578125,-2.382790,0.000584
CCC(C)(O)C(C)C,NC(=S)NC(N)=S,0.228782,0.000127,17.188873,25.634766,-2.823105,0.004005,12.101288,-410.748047,-1.835068,0.002400
CCC(C)(O)C(C)C,FC(F)C(Cl)C(F)F,0.255286,0.000202,17.068604,-555.347656,-3.071175,0.005891,17.636993,-291.523438,-2.753296,0.000903
CCC(C)(O)C(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.259593,0.000201,14.629456,102.787109,-2.661057,0.005191,14.699768,105.468750,-2.575996,0.002470
CCC(C)(O)C(C)C,NNC(=O)c1ccccc1,0.243019,0.000182,18.580780,-167.175781,-3.240425,0.004708,15.621033,-613.472656,-2.411430,0.002053
CCC(C)(O)C(C)C,ClC=CBr,0.267819,0.000227,15.677246,-468.910156,-2.977188,0.006820,18.011108,-50.705078,-2.873184,0.000839
