SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCC(C)(C)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.238517,0.000162,19.460175,339.572266,-3.338394,0.004279,12.209198,116.003906,-2.042732,0.001307
CCCCCC(C)(C)CC,CC(=O)Nc1ccc(C=O)cc1,0.234537,0.000142,15.837646,2290.521484,-2.837631,0.001243,8.286804,1512.912109,-2.083504,0.006077
CCCCCC(C)(C)CC,Cc1cccc(CO)c1,0.275434,0.000227,15.749847,871.623047,-3.082253,0.004227,10.873108,297.503906,-2.081177,0.004722
CCCCCC(C)(C)CC,COC(C)CO,0.270881,0.000219,15.731964,464.023438,-3.099571,0.004825,13.518188,-9.621094,-2.221397,0.003647
CCCCCC(C)(C)CC,Nc1nc(=O)c2ccccc2o1,0.188599,0.000067,15.414032,3686.730469,-2.419403,-0.002328,5.909210,2642.197266,-2.082565,0.007644
CCCCCC(C)(C)CC,CC(Cl)Br,0.266301,0.000226,17.360687,-266.162109,-3.204353,0.005696,15.021606,-299.804688,-2.276291,0.001045
CCCCCC(C)(C)CC,CCCOC(F)F,0.270779,0.000234,17.025116,-199.521484,-3.154144,0.005718,14.999207,-315.226562,-2.321808,0.001377
CCCCCC(C)(C)CC,COC1CC2CCC1(C)C2(C)C,0.261009,0.000225,18.317963,-381.402344,-3.261215,0.005377,16.725983,-685.228516,-2.594795,0.001597
CCCCCC(C)(C)CC,CCC(=O)C1=NCCC1,0.261138,0.000209,17.426575,-25.972656,-3.186333,0.004939,14.478455,-306.580078,-2.242546,0.002021
CCCCCC(C)(C)CC,NC(CF)(CF)CF,0.257132,0.000188,15.199219,673.681641,-3.182449,0.005686,13.079498,418.195312,-2.105682,0.003008
CCCCCC(C)(C)CC,CC(C)CCCC(C)CC=O,0.265025,0.000224,18.242706,-223.923828,-3.236946,0.005226,15.047668,-517.996094,-2.390762,0.001798
CCCCCC(C)(C)CC,Cc1coc(C)n1,0.258833,0.000207,17.502045,-115.720703,-3.212372,0.005062,15.296997,-353.837891,-2.316788,0.001741
CCCCCC(C)(C)CC,NC(=S)NC(N)=S,0.165737,0.000019,13.855621,3112.181641,-2.786606,0.002084,10.548859,2685.900391,-2.144798,0.004693
CCCCCC(C)(C)CC,FC(F)C(Cl)C(F)F,0.257668,0.000203,16.944794,-31.138672,-3.281929,0.006016,14.264526,92.283203,-2.053871,0.000726
CCCCCC(C)(C)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266809,0.000218,15.564453,407.914062,-2.996391,0.005098,12.271332,198.191406,-2.079277,0.002815
CCCCCC(C)(C)CC,NNC(=O)c1ccccc1,0.238168,0.000146,14.563232,2123.703125,-3.006554,0.002705,9.449615,1441.333984,-2.130226,0.005908
CCCCCC(C)(C)CC,ClC=CBr,0.267354,0.000231,17.037598,-338.074219,-3.177956,0.005909,16.050507,-387.822266,-2.416786,0.001039
CCCCCC(C)(C)CC,CN(C)N=O,0.236163,0.000148,16.987122,757.177734,-3.210052,0.004451,12.153839,609.296875,-1.958527,0.001994
CCCCCC(C)(C)CC,c1ccc(C2CCCCC2)cc1,0.276199,0.000248,17.233765,-220.742188,-3.182755,0.005920,14.790558,-441.822266,-2.381767,0.001874
CCCCCC(C)(C)CC,N#Cc1ccncc1,0.253966,0.000190,17.870148,158.953125,-3.168449,0.004282,13.572723,-201.236328,-2.134369,0.002278
CCCCCC(C)(C)CC,CN(C)C(=S)Nc1ccccc1,0.229394,0.000137,18.116974,1291.843750,-3.191139,0.002816,9.684570,895.150391,-1.959755,0.003330
CCCCCC(C)(C)CC,CCC(N)CC,0.262289,0.000215,17.093719,-72.773438,-3.218796,0.005548,15.938782,-480.927734,-2.496300,0.002332
CCCCCC(C)(C)CC,COC(=O)CO,0.246019,0.000170,15.922913,801.064453,-3.201515,0.004421,12.342621,615.154297,-1.982643,0.002679
CCCCCC(C)(C)CC,Cc1c(N)cccc1Cl,0.262638,0.000204,16.617249,515.144531,-3.134552,0.004421,12.514862,19.148438,-2.138245,0.003516
