SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOP(=O)(CC)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.233258,0.000173,20.298920,-654.927734,-3.361404,0.004284,18.787506,-1024.226562,-2.921562,0.001625
CCOP(=O)(CC)CC,CC(=O)Nc1ccc(C=O)cc1,0.200351,0.000088,20.130371,-934.513672,-3.269356,0.003961,15.372894,-1215.978516,-2.370499,0.001552
CCOP(=O)(CC)CC,Cc1cccc(CO)c1,0.186335,0.000061,20.983826,-1237.822266,-3.391251,0.003976,15.964325,-1254.726562,-2.321999,0.000670
CCOP(=O)(CC)CC,COC(C)CO,0.220946,0.000139,18.790070,-768.759766,-3.171448,0.004378,16.480225,-973.498047,-2.438873,0.000893
CCOP(=O)(CC)CC,Nc1nc(=O)c2ccccc2o1,0.174710,0.000024,21.436707,-962.191406,-3.460136,0.003805,10.583191,-1413.726562,-1.690933,0.002335
CCOP(=O)(CC)CC,CC(Cl)Br,0.218871,0.000123,19.842041,-1011.230469,-3.373215,0.004748,20.630005,-873.339844,-3.071625,0.001153
CCOP(=O)(CC)CC,CCCOC(F)F,0.242102,0.000174,18.022064,-745.427734,-3.096413,0.004713,19.248688,-697.259766,-2.949371,0.001429
CCOP(=O)(CC)CC,COC1CC2CCC1(C)C2(C)C,0.251238,0.000185,15.436676,-145.347656,-2.614182,0.003873,15.362122,-359.150391,-2.593979,0.003107
CCOP(=O)(CC)CC,CCC(=O)C1=NCCC1,0.247161,0.000195,17.702118,-521.789062,-3.016624,0.004540,17.932709,-748.103516,-2.777107,0.001389
CCOP(=O)(CC)CC,NC(CF)(CF)CF,0.215720,0.000132,20.188202,-845.988281,-3.355797,0.003960,19.182098,-1035.603516,-2.787239,0.000869
CCOP(=O)(CC)CC,CC(C)CCCC(C)CC=O,0.254150,0.000198,16.204041,-231.818359,-2.793159,0.004370,16.185883,-534.382812,-2.643806,0.002552
CCOP(=O)(CC)CC,Cc1coc(C)n1,0.234343,0.000171,18.749115,-694.685547,-3.173347,0.004432,18.601990,-875.912109,-2.785027,0.000907
CCOP(=O)(CC)CC,NC(=S)NC(N)=S,0.143613,-0.000067,21.821808,-1743.765625,-3.457550,0.004210,12.392334,-1829.925781,-1.919586,0.003574
CCOP(=O)(CC)CC,FC(F)C(Cl)C(F)F,0.189082,0.000051,21.799896,-1476.265625,-3.605186,0.004260,20.782074,-1170.904297,-2.978424,0.001629
