SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
c1ccc2nncnc2c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.247634,0.000205,19.063721,-562.619141,-3.249031,0.004933,17.754913,-831.658203,-2.761658,0.001183
c1ccc2nncnc2c1,CC(=O)Nc1ccc(C=O)cc1,0.243045,0.000183,18.140533,-493.115234,-3.118340,0.004750,15.073425,-769.974609,-2.319519,0.001449
c1ccc2nncnc2c1,Cc1cccc(CO)c1,0.236603,0.000169,17.929932,-650.921875,-3.082726,0.004732,15.863403,-739.931641,-2.365341,0.000793
c1ccc2nncnc2c1,COC(C)CO,0.246891,0.000195,17.746002,-486.181641,-3.099236,0.004888,17.361572,-738.595703,-2.642105,0.001139
c1ccc2nncnc2c1,Nc1nc(=O)c2ccccc2o1,0.220635,0.000133,19.193848,-298.986328,-3.071091,0.003465,11.960083,-785.462891,-1.918068,0.001998
c1ccc2nncnc2c1,CC(Cl)Br,0.249805,0.000191,17.398163,-754.943359,-3.062080,0.005301,18.957733,-590.208984,-2.898170,0.000987
c1ccc2nncnc2c1,CCCOC(F)F,0.264190,0.000216,15.783875,-433.357422,-2.814537,0.005159,17.011810,-434.238281,-2.701096,0.001642
c1ccc2nncnc2c1,COC1CC2CCC1(C)C2(C)C,0.253899,0.000186,14.863068,-170.361328,-2.536980,0.003982,15.234924,-248.332031,-2.606895,0.003139
c1ccc2nncnc2c1,CCC(=O)C1=NCCC1,0.250906,0.000199,17.266418,-588.755859,-2.936768,0.004610,17.589020,-644.003906,-2.732727,0.001175
c1ccc2nncnc2c1,NC(CF)(CF)CF,0.244482,0.000192,18.210480,-563.273438,-3.162399,0.004913,17.719238,-734.681641,-2.660538,0.000853
c1ccc2nncnc2c1,CC(C)CCCC(C)CC=O,0.257334,0.000202,15.830688,-237.949219,-2.788040,0.004671,16.040253,-468.179688,-2.652313,0.002574
c1ccc2nncnc2c1,Cc1coc(C)n1,0.250830,0.000204,17.489471,-521.521484,-3.072197,0.005114,17.496094,-688.998047,-2.651657,0.000927
c1ccc2nncnc2c1,NC(=S)NC(N)=S,0.164893,-0.000001,21.718292,-1535.876953,-3.418182,0.003604,15.933350,-1435.951172,-2.140938,0.001034
c1ccc2nncnc2c1,FC(F)C(Cl)C(F)F,0.233785,0.000153,18.639465,-938.630859,-3.256508,0.004960,20.043274,-840.074219,-2.908234,0.000817
