SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)C(S)C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.248397,0.000209,19.979614,-515.130859,-3.399368,0.004880,17.103180,-818.000000,-2.641510,0.001307
CC(=O)C(S)C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.259613,0.000215,18.454407,81.537109,-3.190804,0.004429,14.239532,-451.460938,-2.422173,0.002881
CC(=O)C(S)C(C)C,Cc1cccc(CO)c1,0.249627,0.000204,18.484985,-351.371094,-3.185875,0.004708,15.766418,-654.082031,-2.483330,0.001549
CC(=O)C(S)C(C)C,COC(C)CO,0.255484,0.000213,17.956604,-243.085938,-3.232391,0.005368,17.262360,-661.039062,-2.686348,0.001916
CC(=O)C(S)C(C)C,Nc1nc(=O)c2ccccc2o1,0.243704,0.000174,19.432312,496.337891,-3.067360,0.002616,9.873199,-213.337891,-1.906075,0.004007
CC(=O)C(S)C(C)C,CC(Cl)Br,0.256665,0.000216,17.657135,-590.050781,-3.139603,0.005641,17.892273,-585.763672,-2.728119,0.000733
CC(=O)C(S)C(C)C,CCCOC(F)F,0.264472,0.000227,16.989929,-419.080078,-3.023766,0.005415,16.635101,-549.699219,-2.606773,0.001360
CC(=O)C(S)C(C)C,COC1CC2CCC1(C)C2(C)C,0.257479,0.000204,16.126862,-249.218750,-2.795685,0.004554,15.406006,-394.460938,-2.561050,0.002486
CC(=O)C(S)C(C)C,CCC(=O)C1=NCCC1,0.251801,0.000207,18.104248,-532.785156,-3.136307,0.005002,17.291077,-743.392578,-2.639366,0.001116
CC(=O)C(S)C(C)C,NC(CF)(CF)CF,0.252349,0.000205,17.885040,-284.675781,-3.252373,0.005707,16.971802,-570.626953,-2.581924,0.001570
CC(=O)C(S)C(C)C,CC(C)CCCC(C)CC=O,0.259759,0.000218,17.291992,-319.589844,-3.038040,0.005092,16.229828,-631.820312,-2.600769,0.001949
CC(=O)C(S)C(C)C,Cc1coc(C)n1,0.250104,0.000205,18.382507,-493.406250,-3.223221,0.005173,17.537598,-736.703125,-2.658798,0.001136
CC(=O)C(S)C(C)C,NC(=S)NC(N)=S,0.213272,0.000114,20.018372,-487.085938,-3.253777,0.004062,16.029266,-852.617188,-2.398758,0.001838
CC(=O)C(S)C(C)C,FC(F)C(Cl)C(F)F,0.238762,0.000177,19.288330,-823.277344,-3.314743,0.004952,18.344208,-749.789062,-2.687164,0.000482
CC(=O)C(S)C(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244162,0.000174,15.244629,95.878906,-2.545731,0.003653,14.202972,-210.710938,-2.456757,0.002578
CC(=O)C(S)C(C)C,NNC(=O)c1ccccc1,0.262472,0.000217,17.844025,214.605469,-3.197060,0.004856,14.459473,-333.017578,-2.434929,0.003101
CC(=O)C(S)C(C)C,ClC=CBr,0.255686,0.000208,17.315155,-696.193359,-3.066788,0.005588,18.358612,-521.759766,-2.836761,0.000823
CC(=O)C(S)C(C)C,CN(C)N=O,0.251340,0.000202,18.259277,-306.345703,-3.274887,0.005141,16.945709,-600.529297,-2.545341,0.001594
CC(=O)C(S)C(C)C,c1ccc(C2CCCCC2)cc1,0.268484,0.000226,16.253845,-267.390625,-2.862411,0.005036,15.580292,-413.755859,-2.601120,0.002456
CC(=O)C(S)C(C)C,N#Cc1ccncc1,0.244334,0.000198,19.458954,-608.490234,-3.292366,0.004754,18.066010,-855.328125,-2.748741,0.001056
