SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(C)OC(N)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247878,0.000193,17.505707,-359.064453,-2.995239,0.004548,15.654846,-613.974609,-2.463219,0.001560
CC(C)(C)OC(N)=O,CC(=O)Nc1ccc(C=O)cc1,0.249587,0.000192,17.067169,-235.574219,-2.984055,0.004780,15.166656,-568.646484,-2.416176,0.002013
CC(C)(C)OC(N)=O,Cc1cccc(CO)c1,0.251829,0.000201,17.028015,-368.798828,-2.976761,0.004996,15.843475,-591.488281,-2.478477,0.001354
CC(C)(C)OC(N)=O,COC(C)CO,0.238195,0.000172,17.349243,-564.658203,-2.945290,0.004452,16.333221,-753.378906,-2.461655,0.001003
CC(C)(C)OC(N)=O,Nc1nc(=O)c2ccccc2o1,0.233020,0.000163,18.489990,-310.201172,-3.035995,0.003753,14.091766,-743.423828,-2.221123,0.002033
CC(C)(C)OC(N)=O,CC(Cl)Br,0.274490,0.000233,14.504059,-280.654297,-2.762932,0.006428,17.587646,181.134766,-2.940308,0.001709
CC(C)(C)OC(N)=O,CCCOC(F)F,0.281941,0.000245,14.371216,-131.087891,-2.721375,0.006084,16.622467,184.236328,-2.897629,0.002555
CC(C)(C)OC(N)=O,COC1CC2CCC1(C)C2(C)C,0.261596,0.000195,13.352539,-258.501953,-2.292137,0.003984,16.935181,216.808594,-2.872635,0.002940
CC(C)(C)OC(N)=O,CCC(=O)C1=NCCC1,0.248589,0.000184,15.236816,-605.667969,-2.621887,0.004180,17.514496,-297.113281,-2.674423,0.001354
CC(C)(C)OC(N)=O,NC(CF)(CF)CF,0.237582,0.000169,16.785248,-582.154297,-2.818886,0.004202,16.196259,-681.160156,-2.412949,0.000720
CC(C)(C)OC(N)=O,CC(C)CCCC(C)CC=O,0.262774,0.000206,14.694305,-275.125000,-2.515884,0.004371,16.325806,-167.052734,-2.728600,0.002326
CC(C)(C)OC(N)=O,Cc1coc(C)n1,0.233517,0.000158,16.903839,-719.128906,-2.817619,0.004252,16.114655,-673.277344,-2.400375,0.000619
CC(C)(C)OC(N)=O,NC(=S)NC(N)=S,0.211709,0.000114,18.996429,-646.839844,-3.073372,0.003905,16.175354,-862.357422,-2.399185,0.001355
CC(C)(C)OC(N)=O,FC(F)C(Cl)C(F)F,0.260148,0.000209,16.078308,-515.152344,-2.897713,0.005821,18.570740,-252.986328,-2.954155,0.001209
CC(C)(C)OC(N)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268524,0.000208,12.640015,374.714844,-2.296173,0.004582,14.323364,551.066406,-2.696259,0.003701
CC(C)(C)OC(N)=O,NNC(=O)c1ccccc1,0.246803,0.000198,18.454742,-351.074219,-3.165283,0.004714,17.015015,-724.570312,-2.655792,0.001681
CC(C)(C)OC(N)=O,ClC=CBr,0.274092,0.000229,14.233917,-304.957031,-2.712944,0.006427,17.647980,214.433594,-2.948044,0.001775
CC(C)(C)OC(N)=O,CN(C)N=O,0.245329,0.000186,17.128418,-396.658203,-2.985832,0.004663,17.078125,-645.699219,-2.563118,0.001244
CC(C)(C)OC(N)=O,c1ccc(C2CCCCC2)cc1,0.286303,0.000240,12.882202,165.347656,-2.449608,0.005625,14.756500,569.966797,-2.821556,0.004031
CC(C)(C)OC(N)=O,N#Cc1ccncc1,0.239308,0.000172,16.954437,-653.361328,-2.825706,0.004229,17.027405,-626.832031,-2.576569,0.000752
