SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)C(CF)C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.255356,0.000206,19.685608,-189.355469,-3.316948,0.004606,13.541077,-390.685547,-2.164658,0.001348
CC(C)C(CF)C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.270605,0.000214,16.212189,1461.845703,-2.918076,0.002777,8.971680,663.009766,-2.039207,0.005884
CC(C)C(CF)C(C)C,Cc1cccc(CO)c1,0.276411,0.000238,16.585724,504.472656,-3.149277,0.004692,12.280762,-64.212891,-2.253052,0.004100
CC(C)C(CF)C(C)C,COC(C)CO,0.269012,0.000224,16.557495,208.966797,-3.154800,0.005106,14.833893,-314.195312,-2.434837,0.003228
CC(C)C(CF)C(C)C,Nc1nc(=O)c2ccccc2o1,0.236381,0.000152,15.549927,2646.921875,-2.685760,-0.000109,6.665527,1639.646484,-1.983765,0.007747
CC(C)C(CF)C(C)C,CC(Cl)Br,0.262530,0.000227,17.715179,-452.750000,-3.204529,0.005702,16.547607,-546.865234,-2.494873,0.000921
CC(C)C(CF)C(C)C,CCCOC(F)F,0.269175,0.000239,17.580231,-387.207031,-3.189148,0.005865,16.290619,-558.087891,-2.524963,0.001287
CC(C)C(CF)C(C)C,COC1CC2CCC1(C)C2(C)C,0.262566,0.000227,17.790680,-394.130859,-3.163666,0.005474,16.415100,-645.509766,-2.577515,0.001496
CC(C)C(CF)C(C)C,CCC(=O)C1=NCCC1,0.260247,0.000217,18.095306,-233.550781,-3.253242,0.005201,15.836365,-570.232422,-2.473015,0.001881
CC(C)C(CF)C(C)C,NC(CF)(CF)CF,0.266141,0.000216,16.070343,180.771484,-3.160225,0.005896,14.179779,-101.859375,-2.235619,0.002540
CC(C)C(CF)C(C)C,CC(C)CCCC(C)CC=O,0.265123,0.000231,18.282379,-301.244141,-3.248665,0.005474,15.976471,-650.373047,-2.546684,0.001874
CC(C)C(CF)C(C)C,Cc1coc(C)n1,0.259246,0.000215,17.954712,-262.246094,-3.268814,0.005453,16.361664,-556.699219,-2.518677,0.001690
CC(C)C(CF)C(C)C,NC(=S)NC(N)=S,0.223143,0.000122,15.986237,1347.298828,-3.151611,0.004728,11.688690,974.908203,-1.948853,0.003093
CC(C)C(CF)C(C)C,FC(F)C(Cl)C(F)F,0.258538,0.000217,18.058655,-404.351562,-3.281593,0.005630,16.255371,-431.435547,-2.390434,0.000755
CC(C)C(CF)C(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.264693,0.000221,15.917816,-37.113281,-2.893654,0.004981,14.046539,-298.712891,-2.273682,0.002169
CC(C)C(CF)C(C)C,NNC(=O)c1ccccc1,0.276622,0.000223,14.984711,1258.466797,-3.053787,0.004366,10.149323,573.019531,-2.045227,0.005509
CC(C)C(CF)C(C)C,ClC=CBr,0.262859,0.000226,17.382660,-510.773438,-3.141556,0.005831,16.834900,-550.537109,-2.537880,0.000767
CC(C)C(CF)C(C)C,CN(C)N=O,0.256008,0.000193,17.032990,186.957031,-3.208748,0.005213,14.099274,-60.552734,-2.136429,0.001901
CC(C)C(CF)C(C)C,c1ccc(C2CCCCC2)cc1,0.273689,0.000248,17.480743,-305.576172,-3.184631,0.005990,15.661682,-567.003906,-2.512436,0.001777
