SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)OCC(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.254891,0.000210,18.980438,-232.611328,-3.281548,0.004823,15.455292,-596.298828,-2.451630,0.001854
CC(C)OCC(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.270918,0.000223,17.157501,826.707031,-3.058830,0.003972,11.570435,130.279297,-2.258125,0.004624
CC(C)OCC(F)(F)F,Cc1cccc(CO)c1,0.268204,0.000230,17.305786,228.304688,-3.110519,0.004623,13.967316,-294.232422,-2.442162,0.003330
CC(C)OCC(F)(F)F,COC(C)CO,0.262290,0.000220,17.361084,25.371094,-3.189415,0.005123,16.233337,-536.992188,-2.635002,0.002959
CC(C)OCC(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.251035,0.000180,16.498352,1733.710938,-2.798187,0.001470,8.236084,818.828125,-2.003494,0.006597
CC(C)OCC(F)(F)F,CC(Cl)Br,0.260354,0.000219,17.064850,-417.736328,-3.036446,0.005352,16.426941,-548.970703,-2.507065,0.001042
CC(C)OCC(F)(F)F,CCCOC(F)F,0.264249,0.000230,17.581635,-461.369141,-3.133522,0.005588,16.870026,-627.818359,-2.604637,0.001224
CC(C)OCC(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.262048,0.000218,16.707001,-262.289062,-2.917885,0.004849,15.734222,-524.412109,-2.569344,0.002160
CC(C)OCC(F)(F)F,CCC(=O)C1=NCCC1,0.257077,0.000216,17.986755,-389.593750,-3.155159,0.005114,16.886658,-708.156250,-2.627838,0.001619
CC(C)OCC(F)(F)F,NC(CF)(CF)CF,0.261349,0.000217,17.392334,-139.517578,-3.206177,0.005761,16.261597,-497.593750,-2.532936,0.002026
CC(C)OCC(F)(F)F,CC(C)CCCC(C)CC=O,0.262649,0.000225,17.546082,-265.714844,-3.118011,0.005292,16.059845,-640.904297,-2.577240,0.001979
CC(C)OCC(F)(F)F,Cc1coc(C)n1,0.256230,0.000215,18.200287,-383.445312,-3.264069,0.005511,17.413788,-683.529297,-2.670494,0.001517
CC(C)OCC(F)(F)F,NC(=S)NC(N)=S,0.246521,0.000169,16.941162,709.107422,-2.945610,0.004226,12.537384,130.812500,-1.983337,0.003103
CC(C)OCC(F)(F)F,FC(F)C(Cl)C(F)F,0.248367,0.000203,18.862488,-689.505859,-3.266914,0.005194,17.904846,-732.566406,-2.639320,0.000463
CC(C)OCC(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.253184,0.000201,16.457306,-316.580078,-2.794716,0.004332,15.917389,-526.492188,-2.537239,0.001626
CC(C)OCC(F)(F)F,NNC(=O)c1ccccc1,0.276021,0.000228,15.821564,967.134766,-3.053558,0.004641,11.490021,322.806641,-2.213776,0.004985
CC(C)OCC(F)(F)F,ClC=CBr,0.260380,0.000217,16.595612,-459.556641,-2.970230,0.005460,16.739166,-500.068359,-2.548248,0.000867
CC(C)OCC(F)(F)F,CN(C)N=O,0.256981,0.000204,17.449982,-118.218750,-3.186424,0.005276,16.108276,-440.773438,-2.431023,0.001967
CC(C)OCC(F)(F)F,c1ccc(C2CCCCC2)cc1,0.270056,0.000231,16.235504,-203.566406,-2.890610,0.005187,15.250244,-476.910156,-2.525726,0.002285
CC(C)OCC(F)(F)F,N#Cc1ccncc1,0.255022,0.000210,18.467712,-357.376953,-3.236031,0.005007,16.913788,-688.900391,-2.603508,0.001676
CC(C)OCC(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.253165,0.000195,18.217957,55.675781,-3.062630,0.003987,13.654694,-327.615234,-2.257278,0.002297
CC(C)OCC(F)(F)F,CCC(N)CC,0.253821,0.000205,17.013397,-186.689453,-3.151031,0.005951,17.027252,-551.816406,-2.690346,0.002098
CC(C)OCC(F)(F)F,COC(=O)CO,0.259196,0.000212,17.569641,-38.880859,-3.202728,0.004821,15.575104,-377.964844,-2.427605,0.002159
CC(C)OCC(F)(F)F,Cc1c(N)cccc1Cl,0.254120,0.000205,17.703400,-238.349609,-3.075241,0.004724,15.636627,-596.187500,-2.463013,0.001803
CC(C)OCC(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.255939,0.000208,17.188599,-1.648438,-2.979675,0.004203,14.699463,-479.351562,-2.490273,0.002907
