SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(Cl)C(F)(F)CF,O=P(Cl)(c1ccccc1)c1ccccc1,0.255899,0.000217,18.785583,-282.656250,-3.274849,0.005051,16.268890,-744.865234,-2.602081,0.002185
CC(Cl)C(F)(F)CF,CC(=O)Nc1ccc(C=O)cc1,0.282561,0.000248,16.444305,779.794922,-3.007874,0.004456,11.985626,-24.189453,-2.394646,0.005179
CC(Cl)C(F)(F)CF,Cc1cccc(CO)c1,0.278413,0.000247,16.026917,454.808594,-3.089867,0.005462,13.972382,-219.457031,-2.552933,0.004472
CC(Cl)C(F)(F)CF,COC(C)CO,0.262991,0.000224,17.610260,-84.900391,-3.182755,0.005267,16.926849,-705.042969,-2.760162,0.002911
CC(Cl)C(F)(F)CF,Nc1nc(=O)c2ccccc2o1,0.270545,0.000221,15.438293,1731.726562,-2.842728,0.002420,9.684357,740.214844,-2.332832,0.007183
CC(Cl)C(F)(F)CF,CC(Cl)Br,0.272674,0.000239,16.246307,-252.503906,-2.974609,0.005814,15.559265,-486.416016,-2.481041,0.001732
CC(Cl)C(F)(F)CF,CCCOC(F)F,0.270765,0.000240,16.982910,-372.779297,-3.074493,0.005805,16.528290,-584.638672,-2.626411,0.001672
CC(Cl)C(F)(F)CF,COC1CC2CCC1(C)C2(C)C,0.262155,0.000211,15.969330,-180.496094,-2.775673,0.004590,15.215149,-464.263672,-2.529945,0.002683
CC(Cl)C(F)(F)CF,CCC(=O)C1=NCCC1,0.255969,0.000213,17.891968,-441.550781,-3.110626,0.005106,17.296997,-788.378906,-2.734756,0.001722
CC(Cl)C(F)(F)CF,NC(CF)(CF)CF,0.265595,0.000229,17.419922,-179.029297,-3.192253,0.005799,16.781097,-636.234375,-2.671509,0.002294
CC(Cl)C(F)(F)CF,CC(C)CCCC(C)CC=O,0.261692,0.000222,17.296967,-219.328125,-3.062538,0.005189,16.040070,-679.015625,-2.597961,0.002287
CC(Cl)C(F)(F)CF,Cc1coc(C)n1,0.255227,0.000211,18.030975,-443.460938,-3.182182,0.005303,17.488556,-766.281250,-2.718010,0.001611
CC(Cl)C(F)(F)CF,NC(=S)NC(N)=S,0.272539,0.000213,14.536682,875.501953,-3.029182,0.006228,13.048584,315.722656,-2.188400,0.004264
CC(Cl)C(F)(F)CF,FC(F)C(Cl)C(F)F,0.264689,0.000234,17.959473,-481.587891,-3.237656,0.005961,17.267975,-636.511719,-2.649673,0.001074
CC(Cl)C(F)(F)CF,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.270413,0.000225,14.993622,125.693359,-2.664940,0.004632,13.977631,-286.791016,-2.459633,0.003335
CC(Cl)C(F)(F)CF,NNC(=O)c1ccccc1,0.283221,0.000248,15.910461,652.156250,-3.085922,0.005393,12.974976,-33.142578,-2.422920,0.004781
CC(Cl)C(F)(F)CF,ClC=CBr,0.272285,0.000236,15.911743,-265.978516,-2.899109,0.005654,15.505066,-413.617188,-2.487572,0.001721
CC(Cl)C(F)(F)CF,CN(C)N=O,0.252991,0.000203,18.177643,-351.470703,-3.224373,0.005191,17.779510,-790.494141,-2.742195,0.002079
CC(Cl)C(F)(F)CF,c1ccc(C2CCCCC2)cc1,0.275259,0.000237,15.769531,-66.546875,-2.821022,0.005211,14.379700,-400.748047,-2.474884,0.003005
CC(Cl)C(F)(F)CF,N#Cc1ccncc1,0.257269,0.000217,18.686890,-407.955078,-3.246376,0.005181,17.441345,-842.380859,-2.747406,0.002117
CC(Cl)C(F)(F)CF,CN(C)C(=S)Nc1ccccc1,0.263993,0.000224,17.773987,-80.189453,-3.151581,0.004989,15.615448,-575.505859,-2.561493,0.002631
CC(Cl)C(F)(F)CF,CCC(N)CC,0.252638,0.000200,16.459442,-190.474609,-3.036827,0.005703,16.819672,-559.306641,-2.676758,0.002176
CC(Cl)C(F)(F)CF,COC(=O)CO,0.263134,0.000223,17.532013,-91.796875,-3.223923,0.005115,16.078644,-550.634766,-2.568886,0.002584
CC(Cl)C(F)(F)CF,Cc1c(N)cccc1Cl,0.271703,0.000235,16.297852,27.460938,-3.024963,0.005590,15.118408,-462.294922,-2.528748,0.002916
CC(Cl)C(F)(F)CF,CC1CCC(C(C)(C)OO)CC1,0.278268,0.000249,16.105682,462.070312,-3.043663,0.005219,14.420044,-306.541016,-2.647476,0.004689
CC(Cl)C(F)(F)CF,CC(F)(Cl)CF,0.269845,0.000243,17.872742,-404.990234,-3.224442,0.005929,16.902039,-643.148438,-2.645348,0.001469
CC(Cl)C(F)(F)CF,CCCCC1OC(C)CC(C)(C)O1,0.261404,0.000216,16.670471,-200.257812,-2.901474,0.004742,16.055847,-641.361328,-2.644196,0.002627
CC(Cl)C(F)(F)CF,CC(C)(C)OCC1CO1,0.259749,0.000221,17.805634,-379.376953,-3.136452,0.005314,17.296539,-775.275391,-2.747032,0.001919
CC(Cl)C(F)(F)CF,O=P(O)(O)OP(=O)(O)O,0.222012,0.000125,11.800568,3670.861328,-2.279060,0.000046,7.745392,2238.570312,-2.235062,0.010488
CC(Cl)C(F)(F)CF,CC(=O)Nc1ccc(C)cc1,0.282351,0.000253,16.515259,503.457031,-3.032944,0.004829,13.315491,-216.583984,-2.519569,0.004587
CC(Cl)C(F)(F)CF,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.264633,0.000214,17.667145,169.267578,-3.184402,0.004942,13.982452,-272.185547,-2.315247,0.002855
CC(Cl)C(F)(F)CF,CC(C)(O)CCC1CCCCC1,0.278098,0.000244,15.463806,608.154297,-2.956276,0.005184,13.536041,-148.464844,-2.560585,0.005069
CC(Cl)C(F)(F)CF,COCC(F)(F)F,0.264873,0.000230,17.363708,-389.839844,-3.115410,0.005615,16.836182,-635.449219,-2.628265,0.001460
CC(Cl)C(F)(F)CF,COCC(O)COC,0.255013,0.000211,18.750793,-408.330078,-3.272041,0.005154,17.768616,-875.972656,-2.810707,0.002162
CC(Cl)C(F)(F)CF,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.276727,0.000237,15.833008,1233.294922,-2.983841,0.003558,11.713135,227.283203,-2.548111,0.006500
CC(Cl)C(F)(F)CF,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.274871,0.000231,15.502655,1049.242188,-2.997383,0.003924,11.623199,202.769531,-2.350449,0.005791
CC(Cl)C(F)(F)CF,CC(C)C(F)F,0.273146,0.000241,16.630157,-316.248047,-3.035858,0.005846,16.073761,-535.160156,-2.587654,0.001927
