SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)CC(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.256032,0.000207,19.205475,-100.539062,-3.272827,0.004620,13.724731,-398.707031,-2.229561,0.001792
CCC(C)CC(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.270281,0.000213,15.604950,1654.541016,-2.842926,0.002559,9.079712,807.626953,-2.141693,0.006389
CCC(C)CC(F)(F)F,Cc1cccc(CO)c1,0.281074,0.000244,16.079956,662.097656,-3.108505,0.004811,11.684387,72.806641,-2.230331,0.004560
CCC(C)CC(F)(F)F,COC(C)CO,0.270828,0.000228,16.569702,232.996094,-3.148911,0.005088,14.740143,-302.101562,-2.462776,0.003406
CCC(C)CC(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.235007,0.000148,15.013275,2836.787109,-2.637398,-0.000057,6.826447,1832.728516,-2.109619,0.007955
CCC(C)CC(F)(F)F,CC(Cl)Br,0.268606,0.000235,17.128937,-310.705078,-3.139076,0.005798,15.650391,-434.296875,-2.414368,0.001293
CCC(C)CC(F)(F)F,CCCOC(F)F,0.271152,0.000244,17.545105,-360.140625,-3.195694,0.005941,16.349030,-576.873047,-2.554855,0.001495
CCC(C)CC(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.261263,0.000224,17.758850,-351.966797,-3.135887,0.005310,16.097046,-636.791016,-2.551056,0.001634
CCC(C)CC(F)(F)F,CCC(=O)C1=NCCC1,0.260764,0.000219,17.972290,-232.740234,-3.232262,0.005219,16.068878,-582.601562,-2.514404,0.001965
CCC(C)CC(F)(F)F,NC(CF)(CF)CF,0.271622,0.000225,15.960541,208.089844,-3.136093,0.005914,14.258484,-168.789062,-2.301277,0.002842
CCC(C)CC(F)(F)F,CC(C)CCCC(C)CC=O,0.265015,0.000231,18.180084,-274.402344,-3.230179,0.005434,15.821808,-644.865234,-2.538696,0.001995
CCC(C)CC(F)(F)F,Cc1coc(C)n1,0.261720,0.000220,17.797211,-263.589844,-3.251144,0.005574,16.451599,-548.031250,-2.545959,0.001736
CCC(C)CC(F)(F)F,NC(=S)NC(N)=S,0.216793,0.000106,14.759430,2040.791016,-3.044090,0.004108,10.975464,1543.082031,-2.160179,0.004503
CCC(C)CC(F)(F)F,FC(F)C(Cl)C(F)F,0.264149,0.000227,17.798492,-366.929688,-3.275970,0.005962,16.170868,-433.447266,-2.436836,0.001032
CCC(C)CC(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267455,0.000230,16.439362,-124.310547,-2.957344,0.005208,14.734802,-449.408203,-2.410774,0.002181
CCC(C)CC(F)(F)F,NNC(=O)c1ccccc1,0.275460,0.000219,14.311829,1480.195312,-2.995995,0.004306,10.188629,773.597656,-2.151093,0.005960
CCC(C)CC(F)(F)F,ClC=CBr,0.266674,0.000232,17.000488,-370.312500,-3.095901,0.005773,15.925140,-475.882812,-2.446907,0.001127
CCC(C)CC(F)(F)F,CN(C)N=O,0.259095,0.000199,16.810150,195.398438,-3.177086,0.005296,14.429626,-102.226562,-2.219238,0.002154
CCC(C)CC(F)(F)F,c1ccc(C2CCCCC2)cc1,0.275233,0.000251,17.308868,-224.738281,-3.144234,0.005922,15.134979,-526.345703,-2.476212,0.002004
CCC(C)CC(F)(F)F,N#Cc1ccncc1,0.259596,0.000211,18.254517,-123.609375,-3.215889,0.004820,15.081726,-460.373047,-2.377953,0.001970
CCC(C)CC(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.260790,0.000204,17.998047,511.355469,-3.178246,0.004104,11.893829,55.000000,-2.129784,0.003214
CCC(C)CC(F)(F)F,CCC(N)CC,0.260045,0.000218,17.459351,-174.710938,-3.238823,0.005865,16.817566,-600.369141,-2.642319,0.002222
CCC(C)CC(F)(F)F,COC(=O)CO,0.268816,0.000219,16.248901,397.041016,-3.164696,0.004820,13.192932,57.558594,-2.161880,0.003149
CCC(C)CC(F)(F)F,Cc1c(N)cccc1Cl,0.268118,0.000224,16.905457,231.746094,-3.151772,0.005004,13.700897,-254.921875,-2.327675,0.003168
CCC(C)CC(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.278115,0.000248,16.879791,397.113281,-3.137054,0.004731,13.522949,-258.349609,-2.485733,0.004214
CCC(C)CC(F)(F)F,CC(F)(Cl)CF,0.268703,0.000236,17.672180,-336.517578,-3.222328,0.005788,15.762665,-452.125000,-2.423462,0.001250
CCC(C)CC(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.261469,0.000226,18.312225,-320.279297,-3.219193,0.005210,16.420868,-713.986328,-2.631004,0.002009
CCC(C)CC(F)(F)F,CC(C)(C)OCC1CO1,0.262996,0.000227,18.124207,-348.138672,-3.248390,0.005441,16.772369,-671.072266,-2.620651,0.001790
CCC(C)CC(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.177284,0.000047,13.065125,4458.730469,-2.053505,-0.002006,6.149597,3114.916016,-2.163277,0.009296
CCC(C)CC(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.282877,0.000243,16.310059,968.500000,-3.026718,0.004059,10.554840,264.052734,-2.196800,0.005224
CCC(C)CC(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.230335,0.000137,17.704437,1260.134766,-3.303291,0.003888,10.200165,974.048828,-1.988892,0.002948
CCC(C)CC(F)(F)F,CC(C)(O)CCC1CCCCC1,0.283613,0.000254,16.430023,591.552734,-3.105255,0.004898,12.241058,-56.634766,-2.369400,0.004599
CCC(C)CC(F)(F)F,COCC(F)(F)F,0.267599,0.000233,17.247406,-267.783203,-3.187775,0.005763,16.285156,-499.937500,-2.520660,0.001676
CCC(C)CC(F)(F)F,COCC(O)COC,0.267175,0.000223,17.137634,-78.136719,-3.177414,0.005325,15.585632,-472.890625,-2.454803,0.002359
CCC(C)CC(F)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.266010,0.000206,14.954071,1944.796875,-2.844727,0.001916,9.266174,902.781250,-2.299271,0.007466
CCC(C)CC(F)(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.253243,0.000180,14.734497,1888.416016,-2.902122,0.002213,9.355499,1002.365234,-2.151817,0.006759
CCC(C)CC(F)(F)F,CC(C)C(F)F,0.273210,0.000248,17.450378,-381.955078,-3.211090,0.006142,16.307892,-556.205078,-2.548653,0.001406
CCC(C)CC(F)(F)F,CCCCC1C=C(C)CC(C)O1,0.259966,0.000223,18.090698,-332.853516,-3.175179,0.005167,16.314972,-679.107422,-2.595406,0.001819
CCC(C)CC(F)(F)F,COc1ccc(C(C)=O)cc1,0.267567,0.000224,17.804443,-52.210938,-3.196503,0.005265,14.159821,-356.107422,-2.305473,0.002124
CCC(C)CC(F)(F)F,Oc1cc(O)ncn1,0.261503,0.000192,12.488312,2338.208984,-2.755928,0.002717,9.581665,1333.525391,-2.299889,0.008123
CCC(C)CC(F)(F)F,COCCCCl,0.267565,0.000229,16.862000,-263.242188,-3.105232,0.005613,16.020752,-542.941406,-2.509514,0.001879
CCC(C)CC(F)(F)F,CCCOC,0.260516,0.000223,17.806427,-399.796875,-3.196678,0.005453,17.128937,-691.464844,-2.652855,0.001526
CCC(C)CC(F)(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.271460,0.000244,17.546265,-344.712891,-3.164558,0.005920,15.360199,-543.875000,-2.456627,0.001666
CCC(C)CC(F)(F)F,CCP(CC)CC,0.259928,0.000223,18.088837,-389.560547,-3.196243,0.005350,16.386322,-662.271484,-2.576630,0.001516
CCC(C)CC(F)(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261999,0.000228,18.565765,-302.683594,-3.253593,0.005175,16.526215,-759.064453,-2.673592,0.002249
CCC(C)CC(F)(F)F,Fc1cc(F)c(F)cc1F,0.268171,0.000240,17.976379,-410.474609,-3.239838,0.005902,16.326782,-618.144531,-2.553864,0.001441
CCC(C)CC(F)(F)F,CCCCc1ccc(C(=O)O)cc1,0.282338,0.000249,16.350800,677.412109,-3.075806,0.004507,11.839600,-27.882812,-2.330620,0.004809
CCC(C)CC(F)(F)F,C=Cc1c(C)cc(C)cc1C,0.272503,0.000247,17.577179,-288.988281,-3.177429,0.005869,15.437744,-552.753906,-2.496872,0.001781
CCC(C)CC(F)(F)F,C=C(C)C(=O)OC(C)(C)C,0.263687,0.000231,18.311310,-352.466797,-3.259598,0.005555,16.121338,-644.447266,-2.548401,0.001646
CCC(C)CC(F)(F)F,FC1CCCN1,0.264496,0.000223,17.562744,-189.820312,-3.205704,0.005365,15.621948,-435.306641,-2.422874,0.001687
CCC(C)CC(F)(F)F,CCCCCCCC(=O)NC,0.279295,0.000243,17.205597,665.923828,-3.049583,0.004089,11.675140,-37.875000,-2.284882,0.004554
CCC(C)CC(F)(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.273897,0.000243,16.709900,-125.675781,-3.091171,0.006026,15.049164,-450.244141,-2.453690,0.002287
CCC(C)CC(F)(F)F,C1=CC2C=CC1C2,0.272714,0.000244,16.978699,-300.744141,-3.115395,0.006038,15.677124,-519.353516,-2.490250,0.001602
CCC(C)CC(F)(F)F,CCC(C)(O)CCC=C(C)C,0.279510,0.000249,16.690857,404.585938,-3.142776,0.005055,13.190247,-205.732422,-2.434494,0.004133
CCC(C)CC(F)(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.265374,0.000232,18.031982,-17.894531,-3.214325,0.004640,16.258698,-659.597656,-2.843781,0.003322
CCC(C)CC(F)(F)F,CCC(C)CCF,0.273061,0.000246,17.273712,-325.250000,-3.169373,0.006047,16.007629,-565.425781,-2.540672,0.001648
CCC(C)CC(F)(F)F,C=Cc1cccc(CC)c1,0.272606,0.000247,17.676361,-283.011719,-3.194984,0.005904,15.546143,-562.242188,-2.507065,0.001819
CCC(C)CC(F)(F)F,CC(C)(C(O)(F)F)C(F)(F)F,0.249559,0.000206,18.587097,-320.507812,-3.319847,0.005171,17.362976,-682.568359,-2.649536,0.001628
