SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(F)CC(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.256203,0.000214,18.661316,-238.386719,-3.277000,0.005020,15.490051,-574.076172,-2.450600,0.001871
CCC(F)CC(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.278221,0.000235,16.056122,1060.625000,-2.971581,0.003972,11.087860,300.835938,-2.303741,0.005464
CCC(F)CC(F)(F)F,Cc1cccc(CO)c1,0.278777,0.000246,16.176575,453.669922,-3.117630,0.005359,13.535736,-133.333984,-2.453568,0.004220
CCC(F)CC(F)(F)F,COC(C)CO,0.265758,0.000226,17.116150,5.951172,-3.173470,0.005344,16.450470,-566.441406,-2.669815,0.003060
CCC(F)CC(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.260590,0.000199,14.940338,2058.714844,-2.779472,0.001707,8.932709,1128.285156,-2.236763,0.007460
CCC(F)CC(F)(F)F,CC(Cl)Br,0.266822,0.000229,16.555176,-325.892578,-3.014961,0.005681,15.690948,-453.658203,-2.428070,0.001279
CCC(F)CC(F)(F)F,CCCOC(F)F,0.268167,0.000237,17.393921,-436.281250,-3.141502,0.005871,16.684052,-603.730469,-2.590286,0.001261
CCC(F)CC(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.262822,0.000220,16.613403,-261.283203,-2.915245,0.004969,15.569672,-506.597656,-2.532440,0.002057
CCC(F)CC(F)(F)F,CCC(=O)C1=NCCC1,0.258712,0.000217,17.767456,-356.382812,-3.150253,0.005210,16.799713,-686.902344,-2.619019,0.001758
CCC(F)CC(F)(F)F,NC(CF)(CF)CF,0.267543,0.000228,16.823273,-117.990234,-3.175095,0.006061,16.242737,-492.595703,-2.546005,0.002280
CCC(F)CC(F)(F)F,CC(C)CCCC(C)CC=O,0.264903,0.000229,17.450806,-221.519531,-3.117767,0.005392,15.928741,-638.789062,-2.570518,0.002172
CCC(F)CC(F)(F)F,Cc1coc(C)n1,0.259711,0.000220,17.783447,-356.070312,-3.227814,0.005680,17.254669,-650.287109,-2.651703,0.001627
CCC(F)CC(F)(F)F,NC(=S)NC(N)=S,0.243261,0.000159,15.236664,1123.041016,-3.135109,0.005552,12.827759,655.435547,-2.164963,0.003707
CCC(F)CC(F)(F)F,FC(F)C(Cl)C(F)F,0.259125,0.000225,18.498352,-548.214844,-3.300713,0.005801,17.464844,-662.716797,-2.619019,0.000778
CCC(F)CC(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.264046,0.000219,16.201721,-247.357422,-2.808067,0.004766,15.383087,-469.482422,-2.514313,0.002145
CCC(F)CC(F)(F)F,NNC(=O)c1ccccc1,0.282095,0.000241,15.486298,811.429688,-3.070030,0.005176,12.088165,183.113281,-2.274887,0.004904
CCC(F)CC(F)(F)F,ClC=CBr,0.265974,0.000227,16.279449,-342.550781,-2.953346,0.005622,15.646515,-429.029297,-2.419624,0.001143
CCC(F)CC(F)(F)F,CN(C)N=O,0.258257,0.000208,17.481262,-158.312500,-3.183075,0.005252,16.420380,-516.927734,-2.487495,0.002041
CCC(F)CC(F)(F)F,c1ccc(C2CCCCC2)cc1,0.274627,0.000241,16.127441,-163.675781,-2.912766,0.005537,14.973938,-404.304688,-2.498253,0.002313
CCC(F)CC(F)(F)F,N#Cc1ccncc1,0.258152,0.000216,18.407379,-301.990234,-3.257721,0.005166,16.786346,-675.451172,-2.614227,0.001969
CCC(F)CC(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.262953,0.000216,17.668945,101.146484,-3.127930,0.004679,14.018951,-304.125000,-2.341446,0.002688
CCC(F)CC(F)(F)F,CCC(N)CC,0.255551,0.000208,16.972443,-207.339844,-3.138512,0.005921,16.947296,-552.496094,-2.679321,0.002068
CCC(F)CC(F)(F)F,COC(=O)CO,0.265375,0.000222,17.035645,46.863281,-3.200981,0.005085,15.133087,-325.095703,-2.407593,0.002644
CCC(F)CC(F)(F)F,Cc1c(N)cccc1Cl,0.267291,0.000227,16.480621,18.396484,-3.070793,0.005406,15.114594,-413.943359,-2.469345,0.002779
CCC(F)CC(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.277791,0.000249,16.382080,391.056641,-3.102928,0.005276,14.526550,-307.541016,-2.619995,0.004383
CCC(F)CC(F)(F)F,CC(F)(Cl)CF,0.266591,0.000236,17.768219,-423.791016,-3.207870,0.005829,16.745575,-592.478516,-2.571609,0.001244
CCC(F)CC(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.261931,0.000222,17.230408,-261.675781,-3.024940,0.005055,16.088928,-668.531250,-2.603683,0.002139
CCC(F)CC(F)(F)F,CC(C)(C)OCC1CO1,0.262457,0.000227,18.005096,-362.000000,-3.199966,0.005429,17.060791,-718.607422,-2.681992,0.001797
CCC(F)CC(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.209875,0.000102,12.184570,3702.226562,-2.313950,-0.000168,7.948029,2339.097656,-2.271477,0.009884
CCC(F)CC(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.283045,0.000252,16.511139,616.568359,-3.054520,0.004719,12.451324,-41.916016,-2.394264,0.004632
CCC(F)CC(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.256800,0.000194,17.439240,422.369141,-3.294952,0.005164,12.906433,132.699219,-2.138695,0.002528
CCC(F)CC(F)(F)F,CC(C)(O)CCC1CCCCC1,0.281076,0.000250,15.629272,588.023438,-3.013168,0.005344,13.380737,-111.970703,-2.509949,0.004871
CCC(F)CC(F)(F)F,COCC(F)(F)F,0.264426,0.000231,17.820343,-419.929688,-3.193642,0.005666,16.931702,-639.861328,-2.615402,0.001397
CCC(F)CC(F)(F)F,COCC(O)COC,0.261373,0.000222,17.824371,-290.875000,-3.228531,0.005461,17.331818,-718.753906,-2.688919,0.002151
CCC(F)CC(F)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.270933,0.000222,15.427063,1414.123047,-2.964371,0.003196,11.333984,482.568359,-2.488083,0.006545
