SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(O)CC(=O)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.251345,0.000212,19.271851,-467.244141,-3.335663,0.005042,17.498474,-779.968750,-2.691452,0.001363
CCCC(O)CC(=O)OC,CC(=O)Nc1ccc(C=O)cc1,0.243021,0.000182,18.580383,-377.087891,-3.178886,0.004570,15.020660,-747.007812,-2.320457,0.001704
CCCC(O)CC(=O)OC,Cc1cccc(CO)c1,0.230836,0.000161,18.938171,-786.750000,-3.206932,0.004619,16.398712,-849.134766,-2.396667,0.000536
CCCC(O)CC(=O)OC,COC(C)CO,0.249255,0.000197,17.796722,-445.433594,-3.145714,0.005136,17.196014,-736.802734,-2.603844,0.001352
CCCC(O)CC(=O)OC,Nc1nc(=O)c2ccccc2o1,0.225475,0.000138,19.189667,-238.638672,-3.112061,0.003698,11.779633,-783.566406,-1.866714,0.002218
CCCC(O)CC(=O)OC,CC(Cl)Br,0.249876,0.000194,17.312286,-770.039062,-3.045929,0.005488,19.608643,-558.966797,-3.013397,0.000773
CCCC(O)CC(=O)OC,CCCOC(F)F,0.266905,0.000228,16.329865,-489.458984,-2.958107,0.005704,18.097565,-423.773438,-2.863556,0.001373
CCCC(O)CC(=O)OC,COC1CC2CCC1(C)C2(C)C,0.267116,0.000215,15.057983,-211.140625,-2.663086,0.004828,15.814301,-236.335938,-2.693413,0.002833
CCCC(O)CC(=O)OC,CCC(=O)C1=NCCC1,0.253744,0.000206,17.271515,-506.083984,-2.989723,0.004878,17.216064,-685.263672,-2.640167,0.001164
CCCC(O)CC(=O)OC,NC(CF)(CF)CF,0.244403,0.000192,18.338257,-468.810547,-3.169724,0.004693,17.637543,-742.205078,-2.640656,0.001139
CCCC(O)CC(=O)OC,CC(C)CCCC(C)CC=O,0.262654,0.000217,16.247528,-301.839844,-2.849609,0.004886,16.237579,-520.335938,-2.624512,0.002017
