SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCC(C)C#N,O=P(Cl)(c1ccccc1)c1ccccc1,0.251116,0.000210,19.705444,-463.710938,-3.397247,0.005011,16.295990,-626.871094,-2.491425,0.000995
CCCCCCCCC(C)C#N,CC(=O)Nc1ccc(C=O)cc1,0.262359,0.000214,17.566650,243.466797,-3.192482,0.004705,13.957367,-180.101562,-2.328850,0.002863
CCCCCCCCC(C)C#N,Cc1cccc(CO)c1,0.253205,0.000210,18.171600,-158.980469,-3.284782,0.005153,16.352386,-526.755859,-2.559227,0.001952
CCCCCCCCC(C)C#N,COC(C)CO,0.255674,0.000210,17.327179,-189.623047,-3.254059,0.005613,17.735870,-546.935547,-2.689423,0.001978
CCCCCCCCC(C)C#N,Nc1nc(=O)c2ccccc2o1,0.252272,0.000187,17.568451,948.312500,-3.034561,0.002693,9.942078,355.478516,-1.929443,0.004568
CCCCCCCCC(C)C#N,CC(Cl)Br,0.253335,0.000210,17.964447,-662.462891,-3.194664,0.005660,18.209381,-602.109375,-2.742592,0.000519
CCCCCCCCC(C)C#N,CCCOC(F)F,0.261694,0.000225,17.445251,-498.927734,-3.142334,0.005726,17.315094,-571.156250,-2.641510,0.000921
CCCCCCCCC(C)C#N,COC1CC2CCC1(C)C2(C)C,0.256076,0.000208,16.826111,-405.056641,-2.963966,0.005041,16.357880,-463.089844,-2.611916,0.001675
CCCCCCCCC(C)C#N,CCC(=O)C1=NCCC1,0.253657,0.000209,17.887726,-492.451172,-3.168228,0.005209,17.183075,-651.900391,-2.590866,0.001085
CCCCCCCCC(C)C#N,NC(CF)(CF)CF,0.250154,0.000195,16.518829,-158.257812,-3.251297,0.006366,17.343567,-287.412109,-2.468391,0.001581
CCCCCCCCC(C)C#N,CC(C)CCCC(C)CC=O,0.259617,0.000221,17.752167,-393.830078,-3.174530,0.005554,16.772583,-656.363281,-2.611511,0.001466
CCCCCCCCC(C)C#N,Cc1coc(C)n1,0.252382,0.000208,17.990234,-433.291016,-3.305382,0.005841,17.883728,-594.527344,-2.649101,0.001129
CCCCCCCCC(C)C#N,NC(=S)NC(N)=S,0.214439,0.000107,18.913361,-289.658203,-3.337563,0.005164,17.280823,-468.679688,-2.463051,0.001752
CCCCCCCCC(C)C#N,FC(F)C(Cl)C(F)F,0.234209,0.000167,19.497528,-853.121094,-3.423813,0.005077,18.968414,-744.994141,-2.675400,0.000443
CCCCCCCCC(C)C#N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.241739,0.000174,16.041046,-154.845703,-2.761368,0.004213,14.859772,-344.353516,-2.408913,0.001760
CCCCCCCCC(C)C#N,NNC(=O)c1ccccc1,0.265076,0.000214,16.612030,373.066406,-3.198257,0.005353,14.125549,-20.201172,-2.306168,0.003140
CCCCCCCCC(C)C#N,ClC=CBr,0.250045,0.000198,17.887848,-784.724609,-3.157677,0.005502,18.816925,-579.517578,-2.871658,0.000616
CCCCCCCCC(C)C#N,CN(C)N=O,0.251479,0.000195,17.219574,-189.082031,-3.282455,0.005683,16.748505,-247.753906,-2.345901,0.001163
CCCCCCCCC(C)C#N,c1ccc(C2CCCCC2)cc1,0.263196,0.000223,17.229919,-443.568359,-3.057648,0.005421,16.699921,-467.074219,-2.666267,0.001589
CCCCCCCCC(C)C#N,N#Cc1ccncc1,0.246027,0.000197,18.787750,-531.021484,-3.313004,0.005010,17.997650,-688.585938,-2.663712,0.001031
CCCCCCCCC(C)C#N,CN(C)C(=S)Nc1ccccc1,0.227339,0.000160,20.330688,-569.203125,-3.362259,0.004033,16.098145,-759.349609,-2.389229,0.000861
CCCCCCCCC(C)C#N,CCC(N)CC,0.248869,0.000195,16.646698,-231.062500,-3.193077,0.006489,17.724091,-440.679688,-2.738045,0.001822
CCCCCCCCC(C)C#N,COC(=O)CO,0.255174,0.000204,16.764099,-131.816406,-3.254662,0.005788,16.744720,-215.013672,-2.367737,0.001484
CCCCCCCCC(C)C#N,Cc1c(N)cccc1Cl,0.229457,0.000166,19.917328,-728.003906,-3.324486,0.004357,18.093353,-878.880859,-2.704926,0.000765
CCCCCCCCC(C)C#N,CC1CCC(C(C)(C)OO)CC1,0.239727,0.000188,19.035980,-503.316406,-3.237030,0.004477,16.850983,-782.800781,-2.577675,0.001158
CCCCCCCCC(C)C#N,CC(F)(Cl)CF,0.254856,0.000214,18.023041,-548.869141,-3.249786,0.005729,17.697845,-573.060547,-2.632782,0.000649
CCCCCCCCC(C)C#N,CCCCC1OC(C)CC(C)(C)O1,0.257272,0.000216,17.734894,-436.542969,-3.102928,0.005145,16.877411,-694.523438,-2.634506,0.001469
CCCCCCCCC(C)C#N,CC(C)(C)OCC1CO1,0.258464,0.000221,17.983490,-466.529297,-3.218987,0.005507,17.475311,-663.349609,-2.659729,0.001171
CCCCCCCCC(C)C#N,O=P(O)(O)OP(=O)(O)O,0.208324,0.000073,17.237091,109.769531,-2.993408,0.004695,8.669098,-287.945312,-1.388481,0.003675
CCCCCCCCC(C)C#N,CC(=O)Nc1ccc(C)cc1,0.257660,0.000216,18.375488,-112.832031,-3.249222,0.004731,15.641541,-546.251953,-2.515221,0.002181
CCCCCCCCC(C)C#N,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.243438,0.000168,17.656647,308.369141,-3.346268,0.005744,14.004089,305.621094,-2.100258,0.001119
