SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCC(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247165,0.000199,20.075958,-402.867188,-3.403069,0.004631,15.315948,-512.212891,-2.333000,0.000851
CCCCCCCCC(C)C=O,CC(=O)Nc1ccc(C=O)cc1,0.255275,0.000198,18.228302,227.992188,-3.174957,0.003968,12.304108,-143.939453,-2.051010,0.002653
CCCCCCCCC(C)C=O,Cc1cccc(CO)c1,0.249096,0.000203,18.770142,-279.681641,-3.288795,0.004727,15.886017,-564.675781,-2.440804,0.001467
CCCCCCCCC(C)C=O,COC(C)CO,0.257158,0.000210,17.170044,-119.796875,-3.236481,0.005546,16.892548,-428.660156,-2.561554,0.002002
CCCCCCCCC(C)C=O,Nc1nc(=O)c2ccccc2o1,0.243361,0.000164,18.398468,985.539062,-2.973083,0.002145,8.293121,369.207031,-1.626083,0.004385
CCCCCCCCC(C)C=O,CC(Cl)Br,0.250666,0.000206,18.104797,-635.974609,-3.207138,0.005516,18.012146,-604.304688,-2.666046,0.000375
CCCCCCCCC(C)C=O,CCCOC(F)F,0.259795,0.000222,17.675781,-497.541016,-3.163078,0.005583,17.077179,-596.097656,-2.575790,0.000828
CCCCCCCCC(C)C=O,COC1CC2CCC1(C)C2(C)C,0.256070,0.000214,17.822784,-455.685547,-3.121002,0.005161,16.577698,-631.580078,-2.577850,0.001303
CCCCCCCCC(C)C=O,CCC(=O)C1=NCCC1,0.252311,0.000207,18.138855,-476.482422,-3.219482,0.005191,16.989166,-622.521484,-2.538757,0.001102
CCCCCCCCC(C)C=O,NC(CF)(CF)CF,0.249797,0.000193,17.037659,-133.960938,-3.254356,0.005860,16.372437,-229.593750,-2.328911,0.001374
CCCCCCCCC(C)C=O,CC(C)CCCC(C)CC=O,0.258638,0.000223,18.500031,-436.119141,-3.263084,0.005408,16.803436,-700.501953,-2.605507,0.001396
CCCCCCCCC(C)C=O,Cc1coc(C)n1,0.251030,0.000206,18.382141,-423.607422,-3.333565,0.005549,17.516479,-589.759766,-2.603142,0.001132
