SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCC(N)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.252958,0.000198,16.782532,-260.257812,-2.947128,0.004865,15.897583,-341.001953,-2.551575,0.001742
CCCCCCCCCC(N)=O,CC(=O)Nc1ccc(C=O)cc1,0.247881,0.000185,16.579102,-205.613281,-2.924385,0.004555,14.722107,-532.724609,-2.291374,0.001946
CCCCCCCCCC(N)=O,Cc1cccc(CO)c1,0.246297,0.000190,17.270233,-429.123047,-3.015305,0.004819,16.047546,-629.591797,-2.439659,0.001073
CCCCCCCCCC(N)=O,COC(C)CO,0.239292,0.000174,17.186523,-498.869141,-2.957726,0.004486,16.382141,-702.517578,-2.446136,0.000999
CCCCCCCCCC(N)=O,Nc1nc(=O)c2ccccc2o1,0.228577,0.000148,17.869568,-267.847656,-2.967117,0.003758,13.373596,-611.451172,-2.030472,0.001743
CCCCCCCCCC(N)=O,CC(Cl)Br,0.275863,0.000231,13.506683,-165.375000,-2.730583,0.007281,17.093597,646.685547,-2.891281,0.001322
CCCCCCCCCC(N)=O,CCCOC(F)F,0.282360,0.000241,12.919434,43.662109,-2.629562,0.006728,16.576508,750.892578,-2.950203,0.002400
CCCCCCCCCC(N)=O,COC1CC2CCC1(C)C2(C)C,0.260692,0.000196,12.557434,-208.005859,-2.281471,0.004425,18.666748,772.453125,-3.177055,0.002510
CCCCCCCCCC(N)=O,CCC(=O)C1=NCCC1,0.250711,0.000185,14.113708,-486.470703,-2.515244,0.004289,18.551849,180.439453,-2.878151,0.001352
CCCCCCCCCC(N)=O,NC(CF)(CF)CF,0.238059,0.000166,16.050690,-434.312500,-2.772362,0.004296,15.943237,-517.054688,-2.324066,0.000879
CCCCCCCCCC(N)=O,CC(C)CCCC(C)CC=O,0.266515,0.000212,13.613556,-209.408203,-2.507431,0.004863,17.584259,329.283203,-2.929008,0.002303
CCCCCCCCCC(N)=O,Cc1coc(C)n1,0.242151,0.000174,15.853485,-599.490234,-2.769753,0.004365,17.383179,-395.019531,-2.551872,0.000910
CCCCCCCCCC(N)=O,NC(=S)NC(N)=S,0.219603,0.000112,17.139526,-343.785156,-2.884567,0.004410,13.904480,-513.373047,-1.968918,0.001710
CCCCCCCCCC(N)=O,FC(F)C(Cl)C(F)F,0.260518,0.000204,14.949738,-354.992188,-2.853119,0.006570,17.740448,152.388672,-2.830681,0.000990
CCCCCCCCCC(N)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261986,0.000194,11.360260,473.435547,-2.270660,0.005381,14.079468,1064.318359,-2.604767,0.003032
CCCCCCCCCC(N)=O,NNC(=O)c1ccccc1,0.249388,0.000198,17.359985,-189.794922,-3.105553,0.004841,17.158875,-535.966797,-2.612610,0.001842
CCCCCCCCCC(N)=O,ClC=CBr,0.274601,0.000227,13.115173,-256.490234,-2.643341,0.006906,18.103943,646.378906,-3.043999,0.001478
CCCCCCCCCC(N)=O,CN(C)N=O,0.251197,0.000188,15.319031,-124.583984,-2.864365,0.005313,16.265533,-132.751953,-2.412399,0.001213
CCCCCCCCCC(N)=O,c1ccc(C2CCCCC2)cc1,0.281458,0.000231,11.662140,202.082031,-2.380157,0.006243,15.975098,1223.267578,-3.031914,0.003134
CCCCCCCCCC(N)=O,N#Cc1ccncc1,0.245120,0.000183,16.286591,-541.382812,-2.788078,0.004387,18.053650,-412.585938,-2.724876,0.000905
CCCCCCCCCC(N)=O,CN(C)C(=S)Nc1ccccc1,0.229219,0.000149,16.711365,-321.800781,-2.722527,0.003344,14.311798,-475.861328,-2.164360,0.001240
