SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CN1CN(C)CN(C)C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.246744,0.000205,20.074310,-548.068359,-3.355568,0.004687,17.738770,-880.363281,-2.767387,0.001380
CN1CN(C)CN(C)C1,CC(=O)Nc1ccc(C=O)cc1,0.239133,0.000173,18.933990,-245.957031,-3.089363,0.003726,14.709930,-730.285156,-2.341003,0.002077
CN1CN(C)CN(C)C1,Cc1cccc(CO)c1,0.204147,0.000100,18.938019,-1098.240234,-3.050606,0.003594,15.629578,-947.712891,-2.188522,0.000061
CN1CN(C)CN(C)C1,COC(C)CO,0.236683,0.000174,17.850525,-618.701172,-3.057198,0.004464,17.011810,-739.119141,-2.486404,0.000584
CN1CN(C)CN(C)C1,Nc1nc(=O)c2ccccc2o1,0.200984,0.000070,19.332642,56.619141,-2.927383,0.003043,2.746246,-808.326172,-0.693443,0.003397
CN1CN(C)CN(C)C1,CC(Cl)Br,0.244344,0.000188,18.643158,-794.062500,-3.241562,0.005088,19.460571,-791.322266,-2.879623,0.000673
CN1CN(C)CN(C)C1,CCCOC(F)F,0.259462,0.000221,17.591095,-556.486328,-3.101318,0.005383,18.132904,-705.417969,-2.770309,0.000950
CN1CN(C)CN(C)C1,COC1CC2CCC1(C)C2(C)C,0.264349,0.000221,16.493317,-326.226562,-2.906723,0.005088,16.267365,-599.765625,-2.617653,0.002067
CN1CN(C)CN(C)C1,CCC(=O)C1=NCCC1,0.255032,0.000214,18.017792,-522.660156,-3.144615,0.005121,17.768585,-750.628906,-2.726631,0.001180
CN1CN(C)CN(C)C1,NC(CF)(CF)CF,0.243408,0.000191,19.026886,-389.548828,-3.230682,0.004374,17.203827,-751.648438,-2.617424,0.001462
CN1CN(C)CN(C)C1,CC(C)CCCC(C)CC=O,0.260471,0.000221,17.374237,-408.654297,-3.055428,0.005206,17.083008,-709.189453,-2.689400,0.001622
CN1CN(C)CN(C)C1,Cc1coc(C)n1,0.254441,0.000215,18.359100,-538.962891,-3.211197,0.005229,18.183105,-764.849609,-2.768288,0.001088
CN1CN(C)CN(C)C1,NC(=S)NC(N)=S,0.184654,0.000013,20.383179,-596.189453,-2.897675,0.001800,7.876068,-1081.451172,-1.135155,0.003684
CN1CN(C)CN(C)C1,FC(F)C(Cl)C(F)F,0.216095,0.000117,20.592010,-1065.869141,-3.516945,0.004361,19.264587,-1016.376953,-2.656044,0.001003
