SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COC(=O)c1cccnc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251291,0.000213,19.389862,-485.845703,-3.329506,0.004940,17.528961,-832.222656,-2.720421,0.001516
COC(=O)c1cccnc1,CC(=O)Nc1ccc(C=O)cc1,0.229895,0.000158,18.962982,-606.937500,-3.161636,0.004300,14.345978,-856.439453,-2.189064,0.001159
COC(=O)c1cccnc1,Cc1cccc(CO)c1,0.228637,0.000158,18.838837,-736.722656,-3.141464,0.004290,15.625549,-808.500000,-2.308052,0.000549
COC(=O)c1cccnc1,COC(C)CO,0.242022,0.000187,18.354919,-527.265625,-3.148804,0.004682,16.874573,-763.953125,-2.555481,0.001079
COC(=O)c1cccnc1,Nc1nc(=O)c2ccccc2o1,0.219403,0.000129,20.243744,-114.673828,-3.142883,0.002941,10.573059,-676.119141,-1.774963,0.002311
COC(=O)c1cccnc1,CC(Cl)Br,0.255943,0.000209,17.064331,-663.250000,-3.024254,0.005492,18.868622,-565.990234,-2.929222,0.000897
COC(=O)c1cccnc1,CCCOC(F)F,0.264802,0.000223,16.417023,-422.105469,-2.920380,0.005228,17.151154,-518.730469,-2.731392,0.001637
COC(=O)c1cccnc1,COC1CC2CCC1(C)C2(C)C,0.254738,0.000192,15.368958,-163.753906,-2.617828,0.004048,15.102570,-309.679688,-2.583656,0.003049
COC(=O)c1cccnc1,CCC(=O)C1=NCCC1,0.252982,0.000206,17.554077,-520.853516,-2.995178,0.004648,17.143402,-673.738281,-2.676353,0.001347
COC(=O)c1cccnc1,NC(CF)(CF)CF,0.245559,0.000195,18.353455,-476.591797,-3.170776,0.004717,17.400146,-727.439453,-2.626930,0.001114
COC(=O)c1cccnc1,CC(C)CCCC(C)CC=O,0.258544,0.000207,16.200409,-235.113281,-2.814445,0.004577,15.832397,-501.736328,-2.636681,0.002557
COC(=O)c1cccnc1,Cc1coc(C)n1,0.249937,0.000202,17.743378,-522.234375,-3.067253,0.004842,17.320190,-715.677734,-2.644249,0.001040
COC(=O)c1cccnc1,NC(=S)NC(N)=S,0.179260,0.000027,19.937622,-1193.470703,-3.172272,0.003500,13.421906,-1290.072266,-1.824852,0.001439
COC(=O)c1cccnc1,FC(F)C(Cl)C(F)F,0.233189,0.000156,19.183197,-956.468750,-3.322052,0.004913,20.262817,-828.527344,-2.973778,0.000828
COC(=O)c1cccnc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.236654,0.000153,15.135040,-60.455078,-2.398911,0.003075,15.822845,-324.384766,-2.702103,0.002593
