SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1nccc2ccccc12,O=P(Cl)(c1ccccc1)c1ccccc1,0.249164,0.000209,19.934998,-478.593750,-3.392235,0.004838,16.857300,-796.111328,-2.607101,0.001376
Cc1nccc2ccccc12,CC(=O)Nc1ccc(C=O)cc1,0.234242,0.000160,18.690582,-355.281250,-3.088165,0.004003,12.454681,-731.109375,-1.985069,0.001805
Cc1nccc2ccccc12,Cc1cccc(CO)c1,0.226772,0.000152,18.514771,-725.019531,-3.077049,0.004295,14.031830,-788.974609,-2.083687,0.000558
Cc1nccc2ccccc12,COC(C)CO,0.241069,0.000181,18.115417,-505.755859,-3.109543,0.004560,15.715179,-748.798828,-2.380524,0.001239
Cc1nccc2ccccc12,Nc1nc(=O)c2ccccc2o1,0.218063,0.000117,19.592834,300.269531,-2.974663,0.002442,7.301819,-513.644531,-1.429962,0.003645
Cc1nccc2ccccc12,CC(Cl)Br,0.250889,0.000203,17.628540,-652.500000,-3.093811,0.005375,18.221130,-665.138672,-2.750221,0.000592
Cc1nccc2ccccc12,CCCOC(F)F,0.263056,0.000221,16.556366,-402.835938,-2.955612,0.005304,16.603546,-560.003906,-2.591064,0.001389
Cc1nccc2ccccc12,COC1CC2CCC1(C)C2(C)C,0.257797,0.000202,15.877472,-275.595703,-2.742310,0.004427,15.632141,-383.357422,-2.605476,0.002481
Cc1nccc2ccccc12,CCC(=O)C1=NCCC1,0.252061,0.000207,18.028503,-544.064453,-3.108910,0.004944,17.016113,-727.441406,-2.604424,0.001082
Cc1nccc2ccccc12,NC(CF)(CF)CF,0.251174,0.000200,17.714203,-279.681641,-3.129074,0.004961,16.168427,-557.580078,-2.472923,0.001634
Cc1nccc2ccccc12,CC(C)CCCC(C)CC=O,0.258637,0.000213,17.044952,-359.408203,-2.974030,0.004881,16.469574,-623.304688,-2.636719,0.001885
Cc1nccc2ccccc12,Cc1coc(C)n1,0.253245,0.000210,18.116425,-494.900391,-3.162674,0.005090,17.041077,-709.185547,-2.608246,0.001161
Cc1nccc2ccccc12,NC(=S)NC(N)=S,0.206918,0.000083,18.756989,-370.074219,-2.864212,0.003024,9.577393,-884.908203,-1.539108,0.002662
Cc1nccc2ccccc12,FC(F)C(Cl)C(F)F,0.235154,0.000163,18.648956,-792.333984,-3.174088,0.004579,17.827118,-795.693359,-2.595299,0.000705
Cc1nccc2ccccc12,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.233912,0.000150,15.448425,51.769531,-2.512039,0.003447,14.120056,-376.687500,-2.387497,0.002424
Cc1nccc2ccccc12,NNC(=O)c1ccccc1,0.252098,0.000197,18.872986,101.542969,-3.099609,0.003738,13.542084,-497.466797,-2.270927,0.002770
Cc1nccc2ccccc12,ClC=CBr,0.249500,0.000194,17.325287,-696.277344,-3.026825,0.005249,18.472198,-643.455078,-2.815804,0.000789
Cc1nccc2ccccc12,CN(C)N=O,0.254412,0.000205,17.591797,-279.197266,-3.204384,0.005279,16.552216,-524.855469,-2.473244,0.001638
Cc1nccc2ccccc12,c1ccc(C2CCCCC2)cc1,0.263639,0.000217,16.241089,-315.972656,-2.840279,0.004818,15.886108,-472.886719,-2.597069,0.002177
Cc1nccc2ccccc12,N#Cc1ccncc1,0.245258,0.000195,18.679657,-604.708984,-3.172340,0.004659,17.392639,-785.789062,-2.604301,0.000937
Cc1nccc2ccccc12,CN(C)C(=S)Nc1ccccc1,0.217534,0.000134,19.367249,-788.621094,-3.094513,0.003600,14.988922,-913.324219,-2.172661,0.000706
Cc1nccc2ccccc12,CCC(N)CC,0.249786,0.000195,16.563995,-202.253906,-3.046532,0.005740,16.751862,-517.423828,-2.669525,0.002091
Cc1nccc2ccccc12,COC(=O)CO,0.230943,0.000155,17.638824,-651.812500,-3.097839,0.004791,14.298370,-707.699219,-2.037987,0.000652
Cc1nccc2ccccc12,Cc1c(N)cccc1Cl,0.215550,0.000133,20.252136,-993.460938,-3.273415,0.003838,17.191772,-1015.041016,-2.480110,0.000405
Cc1nccc2ccccc12,CC1CCC(C(C)(C)OO)CC1,0.195954,0.000089,18.581512,-1046.617188,-2.939331,0.003438,13.187225,-991.220703,-1.876167,-0.000078
Cc1nccc2ccccc12,CC(F)(Cl)CF,0.254446,0.000210,17.753326,-503.066406,-3.125130,0.005271,17.259644,-670.289062,-2.622681,0.000993
Cc1nccc2ccccc12,CCCCC1OC(C)CC(C)(C)O1,0.258969,0.000211,16.755585,-319.644531,-2.882843,0.004561,16.256592,-580.978516,-2.659294,0.002279
Cc1nccc2ccccc12,CC(C)(C)OCC1CO1,0.256065,0.000214,17.703278,-467.968750,-3.108818,0.005146,17.082367,-703.205078,-2.650482,0.001336
Cc1nccc2ccccc12,O=P(O)(O)OP(=O)(O)O,0.124632,-0.000101,22.216217,-1182.103516,-3.511230,0.007313,-4.363007,-1496.367188,-0.093750,0.003452
Cc1nccc2ccccc12,CC(=O)Nc1ccc(C)cc1,0.235689,0.000166,18.207458,-527.050781,-3.026352,0.004148,13.945923,-787.078125,-2.164062,0.001467
Cc1nccc2ccccc12,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.251895,0.000193,18.802307,1.943359,-3.201477,0.004332,14.046814,-333.679688,-2.227974,0.001904
Cc1nccc2ccccc12,CC(C)(O)CCC1CCCCC1,0.234416,0.000166,17.965546,-501.203125,-2.975502,0.004121,14.073517,-742.890625,-2.192947,0.001362
Cc1nccc2ccccc12,COCC(F)(F)F,0.259741,0.000216,16.707825,-365.513672,-2.990715,0.005258,16.394745,-523.394531,-2.525108,0.001255
Cc1nccc2ccccc12,COCC(O)COC,0.243707,0.000190,18.590637,-555.398438,-3.193108,0.004755,16.859375,-783.722656,-2.531837,0.001092
Cc1nccc2ccccc12,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.229718,0.000161,20.961243,1.718750,-3.162361,0.002385,12.462158,-696.990234,-2.141167,0.002842
Cc1nccc2ccccc12,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.175277,0.000039,20.079803,-1071.470703,-3.196609,0.003545,10.357788,-1245.730469,-1.486275,0.000836
Cc1nccc2ccccc12,CC(C)C(F)F,0.266070,0.000224,16.234314,-378.718750,-2.921005,0.005397,16.464783,-473.072266,-2.614914,0.001588
Cc1nccc2ccccc12,CCCCC1C=C(C)CC(C)O1,0.257160,0.000206,16.611176,-318.312500,-2.834709,0.004402,15.930786,-520.371094,-2.611176,0.002217
Cc1nccc2ccccc12,COc1ccc(C(C)=O)cc1,0.256562,0.000216,18.444611,-408.656250,-3.229782,0.005151,16.848633,-732.775391,-2.618217,0.001624
Cc1nccc2ccccc12,Oc1cc(O)ncn1,0.185981,0.000049,17.955597,-731.041016,-3.046516,0.003802,8.374908,-1017.597656,-1.224312,0.001269
Cc1nccc2ccccc12,COCCCCl,0.261617,0.000218,16.811432,-441.871094,-3.004425,0.005335,16.738281,-582.166016,-2.609161,0.001410
Cc1nccc2ccccc12,CCCOC,0.254888,0.000203,16.360199,-431.152344,-2.891983,0.004914,16.715210,-476.835938,-2.664223,0.001644
Cc1nccc2ccccc12,Fc1c(F)c(F)c(F)c(F)c1F,0.252409,0.000192,15.433441,-131.218750,-2.724266,0.004734,15.298462,-262.962891,-2.531990,0.002054
Cc1nccc2ccccc12,CCP(CC)CC,0.257398,0.000207,16.599365,-365.302734,-2.856895,0.004550,16.143738,-498.660156,-2.607849,0.001970
Cc1nccc2ccccc12,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.260568,0.000214,16.805725,-227.742188,-2.902046,0.004564,16.190247,-622.398438,-2.691315,0.002687
Cc1nccc2ccccc12,Fc1cc(F)c(F)cc1F,0.254270,0.000206,17.040466,-438.828125,-2.990250,0.005108,16.362213,-623.406250,-2.521423,0.001177
Cc1nccc2ccccc12,CCCCc1ccc(C(=O)O)cc1,0.184921,0.000063,18.939423,-1269.740234,-3.032455,0.003749,12.502808,-1104.431641,-1.724754,-0.000510
Cc1nccc2ccccc12,C=Cc1c(C)cc(C)cc1C,0.263537,0.000218,16.403687,-318.498047,-2.896591,0.005026,16.014221,-491.583984,-2.605965,0.002101
