SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1=C(O)C(=O)CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251622,0.000211,18.496552,-436.119141,-3.147659,0.004685,16.650146,-687.593750,-2.616325,0.001307
CC1=C(O)C(=O)CC1,CC(=O)Nc1ccc(C=O)cc1,0.241077,0.000182,18.432587,-365.095703,-3.101295,0.004320,15.012268,-751.277344,-2.390053,0.001842
CC1=C(O)C(=O)CC1,Cc1cccc(CO)c1,0.246342,0.000196,18.114746,-417.400391,-3.102509,0.004642,15.953339,-696.126953,-2.490532,0.001384
CC1=C(O)C(=O)CC1,COC(C)CO,0.243698,0.000188,18.032928,-354.357422,-3.095802,0.004658,16.356873,-712.195312,-2.552773,0.001673
CC1=C(O)C(=O)CC1,Nc1nc(=O)c2ccccc2o1,0.232967,0.000168,19.437439,-245.636719,-3.148354,0.003594,14.895691,-757.208984,-2.405510,0.002125
CC1=C(O)C(=O)CC1,CC(Cl)Br,0.268830,0.000228,15.944092,-482.417969,-2.883171,0.005815,17.717865,-261.613281,-2.887146,0.001494
CC1=C(O)C(=O)CC1,CCCOC(F)F,0.274927,0.000234,15.319214,-360.324219,-2.738724,0.005283,16.496185,-233.619141,-2.789650,0.002277
CC1=C(O)C(=O)CC1,COC1CC2CCC1(C)C2(C)C,0.250399,0.000179,14.704956,-89.861328,-2.361389,0.003102,14.514160,-130.046875,-2.513245,0.002908
CC1=C(O)C(=O)CC1,CCC(=O)C1=NCCC1,0.240596,0.000178,16.851318,-545.251953,-2.738007,0.003757,15.857971,-605.937500,-2.458069,0.000980
CC1=C(O)C(=O)CC1,NC(CF)(CF)CF,0.240859,0.000179,17.346161,-411.324219,-2.929695,0.004250,15.810272,-632.558594,-2.428467,0.001231
CC1=C(O)C(=O)CC1,CC(C)CCCC(C)CC=O,0.251576,0.000193,16.023224,-322.900391,-2.656921,0.003930,15.217102,-473.232422,-2.474670,0.001920
CC1=C(O)C(=O)CC1,Cc1coc(C)n1,0.225252,0.000149,18.132355,-718.974609,-2.950562,0.003791,15.564453,-800.476562,-2.313019,0.000627
CC1=C(O)C(=O)CC1,NC(=S)NC(N)=S,0.200557,0.000084,20.360748,-859.345703,-3.201233,0.003416,16.348053,-1114.410156,-2.462021,0.001717
CC1=C(O)C(=O)CC1,FC(F)C(Cl)C(F)F,0.249682,0.000188,17.600311,-783.667969,-3.086472,0.005250,19.004486,-594.267578,-2.928246,0.001105
CC1=C(O)C(=O)CC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.250328,0.000174,14.046753,90.132812,-2.290154,0.003460,15.031952,-15.158203,-2.696014,0.003218
CC1=C(O)C(=O)CC1,NNC(=O)c1ccccc1,0.245743,0.000196,18.695892,-316.761719,-3.222145,0.004796,16.696777,-743.107422,-2.615089,0.001910
CC1=C(O)C(=O)CC1,ClC=CBr,0.270177,0.000223,15.473206,-525.292969,-2.782776,0.005563,17.847412,-217.583984,-2.968544,0.001986
CC1=C(O)C(=O)CC1,CN(C)N=O,0.240780,0.000183,18.114899,-536.324219,-3.089912,0.004558,16.657837,-722.607422,-2.506386,0.000921
CC1=C(O)C(=O)CC1,c1ccc(C2CCCCC2)cc1,0.278301,0.000230,14.264313,-59.117188,-2.547226,0.004983,15.138153,26.994141,-2.752548,0.003575
CC1=C(O)C(=O)CC1,N#Cc1ccncc1,0.224558,0.000150,18.886536,-910.140625,-3.033936,0.003927,16.830963,-923.503906,-2.499382,0.000346
CC1=C(O)C(=O)CC1,CN(C)C(=S)Nc1ccccc1,0.230236,0.000162,18.745483,-735.189453,-3.044441,0.003906,16.437988,-836.226562,-2.481178,0.000735
