SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)C=NCC(C)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.242966,0.000188,20.354736,-304.064453,-3.376129,0.004142,14.870087,-520.037109,-2.290077,0.001130
CCC(C)C=NCC(C)CC,CC(=O)Nc1ccc(C=O)cc1,0.228627,0.000141,19.093658,192.480469,-3.085869,0.002905,10.922272,-314.693359,-1.790199,0.002526
CCC(C)C=NCC(C)CC,Cc1cccc(CO)c1,0.209469,0.000115,18.959351,-717.615234,-3.114792,0.003715,13.040710,-836.689453,-1.858597,0.000516
CCC(C)C=NCC(C)CC,COC(C)CO,0.236381,0.000170,18.006989,-375.259766,-3.144630,0.004286,15.666260,-604.029297,-2.285019,0.001206
CCC(C)C=NCC(C)CC,Nc1nc(=O)c2ccccc2o1,0.212031,0.000090,18.565491,900.048828,-2.697456,0.001635,1.908722,46.935547,-0.618881,0.004641
CCC(C)C=NCC(C)CC,CC(Cl)Br,0.243779,0.000192,18.435242,-644.554688,-3.193260,0.005005,17.941772,-712.884766,-2.632812,0.000446
CCC(C)C=NCC(C)CC,CCCOC(F)F,0.253320,0.000210,18.059967,-494.367188,-3.169678,0.005138,17.326965,-650.417969,-2.601173,0.000902
CCC(C)C=NCC(C)CC,COC1CC2CCC1(C)C2(C)C,0.256079,0.000216,18.071869,-462.285156,-3.174332,0.005224,17.207581,-709.816406,-2.655502,0.001285
CCC(C)C=NCC(C)CC,CCC(=O)C1=NCCC1,0.248809,0.000200,18.316803,-459.082031,-3.226021,0.004963,17.010498,-659.236328,-2.541336,0.001232
CCC(C)C=NCC(C)CC,NC(CF)(CF)CF,0.244554,0.000184,17.968109,-103.005859,-3.200073,0.004507,15.437317,-326.390625,-2.271454,0.001490
CCC(C)C=NCC(C)CC,CC(C)CCCC(C)CC=O,0.253969,0.000213,18.587341,-447.986328,-3.237823,0.005066,17.074432,-739.195312,-2.636856,0.001430
CCC(C)C=NCC(C)CC,Cc1coc(C)n1,0.250731,0.000205,18.511566,-390.070312,-3.304825,0.005089,17.309875,-623.050781,-2.592644,0.001292
CCC(C)C=NCC(C)CC,NC(=S)NC(N)=S,0.213816,0.000085,17.587952,580.724609,-2.575508,0.002879,5.243652,112.207031,-0.817749,0.002744
CCC(C)C=NCC(C)CC,FC(F)C(Cl)C(F)F,0.222949,0.000140,19.794922,-744.828125,-3.355446,0.004227,16.861542,-707.320312,-2.349243,0.000478
CCC(C)C=NCC(C)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.228009,0.000148,17.267731,-386.685547,-2.840813,0.003786,14.885803,-508.138672,-2.306984,0.001140
CCC(C)C=NCC(C)CC,NNC(=O)c1ccccc1,0.240922,0.000163,18.598969,858.035156,-2.997581,0.002280,10.533630,94.033203,-1.865219,0.004117
CCC(C)C=NCC(C)CC,ClC=CBr,0.239414,0.000180,18.574005,-823.421875,-3.197128,0.005041,19.039795,-742.054688,-2.787621,0.000247
CCC(C)C=NCC(C)CC,CN(C)N=O,0.245008,0.000176,16.964355,89.787109,-3.264603,0.005385,15.337463,-19.453125,-2.152954,0.001386
CCC(C)C=NCC(C)CC,c1ccc(C2CCCCC2)cc1,0.256632,0.000216,18.025055,-442.648438,-3.166710,0.005195,16.862152,-693.695312,-2.611198,0.001366
CCC(C)C=NCC(C)CC,N#Cc1ccncc1,0.237895,0.000176,18.941925,-415.648438,-3.203056,0.004209,16.276611,-607.035156,-2.413704,0.001039
CCC(C)C=NCC(C)CC,CN(C)C(=S)Nc1ccccc1,0.217512,0.000122,18.835297,-156.738281,-2.946022,0.002580,12.388367,-435.734375,-1.839478,0.001457
CCC(C)C=NCC(C)CC,CCC(N)CC,0.252947,0.000209,18.242035,-309.294922,-3.300232,0.005482,17.864960,-682.000000,-2.736542,0.001817
CCC(C)C=NCC(C)CC,COC(=O)CO,0.223135,0.000131,16.933105,-371.511719,-3.036461,0.004370,12.601318,-395.755859,-1.654854,0.000757
CCC(C)C=NCC(C)CC,Cc1c(N)cccc1Cl,0.200395,0.000097,20.962860,-908.962891,-3.306610,0.003019,16.228821,-1028.976562,-2.267159,0.000724
CCC(C)C=NCC(C)CC,CC1CCC(C(C)(C)OO)CC1,0.181684,0.000066,19.825287,-1189.398438,-3.087883,0.003117,13.222504,-1073.187500,-1.791924,-0.000484
CCC(C)C=NCC(C)CC,CC(F)(Cl)CF,0.249438,0.000200,18.347290,-454.074219,-3.250092,0.005136,16.936523,-574.884766,-2.504280,0.000854
CCC(C)C=NCC(C)CC,CCCCC1OC(C)CC(C)(C)O1,0.256753,0.000219,18.456573,-453.404297,-3.236237,0.005216,17.355164,-744.218750,-2.693779,0.001439
CCC(C)C=NCC(C)CC,CC(C)(C)OCC1CO1,0.254231,0.000215,18.630371,-477.349609,-3.300186,0.005325,17.498230,-685.853516,-2.632141,0.001121
CCC(C)C=NCC(C)CC,O=P(O)(O)OP(=O)(O)O,0.127167,-0.000107,20.683167,-870.445312,-3.313873,0.006997,-8.960541,-1108.439453,0.694252,0.003611
CCC(C)C=NCC(C)CC,CC(=O)Nc1ccc(C)cc1,0.232403,0.000155,18.908264,-162.900391,-3.042236,0.003229,12.925568,-569.498047,-2.042824,0.001819
CCC(C)C=NCC(C)CC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.226568,0.000130,18.503418,878.111328,-3.207085,0.003893,11.211121,643.498047,-1.818954,0.001857
CCC(C)C=NCC(C)CC,CC(C)(O)CCC1CCCCC1,0.229999,0.000165,19.336914,-591.703125,-3.206596,0.004040,15.200165,-828.173828,-2.290375,0.001075
CCC(C)C=NCC(C)CC,COCC(F)(F)F,0.253370,0.000208,17.568146,-393.605469,-3.192154,0.005301,17.093597,-499.792969,-2.518578,0.000972
CCC(C)C=NCC(C)CC,COCC(O)COC,0.242296,0.000183,18.202850,-318.531250,-3.229622,0.004672,16.124329,-525.589844,-2.350769,0.001167
CCC(C)C=NCC(C)CC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.221581,0.000128,21.007965,632.929688,-2.931496,0.001109,6.190735,-199.970703,-1.282715,0.003908
CCC(C)C=NCC(C)CC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.164257,-0.000007,19.725952,-792.199219,-3.110489,0.003293,3.315186,-986.505859,-0.466469,0.001196
CCC(C)C=NCC(C)CC,CC(C)C(F)F,0.258177,0.000218,17.670624,-482.142578,-3.161392,0.005455,17.271637,-620.248047,-2.608559,0.000953
CCC(C)C=NCC(C)CC,CCCCC1C=C(C)CC(C)O1,0.254150,0.000215,18.545776,-474.613281,-3.226540,0.005090,17.172852,-732.242188,-2.659431,0.001294
CCC(C)C=NCC(C)CC,COc1ccc(C(C)=O)cc1,0.252374,0.000201,18.830750,-257.093750,-3.294029,0.004886,15.505096,-468.128906,-2.370140,0.001389
CCC(C)C=NCC(C)CC,Oc1cc(O)ncn1,0.177146,0.000018,17.801117,-644.009766,-3.056480,0.003718,4.801086,-848.271484,-0.649803,0.001091
CCC(C)C=NCC(C)CC,COCCCCl,0.258151,0.000216,17.602600,-404.439453,-3.180855,0.005448,17.028412,-621.091797,-2.580414,0.001306
CCC(C)C=NCC(C)CC,CCCOC,0.256023,0.000214,17.719421,-474.007812,-3.161880,0.005392,17.604462,-677.492188,-2.668396,0.001064
CCC(C)C=NCC(C)CC,Fc1c(F)c(F)c(F)c(F)c1F,0.251990,0.000203,17.217865,-389.919922,-3.026466,0.004989,15.930115,-548.855469,-2.435417,0.001044
CCC(C)C=NCC(C)CC,CCP(CC)CC,0.256103,0.000219,18.507141,-490.519531,-3.253693,0.005327,17.458740,-720.416016,-2.677994,0.001156
CCC(C)C=NCC(C)CC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.256162,0.000221,19.099304,-429.769531,-3.317184,0.005110,17.389801,-798.865234,-2.721260,0.001701
CCC(C)C=NCC(C)CC,Fc1cc(F)c(F)cc1F,0.241945,0.000189,18.928528,-658.830078,-3.232506,0.004836,17.773926,-770.896484,-2.648392,0.000664
CCC(C)C=NCC(C)CC,CCCCc1ccc(C(=O)O)cc1,0.165907,0.000020,19.847107,-1368.425781,-3.269600,0.003658,10.994598,-1183.691406,-1.377441,-0.000692
CCC(C)C=NCC(C)CC,C=Cc1c(C)cc(C)cc1C,0.257467,0.000219,18.199982,-449.791016,-3.210953,0.005316,17.109283,-705.757812,-2.638435,0.001344
CCC(C)C=NCC(C)CC,C=C(C)C(=O)OC(C)(C)C,0.253201,0.000213,18.718292,-487.187500,-3.277534,0.005193,17.240997,-721.767578,-2.626328,0.001162
CCC(C)C=NCC(C)CC,FC1CCCN1,0.237580,0.000174,18.822998,-414.083984,-3.293861,0.004589,16.204132,-630.339844,-2.352165,0.001095
CCC(C)C=NCC(C)CC,CCCCCCCC(=O)NC,0.243505,0.000184,19.555176,-118.990234,-3.202217,0.003648,13.936279,-658.732422,-2.265701,0.002253
CCC(C)C=NCC(C)CC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.253670,0.000202,16.729126,-107.072266,-2.998100,0.004891,15.548737,-418.642578,-2.454010,0.001885
CCC(C)C=NCC(C)CC,C1=CC2C=CC1C2,0.255999,0.000214,17.640747,-485.097656,-3.139359,0.005377,17.369720,-665.480469,-2.637352,0.001020
CCC(C)C=NCC(C)CC,CCC(C)(O)CCC=C(C)C,0.227272,0.000161,19.449982,-668.082031,-3.213249,0.003997,15.242432,-840.578125,-2.267746,0.000818
CCC(C)C=NCC(C)CC,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.243693,0.000203,20.066345,-310.644531,-3.323105,0.004056,18.477875,-883.638672,-3.009453,0.002207
CCC(C)C=NCC(C)CC,CCC(C)CCF,0.260991,0.000222,17.486633,-434.117188,-3.133614,0.005505,17.084137,-659.318359,-2.635117,0.001317
CCC(C)C=NCC(C)CC,C=Cc1cccc(CC)c1,0.255237,0.000215,18.364716,-465.132812,-3.228485,0.005240,17.340210,-725.093750,-2.654800,0.001287
CCC(C)C=NCC(C)CC,CC(C)(C(O)(F)F)C(F)(F)F,0.116876,-0.000100,22.241852,-1961.746094,-3.869156,0.004903,6.661621,-1670.908203,-0.848228,0.000187
CCC(C)C=NCC(C)CC,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.255730,0.000213,17.315094,-530.724609,-3.066383,0.005175,17.350800,-650.853516,-2.675156,0.000981
CCC(C)C=NCC(C)CC,CCN(CC)c1ccc(N)cc1,0.238809,0.000178,20.238983,-139.902344,-3.274269,0.003489,15.000580,-631.144531,-2.366867,0.001997
CCC(C)C=NCC(C)CC,FC(F)CC(F)(F)F,0.248578,0.000196,17.840027,-377.771484,-3.161720,0.004990,16.169128,-446.986328,-2.379318,0.000864
CCC(C)C=NCC(C)CC,N#CCCOCCC#N,0.230587,0.000148,18.827576,392.031250,-3.306160,0.004430,12.100311,349.716797,-1.837608,0.000878
CCC(C)C=NCC(C)CC,CCC(C)C(C)C(C)C,0.256486,0.000211,17.231781,-450.238281,-3.019562,0.005027,16.805908,-570.552734,-2.645851,0.001483
CCC(C)C=NCC(C)CC,Cn1c(=O)ccc2ccccc21,0.250578,0.000191,18.677887,17.775391,-3.211288,0.004256,14.230621,-285.304688,-2.233047,0.001943
CCC(C)C=NCC(C)CC,CCOC(=O)c1ccccc1N,0.208095,0.000115,20.024139,-701.460938,-3.154854,0.003213,14.270447,-959.406250,-2.068420,0.000986
CCC(C)C=NCC(C)CC,ClC1CN2CCC1CC2,0.251877,0.000210,18.565948,-504.687500,-3.283195,0.005150,17.923035,-707.677734,-2.689438,0.001098
CCC(C)C=NCC(C)CC,CC=CCCCCCCCC#N,0.250834,0.000208,19.496429,-394.363281,-3.333061,0.004769,16.444611,-708.324219,-2.555573,0.001458
CCC(C)C=NCC(C)CC,COCCl,0.251873,0.000203,17.936981,-344.054688,-3.246353,0.005232,16.658630,-455.044922,-2.438972,0.000947
CCC(C)C=NCC(C)CC,NCCc1cccnc1,0.253809,0.000195,17.499359,85.355469,-3.246132,0.005097,15.240631,-257.638672,-2.325241,0.002325
CCC(C)C=NCC(C)CC,Cc1cccc(C(=O)O)c1,0.164389,0.000013,19.684906,-1346.503906,-3.303925,0.003765,10.514496,-1158.281250,-1.279381,-0.000666
CCC(C)C=NCC(C)CC,C=CCNC,0.254365,0.000212,18.033295,-378.595703,-3.254509,0.005329,17.707214,-667.789062,-2.686646,0.001513
CCC(C)C=NCC(C)CC,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.230372,0.000147,14.444031,160.369141,-2.546898,0.004154,14.584198,118.265625,-2.458344,0.002104
CCC(C)C=NCC(C)CC,CC(CO)C(F)(F)F,0.211172,0.000117,18.194061,-707.050781,-3.067436,0.004064,13.323059,-823.042969,-1.882576,0.000504
CCC(C)C=NCC(C)CC,CC(C)C(=O)C(F)(F)F,0.257008,0.000214,17.419617,-374.943359,-3.101578,0.005224,16.417603,-570.505859,-2.518501,0.001271
CCC(C)C=NCC(C)CC,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.235263,0.000161,16.228210,-46.203125,-2.742043,0.003924,15.844696,-372.517578,-2.540634,0.001710
CCC(C)C=NCC(C)CC,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.253199,0.000215,19.223572,-394.322266,-3.279457,0.004723,17.085968,-807.605469,-2.702103,0.001883
CCC(C)C=NCC(C)CC,C=CCN(C)CC=C,0.257282,0.000217,17.948761,-484.054688,-3.170486,0.005278,17.381805,-709.949219,-2.661530,0.001237
CCC(C)C=NCC(C)CC,COCC(F)C(F)(F)F,0.253775,0.000207,17.518646,-367.246094,-3.125389,0.005104,16.658295,-521.724609,-2.488937,0.001115
CCC(C)C=NCC(C)CC,CNC(C)(C)C,0.251633,0.000208,18.382446,-416.500000,-3.280296,0.005325,17.859253,-714.632812,-2.706512,0.001376
CCC(C)C=NCC(C)CC,C1COCCOCCOCCO1,0.249170,0.000187,17.000397,-129.609375,-3.110245,0.004802,15.666779,-373.933594,-2.277817,0.001633
CCC(C)C=NCC(C)CC,O=NF,0.228660,0.000155,16.728851,86.093750,-3.260513,0.005685,15.617493,348.265625,-2.124130,0.000085
CCC(C)C=NCC(C)CC,CCN(CC)CCN,0.253855,0.000209,18.074341,-263.482422,-3.306107,0.005449,17.714203,-644.074219,-2.713188,0.002038
CCC(C)C=NCC(C)CC,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.257843,0.000212,16.975311,-246.251953,-3.000282,0.004974,16.017883,-580.070312,-2.550659,0.001814
CCC(C)C=NCC(C)CC,CC(=O)Nc1ccc(Br)cc1,0.219826,0.000135,19.758728,-310.421875,-3.132042,0.002964,12.616425,-669.423828,-1.926064,0.001437
CCC(C)C=NCC(C)CC,c1ccc(COc2ccccc2)cc1,0.247180,0.000200,19.133911,-461.134766,-3.272667,0.004737,16.546417,-709.433594,-2.521568,0.001169
CCC(C)C=NCC(C)CC,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.250554,0.000192,15.640350,-206.277344,-2.777390,0.004824,15.302002,-335.587891,-2.460213,0.001614
CCC(C)C=NCC(C)CC,CC(C)(C)OCF,0.256390,0.000216,18.100952,-414.500000,-3.251907,0.005378,17.234192,-608.373047,-2.599388,0.001156
CCC(C)C=NCC(C)CC,OCCCCOC1CCCO1,0.243970,0.000184,18.006805,-340.316406,-3.177048,0.004612,15.912811,-628.572266,-2.386017,0.001475
CCC(C)C=NCC(C)CC,OCCCCC(O)CO,0.223697,0.000119,17.112946,297.750000,-2.976959,0.003812,8.450226,-249.750000,-1.345200,0.003008
CCC(C)C=NCC(C)CC,CC(C)C(=O)C(=O)O,0.186328,0.000062,18.334320,-1115.683594,-3.034729,0.003686,13.130463,-943.308594,-1.726135,-0.000646
