SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(C)OC(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.255426,0.000205,19.075409,-101.484375,-3.270584,0.004636,14.149109,-423.722656,-2.280968,0.001846
CCCC(C)OC(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.272432,0.000217,15.699280,1440.121094,-2.882080,0.003000,9.695648,635.457031,-2.149178,0.005953
CCCC(C)OC(F)(F)F,Cc1cccc(CO)c1,0.280671,0.000243,16.067535,605.109375,-3.092781,0.004932,12.254425,37.976562,-2.288261,0.004346
CCCC(C)OC(F)(F)F,COC(C)CO,0.269297,0.000225,16.521729,221.291016,-3.152847,0.005146,15.081970,-312.468750,-2.501877,0.003362
CCCC(C)OC(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.235682,0.000148,15.071167,2646.365234,-2.681900,0.000406,7.647125,1688.246094,-2.143028,0.007506
CCCC(C)OC(F)(F)F,CC(Cl)Br,0.264515,0.000227,17.078552,-367.710938,-3.115334,0.005718,16.141296,-464.558594,-2.448181,0.001099
CCCC(C)OC(F)(F)F,CCCOC(F)F,0.269935,0.000241,17.493225,-379.777344,-3.175964,0.005917,16.538239,-580.601562,-2.574455,0.001401
CCCC(C)OC(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.262292,0.000224,17.347321,-305.185547,-3.088982,0.005329,16.130249,-629.156250,-2.566742,0.001795
CCCC(C)OC(F)(F)F,CCC(=O)C1=NCCC1,0.260728,0.000218,17.735992,-261.892578,-3.200836,0.005288,16.547089,-618.644531,-2.579102,0.001976
CCCC(C)OC(F)(F)F,NC(CF)(CF)CF,0.269367,0.000221,15.968048,111.753906,-3.135559,0.006050,15.140717,-254.076172,-2.380333,0.002617
CCCC(C)OC(F)(F)F,CC(C)CCCC(C)CC=O,0.264551,0.000230,17.927979,-265.298828,-3.213409,0.005490,16.250549,-665.603516,-2.591637,0.002067
CCCC(C)OC(F)(F)F,Cc1coc(C)n1,0.259755,0.000217,17.850739,-286.705078,-3.254128,0.005513,16.848999,-574.677734,-2.590683,0.001706
CCCC(C)OC(F)(F)F,NC(=S)NC(N)=S,0.213237,0.000101,15.177002,1853.470703,-3.052605,0.004044,11.704132,1406.238281,-2.162285,0.003879
CCCC(C)OC(F)(F)F,FC(F)C(Cl)C(F)F,0.258968,0.000221,18.139648,-463.390625,-3.288506,0.005742,17.041382,-533.832031,-2.529243,0.000824
CCCC(C)OC(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261498,0.000217,16.291656,-189.427734,-2.870354,0.004921,15.303528,-492.078125,-2.459885,0.001841
CCCC(C)OC(F)(F)F,NNC(=O)c1ccccc1,0.273458,0.000215,14.340027,1398.943359,-3.010902,0.004514,10.791351,716.923828,-2.191666,0.005681
CCCC(C)OC(F)(F)F,ClC=CBr,0.263336,0.000224,16.845703,-404.892578,-3.058899,0.005683,16.239716,-492.478516,-2.464844,0.000965
CCCC(C)OC(F)(F)F,CN(C)N=O,0.256472,0.000194,16.858185,143.652344,-3.187653,0.005356,14.914459,-137.416016,-2.261002,0.001962
CCCC(C)OC(F)(F)F,c1ccc(C2CCCCC2)cc1,0.272839,0.000243,17.043915,-244.845703,-3.095917,0.005814,15.325195,-536.123047,-2.484184,0.001930
CCCC(C)OC(F)(F)F,N#Cc1ccncc1,0.258262,0.000209,18.240326,-167.070312,-3.223923,0.004890,15.619568,-497.261719,-2.437195,0.001900
CCCC(C)OC(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.258701,0.000199,18.037933,472.207031,-3.168488,0.004144,12.319244,33.960938,-2.160416,0.002972
CCCC(C)OC(F)(F)F,CCC(N)CC,0.258289,0.000213,17.101135,-163.818359,-3.196251,0.006012,17.172516,-577.457031,-2.701653,0.002264
CCCC(C)OC(F)(F)F,COC(=O)CO,0.266102,0.000214,16.232391,353.242188,-3.164711,0.004887,13.758362,17.007812,-2.207581,0.002988
CCCC(C)OC(F)(F)F,Cc1c(N)cccc1Cl,0.264896,0.000220,17.222687,77.865234,-3.149490,0.005017,14.543030,-369.185547,-2.384224,0.002696
CCCC(C)OC(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.275392,0.000243,16.975311,350.337891,-3.132515,0.004772,14.174438,-293.070312,-2.554771,0.004013
CCCC(C)OC(F)(F)F,CC(F)(Cl)CF,0.265646,0.000231,17.786896,-384.646484,-3.232071,0.005771,16.345978,-491.810547,-2.482361,0.001110
CCCC(C)OC(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.261803,0.000225,17.964233,-282.787109,-3.173279,0.005188,16.568176,-715.417969,-2.659431,0.002149
CCCC(C)OC(F)(F)F,CC(C)(C)OCC1CO1,0.263435,0.000228,17.963531,-347.507812,-3.231186,0.005504,17.031067,-679.916016,-2.657417,0.001823
CCCC(C)OC(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.192432,0.000067,12.765564,3924.402344,-2.268242,-0.000285,7.149750,2704.359375,-2.122574,0.008803
CCCC(C)OC(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.282892,0.000243,16.366730,839.589844,-3.030602,0.004257,11.071381,175.050781,-2.213165,0.004874
CCCC(C)OC(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.231638,0.000138,17.350708,1257.820312,-3.276398,0.004130,10.615082,966.542969,-2.031639,0.002959
CCCC(C)OC(F)(F)F,CC(C)(O)CCC1CCCCC1,0.283025,0.000252,16.177460,593.505859,-3.094490,0.005132,12.830475,-60.900391,-2.437668,0.004581
CCCC(C)OC(F)(F)F,COCC(F)(F)F,0.266828,0.000231,17.051636,-296.130859,-3.152016,0.005734,16.617737,-519.097656,-2.557770,0.001609
CCCC(C)OC(F)(F)F,COCC(O)COC,0.264928,0.000219,17.145416,-105.283203,-3.184044,0.005371,15.982056,-488.904297,-2.491089,0.002262
CCCC(C)OC(F)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.265416,0.000206,15.360962,1757.308594,-2.878448,0.002121,9.757263,767.658203,-2.293129,0.007009
CCCC(C)OC(F)(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.257043,0.000188,14.905853,1581.681641,-2.916618,0.002568,10.298706,752.451172,-2.156700,0.006210
CCCC(C)OC(F)(F)F,CC(C)C(F)F,0.269778,0.000241,17.450806,-414.810547,-3.192970,0.006047,16.686920,-575.947266,-2.585587,0.001261
CCCC(C)OC(F)(F)F,CCCCC1C=C(C)CC(C)O1,0.259932,0.000220,17.646545,-305.898438,-3.119110,0.005157,16.411407,-671.007812,-2.608551,0.001888
CCCC(C)OC(F)(F)F,COc1ccc(C(C)=O)cc1,0.267250,0.000223,17.719727,-59.925781,-3.177101,0.005242,14.457306,-379.916016,-2.339081,0.002129
CCCC(C)OC(F)(F)F,Oc1cc(O)ncn1,0.265403,0.000200,12.834229,2045.271484,-2.773659,0.003054,10.449738,1090.082031,-2.314362,0.007588
CCCC(C)OC(F)(F)F,COCCCCl,0.267817,0.000228,16.608185,-264.300781,-3.069206,0.005650,16.231171,-540.492188,-2.531624,0.001883
CCCC(C)OC(F)(F)F,CCCOC,0.261413,0.000222,17.390320,-389.982422,-3.135590,0.005432,17.112640,-682.015625,-2.660194,0.001604
CCCC(C)OC(F)(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.269763,0.000238,17.205109,-344.625000,-3.117928,0.005772,15.656677,-555.710938,-2.499184,0.001686
CCCC(C)OC(F)(F)F,CCP(CC)CC,0.260026,0.000220,17.564880,-347.003906,-3.130249,0.005340,16.557495,-659.908203,-2.597008,0.001663
CCCC(C)OC(F)(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.262241,0.000228,18.367157,-252.722656,-3.231812,0.005145,16.758392,-767.013672,-2.721893,0.002425
CCCC(C)OC(F)(F)F,Fc1cc(F)c(F)cc1F,0.265820,0.000233,17.662109,-433.921875,-3.191696,0.005753,16.750397,-636.775391,-2.605110,0.001363
CCCC(C)OC(F)(F)F,CCCCc1ccc(C(=O)O)cc1,0.279068,0.000244,16.438446,552.666016,-3.069542,0.004609,12.735535,-121.013672,-2.399101,0.004401
CCCC(C)OC(F)(F)F,C=Cc1c(C)cc(C)cc1C,0.270212,0.000240,17.293854,-290.351562,-3.126419,0.005767,15.591431,-556.708984,-2.501091,0.001755
CCCC(C)OC(F)(F)F,C=C(C)C(=O)OC(C)(C)C,0.263445,0.000230,18.128021,-339.974609,-3.248482,0.005583,16.427643,-665.853516,-2.589844,0.001747
CCCC(C)OC(F)(F)F,FC1CCCN1,0.263995,0.000222,17.468597,-221.935547,-3.200165,0.005455,16.256836,-478.583984,-2.505760,0.001686
CCCC(C)OC(F)(F)F,CCCCCCCC(=O)NC,0.277806,0.000240,17.178528,612.306641,-3.047249,0.004197,12.380402,-94.613281,-2.364449,0.004434
CCCC(C)OC(F)(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.269862,0.000235,16.733246,-173.576172,-3.058533,0.005743,15.468567,-495.392578,-2.501419,0.002133
CCCC(C)OC(F)(F)F,C1=CC2C=CC1C2,0.269960,0.000237,16.772339,-329.341797,-3.070068,0.005907,15.830383,-525.972656,-2.491699,0.001475
CCCC(C)OC(F)(F)F,CCC(C)(O)CCC=C(C)C,0.278695,0.000247,16.486694,406.173828,-3.131332,0.005246,13.694885,-211.117188,-2.490761,0.004105
CCCC(C)OC(F)(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.264631,0.000230,17.647064,51.011719,-3.170227,0.004599,16.697083,-686.492188,-2.922668,0.003705
CCCC(C)OC(F)(F)F,CCC(C)CCF,0.270887,0.000241,17.103027,-339.707031,-3.128845,0.005963,16.177094,-571.388672,-2.555176,0.001578
CCCC(C)OC(F)(F)F,C=Cc1cccc(CC)c1,0.270223,0.000241,17.444946,-292.667969,-3.154549,0.005801,15.770752,-570.912109,-2.519371,0.001767
CCCC(C)OC(F)(F)F,CC(C)(C(O)(F)F)C(F)(F)F,0.232891,0.000174,19.375519,-586.865234,-3.315727,0.004489,17.401917,-817.605469,-2.573166,0.000922
CCCC(C)OC(F)(F)F,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.269691,0.000235,16.513824,-324.443359,-2.991997,0.005559,15.715942,-487.990234,-2.534225,0.001662
CCCC(C)OC(F)(F)F,CCN(CC)c1ccc(N)cc1,0.265102,0.000219,17.434174,151.283203,-3.178848,0.004739,14.473450,-365.031250,-2.415535,0.003100
CCCC(C)OC(F)(F)F,FC(F)CC(F)(F)F,0.267860,0.000234,17.516846,-326.261719,-3.230301,0.005947,15.951416,-457.468750,-2.436119,0.001497
CCCC(C)OC(F)(F)F,N#CCCOCCC#N,0.242952,0.000166,18.224518,549.230469,-3.309700,0.004748,11.683289,395.183594,-1.983971,0.001598
CCCC(C)OC(F)(F)F,CCC(C)C(C)C(C)C,0.269358,0.000230,16.166290,-237.539062,-2.915382,0.005461,15.152466,-405.560547,-2.496117,0.002090
CCCC(C)OC(F)(F)F,Cn1c(=O)ccc2ccccc21,0.255319,0.000196,18.210175,133.849609,-3.194916,0.004602,13.962250,-238.482422,-2.251984,0.002070
CCCC(C)OC(F)(F)F,CCOC(=O)c1ccccc1N,0.270121,0.000229,17.204224,174.927734,-3.126228,0.004884,14.157013,-332.644531,-2.412132,0.003138
CCCC(C)OC(F)(F)F,ClC1CN2CCC1CC2,0.261481,0.000220,17.534515,-283.000000,-3.150986,0.005284,16.474030,-585.771484,-2.573219,0.001781
